county,precinct,office,district,candidate,party,votes,election_day,early_voting
Live Oak,Live 12 Anna Rose,State Senate,21,Grant Rostig,REP,53,29,24
Live Oak,Live 12 Anna Rose,State Senate,21,Judith Zaffirini,DEM,30,15,15
Live Oak,Live 12 Anna Rose,State Senate,21,Joseph Morse,LIB,2,1,1
Live Oak,Live 12 Anna Rose,State House,31,Ann Matthews,REP,61,34,27
Live Oak,Live 12 Anna Rose,State House,31,Ryan Guillen,DEM,23,11,12
Live Oak,Live 13 Swinney Switch,Ballots Cast,,,,313,153,160
Live Oak,Live 13 Swinney Switch,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,103,43,60
Live Oak,Live 13 Swinney Switch,Straight Party,,DEMOCRATIC PARTY,DEM,14,11,3
Live Oak,Live 13 Swinney Switch,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,1,0,1
Live Oak,Live 13 Swinney Switch,STRAIGHT PARTY,,GREEN PARTY,GRN,1,0,1
Live Oak,Live 13 Swinney Switch,President,,Mitt Romney,REP,277,129,148
Live Oak,Live 13 Swinney Switch,President,,Barack Obama,DEM,31,21,10
Live Oak,Live 13 Swinney Switch,President,,Gary Johnson,LIB,5,3,2
Live Oak,Live 13 Swinney Switch,President,,Jill Stein,(GRN) .,0,0,0
Live Oak,Live 13 Swinney Switch,President,,Write-ins,,0,0,0
Live Oak,Live 13 Swinney Switch,US Senate,,Ted Cruz,REP,262,121,141
Live Oak,Live 13 Swinney Switch,US Senate,,Paul Sadler,DEM,39,24,15
Live Oak,Live 13 Swinney Switch,US Senate,,John Jay Myers,LIB,4,3,1
Live Oak,Live 13 Swinney Switch,US Senate,,David B. Collins,GRN,4,2,2
Live Oak,Live 13 Swinney Switch,US House,15,Dale A. Brueggemann,REP,261,123,138
Live Oak,Live 13 Swinney Switch,US House,15,Ruben Hinojosa,DEM,41,23,18
Live Oak,Live 13 Swinney Switch,US House,15,Ron Finch,LIB,3,2,1
Live Oak,Live 13 Swinney Switch,Railroad Commissioner,,Christi Craddick,REP,252,114,138
Live Oak,Live 13 Swinney Switch,Railroad Commissioner,,Dale Henry,DEM,34,23,11
Live Oak,Live 13 Swinney Switch,Railroad Commissioner,,Vik Wall,LIB,5,4,1
Live Oak,Live 13 Swinney Switch,Railroad Commissioner,,Chris Kennedy,GRN,8,4,4
Live Oak,Live 13 Swinney Switch,Railroad Commissioner,unexpired,Barry Smitherman,REP,259,119,140
Live Oak,Live 13 Swinney Switch,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,17,11,6
Live Oak,Live 13 Swinney Switch,Railroad Commissioner,unexpired,Josh Wendel,GRN,13,6,7
Live Oak,Live 13 Swinney Switch,State Senate,21,Grant Rostig,REP,216,94,122
Live Oak,Live 13 Swinney Switch,State Senate,21,Judith Zaffirini,DEM,82,48,34
Live Oak,Live 13 Swinney Switch,State Senate,21,Joseph Morse,LIB,6,6,0
Live Oak,Live 13 Swinney Switch,State House,31,Ann Matthews,REP,256,116,140
Live Oak,Live 13 Swinney Switch,State House,31,Ryan Guillen,DEM,48,31,17
Live Oak,Live 14 SW George West,Ballots Cast,,,,617,240,377
Live Oak,Live 14 SW George West,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,137,42,95
Live Oak,Live 14 SW George West,Straight Party,,DEMOCRATIC PARTY,DEM,50,27,23
Live Oak,Live 14 SW George West,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,3,2,1
Live Oak,Live 14 SW George West,STRAIGHT PARTY,,GREEN PARTY,GRN,1,1,0
Live Oak,Live 14 SW George West,President,,Mitt Romney,REP,503,173,330
Live Oak,Live 14 SW George West,president,,Barack Obama,DEM,103,59,44
Live Oak,Live 14 SW George West,President,,Gary Johnson,LIB,6,4,2
Live Oak,Live 14 SW George West,president,,Jill Stein,(GRN).,1,0,a.
Live Oak,Live 14 SW George West,President,,Write-ins,,0,0,0
Live Oak,Live 14 SW George West,US Senate,,Ted Cruz,REP,454,149,305
Live Oak,Live 14 SW George West,US Senate,,Paul Sadler,DEM,122,68,54
Live Oak,Live 14 SW George West,US Senate,,John Jay Myers,LIB,18,9,9
Live Oak,Live 14 SW George West,US Senate,,David B. Collins,GRN,4,3,1
Live Oak,Live 14 SW George West,US House,15,Dale A. Brueggemann,REP,448,145,303
Live Oak,Live 14 SW George West,US House,15,Ruben Hinojosa,DEM,135,75,60
Live Oak,Live 14 SW George West,US House,15,Ron Finch,LIB,8,6,2
Live Oak,Live 14 SW George West,Railroad Commissioner,,Christi Craddick,REP,458,146,312
Live Oak,Live 14 SW George West,Railroad Commissioner,,Dale Henry,DEM,103,59,44
Live Oak,Live 14 SW George West,Railroad Commissioner,,Vik Wall,LIB,12,9,3
Live Oak,Live 14 SW George West,Railroad Commissioner,,Chris Kennedy,GRN,13,6,7
Live Oak,Live 14 SW George West,Railroad Commissioner,,Barry Smitherman,REP,471,158,313
Live Oak,Live 14 SW George West,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,45,26,19
Live Oak,Live 14 SW George West,Railroad Commissioner,unexpired,Josh Wendel,GRN,22,12,10
Live Oak,Live 14 SW George West,State Senate,21,Grant Rostig,REP,353,108,245
Live Oak,Live 14 SW George West,State Senate,21,Judith Zaffirini,DEM,234,119,115
Live Oak,Live 14 SW George West,State Senate,21,Joseph Morse,LIB,8,4,4
Live Oak,Live 14 SW George West,State House,31,Ann Matthews,REP,440,150,290
Live Oak,Live 14 SW George West,State House,31,Ryan Guillen,DEM,140,71,69
