county,precinct,office,district,party,office,early_voting,election_day,votes
Erath,Precinct 12,Railroad Commissioner,,DEM,Dale Henry,9,2,11
Erath,Precinct 12,Railroad Commissioner,,LIB,Vivekananda (Vik) Wall,1,0,1
Erath,Precinct 12,Railroad Commissioner,,GRN,Chris Kennedy,2,0,2
Erath,Precinct 12,Railroad Commissioner,,,Over Votes,0,0,0
Erath,Precinct 12,Railroad Commissioner,,,Under Votes,4,0,4
Erath,Precinct 12,Railroad Commissioner,unexpired,REP,Barry Smitherman,66,13,79
Erath,Precinct 12,Railroad Commissioner,unexpired,LIB,Jaime O. Perez,4,0,4
Erath,Precinct 12,Railroad Commissioner,unexpired,GRN,Josh Wendel,1,1,2
Erath,Precinct 12,Railroad Commissioner,unexpired,,Over Votes,0,0,0
Erath,Precinct 12,Railroad Commissioner,unexpired,,Under Votes,11,1,12
Erath,Precinct 12,State Senate,30,REP,Craig Estes,65,13,78
Erath,Precinct 12,State Senate,30,LIB,"Richard Wells Forsythe, Jr.",4,1,5
Erath,Precinct 12,State Senate,30,,Over Votes,0,0,0
Erath,Precinct 12,State Senate,30,,Under Votes,13,1,14
Erath,Precinct 12,State House,59,REP,J.D. Sheffield,70,12,82
Erath,Precinct 12,State House,59,DEM,Bill Norris,9,3,12
Erath,Precinct 12,State House,59,,Over Votes,0,0,0
Erath,Precinct 12,State House,59,,Under Votes,3,0,3
Erath,Precinct 12 STP,Ballots Cast,,,,,,696
Erath,Precinct 12 STP,Straight Party,,REP,Republican Party,183,70,253
Erath,Precinct 12 STP,Straight Party,,DEM,Democratic Party,38,16,54
Erath,Precinct 12 STP,Straight Party,,LIB,Libertarian Party,0,0,0
Erath,Precinct 12 STP,Straight Party,,GRN,Green Party,0,0,0
Erath,Precinct 12 STP,Straight Party,,,Over Votes,0,0,0
Erath,Precinct 12 STP,Straight Party,,,Under Votes,280,109,389
Erath,Precinct 12 STP,President,,REP,Mitt Romney \ Paul Ryan,417,145,562
Erath,Precinct 12 STP,President,,DEM,Barack Obama \ Joe Biden,77,41,118
Erath,Precinct 12 STP,President,,LIB,Gary Johnson \ Jim Gray,3,6,9
Erath,Precinct 12 STP,President,,GRN,Jill Stein \ Cheri Honkala,1,0,1
Erath,Precinct 12 STP,President,,,VIRGIL GOODE (W),0,0,0
Erath,Precinct 12 STP,President,,,Over Votes,0,0,0
Erath,Precinct 12 STP,President,,,Under Votes,3,3,6
Erath,Precinct 12 STP,US Senate,,REP,Ted Cruz,412,139,551
Erath,Precinct 12 STP,US Senate,,DEM,Paul Sadler,76,38,114
Erath,Precinct 12 STP,US Senate,,LIB,John Jay Myers,5,6,11
