county,precinct,office,district,candidate,party,votes,election_day,early_voting,mail,provisional
Kleberg,0011 PREC 42,President,,Mitt Romney,REP,59,29,24,6,0
Kleberg,0011 PREC 42,President,,Barack Obama,DEM,306,160,129,17,0
Kleberg,0011 PREC 42,President,,Gary Johnson,LIB,3,1,2,0,0
Kleberg,0011 PREC 42,President,,Jill Stein,GRN,0,0,0,0,0
Kleberg,0011 PREC 42,President,,Write-ins,WRI,1,1,0,0,0
Kleberg,0011 PREC 42,US Senate,,Ted Cruz,REP,80,39,34,7,0
Kleberg,0011 PREC 42,US Senate,,Paul Sadler,DEM,271,141,114,16,0
Kleberg,0011 PREC 42,US Senate,,John Jay Myers,LIB,7,6,1,0,0
Kleberg,0011 PREC 42,US Senate,,David B. Collins,GRN,4,1,3,0,0
Kleberg,0011 PREC 42,US HOUSE,34,Jessica Puente Bradshaw,REP,64,32,26,6,0
Kleberg,0011 PREC 42,US HOUSE,34,Filemon Vela,DEM,294,152,125,17,0
Kleberg,0011 PREC 42,US HOUSE,34,Steven (Ziggy) Shanklin,LIB,5,4,1,0,0
Kleberg,0011 PREC 42,Railroad Commissioner,,Christi Craddick,REP,49,22,21,6,0
Kleberg,0011 PREC 42,Railroad Commissioner,,Dale Henry,DEM,287,152,119,16,0
Kleberg,0011 PREC 42,Railroad Commissioner,,Vivekananda (Vik) Wall,LIB,10,6,4,0,0
Kleberg,0011 PREC 42,Railroad Commissioner,,Chris Kennedy,GRN,6,3,3,0,0
Kleberg,0011 PREC 42,Railroad Commissioner,unexpired,Barry Smitherman,REP,56,25,26,5,0
Kleberg,0011 PREC 42,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,125,70,52,3,0
Kleberg,0011 PREC 42,Railroad Commissioner,unexpired,Josh Wendel,GRN,9,6,3,0,0
Kleberg,0011 PREC 42,State Senate,27,"Eddie Lucio, Jr. (DEM) .  .",DEM,317,167,133,17,0
Kleberg,0011 PREC 42,State House,43,J.M. Lozano,REP,86,39,38,9,0
Kleberg,0011 PREC 42,State House,43,Yvonne Gonzalez Toureilles,DEM,276,148,114,14,0
Kleberg,0012 PREC 43,Voter Registration,,,,1530,,,,
Kleberg,0012 PREC 43,Ballots Cast,,,,736,312,390,33,1
Kleberg,0012 PREC 43,Straight Party,,REPUBLICAN PARTY,REP,121,41,71,9,0
Kleberg,0012 PREC 43,Straight Party,,DEMOCRATIC PARTY,DEM,205,89,105,11,0
Kleberg,0012 PREC 43,Straight Party,,LIBERTARIAN PARTY,LIB,4,2,2,0,0
Kleberg,0012 PREC 43,Straight Party,,GREEN PARTY,GRN,4,3,1,0,0
Kleberg,0012 PREC 43,President,,Mitt Romney,REP,294,108,170,15,1
Kleberg,0012 PREC 43,President,,Barack Obama,DEM,419,197,206,16,0
Kleberg,0012 PREC 43,President,,Gary Johnson,LIB,11,2,8,1,0
Kleberg,0012 PREC 43,President,,Jill Stein,GRN,5,2,3,0,0
Kleberg,0012 PREC 43,President,,Write-ins,WRI,0,0,0,0,0
Kleberg,0012 PREC 43,US Senate,,Ted Cruz,REP,299,114,169,15,1
Kleberg,0012 PREC 43,US Senate,,Paul Sadler,DEM,383,172,195,16,0
Kleberg,0012 PREC 43,US Senate,,John Jay Myers,LIB,11,6,5,0,0
Kleberg,0012 PREC 43,US Senate,,David B. Collins,GRN,14,5,9,0,0
Kleberg,0012 PREC 43,US HOUSE,34,Jessica Puente Bradshaw,REP,282,102,166,13,1
Kleberg,0012 PREC 43,US HOUSE,34,Filemon Vela,DEM,399,181,201,17,0
Kleberg,0012 PREC 43,US HOUSE,34,Steven (Ziggy) Shanklin,LIB,23,9,13,1,0
Kleberg,0012 PREC 43,Railroad Commissioner,,Christi Craddick,REP,257,89,154,13,1
Kleberg,0012 PREC 43,Railroad Commissioner,,Dale Henry,DEM,385,176,191,18,0
Kleberg,0012 PREC 43,Railroad Commissioner,,Vivekananda (Vik) Wall,LIB,16,5,11,0,0
Kleberg,0012 PREC 43,Railroad Commissioner,,Chris Kennedy,GRN,26,14,12,0,0
Kleberg,0012 PREC 43,Railroad Commissioner,unexpired,Barry Smitherman,REP,280,100,165,14,1
Kleberg,0012 PREC 43,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,202,100,99,3,0
Kleberg,0012 PREC 43,Railroad Commissioner,unexpired,Josh Wendel,GRN,42,20,21,1,0
Kleberg,0012 PREC 43,State Senate,27,"Eddie Lucio, Jr. (DEM) .  .",DEM,510,237,250,22,1
Kleberg,0012 PREC 43,State House,43,J.M. Lozano,REP,349,127,200,21,1
Kleberg,0012 PREC 43,State House,43,Yvonne Gonzalez Toureilles,DEM,359,173,176,10,0
Kleberg,0013 PREC 44,Voter Registration,,,,531,,,,
Kleberg,0013 PREC 44,Ballots Cast,,,,220,105,107,8,0
Kleberg,0013 PREC 44,Straight Party,,REPUBLICAN PARTY,REP,39,9,26,4,0
Kleberg,0013 PREC 44,Straight Party,,DEMOCRATIC PARTY,DEM,75,42,31,2,0
Kleberg,0013 PREC 44,Straight Party,,LIBERTARIAN PARTY,LIB,0,0,0,0,0
Kleberg,0013 PREC 44,Straight Party,,GREEN PARTY,GRN,2,1,1,0,0
Kleberg,0013 PREC 44,President,,Mitt Romney,REP,81,28,48,5,0
Kleberg,0013 PREC 44,President,,Barack Obama,DEM,130,69,58,3,0
Kleberg,0013 PREC 44,President,,Gary Johnson,LIB,1,1,0,0,0
Kleberg,0013 PREC 44,President,,Jill Stein,GRN,1,0,1,0,0
Kleberg,0013 PREC 44,President,,Write-ins,WRI,5,5,0,0,0
Kleberg,0013 PREC 44,US Senate,,Ted Cruz,REP,78,30,43,5,0
Kleberg,0013 PREC 44,US Senate,,Paul Sadler,DEM,121,62,56,3,0
Kleberg,0013 PREC 44,US Senate,,John Jay Myers,LIB,7,4,3,0,0
Kleberg,0013 PREC 44,US Senate,,David B. Collins,GRN,4,3,1,0,0
Kleberg,0013 PREC 44,US HOUSE,34,Jessica Puente Bradshaw,REP,72,24,43,5,0
Kleberg,0013 PREC 44,US HOUSE,34,Filemon Vela,DEM,125,69,53,3,0
Kleberg,0013 PREC 44,US HOUSE,34,Steven (Ziggy) Shanklin,LIB,9,3,6,0,0
Kleberg,0013 PREC 44,Railroad Commissioner,,Christi Craddick,REP,71,23,43,5,0
Kleberg,0013 PREC 44,Railroad Commissioner,,Dale Henry,DEM,127,67,57,3,0
Kleberg,0013 PREC 44,Railroad Commissioner,,Vivekananda (Vik) Wall,LIB,4,3,1,0,0
Kleberg,0013 PREC 44,Railroad Commissioner,,Chris Kennedy,GRN,5,3,2,0,0
Kleberg,0013 PREC 44,Railroad Commissioner,,Barry Smitherman,REP,78,25,48,5,0
Kleberg,0013 PREC 44,Railroad Commissioner,,Jaime O. Perez,LIB,59,32,26,1,0
Kleberg,0013 PREC 44,Railroad Commissioner,,Josh Wendel,GRN,14,9,5,0,0
Kleberg,0013 PREC 44,State Senate,27,"Eddie Lucio, Jr. (DEM) .  .",DEM,149,81,64,4,0
Kleberg,0013 PREC 44,State House,43,J.M. Lozano,REP,94,42,46,6,0
Kleberg,0013 PREC 44,State House,43,Yvonne Gonzalez Toureilles,DEM,114,57,55,2,0
Kleberg,0014 PREC 45,Voter Registration,,,,878,,,,
Kleberg,0014 PREC 45,Ballots Cast,,,,369,189,155,25,0
Kleberg,0014 PREC 45,Straight Party,,REPUBLICAN PARTY,REP,20,6,12,2,0
Kleberg,0014 PREC 45,Straight Party,,DEMOCRATIC PARTY,DEM,177,96,72,9,0
Kleberg,0014 PREC 45,Straight Party,,LIBERTARIAN PARTY,LIB,2,2,0,0,0
Kleberg,0014 PREC 45,Straight Party,,GREEN PARTY,GRN,0,0,0,0,0
Kleberg,0014 PREC 45,President,,Mitt Romney,REP,50,19,24,7,0
Kleberg,0014 PREC 45,President,,Barack Obama,DEM,308,165,127,16,0
Kleberg,0014 PREC 45,President,,Gary Johnson,LIB,5,1,4,0,0
Kleberg,0014 PREC 45,President,,Jill Stein,GRN,2,2,0,0,0
Kleberg,0014 PREC 45,President,,Write-ins,WRI,0,0,0,0,0
Kleberg,0014 PREC 45,US Senate,,Ted Cruz,REP,73,35,31,7,0
Kleberg,0014 PREC 45,US Senate,,Paul Sadler,DEM,269,145,111,13,0
Kleberg,0014 PREC 45,US Senate,,John Jay Myers,LIB,6,3,3,0,0
Kleberg,0014 PREC 45,US Senate,,David B. Collins,GRN,4,2,1,1,0
Kleberg,0014 PREC 45,US HOUSE,34,Jessica Puente Bradshaw,REP,56,20,33,3,0
Kleberg,0014 PREC 45,US HOUSE,34,Filemon Vela,DEM,289,160,110,19,0
Kleberg,0014 PREC 45,US HOUSE,34,Steven (Ziggy) Shanklin,LIB,5,3,2,0,0
Kleberg,0014 PREC 45,Railroad Commissioner,,Christi Craddick,REP,42,16,21,5,0
Kleberg,0014 PREC 45,Railroad Commissioner,,Dale Henry,DEM,283,154,114,15,0
Kleberg,0014 PREC 45,Railroad Commissioner,,Vivekananda (Vik) Wall,LIB,9,7,2,0,0
Kleberg,0014 PREC 45,Railroad Commissioner,,Chris Kennedy,GRN,8,3,3,2,0
Kleberg,0014 PREC 45,Railroad Commissioner,unexpired,Barry Smitherman,REP,55,23,29,3,0
Kleberg,0014 PREC 45,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,151,89,55,7,0
Kleberg,0014 PREC 45,Railroad Commissioner,unexpired,Josh Wendel,GRN,3,3,0,0,0
Kleberg,0014 PREC 45,State Senate,27,"Eddie Lucio, Jr. (DEM) .  .",DEM,323,176,130,17,0
Kleberg,0014 PREC 45,State House,43,J.M. Lozano,REP,86,39,39,8,0
Kleberg,0014 PREC 45,State House,43,Yvonne Gonzalez Toureilles,DEM,273,147,112,14,0
