county,precinct,office,district,candidate,party,votes,early_votes,election_day
Runnels,23,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,4,2,2
Runnels,23,President and Vice President,,DARREL L. CASTLE,,0,0,0
Runnels,23,President and Vice President,,EVAN MCMULLIN,,2,2,0
Runnels,23,U.S. House,11,Mike Conaway,REP,369,112,257
Runnels,23,U.S. House,11,Nicholas Landholt,LIB,33,8,25
Runnels,23,Railroad Commissioner,,Wayne Christian,REP,337,107,230
Runnels,23,Railroad Commissioner,,Grady Yarbrough,DEM,66,17,49
Runnels,23,Railroad Commissioner,,Mark Miller,LIB,12,2,10
Runnels,23,Railroad Commissioner,,Martina Salinas,GRN,14,2,12
Runnels,23,State Senate,28,Charles Perry,REP,369,113,256
Runnels,23,State Representative,72,Drew Darby,REP,380,115,265
Runnels,24,Straight Party,,Republican Party,REP,133,66,67
Runnels,24,Straight Party,,Democratic Party,DEM,10,6,4
Runnels,24,Straight Party,,Libertarian Party,LIB,0,0,0
Runnels,24,Straight Party,,Green Party,GRN,0,0,0
Runnels,24,President and Vice President,,Donald J. Trump / Mike Pence,REP,208,100,108
Runnels,24,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,17,8,9
Runnels,24,President and Vice President,,Gary Johnson / William Weld,LIB,4,0,4
Runnels,24,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,0,0,0
Runnels,24,President and Vice President,,DARREL L. CASTLE,,0,0,0
Runnels,24,President and Vice President,,EVAN MCMULLIN,,0,0,0
Runnels,24,U.S. House,11,Mike Conaway,REP,211,98,113
Runnels,24,U.S. House,11,Nicholas Landholt,LIB,6,3,3
Runnels,24,Railroad Commissioner,,Wayne Christian,REP,193,92,101
Runnels,24,Railroad Commissioner,,Grady Yarbrough,DEM,14,8,6
Runnels,24,Railroad Commissioner,,Mark Miller,LIB,2,1,1
Runnels,24,Railroad Commissioner,,Martina Salinas,GRN,2,1,1
Runnels,24,State Senate,28,Charles Perry,REP,191,93,98
Runnels,24,State Representative,72,Drew Darby,REP,206,98,108
Runnels,25,Straight Party,,Republican Party,REP,30,6,24
Runnels,25,Straight Party,,Democratic Party,DEM,1,0,1
Runnels,25,Straight Party,,Libertarian Party,LIB,0,0,0
Runnels,25,Straight Party,,Green Party,GRN,0,0,0
Runnels,25,President and Vice President,,Donald J. Trump / Mike Pence,REP,39,8,31
Runnels,25,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,3,2,1
Runnels,25,President and Vice President,,Gary Johnson / William Weld,LIB,1,0,1
Runnels,25,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,1,1,0
Runnels,25,President and Vice President,,DARREL L. CASTLE,,0,0,0
Runnels,25,President and Vice President,,EVAN MCMULLIN,,0,0,0
Runnels,25,U.S. House,11,Mike Conaway,REP,43,10,33
Runnels,25,U.S. House,11,Nicholas Landholt,LIB,1,0,1
Runnels,25,Railroad Commissioner,,Wayne Christian,REP,38,8,30
Runnels,25,Railroad Commissioner,,Grady Yarbrough,DEM,3,1,2
Runnels,25,Railroad Commissioner,,Mark Miller,LIB,1,1,0
Runnels,25,Railroad Commissioner,,Martina Salinas,GRN,1,0,1
Runnels,25,State Senate,28,Charles Perry,REP,38,8,30
Runnels,25,State Representative,72,Drew Darby,REP,42,10,32
Runnels,1,Registered Voters,,,,409,,
Runnels,1,Ballots Cast,,,,155,98,57
Runnels,1,Straight Party,,Under Votes,,62,35,27
Runnels,1,Straight Party,,Over Votes,,0,0,0
Runnels,1,President and Vice President,,Under Votes,,6,3,3
Runnels,1,President and Vice President,,Over Votes,,0,0,0
Runnels,1,U.S. House,,Under Votes,,24,13,11
Runnels,1,U.S. House,,Over Votes,,0,0,0
Runnels,1,Railroad Commissioner,,Under Votes,,15,4,11
Runnels,1,Railroad Commissioner,,Over Votes,,0,0,0
Runnels,1,State Senate,,Under Votes,,38,21,17
Runnels,1,State Senate,,Over Votes,,0,0,0
Runnels,1,State Representative,,Under Votes,,34,19,15
Runnels,1,State Representative,,Over Votes,,0,0,0
Runnels,2,Registered Voters,,,,204,,
Runnels,2,Ballots Cast,,,,128,81,47
Runnels,2,Straight Party,,Under Votes,,49,28,21
Runnels,2,Straight Party,,Over Votes,,0,0,0
Runnels,2,President and Vice President,,Under Votes,,1,1,0
Runnels,2,President and Vice President,,Over Votes,,0,0,0
Runnels,2,U.S. House,,Under Votes,,16,6,10
Runnels,2,U.S. House,,Over Votes,,0,0,0
Runnels,2,Railroad Commissioner,,Under Votes,,5,2,3
Runnels,2,Railroad Commissioner,,Over Votes,,0,0,0
Runnels,2,State Senate,,Under Votes,,19,9,10
Runnels,2,State Senate,,Over Votes,,0,0,0
Runnels,2,State Representative,,Under Votes,,18,9,9
Runnels,2,State Representative,,Over Votes,,0,0,0
Runnels,3,Registered Voters,,,,701,,
Runnels,3,Ballots Cast,,,,461,323,138
Runnels,3,Straight Party,,Under Votes,,193,124,69
Runnels,3,Straight Party,,Over Votes,,0,0,0
Runnels,3,President and Vice President,,Under Votes,,10,7,3
Runnels,3,President and Vice President,,Over Votes,,0,0,0
Runnels,3,U.S. House,,Under Votes,,32,21,11
Runnels,3,U.S. House,,Over Votes,,0,0,0
Runnels,3,Railroad Commissioner,,Under Votes,,23,14,9
Runnels,3,Railroad Commissioner,,Over Votes,,0,0,0
Runnels,3,State Senate,,Under Votes,,73,45,28
Runnels,3,State Senate,,Over Votes,,0,0,0
Runnels,3,State Representative,,Under Votes,,56,34,22
Runnels,3,State Representative,,Over Votes,,0,0,0
Runnels,4,Registered Voters,,,,,,
Runnels,4,Ballots Cast,,,,18,17,1
Runnels,4,Straight Party,,Under Votes,,4,4,0
Runnels,4,Straight Party,,Over Votes,,0,0,0
Runnels,4,President and Vice President,,Under Votes,,1,1,0
Runnels,4,President and Vice President,,Over Votes,,0,0,0
Runnels,4,U.S. House,,Under Votes,,1,1,0
Runnels,4,U.S. House,,Over Votes,,0,0,0
Runnels,4,Railroad Commissioner,,Under Votes,,1,1,0
Runnels,4,Railroad Commissioner,,Over Votes,,0,0,0
Runnels,4,State Senate,,Under Votes,,3,3,0
Runnels,4,State Senate,,Over Votes,,0,0,0
Runnels,4,State Representative,,Under Votes,,2,2,0
Runnels,4,State Representative,,Over Votes,,0,0,0
Runnels,5,Registered Voters,,,,,,
Runnels,5,Ballots Cast,,,,3,3,0
Runnels,5,Straight Party,,Under Votes,,2,2,0
Runnels,5,Straight Party,,Over Votes,,0,0,0
Runnels,5,President and Vice President,,Under Votes,,2,2,0
Runnels,5,President and Vice President,,Over Votes,,0,0,0
Runnels,5,U.S. House,,Under Votes,,0,0,0
Runnels,5,U.S. House,,Over Votes,,0,0,0
Runnels,5,Railroad Commissioner,,Under Votes,,0,0,0
Runnels,5,Railroad Commissioner,,Over Votes,,0,0,0
Runnels,5,State Senate,,Under Votes,,0,0,0
Runnels,5,State Senate,,Over Votes,,0,0,0
Runnels,5,State Representative,,Under Votes,,0,0,0
Runnels,5,State Representative,,Over Votes,,0,0,0
Runnels,6,Registered Voters,,,,116,,
Runnels,6,Ballots Cast,,,,59,45,14
Runnels,6,Straight Party,,Under Votes,,25,22,3
Runnels,6,Straight Party,,Over Votes,,0,0,0
Runnels,6,President and Vice President,,Under Votes,,2,1,1
Runnels,6,President and Vice President,,Over Votes,,0,0,0
Runnels,6,U.S. House,,Under Votes,,5,5,0
Runnels,6,U.S. House,,Over Votes,,0,0,0
Runnels,6,Railroad Commissioner,,Under Votes,,3,3,0
Runnels,6,Railroad Commissioner,,Over Votes,,0,0,0
Runnels,6,State Senate,,Under Votes,,13,10,3
Runnels,6,State Senate,,Over Votes,,0,0,0
Runnels,6,State Representative,,Under Votes,,14,11,3
Runnels,6,State Representative,,Over Votes,,0,0,0
Runnels,7,Registered Voters,,,,37,,
Runnels,7,Ballots Cast,,,,19,9,10
Runnels,7,Straight Party,,Under Votes,,9,4,5
Runnels,7,Straight Party,,Over Votes,,0,0,0
Runnels,7,President and Vice President,,Under Votes,,0,0,0
Runnels,7,President and Vice President,,Over Votes,,0,0,0
Runnels,7,U.S. House,,Under Votes,,0,0,0
Runnels,7,U.S. House,,Over Votes,,0,0,0
Runnels,7,Railroad Commissioner,,Under Votes,,2,1,1
Runnels,7,Railroad Commissioner,,Over Votes,,0,0,0
Runnels,7,State Senate,,Under Votes,,3,1,2
Runnels,7,State Senate,,Over Votes,,0,0,0
Runnels,7,State Representative,,Under Votes,,2,0,2
Runnels,7,State Representative,,Over Votes,,0,0,0
Runnels,8,Registered Voters,,,,1299,,
Runnels,8,Ballots Cast,,,,783,324,459
Runnels,8,Straight Party,,Under Votes,,262,119,143
Runnels,8,Straight Party,,Over Votes,,0,0,0
Runnels,8,President and Vice President,,Under Votes,,12,7,5
Runnels,8,President and Vice President,,Over Votes,,0,0,0
Runnels,8,U.S. House,,Under Votes,,61,29,32
Runnels,8,U.S. House,,Over Votes,,0,0,0
Runnels,8,Railroad Commissioner,,Under Votes,,25,11,14
Runnels,8,Railroad Commissioner,,Over Votes,,0,0,0
Runnels,8,State Senate,,Under Votes,,97,39,58
Runnels,8,State Senate,,Over Votes,,0,0,0
Runnels,8,State Representative,,Under Votes,,92,38,54
Runnels,8,State Representative,,Over Votes,,0,0,0
Runnels,9,Registered Voters,,,,,,
Runnels,9,Ballots Cast,,,,13,7,6
Runnels,9,Straight Party,,Under Votes,,5,3,2
Runnels,9,Straight Party,,Over Votes,,0,0,0
Runnels,9,President and Vice President,,Under Votes,,0,0,0
Runnels,9,President and Vice President,,Over Votes,,0,0,0
Runnels,9,U.S. House,,Under Votes,,1,1,0
Runnels,9,U.S. House,,Over Votes,,0,0,0
Runnels,9,Railroad Commissioner,,Under Votes,,1,1,0
Runnels,9,Railroad Commissioner,,Over Votes,,0,0,0
Runnels,9,State Senate,,Under Votes,,3,2,1
Runnels,9,State Senate,,Over Votes,,0,0,0
Runnels,9,State Representative,,Under Votes,,2,2,0
Runnels,9,State Representative,,Over Votes,,0,0,0
Runnels,10,Registered Voters,,,,425,,
Runnels,10,Ballots Cast,,,,223,75,148
Runnels,10,Straight Party,,Under Votes,,79,25,54
Runnels,10,Straight Party,,Over Votes,,0,0,0
Runnels,10,President and Vice President,,Under Votes,,4,0,4
Runnels,10,President and Vice President,,Over Votes,,0,0,0
Runnels,10,U.S. House,,Under Votes,,20,5,15
Runnels,10,U.S. House,,Over Votes,,0,0,0
Runnels,10,Railroad Commissioner,,Under Votes,,9,2,7
Runnels,10,Railroad Commissioner,,Over Votes,,0,0,0
Runnels,10,State Senate,,Under Votes,,36,13,23
Runnels,10,State Senate,,Over Votes,,0,0,0
Runnels,10,State Representative,,Under Votes,,35,12,23
Runnels,10,State Representative,,Over Votes,,0,0,0
Runnels,11,Registered Voters,,,,,,
Runnels,11,Ballots Cast,,,,6,1,5
Runnels,11,Straight Party,,Under Votes,,1,0,1
Runnels,11,Straight Party,,Over Votes,,0,0,0
Runnels,11,President and Vice President,,Under Votes,,0,0,0
Runnels,11,President and Vice President,,Over Votes,,0,0,0
Runnels,11,U.S. House,,Under Votes,,0,0,0
Runnels,11,U.S. House,,Over Votes,,0,0,0
Runnels,11,Railroad Commissioner,,Under Votes,,0,0,0
Runnels,11,Railroad Commissioner,,Over Votes,,0,0,0
Runnels,11,State Senate,,Under Votes,,0,0,0
Runnels,11,State Senate,,Over Votes,,0,0,0
Runnels,11,State Representative,,Under Votes,,0,0,0
Runnels,11,State Representative,,Over Votes,,0,0,0
Runnels,12,Registered Voters,,,,183,,
Runnels,12,Ballots Cast,,,,127,64,63
Runnels,12,Straight Party,,Under Votes,,45,24,21
Runnels,12,Straight Party,,Over Votes,,0,0,0
Runnels,12,President and Vice President,,Under Votes,,2,0,2
Runnels,12,President and Vice President,,Over Votes,,0,0,0
Runnels,12,U.S. House,,Under Votes,,3,1,2
Runnels,12,U.S. House,,Over Votes,,0,0,0
Runnels,12,Railroad Commissioner,,Under Votes,,3,1,2
Runnels,12,Railroad Commissioner,,Over Votes,,0,0,0
Runnels,12,State Senate,,Under Votes,,12,6,6
Runnels,12,State Senate,,Over Votes,,0,0,0
Runnels,12,State Representative,,Under Votes,,11,6,5
Runnels,12,State Representative,,Over Votes,,0,0,0
Runnels,13,Registered Voters,,,,67,,
Runnels,13,Ballots Cast,,,,53,37,16
Runnels,13,Straight Party,,Under Votes,,17,12,5
Runnels,13,Straight Party,,Over Votes,,0,0,0
Runnels,13,President and Vice President,,Under Votes,,0,0,0
Runnels,13,President and Vice President,,Over Votes,,0,0,0
Runnels,13,U.S. House,,Under Votes,,3,2,1
Runnels,13,U.S. House,,Over Votes,,0,0,0
Runnels,13,Railroad Commissioner,,Under Votes,,2,2,0
Runnels,13,Railroad Commissioner,,Over Votes,,0,0,0
Runnels,13,State Senate,,Under Votes,,6,4,2
Runnels,13,State Senate,,Over Votes,,0,0,0
Runnels,13,State Representative,,Under Votes,,4,3,1
Runnels,13,State Representative,,Over Votes,,0,0,0
Runnels,14,Registered Voters,,,,67,,
Runnels,14,Ballots Cast,,,,54,48,6
Runnels,14,Straight Party,,Under Votes,,16,12,4
Runnels,14,Straight Party,,Over Votes,,0,0,0
Runnels,14,President and Vice President,,Under Votes,,0,0,0
Runnels,14,President and Vice President,,Over Votes,,0,0,0
Runnels,14,U.S. House,,Under Votes,,2,2,0
Runnels,14,U.S. House,,Over Votes,,0,0,0
Runnels,14,Railroad Commissioner,,Under Votes,,2,2,0
Runnels,14,Railroad Commissioner,,Over Votes,,0,0,0
Runnels,14,State Senate,,Under Votes,,5,5,0
Runnels,14,State Senate,,Over Votes,,0,0,0
Runnels,14,State Representative,,Under Votes,,3,3,0
Runnels,14,State Representative,,Over Votes,,0,0,0
Runnels,15,Registered Voters,,,,66,,
Runnels,15,Ballots Cast,,,,48,41,7
Runnels,15,Straight Party,,Under Votes,,13,11,2
Runnels,15,Straight Party,,Over Votes,,0,0,0
Runnels,15,President and Vice President,,Under Votes,,3,3,0
Runnels,15,President and Vice President,,Over Votes,,0,0,0
Runnels,15,U.S. House,,Under Votes,,6,5,1
Runnels,15,U.S. House,,Over Votes,,0,0,0
Runnels,15,Railroad Commissioner,,Under Votes,,1,1,0
Runnels,15,Railroad Commissioner,,Over Votes,,0,0,0
Runnels,15,State Senate,,Under Votes,,10,9,1
Runnels,15,State Senate,,Over Votes,,0,,0
Runnels,15,State Representative,,Under Votes,,11,10,1
Runnels,15,State Representative,,Over Votes,,0,0,0
Runnels,16,Registered Voters,,,,237,,
Runnels,16,Ballots Cast,,,,169,119,50
Runnels,16,Straight Party,,Under Votes,,75,54,21
Runnels,16,Straight Party,,Over Votes,,0,0,0
Runnels,16,President and Vice President,,Under Votes,,2,1,1
Runnels,16,President and Vice President,,Over Votes,,0,0,0
Runnels,16,U.S. House,,Under Votes,,16,13,3
Runnels,16,U.S. House,,Over Votes,,0,0,0
Runnels,16,Railroad Commissioner,,Under Votes,,14,9,5
Runnels,16,Railroad Commissioner,,Over Votes,,0,0,0
Runnels,16,State Senate,,Under Votes,,29,23,6
Runnels,16,State Senate,,Over Votes,,0,0,0
Runnels,16,State Representative,,Under Votes,,24,18,6
Runnels,16,State Representative,,Over Votes,,0,0,0
Runnels,17,Registered Voters,,,,,,
Runnels,17,Ballots Cast,,,,104,41,63
Runnels,17,Straight Party,,Under Votes,,55,17,38
Runnels,17,Straight Party,,Over Votes,,0,0,0
Runnels,17,President and Vice President,,Under Votes,,1,1,0
Runnels,17,President and Vice President,,Over Votes,,0,0,0
Runnels,17,U.S. House,,Under Votes,,5,2,3
Runnels,17,U.S. House,,Over Votes,,0,0,0
Runnels,17,Railroad Commissioner,,Under Votes,,5,0,5
Runnels,17,Railroad Commissioner,,Over Votes,,0,0,0
Runnels,17,State Senate,,Under Votes,,8,2,6
Runnels,17,State Senate,,Over Votes,,0,0,0
Runnels,17,State Representative,,Under Votes,,11,3,8
Runnels,17,State Representative,,Over Votes,,0,0,0
Runnels,18,Registered Voters,,,,353,,
Runnels,18,Ballots Cast,,,,219,172,47
Runnels,18,Straight Party,,Under Votes,,99,76,23
Runnels,18,Straight Party,,Over Votes,,0,0,0
Runnels,18,President and Vice President,,Under Votes,,4,2,2
Runnels,18,President and Vice President,,Over Votes,,0,0,0
Runnels,18,U.S. House,,Under Votes,,18,13,5
Runnels,18,U.S. House,,Over Votes,,0,0,0
Runnels,18,Railroad Commissioner,,Under Votes,,7,6,1
Runnels,18,Railroad Commissioner,,Over Votes,,0,0,0
Runnels,18,State Senate,,Under Votes,,47,36,11
Runnels,18,State Senate,,Over Votes,,0,0,0
Runnels,18,State Representative,,Under Votes,,37,27,10
Runnels,18,State Representative,,Over Votes,,0,0,0
Runnels,19,Registered Voters,,,,4,,
Runnels,19,Ballots Cast,,,,2,2,0
Runnels,19,Straight Party,,Under Votes,,1,1,0
Runnels,19,Straight Party,,Over Votes,,0,0,0
Runnels,19,President and Vice President,,Under Votes,,0,0,0
Runnels,19,President and Vice President,,Over Votes,,0,0,0
Runnels,19,U.S. House,,Under Votes,,0,0,0
Runnels,19,U.S. House,,Over Votes,,0,0,0
Runnels,19,Railroad Commissioner,,Under Votes,,0,0,0
Runnels,19,Railroad Commissioner,,Over Votes,,0,0,0
Runnels,19,State Senate,,Under Votes,,0,0,0
Runnels,19,State Senate,,Over Votes,,0,0,0
Runnels,19,State Representative,,Under Votes,,0,0,0
Runnels,19,State Representative,,Over Votes,,0,0,0
Runnels,20,Registered Voters,,,,34,,
Runnels,20,Ballots Cast,,,,25,16,9
Runnels,20,Straight Party,,Under Votes,,13,8,5
Runnels,20,Straight Party,,Over Votes,,0,0,0
Runnels,20,President and Vice President,,Under Votes,,0,0,0
Runnels,20,President and Vice President,,Over Votes,,0,0,0
Runnels,20,U.S. House,,Under Votes,,2,1,1
Runnels,20,U.S. House,,Over Votes,,0,0,0
Runnels,20,Railroad Commissioner,,Under Votes,,2,2,0
Runnels,20,Railroad Commissioner,,Over Votes,,0,0,0
Runnels,20,State Senate,,Under Votes,,4,2,2
Runnels,20,State Senate,,Over Votes,,0,0,0
Runnels,20,State Representative,,Under Votes,,4,3,1
Runnels,20,State Representative,,Over Votes,,0,0,0
Runnels,21,Registered Voters,,,,620,,
Runnels,21,Ballots Cast,,,,421,309,112
Runnels,21,Straight Party,,Under Votes,,169,119,50
Runnels,21,Straight Party,,Over Votes,,0,0,0
Runnels,21,President and Vice President,,Under Votes,,4,2,2
Runnels,21,President and Vice President,,Over Votes,,0,0,0
Runnels,21,U.S. House,,Under Votes,,26,17,9
Runnels,21,U.S. House,,Over Votes,,0,0,0
Runnels,21,Railroad Commissioner,,Under Votes,,15,9,6
Runnels,21,Railroad Commissioner,,Over Votes,,0,0,0
Runnels,21,State Senate,,Under Votes,,41,27,14
Runnels,21,State Senate,,Over Votes,,0,0,0
Runnels,21,State Representative,,Under Votes,,36,26,10
Runnels,21,State Representative,,Over Votes,,0,0,0
Runnels,22,Registered Voters,,,,38,,
Runnels,22,Ballots Cast,,,,30,18,12
Runnels,22,Straight Party,,Under Votes,,6,2,4
Runnels,22,Straight Party,,Over Votes,,0,0,0
Runnels,22,President and Vice President,,Under Votes,,1,1,0
Runnels,22,President and Vice President,,Over Votes,,0,0,0
Runnels,22,U.S. House,,Under Votes,,5,5,0
Runnels,22,U.S. House,,Over Votes,,0,0,0
Runnels,22,Railroad Commissioner,,Under Votes,,0,0,0
Runnels,22,Railroad Commissioner,,Over Votes,,0,0,0
Runnels,22,State Senate,,Under Votes,,5,5,0
Runnels,22,State Senate,,Over Votes,,0,0,0
Runnels,22,State Representative,,Under Votes,,5,5,0
Runnels,22,State Representative,,Over Votes,,0,0,0
Runnels,23,Registered Voters,,,,656,,
Runnels,23,Ballots Cast,,,,603,230,373
Runnels,23,Straight Party,,Under Votes,,175,50,125
Runnels,23,Straight Party,,Over Votes,,0,0,0
Runnels,23,President and Vice President,,Under Votes,,7,2,5
Runnels,23,President and Vice President,,Over Votes,,0,0,0
Runnels,23,U.S. House,,Under Votes,,51,14,37
Runnels,23,U.S. House,,Over Votes,,0,0,0
Runnels,23,Railroad Commissioner,,Under Votes,,23,5,18
Runnels,23,Railroad Commissioner,,Over Votes,,0,0,0
Runnels,23,State Senate,,Under Votes,,84,21,63
Runnels,23,State Senate,,Over Votes,,0,0,0
Runnels,23,State Representative,,Under Votes,,73,19,54
Runnels,23,State Representative,,Over Votes,,0,0,0
Runnels,24,Registered Voters,,,,322,,
Runnels,24,Ballots Cast,,,,232,109,123
Runnels,24,Straight Party,,Under Votes,,89,37,52
Runnels,24,Straight Party,,Over Votes,,0,0,0
Runnels,24,President and Vice President,,Under Votes,,3,1,2
Runnels,24,President and Vice President,,Over Votes,,0,0,0
Runnels,24,U.S. House,,Under Votes,,15,8,7
Runnels,24,U.S. House,,Over Votes,,0,0,0
Runnels,24,Railroad Commissioner,,Under Votes,,21,7,14
Runnels,24,Railroad Commissioner,,Over Votes,,0,0,0
Runnels,24,State Senate,,Under Votes,,41,16,25
Runnels,24,State Senate,,Over Votes,,0,0,0
Runnels,24,State Representative,,Under Votes,,26,11,15
Runnels,24,State Representative,,Over Votes,,0,0,0
Runnels,25,Registered Voters,,,,54,,
Runnels,25,Ballots Cast,,,,46,11,35
Runnels,25,Straight Party,,Under Votes,,15,5,10
Runnels,25,Straight Party,,Over Votes,,0,0,0
Runnels,25,President and Vice President,,Under Votes,,2,0,2
Runnels,25,President and Vice President,,Over Votes,,0,0,0
Runnels,25,U.S. House,,Under Votes,,2,1,1
Runnels,25,U.S. House,,Over Votes,,0,0,0
Runnels,25,Railroad Commissioner,,Under Votes,,3,1,2
Runnels,25,Railroad Commissioner,,Over Votes,,0,0,0
Runnels,25,State Senate,,Under Votes,,8,3,5
Runnels,25,State Senate,,Over Votes,,0,0,0
Runnels,25,State Representative,,Under Votes,,4,1,3
Runnels,25,State Representative,,Over Votes,,0,0,0
