county,precinct,office,district,party,candidate,votes,early_votes,election_day
Lubbock,4,Republican Proposition #1,,REP,Yes,26,18,8
Lubbock,4,Republican Proposition #1,,REP,No,13,5,8
Lubbock,4,Republican Proposition #2,,REP,Yes,29,19,10
Lubbock,4,Republican Proposition #2,,REP,No,11,4,7
Lubbock,4,Republican Proposition #3,,REP,Yes,30,18,12
Lubbock,4,Republican Proposition #3,,REP,No,9,4,5
Lubbock,4,Republican Proposition #4,,REP,Yes,36,21,15
Lubbock,4,Republican Proposition #4,,REP,No,2,0,2
Lubbock,5,President,,REP,Rick Santorum,0,0,0
Lubbock,5,President,,REP,Carly Fiorina,0,0,0
Lubbock,5,President,,REP,John R. Kasich,0,0,0
Lubbock,5,President,,REP,Mike Huckabee,0,0,0
Lubbock,5,President,,REP,Jeb Bush,0,0,0
Lubbock,5,President,,REP,Elizabeth Gray,0,0,0
Lubbock,5,President,,REP,Rand Paul,0,0,0
Lubbock,5,President,,REP,Lindsey Graham,0,0,0
Lubbock,5,President,,REP,Marco Rubio,18,7,11
Lubbock,5,President,,REP,Chris Christie,0,0,0
Lubbock,5,President,,REP,Ben Carson,5,2,3
Lubbock,5,President,,REP,Donald J. Trump,12,5,7
Lubbock,5,President,,REP,Ted Cruz,34,8,26
Lubbock,5,President,,REP,Uncommitted,0,0,0
Lubbock,5,U.S. House,19,REP,Greg Garrett,15,3,12
Lubbock,5,U.S. House,19,REP,John C. Key,2,1,1
Lubbock,5,U.S. House,19,REP,Jason Corley,0,0,0
Lubbock,5,U.S. House,19,REP,DeRenda Warren,0,0,0
Lubbock,5,U.S. House,19,REP,Glen Robertson,23,8,15
Lubbock,5,U.S. House,19,REP,Don Parrish,1,0,1
Lubbock,5,U.S. House,19,REP,Michael Bob Starr,7,4,3
Lubbock,5,U.S. House,19,REP,Jodey Arrington,10,3,7
Lubbock,5,U.S. House,19,REP,Donald R. May,5,2,3
