county,precinct,office,district,party,candidate,votes,,,,,,,,,,
Nacogdoches,13,Lieutenant Governor,,LIB,Robert D. Butler,10,,,,,,,,,,
Nacogdoches,14/17,Lieutenant Governor,,LIB,Robert D. Butler,28,,,,,,,,,,
Nacogdoches,15,Lieutenant Governor,,LIB,Robert D. Butler,10,,,,,,,,,,
Nacogdoches,16,Lieutenant Governor,,LIB,Robert D. Butler,24,,,,,,,,,,
Nacogdoches,21,Lieutenant Governor,,LIB,Robert D. Butler,14,,,,,,,,,,
Nacogdoches,22/23/24/25,Lieutenant Governor,,LIB,Robert D. Butler,12,,,,,,,,,,
Nacogdoches,26,Lieutenant Governor,,LIB,Robert D. Butler,27,,,,,,,,,,
Nacogdoches,27,Lieutenant Governor,,LIB,Robert D. Butler,8,,,,,,,,,,
Nacogdoches,30/31/32,Lieutenant Governor,,LIB,Robert D. Butler,38,,,,,,,,,,
Nacogdoches,33/34,Lieutenant Governor,,LIB,Robert D. Butler,35,,,,,,,,,,
Nacogdoches,41/43,Lieutenant Governor,,LIB,Robert D. Butler,13,,,,,,,,,,
Nacogdoches,42,Lieutenant Governor,,LIB,Robert D. Butler,5,,,,,,,,,,
Nacogdoches,44,Lieutenant Governor,,LIB,Robert D. Butler,19,,,,,,,,,,
Nacogdoches,45,Lieutenant Governor,,LIB,Robert D. Butler,5,,,,,,,,,,
Nacogdoches,46,Lieutenant Governor,,LIB,Robert D. Butler,12,,,,,,,,,,
Nacogdoches,47,Lieutenant Governor,,LIB,Robert D. Butler,7,,,,,,,,,,
Nacogdoches,12,Lieutenant Governor,,GRN,Chandrakantha Courtney,3,,,,,,,,,,
Nacogdoches,13,Lieutenant Governor,,GRN,Chandrakantha Courtney,1,,,,,,,,,,
Nacogdoches,14/17,Lieutenant Governor,,GRN,Chandrakantha Courtney,5,,,,,,,,,,
Nacogdoches,15,Lieutenant Governor,,GRN,Chandrakantha Courtney,1,,,,,,,,,,
Nacogdoches,16,Lieutenant Governor,,GRN,Chandrakantha Courtney,3,,,,,,,,,,
Nacogdoches,21,Lieutenant Governor,,GRN,Chandrakantha Courtney,5,,,,,,,,,,
Nacogdoches,22/23/24/25,Lieutenant Governor,,GRN,Chandrakantha Courtney,1,,,,,,,,,,
Nacogdoches,26,Lieutenant Governor,,GRN,Chandrakantha Courtney,5,,,,,,,,,,
Nacogdoches,27,Lieutenant Governor,,GRN,Chandrakantha Courtney,1,,,,,,,,,,
Nacogdoches,30/31/32,Lieutenant Governor,,GRN,Chandrakantha Courtney,5,,,,,,,,,,
Nacogdoches,33/34,Lieutenant Governor,,GRN,Chandrakantha Courtney,6,,,,,,,,,,
Nacogdoches,41/43,Lieutenant Governor,,GRN,Chandrakantha Courtney,3,,,,,,,,,,
Nacogdoches,42,Lieutenant Governor,,GRN,Chandrakantha Courtney,0,,,,,,,,,,
Nacogdoches,44,Lieutenant Governor,,GRN,Chandrakantha Courtney,1,,,,,,,,,,
Nacogdoches,45,Lieutenant Governor,,GRN,Chandrakantha Courtney,1,,,,,,,,,,
Nacogdoches,46,Lieutenant Governor,,GRN,Chandrakantha Courtney,0,,,,,,,,,,
Nacogdoches,47,Lieutenant Governor,,GRN,Chandrakantha Courtney,0,,,,,,,,,,
Nacogdoches,12,Attorney General,,REP,Ken Paxton,588,,,,,,,,,,
Nacogdoches,13,Attorney General,,REP,Ken Paxton,397,,,,,,,,,,
Nacogdoches,14/17,Attorney General,,REP,Ken Paxton,897,,,,,,,,,,
Nacogdoches,15,Attorney General,,REP,Ken Paxton,446,,,,,,,,,,
Nacogdoches,16,Attorney General,,REP,Ken Paxton,940,,,,,,,,,,
Nacogdoches,21,Attorney General,,REP,Ken Paxton,500,,,,,,,,,,
Nacogdoches,22/23/24/25,Attorney General,,REP,Ken Paxton,149,,,,,,,,,,
Nacogdoches,26,Attorney General,,REP,Ken Paxton,549,,,,,,,,,,
Nacogdoches,27,Attorney General,,REP,Ken Paxton,19,,,,,,,,,,
Nacogdoches,30/31/32,Attorney General,,REP,Ken Paxton,578,,,,,,,,,,
Nacogdoches,33/34,Attorney General,,REP,Ken Paxton,1425,,,,,,,,,,
Nacogdoches,41/43,Attorney General,,REP,Ken Paxton,583,,,,,,,,,,
Nacogdoches,42,Attorney General,,REP,Ken Paxton,342,,,,,,,,,,
Nacogdoches,44,Attorney General,,REP,Ken Paxton,524,,,,,,,,,,
Nacogdoches,45,Attorney General,,REP,Ken Paxton,305,,,,,,,,,,
Nacogdoches,46,Attorney General,,REP,Ken Paxton,269,,,,,,,,,,
Nacogdoches,47,Attorney General,,REP,Ken Paxton,292,,,,,,,,,,
Nacogdoches,12,Attorney General,,DEM,Sam Houston,110,,,,,,,,,,
Nacogdoches,13,Attorney General,,DEM,Sam Houston,64,,,,,,,,,,
Nacogdoches,14/17,Attorney General,,DEM,Sam Houston,192,,,,,,,,,,
Nacogdoches,15,Attorney General,,DEM,Sam Houston,68,,,,,,,,,,
Nacogdoches,16,Attorney General,,DEM,Sam Houston,141,,,,,,,,,,
Nacogdoches,21,Attorney General,,DEM,Sam Houston,87,,,,,,,,,,
Nacogdoches,22/23/24/25,Attorney General,,DEM,Sam Houston,258,,,,,,,,,,
Nacogdoches,26,Attorney General,,DEM,Sam Houston,308,,,,,,,,,,
Nacogdoches,27,Attorney General,,DEM,Sam Houston,324,,,,,,,,,,
Nacogdoches,30/31/32,Attorney General,,DEM,Sam Houston,282,,,,,,,,,,
Nacogdoches,33/34,Attorney General,,DEM,Sam Houston,471,,,,,,,,,,
Nacogdoches,41/43,Attorney General,,DEM,Sam Houston,216,,,,,,,,,,
Nacogdoches,42,Attorney General,,DEM,Sam Houston,85,,,,,,,,,,
Nacogdoches,44,Attorney General,,DEM,Sam Houston,64,,,,,,,,,,
Nacogdoches,45,Attorney General,,DEM,Sam Houston,49,,,,,,,,,,
Nacogdoches,46,Attorney General,,DEM,Sam Houston,59,,,,,,,,,,
Nacogdoches,47,Attorney General,,DEM,Sam Houston,34,,,,,,,,,,
Nacogdoches,12,Attorney General,,LIB,Jamie Balagia,6,,,,,,,,,,
Nacogdoches,13,Attorney General,,LIB,Jamie Balagia,8,,,,,,,,,,
Nacogdoches,14/17,Attorney General,,LIB,Jamie Balagia,20,,,,,,,,,,
Nacogdoches,15,Attorney General,,LIB,Jamie Balagia,9,,,,,,,,,,
Nacogdoches,16,Attorney General,,LIB,Jamie Balagia,16,,,,,,,,,,
Nacogdoches,21,Attorney General,,LIB,Jamie Balagia,13,,,,,,,,,,
Nacogdoches,22/23/24/25,Attorney General,,LIB,Jamie Balagia,13,,,,,,,,,,
Nacogdoches,26,Attorney General,,LIB,Jamie Balagia,28,,,,,,,,,,
Nacogdoches,27,Attorney General,,LIB,Jamie Balagia,6,,,,,,,,,,
Nacogdoches,30/31/32,Attorney General,,LIB,Jamie Balagia,27,,,,,,,,,,
Nacogdoches,33/34,Attorney General,,LIB,Jamie Balagia,22,,,,,,,,,,
Nacogdoches,41/43,Attorney General,,LIB,Jamie Balagia,16,,,,,,,,,,
Nacogdoches,42,Attorney General,,LIB,Jamie Balagia,7,,,,,,,,,,
Nacogdoches,44,Attorney General,,LIB,Jamie Balagia,11,,,,,,,,,,
Nacogdoches,45,Attorney General,,LIB,Jamie Balagia,1,,,,,,,,,,
Nacogdoches,46,Attorney General,,LIB,Jamie Balagia,10,,,,,,,,,,
Nacogdoches,47,Attorney General,,LIB,Jamie Balagia,2,,,,,,,,,,
Nacogdoches,12,Attorney General,,GRN,Jamar Osborne,5,,,,,,,,,,
Nacogdoches,13,Attorney General,,GRN,Jamar Osborne,1,,,,,,,,,,
Nacogdoches,14/17,Attorney General,,GRN,Jamar Osborne,4,,,,,,,,,,
Nacogdoches,15,Attorney General,,GRN,Jamar Osborne,0,,,,,,,,,,
Nacogdoches,16,Attorney General,,GRN,Jamar Osborne,3,,,,,,,,,,
Nacogdoches,21,Attorney General,,GRN,Jamar Osborne,4,,,,,,,,,,
Nacogdoches,22/23/24/25,Attorney General,,GRN,Jamar Osborne,3,,,,,,,,,,
Nacogdoches,26,Attorney General,,GRN,Jamar Osborne,11,,,,,,,,,,
Nacogdoches,27,Attorney General,,GRN,Jamar Osborne,2,,,,,,,,,,
Nacogdoches,30/31/32,Attorney General,,GRN,Jamar Osborne,11,,,,,,,,,,
Nacogdoches,33/34,Attorney General,,GRN,Jamar Osborne,8,,,,,,,,,,
Nacogdoches,41/43,Attorney General,,GRN,Jamar Osborne,1,,,,,,,,,,
Nacogdoches,42,Attorney General,,GRN,Jamar Osborne,2,,,,,,,,,,
Nacogdoches,44,Attorney General,,GRN,Jamar Osborne,1,,,,,,,,,,
Nacogdoches,45,Attorney General,,GRN,Jamar Osborne,1,,,,,,,,,,
Nacogdoches,46,Attorney General,,GRN,Jamar Osborne,1,,,,,,,,,,
Nacogdoches,47,Attorney General,,GRN,Jamar Osborne,1,,,,,,,,,,
Nacogdoches,12,Comptroller of Public Accounts,,REP,Glenn Hegar,576,,,,,,,,,,
Nacogdoches,13,Comptroller of Public Accounts,,REP,Glenn Hegar,392,,,,,,,,,,
Nacogdoches,14/17,Comptroller of Public Accounts,,REP,Glenn Hegar,877,,,,,,,,,,
Nacogdoches,15,Comptroller of Public Accounts,,REP,Glenn Hegar,433,,,,,,,,,,
Nacogdoches,16,Comptroller of Public Accounts,,REP,Glenn Hegar,921,,,,,,,,,,
Nacogdoches,21,Comptroller of Public Accounts,,REP,Glenn Hegar,475,,,,,,,,,,
Nacogdoches,22/23/24/25,Comptroller of Public Accounts,,REP,Glenn Hegar,151,,,,,,,,,,
Nacogdoches,26,Comptroller of Public Accounts,,REP,Glenn Hegar,531,,,,,,,,,,
Nacogdoches,27,Comptroller of Public Accounts,,REP,Glenn Hegar,14,,,,,,,,,,
Nacogdoches,30/31/32,Comptroller of Public Accounts,,REP,Glenn Hegar,563,,,,,,,,,,
Nacogdoches,33/34,Comptroller of Public Accounts,,REP,Glenn Hegar,1404,,,,,,,,,,
Nacogdoches,41/43,Comptroller of Public Accounts,,REP,Glenn Hegar,571,,,,,,,,,,
Nacogdoches,42,Comptroller of Public Accounts,,REP,Glenn Hegar,338,,,,,,,,,,
Nacogdoches,44,Comptroller of Public Accounts,,REP,Glenn Hegar,513,,,,,,,,,,
Nacogdoches,45,Comptroller of Public Accounts,,REP,Glenn Hegar,302,,,,,,,,,,
Nacogdoches,46,Comptroller of Public Accounts,,REP,Glenn Hegar,263,,,,,,,,,,
Nacogdoches,47,Comptroller of Public Accounts,,REP,Glenn Hegar,285,,,,,,,,,,
Nacogdoches,12,Comptroller of Public Accounts,,DEM,Mike Collier,103,,,,,,,,,,
Nacogdoches,13,Comptroller of Public Accounts,,DEM,Mike Collier,64,,,,,,,,,,
Nacogdoches,14/17,Comptroller of Public Accounts,,DEM,Mike Collier,192,,,,,,,,,,
Nacogdoches,15,Comptroller of Public Accounts,,DEM,Mike Collier,68,,,,,,,,,,
Nacogdoches,16,Comptroller of Public Accounts,,DEM,Mike Collier,136,,,,,,,,,,
Nacogdoches,21,Comptroller of Public Accounts,,DEM,Mike Collier,95,,,,,,,,,,
Nacogdoches,22/23/24/25,Comptroller of Public Accounts,,DEM,Mike Collier,253,,,,,,,,,,
Nacogdoches,26,Comptroller of Public Accounts,,DEM,Mike Collier,305,,,,,,,,,,
Nacogdoches,27,Comptroller of Public Accounts,,DEM,Mike Collier,328,,,,,,,,,,
Nacogdoches,30/31/32,Comptroller of Public Accounts,,DEM,Mike Collier,276,,,,,,,,,,
Nacogdoches,33/34,Comptroller of Public Accounts,,DEM,Mike Collier,459,,,,,,,,,,
Nacogdoches,41/43,Comptroller of Public Accounts,,DEM,Mike Collier,211,,,,,,,,,,
Nacogdoches,42,Comptroller of Public Accounts,,DEM,Mike Collier,86,,,,,,,,,,
Nacogdoches,44,Comptroller of Public Accounts,,DEM,Mike Collier,58,,,,,,,,,,
Nacogdoches,45,Comptroller of Public Accounts,,DEM,Mike Collier,42,,,,,,,,,,
Nacogdoches,46,Comptroller of Public Accounts,,DEM,Mike Collier,56,,,,,,,,,,
Nacogdoches,47,Comptroller of Public Accounts,,DEM,Mike Collier,34,,,,,,,,,,
Nacogdoches,12,Comptroller of Public Accounts,,LIB,Ben Sanders,12,,,,,,,,,,
Nacogdoches,13,Comptroller of Public Accounts,,LIB,Ben Sanders,13,,,,,,,,,,
Nacogdoches,14/17,Comptroller of Public Accounts,,LIB,Ben Sanders,26,,,,,,,,,,
Nacogdoches,15,Comptroller of Public Accounts,,LIB,Ben Sanders,15,,,,,,,,,,
Nacogdoches,16,Comptroller of Public Accounts,,LIB,Ben Sanders,23,,,,,,,,,,
Nacogdoches,21,Comptroller of Public Accounts,,LIB,Ben Sanders,21,,,,,,,,,,
Nacogdoches,22/23/24/25,Comptroller of Public Accounts,,LIB,Ben Sanders,12,,,,,,,,,,
Nacogdoches,26,Comptroller of Public Accounts,,LIB,Ben Sanders,38,,,,,,,,,,
Nacogdoches,27,Comptroller of Public Accounts,,LIB,Ben Sanders,6,,,,,,,,,,
Nacogdoches,30/31/32,Comptroller of Public Accounts,,LIB,Ben Sanders,35,,,,,,,,,,
Nacogdoches,33/34,Comptroller of Public Accounts,,LIB,Ben Sanders,33,,,,,,,,,,
Nacogdoches,41/43,Comptroller of Public Accounts,,LIB,Ben Sanders,18,,,,,,,,,,
Nacogdoches,42,Comptroller of Public Accounts,,LIB,Ben Sanders,7,,,,,,,,,,
Nacogdoches,44,Comptroller of Public Accounts,,LIB,Ben Sanders,13,,,,,,,,,,
Nacogdoches,45,Comptroller of Public Accounts,,LIB,Ben Sanders,6,,,,,,,,,,
Nacogdoches,46,Comptroller of Public Accounts,,LIB,Ben Sanders,13,,,,,,,,,,
Nacogdoches,47,Comptroller of Public Accounts,,LIB,Ben Sanders,6,,,,,,,,,,
Nacogdoches,12,Comptroller of Public Accounts,,GRN,Deb Shafto,7,,,,,,,,,,
Nacogdoches,13,Comptroller of Public Accounts,,GRN,Deb Shafto,1,,,,,,,,,,
Nacogdoches,14/17,Comptroller of Public Accounts,,GRN,Deb Shafto,5,,,,,,,,,,
Nacogdoches,15,Comptroller of Public Accounts,,GRN,Deb Shafto,3,,,,,,,,,,
Nacogdoches,16,Comptroller of Public Accounts,,GRN,Deb Shafto,8,,,,,,,,,,
Nacogdoches,21,Comptroller of Public Accounts,,GRN,Deb Shafto,4,,,,,,,,,,
Nacogdoches,22/23/24/25,Comptroller of Public Accounts,,GRN,Deb Shafto,4,,,,,,,,,,
Nacogdoches,26,Comptroller of Public Accounts,,GRN,Deb Shafto,9,,,,,,,,,,
Nacogdoches,27,Comptroller of Public Accounts,,GRN,Deb Shafto,1,,,,,,,,,,
Nacogdoches,30/31/32,Comptroller of Public Accounts,,GRN,Deb Shafto,9,,,,,,,,,,
Nacogdoches,33/34,Comptroller of Public Accounts,,GRN,Deb Shafto,16,,,,,,,,,,
Nacogdoches,41/43,Comptroller of Public Accounts,,GRN,Deb Shafto,1,,,,,,,,,,
Nacogdoches,42,Comptroller of Public Accounts,,GRN,Deb Shafto,3,,,,,,,,,,
Nacogdoches,44,Comptroller of Public Accounts,,GRN,Deb Shafto,5,,,,,,,,,,
Nacogdoches,45,Comptroller of Public Accounts,,GRN,Deb Shafto,2,,,,,,,,,,
Nacogdoches,46,Comptroller of Public Accounts,,GRN,Deb Shafto,1,,,,,,,,,,
Nacogdoches,47,Comptroller of Public Accounts,,GRN,Deb Shafto,2,,,,,,,,,,
Nacogdoches,12,Commissioner of the General Land Office,,REP,George P. Bush,572,,,,,,,,,,
Nacogdoches,13,Commissioner of the General Land Office,,REP,George P. Bush,397,,,,,,,,,,
Nacogdoches,14/17,Commissioner of the General Land Office,,REP,George P. Bush,893,,,,,,,,,,
Nacogdoches,15,Commissioner of the General Land Office,,REP,George P. Bush,437,,,,,,,,,,
Nacogdoches,16,Commissioner of the General Land Office,,REP,George P. Bush,926,,,,,,,,,,
Nacogdoches,21,Commissioner of the General Land Office,,REP,George P. Bush,495,,,,,,,,,,
Nacogdoches,22/23/24/25,Commissioner of the General Land Office,,REP,George P. Bush,156,,,,,,,,,,
Nacogdoches,26,Commissioner of the General Land Office,,REP,George P. Bush,545,,,,,,,,,,
Nacogdoches,27,Commissioner of the General Land Office,,REP,George P. Bush,17,,,,,,,,,,
Nacogdoches,30/31/32,Commissioner of the General Land Office,,REP,George P. Bush,567,,,,,,,,,,
Nacogdoches,33/34,Commissioner of the General Land Office,,REP,George P. Bush,1433,,,,,,,,,,
Nacogdoches,41/43,Commissioner of the General Land Office,,REP,George P. Bush,581,,,,,,,,,,
Nacogdoches,42,Commissioner of the General Land Office,,REP,George P. Bush,341,,,,,,,,,,
Nacogdoches,44,Commissioner of the General Land Office,,REP,George P. Bush,519,,,,,,,,,,
Nacogdoches,45,Commissioner of the General Land Office,,REP,George P. Bush,307,,,,,,,,,,
Nacogdoches,46,Commissioner of the General Land Office,,REP,George P. Bush,265,,,,,,,,,,
Nacogdoches,47,Commissioner of the General Land Office,,REP,George P. Bush,284,,,,,,,,,,
Nacogdoches,12,Commissioner of the General Land Office,,DEM,John Cook,105,,,,,,,,,,
Nacogdoches,13,Commissioner of the General Land Office,,DEM,John Cook,60,,,,,,,,,,
Nacogdoches,14/17,Commissioner of the General Land Office,,DEM,John Cook,188,,,,,,,,,,
Nacogdoches,15,Commissioner of the General Land Office,,DEM,John Cook,67,,,,,,,,,,
Nacogdoches,16,Commissioner of the General Land Office,,DEM,John Cook,140,,,,,,,,,,
Nacogdoches,21,Commissioner of the General Land Office,,DEM,John Cook,89,,,,,,,,,,
Nacogdoches,22/23/24/25,Commissioner of the General Land Office,,DEM,John Cook,253,,,,,,,,,,
Nacogdoches,26,Commissioner of the General Land Office,,DEM,John Cook,302,,,,,,,,,,
Nacogdoches,27,Commissioner of the General Land Office,,DEM,John Cook,326,,,,,,,,,,
Nacogdoches,30/31/32,Commissioner of the General Land Office,,DEM,John Cook,272,,,,,,,,,,
Nacogdoches,33/34,Commissioner of the General Land Office,,DEM,John Cook,433,,,,,,,,,,
Nacogdoches,41/43,Commissioner of the General Land Office,,DEM,John Cook,209,,,,,,,,,,
Nacogdoches,42,Commissioner of the General Land Office,,DEM,John Cook,85,,,,,,,,,,
Nacogdoches,44,Commissioner of the General Land Office,,DEM,John Cook,57,,,,,,,,,,
Nacogdoches,45,Commissioner of the General Land Office,,DEM,John Cook,41,,,,,,,,,,
Nacogdoches,46,Commissioner of the General Land Office,,DEM,John Cook,56,,,,,,,,,,
Nacogdoches,47,Commissioner of the General Land Office,,DEM,John Cook,35,,,,,,,,,,
Nacogdoches,12,Commissioner of the General Land Office,,LIB,Justin Knight,15,,,,,,,,,,
Nacogdoches,13,Commissioner of the General Land Office,,LIB,Justin Knight,14,,,,,,,,,,
Nacogdoches,14/17,Commissioner of the General Land Office,,LIB,Justin Knight,27,,,,,,,,,,
Nacogdoches,15,Commissioner of the General Land Office,,LIB,Justin Knight,15,,,,,,,,,,
Nacogdoches,16,Commissioner of the General Land Office,,LIB,Justin Knight,27,,,,,,,,,,
Nacogdoches,21,Commissioner of the General Land Office,,LIB,Justin Knight,17,,,,,,,,,,
Nacogdoches,22/23/24/25,Commissioner of the General Land Office,,LIB,Justin Knight,10,,,,,,,,,,
Nacogdoches,26,Commissioner of the General Land Office,,LIB,Justin Knight,32,,,,,,,,,,
Nacogdoches,27,Commissioner of the General Land Office,,LIB,Justin Knight,8,,,,,,,,,,
Nacogdoches,30/31/32,Commissioner of the General Land Office,,LIB,Justin Knight,38,,,,,,,,,,
Nacogdoches,33/34,Commissioner of the General Land Office,,LIB,Justin Knight,37,,,,,,,,,,
Nacogdoches,41/43,Commissioner of the General Land Office,,LIB,Justin Knight,20,,,,,,,,,,
Nacogdoches,42,Commissioner of the General Land Office,,LIB,Justin Knight,6,,,,,,,,,,
Nacogdoches,44,Commissioner of the General Land Office,,LIB,Justin Knight,16,,,,,,,,,,
Nacogdoches,45,Commissioner of the General Land Office,,LIB,Justin Knight,6,,,,,,,,,,
Nacogdoches,46,Commissioner of the General Land Office,,LIB,Justin Knight,12,,,,,,,,,,
Nacogdoches,47,Commissioner of the General Land Office,,LIB,Justin Knight,8,,,,,,,,,,
Nacogdoches,12,Commissioner of the General Land Office,,GRN,Valerie Alessi,7,,,,,,,,,,
Nacogdoches,13,Commissioner of the General Land Office,,GRN,Valerie Alessi,1,,,,,,,,,,
Nacogdoches,14/17,Commissioner of the General Land Office,,GRN,Valerie Alessi,7,,,,,,,,,,
Nacogdoches,15,Commissioner of the General Land Office,,GRN,Valerie Alessi,2,,,,,,,,,,
Nacogdoches,16,Commissioner of the General Land Office,,GRN,Valerie Alessi,5,,,,,,,,,,
Nacogdoches,21,Commissioner of the General Land Office,,GRN,Valerie Alessi,4,,,,,,,,,,
Nacogdoches,22/23/24/25,Commissioner of the General Land Office,,GRN,Valerie Alessi,3,,,,,,,,,,
Nacogdoches,26,Commissioner of the General Land Office,,GRN,Valerie Alessi,12,,,,,,,,,,
Nacogdoches,27,Commissioner of the General Land Office,,GRN,Valerie Alessi,3,,,,,,,,,,
Nacogdoches,30/31/32,Commissioner of the General Land Office,,GRN,Valerie Alessi,18,,,,,,,,,,
Nacogdoches,33/34,Commissioner of the General Land Office,,GRN,Valerie Alessi,20,,,,,,,,,,
Nacogdoches,41/43,Commissioner of the General Land Office,,GRN,Valerie Alessi,4,,,,,,,,,,
Nacogdoches,42,Commissioner of the General Land Office,,GRN,Valerie Alessi,3,,,,,,,,,,
Nacogdoches,44,Commissioner of the General Land Office,,GRN,Valerie Alessi,3,,,,,,,,,,
Nacogdoches,45,Commissioner of the General Land Office,,GRN,Valerie Alessi,2,,,,,,,,,,
Nacogdoches,46,Commissioner of the General Land Office,,GRN,Valerie Alessi,4,,,,,,,,,,
Nacogdoches,47,Commissioner of the General Land Office,,GRN,Valerie Alessi,1,,,,,,,,,,
Nacogdoches,12,Commissioner of Agriculture,,REP,Sid Miller,572,,,,,,,,,,
Nacogdoches,13,Commissioner of Agriculture,,REP,Sid Miller,393,,,,,,,,,,
Nacogdoches,14/17,Commissioner of Agriculture,,REP,Sid Miller,866,,,,,,,,,,
Nacogdoches,15,Commissioner of Agriculture,,REP,Sid Miller,429,,,,,,,,,,
Nacogdoches,16,Commissioner of Agriculture,,REP,Sid Miller,911,,,,,,,,,,
Nacogdoches,21,Commissioner of Agriculture,,REP,Sid Miller,471,,,,,,,,,,
Nacogdoches,22/23/24/25,Commissioner of Agriculture,,REP,Sid Miller,149,,,,,,,,,,
Nacogdoches,26,Commissioner of Agriculture,,REP,Sid Miller,529,,,,,,,,,,
Nacogdoches,27,Commissioner of Agriculture,,REP,Sid Miller,12,,,,,,,,,,
Nacogdoches,30/31/32,Commissioner of Agriculture,,REP,Sid Miller,559,,,,,,,,,,
Nacogdoches,33/34,Commissioner of Agriculture,,REP,Sid Miller,1390,,,,,,,,,,
Nacogdoches,41/43,Commissioner of Agriculture,,REP,Sid Miller,563,,,,,,,,,,
Nacogdoches,42,Commissioner of Agriculture,,REP,Sid Miller,329,,,,,,,,,,
Nacogdoches,44,Commissioner of Agriculture,,REP,Sid Miller,509,,,,,,,,,,
Nacogdoches,45,Commissioner of Agriculture,,REP,Sid Miller,297,,,,,,,,,,
Nacogdoches,46,Commissioner of Agriculture,,REP,Sid Miller,255,,,,,,,,,,
Nacogdoches,47,Commissioner of Agriculture,,REP,Sid Miller,283,,,,,,,,,,
Nacogdoches,12,Commissioner of Agriculture,,DEM,Jim Hogan,104,,,,,,,,,,
Nacogdoches,13,Commissioner of Agriculture,,DEM,Jim Hogan,62,,,,,,,,,,
Nacogdoches,14/17,Commissioner of Agriculture,,DEM,Jim Hogan,192,,,,,,,,,,
Nacogdoches,15,Commissioner of Agriculture,,DEM,Jim Hogan,69,,,,,,,,,,
Nacogdoches,16,Commissioner of Agriculture,,DEM,Jim Hogan,146,,,,,,,,,,
Nacogdoches,21,Commissioner of Agriculture,,DEM,Jim Hogan,99,,,,,,,,,,
Nacogdoches,22/23/24/25,Commissioner of Agriculture,,DEM,Jim Hogan,247,,,,,,,,,,
Nacogdoches,26,Commissioner of Agriculture,,DEM,Jim Hogan,310,,,,,,,,,,
Nacogdoches,27,Commissioner of Agriculture,,DEM,Jim Hogan,331,,,,,,,,,,
Nacogdoches,30/31/32,Commissioner of Agriculture,,DEM,Jim Hogan,263,,,,,,,,,,
Nacogdoches,33/34,Commissioner of Agriculture,,DEM,Jim Hogan,437,,,,,,,,,,
Nacogdoches,41/43,Commissioner of Agriculture,,DEM,Jim Hogan,212,,,,,,,,,,
Nacogdoches,42,Commissioner of Agriculture,,DEM,Jim Hogan,88,,,,,,,,,,
Nacogdoches,44,Commissioner of Agriculture,,DEM,Jim Hogan,57,,,,,,,,,,
Nacogdoches,45,Commissioner of Agriculture,,DEM,Jim Hogan,47,,,,,,,,,,
Nacogdoches,46,Commissioner of Agriculture,,DEM,Jim Hogan,60,,,,,,,,,,
Nacogdoches,47,Commissioner of Agriculture,,DEM,Jim Hogan,39,,,,,,,,,,
Nacogdoches,12,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,5,,,,,,,,,,
Nacogdoches,13,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,10,,,,,,,,,,
Nacogdoches,14/17,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,28,,,,,,,,,,
Nacogdoches,15,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,15,,,,,,,,,,
Nacogdoches,16,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,18,,,,,,,,,,
Nacogdoches,21,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,15,,,,,,,,,,
Nacogdoches,22/23/24/25,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,12,,,,,,,,,,
Nacogdoches,26,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,22,,,,,,,,,,
Nacogdoches,27,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,5,,,,,,,,,,
Nacogdoches,30/31/32,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,31,,,,,,,,,,
Nacogdoches,33/34,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,35,,,,,,,,,,
Nacogdoches,41/43,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,18,,,,,,,,,,
Nacogdoches,42,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,6,,,,,,,,,,
Nacogdoches,44,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,10,,,,,,,,,,
Nacogdoches,45,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,4,,,,,,,,,,
Nacogdoches,46,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,10,,,,,,,,,,
Nacogdoches,47,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,4,,,,,,,,,,
Nacogdoches,12,Commissioner of Agriculture,,GRN,Kenneth Kendrick,14,,,,,,,,,,
Nacogdoches,13,Commissioner of Agriculture,,GRN,Kenneth Kendrick,3,,,,,,,,,,
Nacogdoches,14/17,Commissioner of Agriculture,,GRN,Kenneth Kendrick,15,,,,,,,,,,
Nacogdoches,15,Commissioner of Agriculture,,GRN,Kenneth Kendrick,2,,,,,,,,,,
Nacogdoches,16,Commissioner of Agriculture,,GRN,Kenneth Kendrick,13,,,,,,,,,,
Nacogdoches,21,Commissioner of Agriculture,,GRN,Kenneth Kendrick,10,,,,,,,,,,
Nacogdoches,22/23/24/25,Commissioner of Agriculture,,GRN,Kenneth Kendrick,8,,,,,,,,,,
Nacogdoches,26,Commissioner of Agriculture,,GRN,Kenneth Kendrick,20,,,,,,,,,,
Nacogdoches,27,Commissioner of Agriculture,,GRN,Kenneth Kendrick,1,,,,,,,,,,
