county,precinct,office,district,party,candidate,early_voting,election_day,votes
Falls,403,Lieutenant Governor,,REP,DAN PATRICK,99,167,266
Falls,403,Lieutenant Governor,,DEM,LETICIA VAN DE PUTTE,34,53,87
Falls,403,Lieutenant Governor,,LIB,ROBERT D. BUTLER,3,7,10
Falls,403,Lieutenant Governor,,GRN,CHANDRAKANTHA COURTNEY,1,1,2
Falls,404,Lieutenant Governor,,REP,DAN PATRICK,46,190,236
Falls,404,Lieutenant Governor,,DEM,LETICIA VAN DE PUTTE,12,42,54
Falls,404,Lieutenant Governor,,LIB,ROBERT D. BUTLER,2,8,10
Falls,404,Lieutenant Governor,,GRN,CHANDRAKANTHA COURTNEY,1,1,2
Falls,405,Lieutenant Governor,,REP,DAN PATRICK,33,115,148
Falls,405,Lieutenant Governor,,DEM,LETICIA VAN DE PUTTE,24,35,59
Falls,405,Lieutenant Governor,,LIB,ROBERT D. BUTLER,0,1,1
Falls,405,Lieutenant Governor,,GRN,CHANDRAKANTHA COURTNEY,0,0,0
Falls,101,Attorney General,,REP,KEN PAXTON,53,65,118
Falls,101,Attorney General,,DEM,SAM HOUSTON,28,44,72
Falls,101,Attorney General,,LIB,JAMIE BALAGIA,3,0,3
Falls,101,Attorney General,,GRN,JAMAR OSBORNE,0,2,2
Falls,104,Attorney General,,REP,KEN PAXTON,78,156,234
Falls,104,Attorney General,,DEM,SAM HOUSTON,21,33,54
Falls,104,Attorney General,,LIB,JAMIE BALAGIA,0,4,4
Falls,104,Attorney General,,GRN,JAMAR OSBORNE,0,1,1
Falls,105,Attorney General,,REP,KEN PAXTON,106,111,217
Falls,105,Attorney General,,DEM,SAM HOUSTON,34,46,80
Falls,105,Attorney General,,LIB,JAMIE BALAGIA,3,2,5
Falls,105,Attorney General,,GRN,JAMAR OSBORNE,0,4,4
Falls,201,Attorney General,,REP,KEN PAXTON,50,81,131
Falls,201,Attorney General,,DEM,SAM HOUSTON,16,26,42
Falls,201,Attorney General,,LIB,JAMIE BALAGIA,1,0,1
Falls,201,Attorney General,,GRN,JAMAR OSBORNE,0,1,1
Falls,203,Attorney General,,REP,KEN PAXTON,5,8,13
Falls,203,Attorney General,,DEM,SAM HOUSTON,47,77,124
Falls,203,Attorney General,,LIB,JAMIE BALAGIA,0,0,0
Falls,203,Attorney General,,GRN,JAMAR OSBORNE,0,1,1
Falls,204,Attorney General,,REP,KEN PAXTON,21,20,41
Falls,204,Attorney General,,DEM,SAM HOUSTON,77,89,166
Falls,204,Attorney General,,LIB,JAMIE BALAGIA,4,1,5
Falls,204,Attorney General,,GRN,JAMAR OSBORNE,0,0,0
Falls,301,Attorney General,,REP,KEN PAXTON,62,109,171
Falls,301,Attorney General,,DEM,SAM HOUSTON,12,17,29
Falls,301,Attorney General,,LIB,JAMIE BALAGIA,1,0,1
Falls,301,Attorney General,,GRN,JAMAR OSBORNE,0,1,1
Falls,302,Attorney General,,REP,KEN PAXTON,53,24,77
Falls,302,Attorney General,,DEM,SAM HOUSTON,11,13,24
Falls,302,Attorney General,,LIB,JAMIE BALAGIA,0,1,1
Falls,302,Attorney General,,GRN,JAMAR OSBORNE,0,0,0
Falls,303,Attorney General,,REP,KEN PAXTON,25,165,190
Falls,303,Attorney General,,DEM,SAM HOUSTON,4,20,24
Falls,303,Attorney General,,LIB,JAMIE BALAGIA,0,2,2
Falls,303,Attorney General,,GRN,JAMAR OSBORNE,0,1,1
Falls,304,Attorney General,,REP,KEN PAXTON,32,182,214
Falls,304,Attorney General,,DEM,SAM HOUSTON,10,65,75
Falls,304,Attorney General,,LIB,JAMIE BALAGIA,0,3,3
Falls,304,Attorney General,,GRN,JAMAR OSBORNE,0,2,2
Falls,403,Attorney General,,REP,KEN PAXTON,100,156,256
Falls,403,Attorney General,,DEM,SAM HOUSTON,31,60,91
Falls,403,Attorney General,,LIB,JAMIE BALAGIA,2,3,5
Falls,403,Attorney General,,GRN,JAMAR OSBORNE,1,3,4
Falls,404,Attorney General,,REP,KEN PAXTON,43,184,227
Falls,404,Attorney General,,DEM,SAM HOUSTON,15,53,68
Falls,404,Attorney General,,LIB,JAMIE BALAGIA,2,1,3
Falls,404,Attorney General,,GRN,JAMAR OSBORNE,1,1,2
Falls,405,Attorney General,,REP,KEN PAXTON,33,112,145
Falls,405,Attorney General,,DEM,SAM HOUSTON,24,37,61
Falls,405,Attorney General,,LIB,JAMIE BALAGIA,0,2,2
Falls,405,Attorney General,,GRN,JAMAR OSBORNE,0,0,0
Falls,101,State Comptroller,,REP,GLENN HEGAR,46,57,103
Falls,101,State Comptroller,,DEM,MIKE COLLIER,29,46,75
Falls,101,State Comptroller,,LIB,BEN SANDERS,3,2,5
Falls,101,State Comptroller,,GRN,DEB SHAFTO,2,1,3
Falls,104,State Comptroller,,REP,GLENN HEGAR,75,151,226
Falls,104,State Comptroller,,DEM,MIKE COLLIER,23,38,61
Falls,104,State Comptroller,,LIB,BEN SANDERS,1,3,4
Falls,104,State Comptroller,,GRN,DEB SHAFTO,0,1,1
Falls,105,State Comptroller,,REP,GLENN HEGAR,101,103,204
Falls,105,State Comptroller,,DEM,MIKE COLLIER,41,51,92
Falls,105,State Comptroller,,LIB,BEN SANDERS,1,4,5
Falls,105,State Comptroller,,GRN,DEB SHAFTO,1,2,3
Falls,201,State Comptroller,,REP,GLENN HEGAR,48,80,128
Falls,201,State Comptroller,,DEM,MIKE COLLIER,17,23,40
Falls,201,State Comptroller,,LIB,BEN SANDERS,0,3,3
Falls,201,State Comptroller,,GRN,DEB SHAFTO,0,1,1
Falls,203,State Comptroller,,REP,GLENN HEGAR,6,6,12
Falls,203,State Comptroller,,DEM,MIKE COLLIER,46,77,123
Falls,203,State Comptroller,,LIB,BEN SANDERS,0,2,2
Falls,203,State Comptroller,,GRN,DEB SHAFTO,0,1,1
Falls,204,State Comptroller,,REP,GLENN HEGAR,21,19,40
Falls,204,State Comptroller,,DEM,MIKE COLLIER,78,87,165
Falls,204,State Comptroller,,LIB,BEN SANDERS,2,1,3
Falls,204,State Comptroller,,GRN,DEB SHAFTO,1,0,1
Falls,301,State Comptroller,,REP,GLENN HEGAR,60,101,161
Falls,301,State Comptroller,,DEM,MIKE COLLIER,14,20,34
Falls,301,State Comptroller,,LIB,BEN SANDERS,0,2,2
Falls,301,State Comptroller,,GRN,DEB SHAFTO,1,2,3
Falls,302,State Comptroller,,REP,GLENN HEGAR,50,26,76
Falls,302,State Comptroller,,DEM,MIKE COLLIER,12,12,24
Falls,302,State Comptroller,,LIB,BEN SANDERS,0,0,0
Falls,302,State Comptroller,,GRN,DEB SHAFTO,0,0,0
Falls,303,State Comptroller,,REP,GLENN HEGAR,25,160,185
Falls,303,State Comptroller,,DEM,MIKE COLLIER,4,21,25
Falls,303,State Comptroller,,LIB,BEN SANDERS,0,2,2
Falls,303,State Comptroller,,GRN,DEB SHAFTO,0,1,1
Falls,304,State Comptroller,,REP,GLENN HEGAR,31,169,200
Falls,304,State Comptroller,,DEM,MIKE COLLIER,8,68,76
Falls,304,State Comptroller,,LIB,BEN SANDERS,0,8,8
Falls,304,State Comptroller,,GRN,DEB SHAFTO,1,3,4
Falls,403,State Comptroller,,REP,GLENN HEGAR,98,152,250
Falls,403,State Comptroller,,DEM,MIKE COLLIER,31,57,88
Falls,403,State Comptroller,,LIB,BEN SANDERS,2,5,7
Falls,403,State Comptroller,,GRN,DEB SHAFTO,2,5,7
Falls,404,State Comptroller,,REP,GLENN HEGAR,41,170,211
Falls,404,State Comptroller,,DEM,MIKE COLLIER,16,54,70
Falls,404,State Comptroller,,LIB,BEN SANDERS,3,6,9
Falls,404,State Comptroller,,GRN,DEB SHAFTO,0,2,2
Falls,405,State Comptroller,,REP,GLENN HEGAR,32,109,141
Falls,405,State Comptroller,,DEM,MIKE COLLIER,24,36,60
Falls,405,State Comptroller,,LIB,BEN SANDERS,0,4,4
Falls,405,State Comptroller,,GRN,DEB SHAFTO,0,0,0
Falls,101,Land Commissioner,,REP,GEORGE P. BUSH,50,64,114
Falls,101,Land Commissioner,,DEM,JOHN COOK,27,39,66
Falls,101,Land Commissioner,,LIB,JUSTIN KNIGHT,2,2,4
Falls,101,Land Commissioner,,GRN,VALERIE ALESSI,1,0,1
Falls,104,Land Commissioner,,REP,GEORGE P. BUSH,73,158,231
Falls,104,Land Commissioner,,DEM,JOHN COOK,23,35,58
Falls,104,Land Commissioner,,LIB,JUSTIN KNIGHT,1,3,4
Falls,104,Land Commissioner,,GRN,VALERIE ALESSI,0,0,0
Falls,105,Land Commissioner,,REP,GEORGE P. BUSH,107,116,223
Falls,105,Land Commissioner,,DEM,JOHN COOK,34,43,77
Falls,105,Land Commissioner,,LIB,JUSTIN KNIGHT,2,4,6
Falls,105,Land Commissioner,,GRN,VALERIE ALESSI,2,1,3
Falls,201,Land Commissioner,,REP,GEORGE P. BUSH,50,80,130
Falls,201,Land Commissioner,,DEM,JOHN COOK,15,24,39
Falls,201,Land Commissioner,,LIB,JUSTIN KNIGHT,1,2,3
Falls,201,Land Commissioner,,GRN,VALERIE ALESSI,0,0,0
Falls,203,Land Commissioner,,REP,GEORGE P. BUSH,5,6,11
Falls,203,Land Commissioner,,DEM,JOHN COOK,47,75,122
Falls,203,Land Commissioner,,LIB,JUSTIN KNIGHT,0,2,2
Falls,203,Land Commissioner,,GRN,VALERIE ALESSI,0,2,2
Falls,204,Land Commissioner,,REP,GEORGE P. BUSH,23,20,43
Falls,204,Land Commissioner,,DEM,JOHN COOK,75,87,162
Falls,204,Land Commissioner,,LIB,JUSTIN KNIGHT,4,3,7
Falls,204,Land Commissioner,,GRN,VALERIE ALESSI,1,0,1
Falls,301,Land Commissioner,,REP,GEORGE P. BUSH,59,109,168
Falls,301,Land Commissioner,,DEM,JOHN COOK,13,15,28
Falls,301,Land Commissioner,,LIB,JUSTIN KNIGHT,3,3,6
Falls,301,Land Commissioner,,GRN,VALERIE ALESSI,0,1,1
Falls,302,Land Commissioner,,REP,GEORGE P. BUSH,53,24,77
Falls,302,Land Commissioner,,DEM,JOHN COOK,11,12,23
Falls,302,Land Commissioner,,LIB,JUSTIN KNIGHT,0,2,2
Falls,302,Land Commissioner,,GRN,VALERIE ALESSI,0,0,0
Falls,303,Land Commissioner,,REP,GEORGE P. BUSH,23,168,191
Falls,303,Land Commissioner,,DEM,JOHN COOK,4,17,21
Falls,303,Land Commissioner,,LIB,JUSTIN KNIGHT,2,2,4
Falls,303,Land Commissioner,,GRN,VALERIE ALESSI,0,4,4
Falls,304,Land Commissioner,,REP,GEORGE P. BUSH,30,168,198
Falls,304,Land Commissioner,,DEM,JOHN COOK,10,66,76
Falls,304,Land Commissioner,,LIB,JUSTIN KNIGHT,1,14,15
Falls,304,Land Commissioner,,GRN,VALERIE ALESSI,0,5,5
Falls,403,Land Commissioner,,REP,GEORGE P. BUSH,100,159,259
Falls,403,Land Commissioner,,DEM,JOHN COOK,30,52,82
Falls,403,Land Commissioner,,LIB,JUSTIN KNIGHT,3,6,9
Falls,403,Land Commissioner,,GRN,VALERIE ALESSI,2,3,5
Falls,404,Land Commissioner,,REP,GEORGE P. BUSH,41,179,220
Falls,404,Land Commissioner,,DEM,JOHN COOK,15,50,65
Falls,404,Land Commissioner,,LIB,JUSTIN KNIGHT,4,4,8
Falls,404,Land Commissioner,,GRN,VALERIE ALESSI,0,2,2
Falls,405,Land Commissioner,,REP,GEORGE P. BUSH,32,106,138
Falls,405,Land Commissioner,,DEM,JOHN COOK,24,37,61
Falls,405,Land Commissioner,,LIB,JUSTIN KNIGHT,0,6,6
Falls,405,Land Commissioner,,GRN,VALERIE ALESSI,1,1,2
Falls,101,Agriculture Commissioner,,REP,SID MILLER,47,57,104
Falls,101,Agriculture Commissioner,,DEM,JIM HOGAN,27,42,69
Falls,101,Agriculture Commissioner,,LIB,DAVID (ROCKY) PALMQUIST,3,2,5
Falls,101,Agriculture Commissioner,,GRN,KENNETH KENDRICK,2,1,3
Falls,104,Agriculture Commissioner,,REP,SID MILLER,70,151,221
Falls,104,Agriculture Commissioner,,DEM,JIM HOGAN,25,39,64
Falls,104,Agriculture Commissioner,,LIB,DAVID (ROCKY) PALMQUIST,0,2,2
Falls,104,Agriculture Commissioner,,GRN,KENNETH KENDRICK,1,2,3
Falls,105,Agriculture Commissioner,,REP,SID MILLER,99,108,207
Falls,105,Agriculture Commissioner,,DEM,JIM HOGAN,40,45,85
Falls,105,Agriculture Commissioner,,LIB,DAVID (ROCKY) PALMQUIST,1,2,3
Falls,105,Agriculture Commissioner,,GRN,KENNETH KENDRICK,1,2,3
Falls,201,Agriculture Commissioner,,REP,SID MILLER,47,80,127
Falls,201,Agriculture Commissioner,,DEM,JIM HOGAN,18,25,43
Falls,201,Agriculture Commissioner,,LIB,DAVID (ROCKY) PALMQUIST,0,1,1
Falls,201,Agriculture Commissioner,,GRN,KENNETH KENDRICK,0,0,0
Falls,203,Agriculture Commissioner,,REP,SID MILLER,4,6,10
Falls,203,Agriculture Commissioner,,DEM,JIM HOGAN,48,77,125
Falls,203,Agriculture Commissioner,,LIB,DAVID (ROCKY) PALMQUIST,0,1,1
Falls,203,Agriculture Commissioner,,GRN,KENNETH KENDRICK,0,1,1
Falls,204,Agriculture Commissioner,,REP,SID MILLER,20,17,37
Falls,204,Agriculture Commissioner,,DEM,JIM HOGAN,78,89,167
Falls,204,Agriculture Commissioner,,LIB,DAVID (ROCKY) PALMQUIST,2,0,2
Falls,204,Agriculture Commissioner,,GRN,KENNETH KENDRICK,1,1,2
Falls,301,Agriculture Commissioner,,REP,SID MILLER,59,108,167
Falls,301,Agriculture Commissioner,,DEM,JIM HOGAN,13,17,30
Falls,301,Agriculture Commissioner,,LIB,DAVID (ROCKY) PALMQUIST,1,0,1
Falls,301,Agriculture Commissioner,,GRN,KENNETH KENDRICK,2,2,4
Falls,302,Agriculture Commissioner,,REP,SID MILLER,51,22,73
Falls,302,Agriculture Commissioner,,DEM,JIM HOGAN,12,13,25
Falls,302,Agriculture Commissioner,,LIB,DAVID (ROCKY) PALMQUIST,0,1,1
Falls,302,Agriculture Commissioner,,GRN,KENNETH KENDRICK,0,1,1
Falls,303,Agriculture Commissioner,,REP,SID MILLER,24,158,182
Falls,303,Agriculture Commissioner,,DEM,JIM HOGAN,5,24,29
Falls,303,Agriculture Commissioner,,LIB,DAVID (ROCKY) PALMQUIST,0,1,1
Falls,303,Agriculture Commissioner,,GRN,KENNETH KENDRICK,0,2,2
Falls,304,Agriculture Commissioner,,REP,SID MILLER,32,167,199
Falls,304,Agriculture Commissioner,,DEM,JIM HOGAN,10,71,81
Falls,304,Agriculture Commissioner,,LIB,DAVID (ROCKY) PALMQUIST,0,4,4
Falls,304,Agriculture Commissioner,,GRN,KENNETH KENDRICK,0,6,6
Falls,403,Agriculture Commissioner,,REP,SID MILLER,95,159,254
Falls,403,Agriculture Commissioner,,DEM,JIM HOGAN,34,53,87
Falls,403,Agriculture Commissioner,,LIB,DAVID (ROCKY) PALMQUIST,2,5,7
Falls,403,Agriculture Commissioner,,GRN,KENNETH KENDRICK,2,4,6
Falls,404,Agriculture Commissioner,,REP,SID MILLER,41,174,215
Falls,404,Agriculture Commissioner,,DEM,JIM HOGAN,17,53,70
Falls,404,Agriculture Commissioner,,LIB,DAVID (ROCKY) PALMQUIST,0,2,2
