county,precinct,office,district,candidate,party,absentee,early_voting,election day,votes
Madison,404,U.S. Senate,,MOHAMMED TAHIRO (W),,0,0,0,0
Madison,404,U.S. Senate,,Over Votes,,0,0,0,0
Madison,404,U.S. Senate,,Under Votes,,1,11,11,23
Madison,404,U.S. House,8,Kevin Brady,,47,324,262,633
Madison,404,U.S. House,8,Ken Petty,,3,18,22,43
Madison,404,U.S. House,8,Over Votes,,0,0,0,0
Madison,404,U.S. House,8,Under Votes,,5,14,18,37
Madison,404,Governor,,Greg Abbott,,46,322,262,630
Madison,404,Governor,,Wendy R. Davis,,8,30,35,73
Madison,404,Governor,,Kathie Glass,,1,3,2,6
Madison,404,Governor,,Brandon Parmer,,0,0,1,1
Madison,404,Governor,,SARAH M. PAVITT (W),,0,0,0,0
Madison,404,Governor,,Over Votes,,0,0,0,0
Madison,404,Governor,,Under Votes,,0,1,2,3
Madison,404,Lieutenant Governor,,Dan Patrick,,46,312,261,619
Madison,404,Lieutenant Governor,,Leticia Van de Putte,,6,31,30,67
Madison,404,Lieutenant Governor,,Robert D. Butler,,2,8,8,18
Madison,404,Lieutenant Governor,,Chandrakantha Courtney,,0,0,2,2
Madison,404,Lieutenant Governor,,Over Votes,,0,0,0,0
Madison,404,Lieutenant Governor,,Under Votes,,1,5,1,7
Madison,404,Ballots Cast,,,,,,,713
Madison,404,Attorney General,,Ken Paxton,,42,314,253,609
Madison,404,Attorney General,,Sam Houston,,11,33,46,90
Madison,404,Attorney General,,Jamie Balagia,,2,6,1,9
Madison,404,Attorney General,,Jamar Osborne,,0,0,1,1
Madison,404,Attorney General,,Over Votes,,0,0,0,0
Madison,404,Attorney General,,Under Votes,,0,3,1,4
Madison,404,Comptroller of Public Accounts,,Glenn Hegar,,44,303,253,600
Madison,404,Comptroller of Public Accounts,,Mike Collier,,8,34,39,81
Madison,404,Comptroller of Public Accounts,,Ben Sanders,,2,9,4,15
Madison,404,Comptroller of Public Accounts,,Deb Shafto,,0,3,1,4
Madison,404,Comptroller of Public Accounts,,Over Votes,,0,0,0,0
Madison,404,Comptroller of Public Accounts,,Under Votes,,1,7,5,13
Madison,404,Commissioner of the General Land Office,,George P. Bush,,45,308,249,602
Madison,404,Commissioner of the General Land Office,,John Cook,,7,32,37,76
Madison,404,Commissioner of the General Land Office,,Justin Knight,,2,15,11,28
