county,precinct,office,district,candidate,party,votes,early_voting,election day
Lynn,Precinct 13,Comptroller of Public Accounts,,Harvey Hilderbran,REP,11,5,6
Lynn,Precinct 13,Comptroller of Public Accounts,,Debra Medina,REP,4,1,3
Lynn,Precinct 13,Commissioner of the General Land Office,,George P. Bush,REP,26,12,14
Lynn,Precinct 13,Commissioner of the General Land Office,,David Watts,REP,10,4,6
Lynn,Precinct 13,Commissioner of Agriculture,,Joe Cotten,REP,10,3,7
Lynn,Precinct 13,Commissioner of Agriculture,,Sid Miller,REP,9,6,3
Lynn,Precinct 13,Commissioner of Agriculture,,Tommy Merritt,REP,3,1,2
Lynn,Precinct 13,Commissioner of Agriculture,,J. Allen Carnes,REP,10,5,5
Lynn,Precinct 13,Commissioner of Agriculture,,Eric Opiela,REP,0,0,0
Lynn,Precinct 13,Railroad Commissioner,,Malachi Boyuls,REP,5,3,2
Lynn,Precinct 13,Railroad Commissioner,,Becky Berger,REP,9,5,4
Lynn,Precinct 13,Railroad Commissioner,,Ryan Sitton,REP,8,2,6
Lynn,Precinct 13,Railroad Commissioner,,Wayne Christian,REP,10,5,5
Lynn,Precinct 13,State Representative,83,Charles Perry,REP,31,14,17
Lynn,Precinct 13,State Representative,83,Steve Massengale,REP,6,2,4
Lynn,Precinct 14,Registered Voters,,,,,,477
Lynn,Precinct 14,Ballots Cast,,,,,,86
Lynn,Precinct 14,U.S. Senate,,Curt Cleaver,REP,2,2,0
Lynn,Precinct 14,U.S. Senate,,Dwayne Stovall,REP,4,2,2
Lynn,Precinct 14,U.S. Senate,,John Cornyn,REP,30,12,18
Lynn,Precinct 14,U.S. Senate,,Chris Mapp,REP,1,1,0
Lynn,Precinct 14,U.S. Senate,,Steve Stockman,REP,4,1,3
Lynn,Precinct 14,U.S. Senate,,Reid Reasor,REP,1,1,0
Lynn,Precinct 14,U.S. Senate,,Linda Vega,REP,26,10,16
Lynn,Precinct 14,U.S. Senate,,Ken Cope,REP,0,0,0
Lynn,Precinct 14,U.S. House,19,Randy Neugebauer,REP,52,25,27
Lynn,Precinct 14,U.S. House,19,Donald R. May,REP,13,4,9
Lynn,Precinct 14,U.S. House,19,Chris Winn,REP,14,6,8
Lynn,Precinct 14,Governor,,SECEDE Kilgore,REP,2,2,0
Lynn,Precinct 14,Governor,,Greg Abbott,REP,44,18,26
Lynn,Precinct 14,Governor,,Lisa Fritsch,REP,8,6,2
Lynn,Precinct 14,Governor,,Miriam Martinez,REP,20,7,13
Lynn,Precinct 14,Lieutenant Governor,,Todd Staples,REP,17,8,9
Lynn,Precinct 14,Lieutenant Governor,,Dan Patrick,REP,12,6,6
Lynn,Precinct 14,Lieutenant Governor,,David Dewhurst,REP,31,15,16
Lynn,Precinct 14,Lieutenant Governor,,Jerry Patterson,REP,12,4,8
Lynn,Precinct 14,Attorney General,,Barry Smitherman,REP,24,8,16
Lynn,Precinct 14,Attorney General,,Dan Branch,REP,21,11,10
Lynn,Precinct 14,Attorney General,,Ken Paxton,REP,26,12,14
Lynn,Precinct 14,Comptroller of Public Accounts,,Glenn Hegar,REP,23,10,13
Lynn,Precinct 14,Comptroller of Public Accounts,,Raul Torres,REP,10,5,5
Lynn,Precinct 14,Comptroller of Public Accounts,,Harvey Hilderbran,REP,10,4,6
Lynn,Precinct 14,Comptroller of Public Accounts,,Debra Medina,REP,22,11,11
Lynn,Precinct 14,Commissioner of the General Land Office,,George P. Bush,REP,48,19,29
Lynn,Precinct 14,Commissioner of the General Land Office,,David Watts,REP,23,10,13
Lynn,Precinct 14,Commissioner of Agriculture,,Joe Cotten,REP,14,7,7
Lynn,Precinct 14,Commissioner of Agriculture,,Sid Miller,REP,17,7,10
Lynn,Precinct 14,Commissioner of Agriculture,,Tommy Merritt,REP,16,7,9
Lynn,Precinct 14,Commissioner of Agriculture,,J. Allen Carnes,REP,7,1,6
Lynn,Precinct 14,Commissioner of Agriculture,,Eric Opiela,REP,10,5,5
Lynn,Precinct 14,Railroad Commissioner,,Malachi Boyuls,REP,2,1,1
Lynn,Precinct 14,Railroad Commissioner,,Becky Berger,REP,25,13,12
Lynn,Precinct 14,Railroad Commissioner,,Ryan Sitton,REP,20,7,13
Lynn,Precinct 14,Railroad Commissioner,,Wayne Christian,REP,16,6,10
Lynn,Precinct 14,State Representative,83,Charles Perry,REP,41,15,26
Lynn,Precinct 14,State Representative,83,Steve Massengale,REP,35,19,16
