county,precinct,office,district,party,candidate,early_voting,election_day,votes
Duval,2,Lieutenant Governor,,,Over Votes,0,0,0
Duval,2,Lieutenant Governor,,,Under Votes,90,33,123
Duval,3,Lieutenant Governor,,REP,Dan Patrick,28,25,53
Duval,3,Lieutenant Governor,,DEM,Mike Collier,134,85,219
Duval,3,Lieutenant Governor,,LIB,Kerry Douglas McKennon,1,0,1
Duval,3,Lieutenant Governor,,,Ballots Cast,163,110,273
Duval,3,Lieutenant Governor,,,Over Votes,0,0,0
Duval,3,Lieutenant Governor,,,Under Votes,7,5,12
Duval,4,Lieutenant Governor,,REP,Dan Patrick,19,13,32
Duval,4,Lieutenant Governor,,DEM,Mike Collier,35,18,53
Duval,4,Lieutenant Governor,,LIB,Kerry Douglas McKennon,0,0,0
Duval,4,Lieutenant Governor,,,Ballots Cast,54,31,85
Duval,4,Lieutenant Governor,,,Over Votes,0,0,0
Duval,4,Lieutenant Governor,,,Under Votes,11,4,15
Duval,5,Lieutenant Governor,,REP,Dan Patrick,39,17,56
Duval,5,Lieutenant Governor,,DEM,Mike Collier,88,46,134
Duval,5,Lieutenant Governor,,LIB,Kerry Douglas McKennon,3,3,6
Duval,5,Lieutenant Governor,,,Ballots Cast,130,66,196
Duval,5,Lieutenant Governor,,,Over Votes,0,0,0
Duval,5,Lieutenant Governor,,,Under Votes,9,2,11
Duval,6,Lieutenant Governor,,REP,Dan Patrick,8,6,14
Duval,6,Lieutenant Governor,,DEM,Mike Collier,36,21,57
Duval,6,Lieutenant Governor,,LIB,Kerry Douglas McKennon,0,0,0
Duval,6,Lieutenant Governor,,,Ballots Cast,44,27,71
Duval,6,Lieutenant Governor,,,Over Votes,0,0,0
Duval,6,Lieutenant Governor,,,Under Votes,15,6,21
Duval,7,Lieutenant Governor,,REP,Dan Patrick,38,14,52
Duval,7,Lieutenant Governor,,DEM,Mike Collier,13,5,18
Duval,7,Lieutenant Governor,,LIB,Kerry Douglas McKennon,1,1,2
Duval,7,Lieutenant Governor,,,Ballots Cast,52,20,72
Duval,7,Lieutenant Governor,,,Over Votes,0,0,0
Duval,7,Lieutenant Governor,,,Under Votes,3,1,4
Duval,8,Lieutenant Governor,,REP,Dan Patrick,306,131,437
Duval,8,Lieutenant Governor,,DEM,Mike Collier,414,143,557
Duval,8,Lieutenant Governor,,LIB,Kerry Douglas McKennon,12,3,15
Duval,8,Lieutenant Governor,,,Ballots Cast,732,277,1009
Duval,8,Lieutenant Governor,,,Over Votes,0,0,0
Duval,8,Lieutenant Governor,,,Under Votes,113,40,153
Duval,9,Lieutenant Governor,,REP,Dan Patrick,65,43,108
Duval,9,Lieutenant Governor,,DEM,Mike Collier,271,159,430
Duval,9,Lieutenant Governor,,LIB,Kerry Douglas McKennon,5,5,10
Duval,9,Lieutenant Governor,,,Ballots Cast,341,207,548
Duval,9,Lieutenant Governor,,,Over Votes,0,0,0
Duval,9,Lieutenant Governor,,,Under Votes,40,24,64
Duval,1,Attorney General,,REP,Ken Paxton,118,72,190
