county,precinct,office,district,candidate,party,votes,election_day,early_voting
Sherman,BOX 202 - NO S & H ,"JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 2 ",,JUDY PARKER ,REP ,52,43,9
Sherman,BOX 202 - NO S & H ,"JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 3 ",,PAT PIRTLE ,REP ,52,43,9
Sherman,BOX 202 - NO S & H ,"DISTRICT JUDGE, 69TH JUDICIAL DISTRICT ",,RON ENNS ,REP ,51,44,7
Sherman,BOX 202 - NO S & H ,COUNTY JUDGE ,,TERRI BETH CARTER ,REP ,53,44,9
Sherman,BOX 202 - NO S & H ,DISTRICT & COUNTY CLERK ,,LAURA ROGERS ,REP ,54,45,9
Sherman,BOX 202 - NO S & H ,COUNTY TREASURER ,,DORIS PARSONS ,REP ,53,44,9
Sherman,BOX 202 - NO S & H ,COUNTY COMMISSIONER PRECINCT 2 ,,TERRY MATHEWS ,NP ,35,28,7
Sherman,BOX 202 - NO S & H ,JUSTICE OF THE PEACE ,,BRENDA J. ACKER ,REP ,53,44,9
Sherman,BOX 202 - S & H ,U.S. Senate,,TED CRUZ ,REP ,7,5,2
Sherman,BOX 202 - S & H ,U.S. Senate,,BETO O'ROURKE ,DEM ,0,0,0
Sherman,BOX 202 - S & H ,U.S. Senate,,NEAL M. DIKEMAN ,LIB ,0,0,0
Sherman,BOX 202 - S & H ,U.S. House,13,MAC THORNBERRY ,REP ,7,5,2
Sherman,BOX 202 - S & H ,U.S. House,13,GREG SAGAN ,DEM ,0,0,0
Sherman,BOX 202 - S & H ,U.S. House,13,CALVIN DeWEESE ,LIB ,0,0,0
Sherman,BOX 202 - S & H ,Governor,,GREG ABBOTT ,REP ,6,4,2
Sherman,BOX 202 - S & H ,Governor,,LUPE VALDEZ ,DEM ,1,1,0
Sherman,BOX 202 - S & H ,Governor,,MARK JAY TIPPETTS ,LIB ,0,0,0
Sherman,BOX 202 - S & H ,LIEUTENANT Governor,,DAN PATRICK ,REP ,3,1,2
Sherman,BOX 202 - S & H ,LIEUTENANT Governor,,MIKE COLLIER ,DEM ,3,3,0
Sherman,BOX 202 - S & H ,LIEUTENANT Governor,,KERRY DOUGLAS McKENN ,LIB ,0,0,0
Sherman,BOX 202 - S & H ,Attorney General,,KEN PAXTON ,REP ,6,4,2
Sherman,BOX 202 - S & H ,Attorney General,,JUSTIN NELSON ,DEM ,1,1,0
Sherman,BOX 202 - S & H ,Attorney General,,MICHAEL RAY HARRIS ,LIB ,0,0,0
Sherman,BOX 202 - S & H ,Comptroller	of Public Accounts,,GLENN HEGAR ,REP ,7,5,2
Sherman,BOX 202 - S & H ,Comptroller	of Public Accounts,,JOI CHEVALIER ,DEM ,0,0,0
Sherman,BOX 202 - S & H ,Comptroller	of Public Accounts,,BEN SANDERS ,LIB ,0,0,0
Sherman,BOX 202 - S & H ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,GEORGE P. BUSH ,REP ,6,4,2
Sherman,BOX 202 - S & H ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,MIGUEL SUAZO ,DEM ,1,1,0
Sherman,BOX 202 - S & H ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,MATT PINA ,LIB ,0,0,0
Sherman,BOX 202 - S & H ,COMMISSIONER OF AGRICULTURE ,,SID MILLER ,REP ,7,5,2
Sherman,BOX 202 - S & H ,COMMISSIONER OF AGRICULTURE ,,KIM OLSON ,DEM ,0,0,0
Sherman,BOX 202 - S & H ,COMMISSIONER OF AGRICULTURE ,,RICHARD CARPENTER ,LIB ,0,0,0
Sherman,BOX 202 - S & H ,Railroad Commissioner,,CHRISTI CRADDICK ,REP ,7,5,2
Sherman,BOX 202 - S & H ,Railroad Commissioner,,ROMAN McALLEN ,DEM ,0,0,0
Sherman,BOX 202 - S & H ,Railroad Commissioner,,MIKE WRIGHT ,LIB ,0,0,0
Sherman,BOX 202 - S & H ,"JUSTICE, SUPREME COURT, PLACE 2 ",,JIMMY BLACKLOCK ,REP ,7,5,2
Sherman,BOX 202 - S & H ,"JUSTICE, SUPREME COURT, PLACE 2 ",,STEVEN KIRKLAND ,DEM ,0,0,0
Sherman,BOX 202 - S & H ,"JUSTICE, SUPREME COURT, PLACE 4 ",,JOHN DEVINE ,REP ,7,5,2
Sherman,BOX 202 - S & H ,"JUSTICE, SUPREME COURT, PLACE 4 ",,R. K. SANDILL ,DEM ,0,0,0
Sherman,BOX 202 - S & H ,"JUSTICE, SUPREME COURT, PLACE 6 ",,JEFF BROWN ,REP ,7,5,2
Sherman,BOX 202 - S & H ,"JUSTICE, SUPREME COURT, PLACE 6 ",,KATHY CHENG ,DEM ,0,0,0
Sherman,BOX 202 - S & H ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,SHARON KELLER ,REP ,7,5,2
Sherman,BOX 202 - S & H ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,MARIA T. (TERRI) JAC ,DEM ,0,0,0
Sherman,BOX 202 - S & H ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,WILLIAM BRYAN STRANG ,LIB ,0,0,0
Sherman,BOX 202 - S & H ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 7 ",,BARBARA PARKER HERVE ,REP ,7,5,2
Sherman,BOX 202 - S & H ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 7 ",,RAMONA FRANKLIN ,DEM ,0,0,0
Sherman,BOX 202 - S & H ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 8 ",,MICHELLE SLAUGHTER ,REP ,7,5,2
Sherman,BOX 202 - S & H ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 8 ",,MARK ASH ,LIB ,0,0,0
Sherman,BOX 202 - S & H ,STATE SENATE,31,KEL SELIGER ,REP ,7,5,2
Sherman,BOX 202 - S & H ,STATE SENATE,31,JACK B. WESTBROOK ,LIB ,0,0,0
Sherman,BOX 202 - S & H ,STATE REPRESENTATIVE,87,FOUR PRICE ,REP ,7,5,2
Sherman,BOX 202 - S & H ,"JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 2 ",,JUDY PARKER ,REP ,7,5,2
Sherman,BOX 202 - S & H ,"JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 3 ",,PAT PIRTLE ,REP ,7,5,2
Sherman,BOX 202 - S & H ,"DISTRICT JUDGE, 69TH JUDICIAL DISTRICT ",,RON ENNS ,REP ,7,5,2
Sherman,BOX 202 - S & H ,COUNTY JUDGE ,,TERRI BETH CARTER ,REP ,7,5,2
Sherman,BOX 202 - S & H ,DISTRICT & COUNTY CLERK ,,LAURA ROGERS ,REP ,7,5,2
Sherman,BOX 202 - S & H ,COUNTY TREASURER ,,DORIS PARSONS ,REP ,7,5,2
Sherman,BOX 202 - S & H ,JUSTICE OF THE PEACE ,,BRENDA J. ACKER ,REP ,6,4,2
Sherman,BOX 202 TISD ,U.S. Senate,,TED CRUZ ,REP ,1,0,1
Sherman,BOX 202 TISD ,U.S. Senate,,BETO O'ROURKE ,DEM ,0,0,0
Sherman,BOX 202 TISD ,U.S. Senate,,NEAL M. DIKEMAN ,LIB ,0,0,0
Sherman,BOX 202 TISD ,U.S. House,13,MAC THORNBERRY ,REP ,1,0,1
Sherman,BOX 202 TISD ,U.S. House,13,GREG SAGAN ,DEM ,0,0,0
Sherman,BOX 202 TISD ,U.S. House,13,CALVIN DeWEESE ,LIB ,0,0,0
Sherman,BOX 202 TISD ,Governor,,GREG ABBOTT ,REP ,1,0,1
Sherman,BOX 202 TISD ,Governor,,LUPE VALDEZ ,DEM ,0,0,0
Sherman,BOX 202 TISD ,Governor,,MARK JAY TIPPETTS ,LIB ,0,0,0
Sherman,BOX 202 TISD ,LIEUTENANT Governor,,DAN PATRICK ,REP ,1,0,1
Sherman,BOX 202 TISD ,LIEUTENANT Governor,,MIKE COLLIER ,DEM ,0,0,0
Sherman,BOX 202 TISD ,LIEUTENANT Governor,,KERRY DOUGLAS McKENN ,LIB ,0,0,0
Sherman,BOX 202 TISD ,Attorney General,,KEN PAXTON ,REP ,1,0,1
Sherman,BOX 202 TISD ,Attorney General,,JUSTIN NELSON ,DEM ,0,0,0
Sherman,BOX 202 TISD ,Attorney General,,MICHAEL RAY HARRIS ,LIB ,0,0,0
Sherman,BOX 202 TISD ,Comptroller	of Public Accounts,,GLENN HEGAR ,REP ,1,0,1
Sherman,BOX 202 TISD ,Comptroller	of Public Accounts,,JOI CHEVALIER ,DEM ,0,0,0
Sherman,BOX 202 TISD ,Comptroller	of Public Accounts,,BEN SANDERS ,LIB ,0,0,0
Sherman,BOX 202 TISD ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,GEORGE P. BUSH ,REP ,1,0,1
Sherman,BOX 202 TISD ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,MIGUEL SUAZO ,DEM ,0,0,0
Sherman,BOX 202 TISD ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,MATT PINA ,LIB ,0,0,0
Sherman,BOX 202 TISD ,COMMISSIONER OF AGRICULTURE ,,SID MILLER ,REP ,0,0,0
Sherman,BOX 202 TISD ,COMMISSIONER OF AGRICULTURE ,,KIM OLSON ,DEM ,0,0,0
Sherman,BOX 202 TISD ,COMMISSIONER OF AGRICULTURE ,,RICHARD CARPENTER ,LIB ,1,0,1
Sherman,BOX 202 TISD ,Railroad Commissioner,,CHRISTI CRADDICK ,REP ,0,0,0
Sherman,BOX 202 TISD ,Railroad Commissioner,,ROMAN McALLEN ,DEM ,0,0,0
Sherman,BOX 202 TISD ,Railroad Commissioner,,MIKE WRIGHT ,LIB ,1,0,1
Sherman,BOX 202 TISD ,"JUSTICE, SUPREME COURT, PLACE 2 ",,JIMMY BLACKLOCK ,REP ,1,0,1
Sherman,BOX 202 TISD ,"JUSTICE, SUPREME COURT, PLACE 2 ",,STEVEN KIRKLAND ,DEM ,0,0,0
Sherman,BOX 202 TISD ,"JUSTICE, SUPREME COURT, PLACE 4 ",,JOHN DEVINE ,REP ,1,0,1
Sherman,BOX 202 TISD ,"JUSTICE, SUPREME COURT, PLACE 4 ",,R. K. SANDILL ,DEM ,0,0,0
Sherman,BOX 202 TISD ,"JUSTICE, SUPREME COURT, PLACE 6 ",,JEFF BROWN ,REP ,1,0,1
Sherman,BOX 202 TISD ,"JUSTICE, SUPREME COURT, PLACE 6 ",,KATHY CHENG ,DEM ,0,0,0
Sherman,BOX 202 TISD ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,SHARON KELLER ,REP ,0,0,0
Sherman,BOX 202 TISD ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,MARIA T. (TERRI) JAC ,DEM ,0,0,0
Sherman,BOX 202 TISD ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,WILLIAM BRYAN STRANG ,LIB ,1,0,1
Sherman,BOX 202 TISD ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 7 ",,BARBARA PARKER HERVE ,REP ,1,0,1
Sherman,BOX 202 TISD ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 7 ",,RAMONA FRANKLIN ,DEM ,0,0,0
Sherman,BOX 202 TISD ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 8 ",,MICHELLE SLAUGHTER ,REP ,0,0,0
Sherman,BOX 202 TISD ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 8 ",,MARK ASH ,LIB ,1,0,1
Sherman,BOX 202 TISD ,STATE SENATE,31,KEL SELIGER ,REP ,1,0,1
Sherman,BOX 202 TISD ,STATE SENATE,31,JACK B. WESTBROOK ,LIB ,0,0,0
Sherman,BOX 202 TISD ,STATE REPRESENTATIVE,87,FOUR PRICE ,REP ,1,0,1
Sherman,BOX 202 TISD ,"JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 2 ",,JUDY PARKER ,REP ,1,0,1
Sherman,BOX 202 TISD ,"JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 3 ",,PAT PIRTLE ,REP ,1,0,1
Sherman,BOX 202 TISD ,"DISTRICT JUDGE, 69TH JUDICIAL DISTRICT ",,RON ENNS ,REP ,1,0,1
Sherman,BOX 202 TISD ,COUNTY JUDGE ,,TERRI BETH CARTER ,REP ,0,0,0
Sherman,BOX 202 TISD ,DISTRICT & COUNTY CLERK ,,LAURA ROGERS ,REP ,1,0,1
Sherman,BOX 202 TISD ,COUNTY TREASURER ,,DORIS PARSONS ,REP ,1,0,1
Sherman,BOX 202 TISD ,COUNTY COMMISSIONER PRECINCT 2 ,,TERRY MATHEWS ,NP ,0,0,0
Sherman,BOX 202 TISD ,JUSTICE OF THE PEACE ,,BRENDA J. ACKER ,REP ,0,0,0
Sherman,BOX 301 S & H ,U.S. Senate,,TED CRUZ ,REP ,65,24,41
Sherman,BOX 301 S & H ,U.S. Senate,,BETO O'ROURKE ,DEM ,9,4,5
Sherman,BOX 301 S & H ,U.S. Senate,,NEAL M. DIKEMAN ,LIB ,2,2,0
Sherman,BOX 301 S & H ,U.S. House,13,MAC THORNBERRY ,REP ,63,23,40
Sherman,BOX 301 S & H ,U.S. House,13,GREG SAGAN ,DEM ,7,3,4
Sherman,BOX 301 S & H ,U.S. House,13,CALVIN DeWEESE ,LIB ,5,4,1
Sherman,BOX 301 S & H ,Governor,,GREG ABBOTT ,REP ,62,22,40
Sherman,BOX 301 S & H ,Governor,,LUPE VALDEZ ,DEM ,9,5,4
Sherman,BOX 301 S & H ,Governor,,MARK JAY TIPPETTS ,LIB ,3,2,1
Sherman,BOX 301 S & H ,LIEUTENANT Governor,,DAN PATRICK ,REP ,51,19,32
Sherman,BOX 301 S & H ,LIEUTENANT Governor,,MIKE COLLIER ,DEM ,13,3,10
Sherman,BOX 301 S & H ,LIEUTENANT Governor,,KERRY DOUGLAS McKENN ,LIB ,8,6,2
Sherman,BOX 301 S & H ,Attorney General,,KEN PAXTON ,REP ,59,22,37
Sherman,BOX 301 S & H ,Attorney General,,JUSTIN NELSON ,DEM ,9,3,6
Sherman,BOX 301 S & H ,Attorney General,,MICHAEL RAY HARRIS ,LIB ,5,5,0
Sherman,BOX 301 S & H ,Comptroller	of Public Accounts,,GLENN HEGAR ,REP ,59,22,37
Sherman,BOX 301 S & H ,Comptroller	of Public Accounts,,JOI CHEVALIER ,DEM ,8,2,6
Sherman,BOX 301 S & H ,Comptroller	of Public Accounts,,BEN SANDERS ,LIB ,7,5,2
Sherman,BOX 301 S & H ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,GEORGE P. BUSH ,REP ,62,23,39
Sherman,BOX 301 S & H ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,MIGUEL SUAZO ,DEM ,9,3,6
Sherman,BOX 301 S & H ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,MATT PINA ,LIB ,3,3,0
Sherman,BOX 301 S & H ,COMMISSIONER OF AGRICULTURE ,,SID MILLER ,REP ,61,21,40
Sherman,BOX 301 S & H ,COMMISSIONER OF AGRICULTURE ,,KIM OLSON ,DEM ,9,4,5
Sherman,BOX 301 S & H ,COMMISSIONER OF AGRICULTURE ,,RICHARD CARPENTER ,LIB ,5,5,0
Sherman,BOX 301 S & H ,Railroad Commissioner,,CHRISTI CRADDICK ,REP ,61,23,38
Sherman,BOX 301 S & H ,Railroad Commissioner,,ROMAN McALLEN ,DEM ,7,1,6
Sherman,BOX 301 S & H ,Railroad Commissioner,,MIKE WRIGHT ,LIB ,5,5,0
Sherman,BOX 301 S & H ,"JUSTICE, SUPREME COURT, PLACE 2 ",,JIMMY BLACKLOCK ,REP ,62,24,38
Sherman,BOX 301 S & H ,"JUSTICE, SUPREME COURT, PLACE 2 ",,STEVEN KIRKLAND ,DEM ,11,5,6
Sherman,BOX 301 S & H ,"JUSTICE, SUPREME COURT, PLACE 4 ",,JOHN DEVINE ,REP ,63,25,38
Sherman,BOX 301 S & H ,"JUSTICE, SUPREME COURT, PLACE 4 ",,R. K. SANDILL ,DEM ,10,4,6
Sherman,BOX 301 S & H ,"JUSTICE, SUPREME COURT, PLACE 6 ",,JEFF BROWN ,REP ,65,25,40
Sherman,BOX 301 S & H ,"JUSTICE, SUPREME COURT, PLACE 6 ",,KATHY CHENG ,DEM ,7,4,3
Sherman,BOX 301 S & H ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,SHARON KELLER ,REP ,61,23,38
Sherman,BOX 301 S & H ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,MARIA T. (TERRI) JAC ,DEM ,10,4,6
Sherman,BOX 301 S & H ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,WILLIAM BRYAN STRANG ,LIB ,2,2,0
Sherman,BOX 301 S & H ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 7 ",,BARBARA PARKER HERVE ,REP ,63,25,38
Sherman,BOX 301 S & H ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 7 ",,RAMONA FRANKLIN ,DEM ,9,3,6
Sherman,BOX 301 S & H ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 8 ",,MICHELLE SLAUGHTER ,REP ,63,24,39
Sherman,BOX 301 S & H ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 8 ",,MARK ASH ,LIB ,7,5,2
Sherman,BOX 301 S & H ,STATE SENATE,31,KEL SELIGER ,REP ,63,22,41
Sherman,BOX 301 S & H ,STATE SENATE,31,JACK B. WESTBROOK ,LIB ,9,8,1
Sherman,BOX 301 S & H ,STATE REPRESENTATIVE,87,FOUR PRICE ,REP ,66,25,41
Sherman,BOX 301 S & H ,"JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 2 ",,JUDY PARKER ,REP ,64,25,39
Sherman,BOX 301 S & H ,"JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 3 ",,PAT PIRTLE ,REP ,66,26,40
Sherman,BOX 301 S & H ,"DISTRICT JUDGE, 69TH JUDICIAL DISTRICT ",,RON ENNS ,REP ,68,27,41
Sherman,BOX 301 S & H ,COUNTY JUDGE ,,TERRI BETH CARTER ,REP ,66,27,39
Sherman,BOX 301 S & H ,DISTRICT & COUNTY CLERK ,,LAURA ROGERS ,REP ,66,26,40
Sherman,BOX 301 S & H ,COUNTY TREASURER ,,DORIS PARSONS ,REP ,66,27,39
Sherman,BOX 301 S & H ,JUSTICE OF THE PEACE ,,BRENDA J. ACKER ,REP ,69,27,42
Sherman,BOX 301 TISD ,U.S. Senate,,TED CRUZ ,REP ,2,0,2
Sherman,BOX 301 TISD ,U.S. Senate,,BETO O'ROURKE ,DEM ,0,0,0
Sherman,BOX 301 TISD ,U.S. Senate,,NEAL M. DIKEMAN ,LIB ,0,0,0
Sherman,BOX 301 TISD ,U.S. House,13,MAC THORNBERRY ,REP ,2,0,2
Sherman,BOX 301 TISD ,U.S. House,13,GREG SAGAN ,DEM ,0,0,0
Sherman,BOX 301 TISD ,U.S. House,13,CALVIN DeWEESE ,LIB ,0,0,0
Sherman,BOX 301 TISD ,Governor,,GREG ABBOTT ,REP ,2,0,2
Sherman,BOX 301 TISD ,Governor,,LUPE VALDEZ ,DEM ,0,0,0
Sherman,BOX 301 TISD ,Governor,,MARK JAY TIPPETTS ,LIB ,0,0,0
Sherman,BOX 301 TISD ,LIEUTENANT Governor,,DAN PATRICK ,REP ,2,0,2
Sherman,BOX 301 TISD ,LIEUTENANT Governor,,MIKE COLLIER ,DEM ,0,0,0
Sherman,BOX 301 TISD ,LIEUTENANT Governor,,KERRY DOUGLAS McKENN ,LIB ,0,0,0
Sherman,BOX 301 TISD ,Attorney General,,KEN PAXTON ,REP ,2,0,2
Sherman,BOX 301 TISD ,Attorney General,,JUSTIN NELSON ,DEM ,0,0,0
Sherman,BOX 301 TISD ,Attorney General,,MICHAEL RAY HARRIS ,LIB ,0,0,0
Sherman,BOX 301 TISD ,Comptroller	of Public Accounts,,GLENN HEGAR ,REP ,2,0,2
Sherman,BOX 301 TISD ,Comptroller	of Public Accounts,,JOI CHEVALIER ,DEM ,0,0,0
Sherman,BOX 301 TISD ,Comptroller	of Public Accounts,,BEN SANDERS ,LIB ,0,0,0
Sherman,BOX 301 TISD ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,GEORGE P. BUSH ,REP ,2,0,2
Sherman,BOX 301 TISD ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,MIGUEL SUAZO ,DEM ,0,0,0
Sherman,BOX 301 TISD ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,MATT PINA ,LIB ,0,0,0
Sherman,BOX 301 TISD ,COMMISSIONER OF AGRICULTURE ,,SID MILLER ,REP ,2,0,2
Sherman,BOX 301 TISD ,COMMISSIONER OF AGRICULTURE ,,KIM OLSON ,DEM ,0,0,0
Sherman,BOX 301 TISD ,COMMISSIONER OF AGRICULTURE ,,RICHARD CARPENTER ,LIB ,0,0,0
Sherman,BOX 301 TISD ,Railroad Commissioner,,CHRISTI CRADDICK ,REP ,2,0,2
Sherman,BOX 301 TISD ,Railroad Commissioner,,ROMAN McALLEN ,DEM ,0,0,0
Sherman,BOX 301 TISD ,Railroad Commissioner,,MIKE WRIGHT ,LIB ,0,0,0
Sherman,BOX 301 TISD ,"JUSTICE, SUPREME COURT, PLACE 2 ",,JIMMY BLACKLOCK ,REP ,2,0,2
Sherman,BOX 301 TISD ,"JUSTICE, SUPREME COURT, PLACE 2 ",,STEVEN KIRKLAND ,DEM ,0,0,0
Sherman,BOX 301 TISD ,"JUSTICE, SUPREME COURT, PLACE 4 ",,JOHN DEVINE ,REP ,2,0,2
Sherman,BOX 301 TISD ,"JUSTICE, SUPREME COURT, PLACE 4 ",,R. K. SANDILL ,DEM ,0,0,0
Sherman,BOX 301 TISD ,"JUSTICE, SUPREME COURT, PLACE 6 ",,JEFF BROWN ,REP ,2,0,2
Sherman,BOX 301 TISD ,"JUSTICE, SUPREME COURT, PLACE 6 ",,KATHY CHENG ,DEM ,0,0,0
Sherman,BOX 301 TISD ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,SHARON KELLER ,REP ,2,0,2
Sherman,BOX 301 TISD ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,MARIA T. (TERRI) JAC ,DEM ,0,0,0
Sherman,BOX 301 TISD ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,WILLIAM BRYAN STRANG ,LIB ,0,0,0
Sherman,BOX 301 TISD ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 7 ",,BARBARA PARKER HERVE ,REP ,2,0,2
Sherman,BOX 301 TISD ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 7 ",,RAMONA FRANKLIN ,DEM ,0,0,0
Sherman,BOX 301 TISD ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 8 ",,MICHELLE SLAUGHTER ,REP ,2,0,2
Sherman,BOX 301 TISD ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 8 ",,MARK ASH ,LIB ,0,0,0
Sherman,BOX 301 TISD ,STATE SENATE,31,KEL SELIGER ,REP ,2,0,2
Sherman,BOX 301 TISD ,STATE SENATE,31,JACK B. WESTBROOK ,LIB ,0,0,0
Sherman,BOX 301 TISD ,STATE REPRESENTATIVE,87,FOUR PRICE ,REP ,2,0,2
Sherman,BOX 301 TISD ,"JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 2 ",,JUDY PARKER ,REP ,2,0,2
Sherman,BOX 301 TISD ,"JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 3 ",,PAT PIRTLE ,REP ,2,0,2
Sherman,BOX 301 TISD ,"DISTRICT JUDGE, 69TH JUDICIAL DISTRICT ",,RON ENNS ,REP ,2,0,2
Sherman,BOX 301 TISD ,COUNTY JUDGE ,,TERRI BETH CARTER ,REP ,2,0,2
Sherman,BOX 301 TISD ,DISTRICT & COUNTY CLERK ,,LAURA ROGERS ,REP ,2,0,2
Sherman,BOX 301 TISD ,COUNTY TREASURER ,,DORIS PARSONS ,REP ,2,0,2
Sherman,BOX 301 TISD ,JUSTICE OF THE PEACE ,,BRENDA J. ACKER ,REP ,2,0,2
Sherman,BOX 302  TISD ,U.S. Senate,,TED CRUZ ,REP ,97,86,11
Sherman,BOX 302  TISD ,U.S. Senate,,BETO O'ROURKE ,DEM ,11,11,0
Sherman,BOX 302  TISD ,U.S. Senate,,NEAL M. DIKEMAN ,LIB ,6,0,6
Sherman,BOX 302  TISD ,U.S. House,13,MAC THORNBERRY ,REP ,99,88,11
Sherman,BOX 302  TISD ,U.S. House,13,GREG SAGAN ,DEM ,9,9,0
Sherman,BOX 302  TISD ,U.S. House,13,CALVIN DeWEESE ,LIB ,6,0,6
Sherman,BOX 302  TISD ,Governor,,GREG ABBOTT ,REP ,98,87,11
Sherman,BOX 302  TISD ,Governor,,LUPE VALDEZ ,DEM ,7,7,0
Sherman,BOX 302  TISD ,Governor,,MARK JAY TIPPETTS ,LIB ,8,2,6
Sherman,BOX 302  TISD ,LIEUTENANT Governor,,DAN PATRICK ,REP ,97,86,11
Sherman,BOX 302  TISD ,LIEUTENANT Governor,,MIKE COLLIER ,DEM ,9,9,0
Sherman,BOX 302  TISD ,LIEUTENANT Governor,,KERRY DOUGLAS McKENN ,LIB ,8,2,6
Sherman,BOX 302  TISD ,Attorney General,,KEN PAXTON ,REP ,97,86,11
Sherman,BOX 302  TISD ,Attorney General,,JUSTIN NELSON ,DEM ,11,11,0
Sherman,BOX 302  TISD ,Attorney General,,MICHAEL RAY HARRIS ,LIB ,0,0,0
Sherman,BOX 302  TISD ,Comptroller	of Public Accounts,,GLENN HEGAR ,REP ,99,85,14
Sherman,BOX 302  TISD ,Comptroller	of Public Accounts,,JOI CHEVALIER ,DEM ,10,10,0
Sherman,BOX 302  TISD ,Comptroller	of Public Accounts,,BEN SANDERS ,LIB ,2,2,0
Sherman,BOX 302  TISD ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,GEORGE P. BUSH ,REP ,100,87,13
Sherman,BOX 302  TISD ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,MIGUEL SUAZO ,DEM ,10,10,0
Sherman,BOX 302  TISD ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,MATT PINA ,LIB ,1,0,1
Sherman,BOX 302  TISD ,COMMISSIONER OF AGRICULTURE ,,SID MILLER ,REP ,98,84,14
Sherman,BOX 302  TISD ,COMMISSIONER OF AGRICULTURE ,,KIM OLSON ,DEM ,12,12,0
Sherman,BOX 302  TISD ,COMMISSIONER OF AGRICULTURE ,,RICHARD CARPENTER ,LIB ,1,1,0
Sherman,BOX 302  TISD ,Railroad Commissioner,,CHRISTI CRADDICK ,REP ,101,87,14
Sherman,BOX 302  TISD ,Railroad Commissioner,,ROMAN McALLEN ,DEM ,8,8,0
Sherman,BOX 302  TISD ,Railroad Commissioner,,MIKE WRIGHT ,LIB ,1,1,0
Sherman,BOX 302  TISD ,"JUSTICE, SUPREME COURT, PLACE 2 ",,JIMMY BLACKLOCK ,REP ,99,85,14
Sherman,BOX 302  TISD ,"JUSTICE, SUPREME COURT, PLACE 2 ",,STEVEN KIRKLAND ,DEM ,10,10,0
Sherman,BOX 302  TISD ,"JUSTICE, SUPREME COURT, PLACE 4 ",,JOHN DEVINE ,REP ,97,83,14
Sherman,BOX 302  TISD ,"JUSTICE, SUPREME COURT, PLACE 4 ",,R. K. SANDILL ,DEM ,10,10,0
Sherman,BOX 302  TISD ,"JUSTICE, SUPREME COURT, PLACE 6 ",,JEFF BROWN ,REP ,100,86,14
Sherman,BOX 302  TISD ,"JUSTICE, SUPREME COURT, PLACE 6 ",,KATHY CHENG ,DEM ,8,8,0
