county,party,precinct,office,district,candidate,early_voting,election_day,votes
Duval,REP,9,U.S. Senate,,Bruce Jacobson Jr.,0,0,0
Duval,REP,9,U.S. Senate,,Geraldine Sam,0,0,0
Duval,REP,9,U.S. Senate,,Mary Miller,0,0,0
Duval,REP,9,U.S. Senate,,Stefano de Stefano,0,0,0
Duval,REP,9,U.S. Senate,,Ted Cruz,1,0,1
Duval,REP,9,U.S. House,15,Tim Westley,1,0,1
Duval,REP,9,Governor,,Barbara Krueger,0,0,0
Duval,REP,9,Governor,,Greg Abbott,1,0,1
Duval,REP,9,Governor,,SECEDE Kilgore,0,0,0
Duval,REP,9,Lieutenant Governor,,Dan Patrick,1,0,1
Duval,REP,9,Lieutenant Governor,,Scott Milder,0,0,0
Duval,REP,9,Attorney General,,Ken Paxton,1,0,1
Duval,REP,9,Comptroller of Public Accounts,,Glenn Hegar,1,0,1
Duval,REP,9,Commissioner of the General Land Office,,Davey Edwards,0,0,0
Duval,REP,9,Commissioner of the General Land Office,,George P. Bush,1,0,1
Duval,REP,9,Commissioner of the General Land Office,,Jerry Patterson,0,0,0
Duval,REP,9,Commissioner of the General Land Office,,Rick Range,0,0,0
Duval,REP,9,Commissioner of Agriculture,,Jim Hogan,1,0,1
Duval,REP,9,Commissioner of Agriculture,,Sid Miller,0,0,0
Duval,REP,9,Commissioner of Agriculture,,Trey Blocker,0,0,0
Duval,REP,9,Railroad Commissioner,,Christi Craddick,0,0,0
Duval,REP,9,Railroad Commissioner,,Weston Martinez,1,0,1
