county,precinct,office,district,candidate,party,votes,absentee,ev_paper,ev_ivo,early_voting,ed_paper,ed_ivo,election_day
Hill,7,Railroad Commissioner,,Mark Miller,LIB,16,0,1,4,5,3,8,11
Hill,8,Railroad Commissioner,,Mark Miller,LIB,9,0,2,3,5,3,1,4
Hill,9,Railroad Commissioner,,Mark Miller,LIB,22,1,4,8,12,7,2,9
Hill,10,Railroad Commissioner,,Mark Miller,LIB,30,0,2,8,10,11,9,20
Hill,12,Railroad Commissioner,,Mark Miller,LIB,18,0,5,3,8,1,9,10
Hill,13,Railroad Commissioner,,Mark Miller,LIB,57,1,11,10,21,13,22,35
Hill,14,Railroad Commissioner,,Mark Miller,LIB,25,0,4,8,12,3,10,13
Hill,15,Railroad Commissioner,,Mark Miller,LIB,16,0,1,4,5,6,5,11
Hill,16,Railroad Commissioner,,Mark Miller,LIB,9,2,0,1,1,6,0,6
Hill,18,Railroad Commissioner,,Mark Miller,LIB,2,0,1,0,1,0,1,1
Hill,19,Railroad Commissioner,,Mark Miller,LIB,15,1,3,3,6,6,2,8
Hill,20,Railroad Commissioner,,Mark Miller,LIB,21,0,3,6,9,8,4,12
Hill,21,Railroad Commissioner,,Mark Miller,LIB,40,1,3,14,17,11,11,22
Hill,22,Railroad Commissioner,,Mark Miller,LIB,40,2,11,6,17,12,9,21
Hill,23,Railroad Commissioner,,Mark Miller,LIB,14,1,0,1,1,8,4,12
Hill,24,Railroad Commissioner,,Mark Miller,LIB,20,0,2,6,8,3,9,12
Hill,27,Railroad Commissioner,,Mark Miller,LIB,23,0,4,2,6,12,5,17
Hill,2,Railroad Commissioner,,Martin Salinas,GRN,19,2,3,5,8,3,6,9
Hill,3,Railroad Commissioner,,Martin Salinas,GRN,19,0,3,12,15,2,2,4
Hill,4,Railroad Commissioner,,Martin Salinas,GRN,20,2,4,6,10,2,6,8
Hill,5,Railroad Commissioner,,Martin Salinas,GRN,3,1,1,0,1,1,0,1
Hill,6,Railroad Commissioner,,Martin Salinas,GRN,2,0,1,0,1,0,1,1
Hill,7,Railroad Commissioner,,Martin Salinas,GRN,2,0,1,0,1,0,1,1
Hill,8,Railroad Commissioner,,Martin Salinas,GRN,1,0,0,0,0,1,0,1
Hill,9,Railroad Commissioner,,Martin Salinas,GRN,5,0,1,2,3,1,1,2
Hill,10,Railroad Commissioner,,Martin Salinas,GRN,11,0,1,2,3,5,3,8
Hill,12,Railroad Commissioner,,Martin Salinas,GRN,6,0,2,3,5,1,0,1
Hill,13,Railroad Commissioner,,Martin Salinas,GRN,14,1,3,2,5,6,2,8
Hill,14,Railroad Commissioner,,Martin Salinas,GRN,2,0,1,0,1,1,0,1
Hill,15,Railroad Commissioner,,Martin Salinas,GRN,1,0,0,0,0,0,1,1
Hill,16,Railroad Commissioner,,Martin Salinas,GRN,4,0,1,0,1,0,3,3
Hill,18,Railroad Commissioner,,Martin Salinas,GRN,0,0,0,0,0,0,0,0
Hill,19,Railroad Commissioner,,Martin Salinas,GRN,3,0,1,0,1,1,1,2
Hill,20,Railroad Commissioner,,Martin Salinas,GRN,6,0,3,1,4,1,1,2
Hill,21,Railroad Commissioner,,Martin Salinas,GRN,15,1,3,4,7,4,3,7
Hill,22,Railroad Commissioner,,Martin Salinas,GRN,12,0,4,4,8,1,3,4
Hill,23,Railroad Commissioner,,Martin Salinas,GRN,1,0,0,0,0,1,0,1
Hill,24,Railroad Commissioner,,Martin Salinas,GRN,9,0,1,1,2,2,5,7
Hill,27,Railroad Commissioner,,Martin Salinas,GRN,4,0,1,2,3,0,1,1
Hill,2,State Senate,30,Brian Birdwell,REP,442,29,134,167,301,54,58,112
Hill,3,State Senate,30,Brian Birdwell,REP,311,22,92,106,198,34,57,91
Hill,4,State Senate,30,Brian Birdwell,REP,1028,71,289,395,684,139,134,273
Hill,5,State Senate,30,Brian Birdwell,REP,296,19,68,81,149,90,38,128
Hill,6,State Senate,30,Brian Birdwell,REP,213,7,52,48,100,63,43,106
Hill,7,State Senate,30,Brian Birdwell,REP,301,8,35,45,80,131,82,213
Hill,8,State Senate,30,Brian Birdwell,REP,171,8,35,41,76,53,34,87
Hill,9,State Senate,30,Brian Birdwell,REP,210,7,56,68,124,46,33,79
Hill,10,State Senate,30,Brian Birdwell,REP,733,27,126,226,352,190,164,354
Hill,12,State Senate,30,Brian Birdwell,REP,402,19,86,137,223,73,87,160
Hill,13,State Senate,30,Brian Birdwell,REP,1355,95,230,387,617,229,414,643
Hill,14,State Senate,30,Brian Birdwell,REP,585,19,56,134,190,177,199,376
Hill,15,State Senate,30,Brian Birdwell,REP,198,12,16,22,38,55,93,148
Hill,16,State Senate,30,Brian Birdwell,REP,169,2,19,27,46,95,26,121
Hill,18,State Senate,30,Brian Birdwell,REP,94,2,21,10,31,48,13,61
Hill,19,State Senate,30,Brian Birdwell,REP,194,5,38,30,68,69,52,121
Hill,20,State Senate,30,Brian Birdwell,REP,499,19,59,66,125,280,75,355
Hill,21,State Senate,30,Brian Birdwell,REP,966,95,145,357,502,124,245,369
Hill,22,State Senate,30,Brian Birdwell,REP,812,84,151,223,374,200,154,354
Hill,23,State Senate,30,Brian Birdwell,REP,220,5,25,24,49,106,60,166
Hill,24,State Senate,30,Brian Birdwell,REP,544,31,56,68,124,116,273,389
Hill,27,State Senate,30,Brian Birdwell,REP,357,11,87,72,159,136,51,187
Hill,2,State Senate,30,Michael Collins,DEM,136,8,38,29,67,27,34,61
Hill,3,State Senate,30,Michael Collins,DEM,290,25,67,85,152,43,70,113
Hill,4,State Senate,30,Michael Collins,DEM,308,29,101,102,203,32,44,76
Hill,5,State Senate,30,Michael Collins,DEM,50,6,9,15,24,12,8,20
Hill,6,State Senate,30,Michael Collins,DEM,35,3,5,11,16,13,3,16
Hill,7,State Senate,30,Michael Collins,DEM,64,4,12,11,23,23,14,37
Hill,8,State Senate,30,Michael Collins,DEM,35,1,3,10,13,10,11,21
Hill,9,State Senate,30,Michael Collins,DEM,69,2,12,21,33,18,16,34
Hill,10,State Senate,30,Michael Collins,DEM,242,1,38,51,89,66,86,152
Hill,12,State Senate,30,Michael Collins,DEM,68,7,17,26,43,9,9,18
Hill,13,State Senate,30,Michael Collins,DEM,263,28,36,68,104,55,76,131
Hill,14,State Senate,30,Michael Collins,DEM,60,4,12,13,25,20,11,31
Hill,15,State Senate,30,Michael Collins,DEM,38,4,3,7,10,9,15,24
Hill,16,State Senate,30,Michael Collins,DEM,44,2,7,7,14,24,4,28
Hill,18,State Senate,30,Michael Collins,DEM,9,0,5,2,7,1,1,2
Hill,19,State Senate,30,Michael Collins,DEM,42,1,6,12,18,11,12,23
Hill,20,State Senate,30,Michael Collins,DEM,91,1,21,16,37,34,19,53
Hill,21,State Senate,30,Michael Collins,DEM,187,15,31,72,103,29,40,69
Hill,22,State Senate,30,Michael Collins,DEM,184,17,36,48,84,42,41,83
Hill,23,State Senate,30,Michael Collins,DEM,78,7,3,12,15,31,25,56
Hill,24,State Senate,30,Michael Collins,DEM,159,13,7,27,34,31,81,112
Hill,27,State Senate,30,Michael Collins,DEM,77,9,13,14,27,27,14,41
Hill,2,State Representative,8,Byron Cook,REP,483,33,142,179,321,57,72,129
Hill,3,State Representative,8,Byron Cook,REP,374,25,99,128,227,41,81,122
Hill,4,State Representative,8,Byron Cook,REP,1092,77,299,412,711,146,158,304
Hill,5,State Representative,8,Byron Cook,REP,293,20,66,80,146,87,40,127
Hill,6,State Representative,8,Byron Cook,REP,211,7,50,46,96,65,43,108
Hill,7,State Representative,8,Byron Cook,REP,312,7,37,48,85,136,84,220
Hill,8,State Representative,8,Byron Cook,REP,181,9,37,42,79,54,39,93
Hill,9,State Representative,8,Byron Cook,REP,219,7,53,72,125,50,37,87
Hill,10,State Representative,8,Byron Cook,REP,782,27,126,238,364,202,189,391
Hill,12,State Representative,8,Byron Cook,REP,417,20,85,146,231,75,91,166
Hill,13,State Representative,8,Byron Cook,REP,1419,96,226,409,635,243,445,688
Hill,14,State Representative,8,Byron Cook,REP,591,20,55,138,193,178,200,378
Hill,15,State Representative,8,Byron Cook,REP,212,12,19,24,43,57,100,157
Hill,16,State Representative,8,Byron Cook,REP,175,0,15,30,45,102,28,130
Hill,18,State Representative,8,Byron Cook,REP,94,2,22,10,32,47,13,60
Hill,19,State Representative,8,Byron Cook,REP,199,6,37,30,67,72,54,126
Hill,20,State Representative,8,Byron Cook,REP,511,19,59,73,132,281,79,360
Hill,21,State Representative,8,Byron Cook,REP,991,95,141,376,517,129,250,379
Hill,22,State Representative,8,Byron Cook,REP,851,87,160,234,394,205,165,370
Hill,23,State Representative,8,Byron Cook,REP,244,7,26,27,53,116,68,184
Hill,24,State Representative,8,Byron Cook,REP,569,34,56,75,131,114,290,404
Hill,27,State Representative,8,Byron Cook,REP,360,12,84,76,160,136,52,188
