county,precinct,office,district,candidate,party,early_voting,election day,total,registered,votes
Mills,8,President,,Martin J. O'Malley,DEM,,,,,0
Mills,8,President,,Bernie Sanders,DEM,,,,,7
Mills,8,President,,Keith Judd,DEM,,,,,1
Mills,8,President,,Star Locke,DEM,,,,,0
Mills,8,President,,Totals,DEM,,,,,16
Mills,8,Railroad Commissioner,,Cody Garrett,DEM,,,,,6
Mills,8,Railroad Commissioner,,Grady Yarbrough,DEM,,,,,4
Mills,8,Railroad Commissioner,,Lon Burnam,DEM,,,,,7
Mills,8,Railroad Commissioner,,Totals,DEM,,,,,17
Mills,8,State Senate,24,"Virginia ""Jennie Lou"" Leeder",DEM,,,,,11
Mills,8,State Senate,24,Totals,DEM,,,,,11
Mills,9,Ballots Cast,,,DEM,13,8,21,709,
Mills,9,President,,"Roque ""Rocky"" De La Fuente",DEM,,,,,0
Mills,9,President,,Hillary Clinton,DEM,,,,,8
Mills,9,President,,Calvis L. Hawes,DEM,,,,,0
Mills,9,President,,Willie L. Wilson,DEM,,,,,0
Mills,9,President,,Martin J. O'Malley,DEM,,,,,0
Mills,9,President,,Bernie Sanders,DEM,,,,,11
Mills,9,President,,Keith Judd,DEM,,,,,1
Mills,9,President,,Star Locke,DEM,,,,,0
Mills,9,President,,Totals,DEM,,,,,20
Mills,9,Railroad Commissioner,,Cody Garrett,DEM,,,,,2
Mills,9,Railroad Commissioner,,Grady Yarbrough,DEM,,,,,7
Mills,9,Railroad Commissioner,,Lon Burnam,DEM,,,,,5
Mills,9,Railroad Commissioner,,Totals,DEM,,,,,14
Mills,9,State Senate,24,"Virginia ""Jennie Lou"" Leeder",DEM,,,,,14
Mills,9,State Senate,24,Totals,DEM,,,,,14
Mills,11,Ballots Cast,,,DEM,2,0,2,155,
Mills,11,President,,"Roque ""Rocky"" De La Fuente",DEM,,,,,0
Mills,11,President,,Hillary Clinton,DEM,,,,,1
Mills,11,President,,Calvis L. Hawes,DEM,,,,,0
Mills,11,President,,Willie L. Wilson,DEM,,,,,0
Mills,11,President,,Martin J. O'Malley,DEM,,,,,0
Mills,11,President,,Bernie Sanders,DEM,,,,,1
Mills,11,President,,Keith Judd,DEM,,,,,0
Mills,11,President,,Star Locke,DEM,,,,,0
Mills,11,President,,Totals,DEM,,,,,2
Mills,11,Railroad Commissioner,,Cody Garrett,DEM,,,,,0
Mills,11,Railroad Commissioner,,Grady Yarbrough,DEM,,,,,0
Mills,11,Railroad Commissioner,,Lon Burnam,DEM,,,,,0
Mills,11,Railroad Commissioner,,Totals,DEM,,,,,0
Mills,11,State Senate,24,"Virginia ""Jennie Lou"" Leeder",DEM,,,,,1
Mills,11,State Senate,24,Totals,DEM,,,,,1
