county,precinct,office,district,party,candidate,election_day,early_voting_person,early_voting_mail,early_voting,votes
Victoria,13,U.S. House,27,,Blake Farenthold,127,165,21,186,313
Victoria,13,U.S. House,27,,Raul (Roy) Barrera,133,215,24,239,372
Victoria,14,U.S. House,27,,Blake Farenthold,241,309,49,358,599
Victoria,14,U.S. House,27,,Raul (Roy) Barrera,83,109,13,122,205
Victoria,15,U.S. House,27,,Blake Farenthold,20,47,8,55,75
Victoria,15,U.S. House,27,,Raul (Roy) Barrera,6,13,3,16,22
Victoria,16,U.S. House,27,,Blake Farenthold,69,133,14,147,216
Victoria,16,U.S. House,27,,Raul (Roy) Barrera,12,35,4,39,51
Victoria,17,U.S. House,27,,Blake Farenthold,73,134,12,146,219
Victoria,17,U.S. House,27,,Raul (Roy) Barrera,47,56,6,62,109
Victoria,18,U.S. House,27,,Blake Farenthold,553,1196,150,1346,1899
Victoria,18,U.S. House,27,,Raul (Roy) Barrera,119,246,43,289,408
Victoria,19,U.S. House,27,,Blake Farenthold,274,640,89,729,1003
Victoria,19,U.S. House,27,,Raul (Roy) Barrera,154,290,42,332,486
Victoria,20,U.S. House,27,,Blake Farenthold,150,511,44,555,705
Victoria,20,U.S. House,27,,Raul (Roy) Barrera,44,81,21,102,146
Victoria,21,U.S. House,27,,Blake Farenthold,441,1284,215,1499,1940
Victoria,21,U.S. House,27,,Raul (Roy) Barrera,135,316,57,373,508
Victoria,22,U.S. House,27,,Blake Farenthold,393,555,66,621,1014
Victoria,22,U.S. House,27,,Raul (Roy) Barrera,47,58,9,67,114
Victoria,23,U.S. House,27,,Blake Farenthold,298,489,52,541,839
Victoria,23,U.S. House,27,,Raul (Roy) Barrera,51,87,14,101,152
Victoria,24,U.S. House,27,,Blake Farenthold,205,568,68,636,841
Victoria,24,U.S. House,27,,Raul (Roy) Barrera,23,76,12,88,111
Victoria,25,U.S. House,27,,Blake Farenthold,341,1054,179,1233,1574
Victoria,25,U.S. House,27,,Raul (Roy) Barrera,165,409,62,471,636
Victoria,26,U.S. House,27,,Blake Farenthold,213,260,32,292,505
Victoria,26,U.S. House,27,,Raul (Roy) Barrera,85,69,12,81,166
Victoria,27,U.S. House,27,,Blake Farenthold,429,446,48,494,923
Victoria,27,U.S. House,27,,Raul (Roy) Barrera,30,37,8,45,75
Victoria,28,U.S. House,27,,Blake Farenthold,149,107,25,132,281
Victoria,28,U.S. House,27,,Raul (Roy) Barrera,23,21,4,25,48
Victoria,29,U.S. House,27,,Blake Farenthold,341,931,135,1066,1407
Victoria,29,U.S. House,27,,Raul (Roy) Barrera,97,267,27,294,391
Victoria,30,U.S. House,27,,Blake Farenthold,81,103,23,126,207
Victoria,30,U.S. House,27,,Raul (Roy) Barrera,32,53,7,60,92
Victoria,31,U.S. House,27,,Blake Farenthold,84,148,24,172,256
Victoria,31,U.S. House,27,,Raul (Roy) Barrera,55,109,37,146,201
