county,precinct,office,district,candidate,party,votes,early_voting_650,early_voting_ivo,early_voting,election_day_650,election_day_ivo,election_day
Polk,15,Railroad Commissioner,,Wayne Christian,REP,484,27,267,294,15,175,190
Polk,16,Railroad Commissioner,,Wayne Christian,REP,1798,184,1216,1400,86,312,398
Polk,17,Railroad Commissioner,,Wayne Christian,REP,512,21,365,386,16,110,126
Polk,18,Railroad Commissioner,,Wayne Christian,REP,99,10,65,75,14,10,24
Polk,19,Railroad Commissioner,,Wayne Christian,REP,1583,1240,211,1451,52,80,132
Polk,20,Railroad Commissioner,,Wayne Christian,REP,1650,1205,265,1470,25,155,180
Polk,21,Railroad Commissioner,,Wayne Christian,REP,512,42,359,401,2,109,111
Polk,1,Railroad Commissioner,,Grady Yarbrough,DEM,34,10,4,14,20,0,20
Polk,2,Railroad Commissioner,,Grady Yarbrough,DEM,39,1,13,14,8,17,25
Polk,3,Railroad Commissioner,,Grady Yarbrough,DEM,208,13,86,99,26,83,109
Polk,4,Railroad Commissioner,,Grady Yarbrough,DEM,149,15,99,114,5,30,35
Polk,5,Railroad Commissioner,,Grady Yarbrough,DEM,257,20,161,181,2,74,76
Polk,6,Railroad Commissioner,,Grady Yarbrough,DEM,382,26,294,320,2,60,62
Polk,7,Railroad Commissioner,,Grady Yarbrough,DEM,78,6,52,58,0,20,20
Polk,8,Railroad Commissioner,,Grady Yarbrough,DEM,169,31,49,80,41,48,89
Polk,9,Railroad Commissioner,,Grady Yarbrough,DEM,100,8,28,36,11,53,64
Polk,10,Railroad Commissioner,,Grady Yarbrough,DEM,372,51,154,205,34,133,167
Polk,11,Railroad Commissioner,,Grady Yarbrough,DEM,51,5,24,29,11,11,22
Polk,12,Railroad Commissioner,,Grady Yarbrough,DEM,61,1,3,4,33,24,57
Polk,13,Railroad Commissioner,,Grady Yarbrough,DEM,26,1,9,10,2,14,16
Polk,14,Railroad Commissioner,,Grady Yarbrough,DEM,99,6,21,27,30,42,72
Polk,15,Railroad Commissioner,,Grady Yarbrough,DEM,61,7,32,39,1,21,22
Polk,16,Railroad Commissioner,,Grady Yarbrough,DEM,322,50,171,221,27,74,101
Polk,17,Railroad Commissioner,,Grady Yarbrough,DEM,106,5,63,68,7,31,38
Polk,18,Railroad Commissioner,,Grady Yarbrough,DEM,185,18,74,92,67,26,93
Polk,19,Railroad Commissioner,,Grady Yarbrough,DEM,545,429,77,506,19,20,39
Polk,20,Railroad Commissioner,,Grady Yarbrough,DEM,529,430,66,496,5,28,33
Polk,21,Railroad Commissioner,,Grady Yarbrough,DEM,114,7,62,69,0,45,45
Polk,1,Railroad Commissioner,,Mark Miller,LIB,6,3,1,4,2,0,2
Polk,2,Railroad Commissioner,,Mark Miller,LIB,14,1,7,8,2,4,6
Polk,3,Railroad Commissioner,,Mark Miller,LIB,34,3,16,19,5,10,15
Polk,4,Railroad Commissioner,,Mark Miller,LIB,36,3,24,27,1,8,9
Polk,5,Railroad Commissioner,,Mark Miller,LIB,63,3,38,41,0,22,22
Polk,6,Railroad Commissioner,,Mark Miller,LIB,107,4,74,78,5,24,29
Polk,7,Railroad Commissioner,,Mark Miller,LIB,20,1,13,14,0,6,6
Polk,8,Railroad Commissioner,,Mark Miller,LIB,19,1,9,10,2,7,9
Polk,9,Railroad Commissioner,,Mark Miller,LIB,5,0,4,4,0,1,1
Polk,10,Railroad Commissioner,,Mark Miller,LIB,17,1,9,10,3,4,7
Polk,11,Railroad Commissioner,,Mark Miller,LIB,2,0,0,0,2,0,2
Polk,12,Railroad Commissioner,,Mark Miller,LIB,8,0,0,0,4,4,8
Polk,13,Railroad Commissioner,,Mark Miller,LIB,13,2,2,4,1,8,9
Polk,14,Railroad Commissioner,,Mark Miller,LIB,33,1,9,10,9,14,23
Polk,15,Railroad Commissioner,,Mark Miller,LIB,24,0,11,11,0,13,13
Polk,16,Railroad Commissioner,,Mark Miller,LIB,96,10,55,65,10,21,31
Polk,17,Railroad Commissioner,,Mark Miller,LIB,22,3,13,16,1,5,6
Polk,18,Railroad Commissioner,,Mark Miller,LIB,16,6,2,8,2,6,8
Polk,19,Railroad Commissioner,,Mark Miller,LIB,118,80,21,101,8,9,17
Polk,20,Railroad Commissioner,,Mark Miller,LIB,95,61,16,77,6,12,18
Polk,21,Railroad Commissioner,,Mark Miller,LIB,23,0,14,14,0,9,9
Polk,1,Railroad Commissioner,,Martina Salinas,GRN,3,2,0,2,1,0,1
Polk,2,Railroad Commissioner,,Martina Salinas,GRN,2,0,0,0,0,2,2
Polk,3,Railroad Commissioner,,Martina Salinas,GRN,15,1,6,7,3,5,8
Polk,4,Railroad Commissioner,,Martina Salinas,GRN,6,0,5,5,0,1,1
Polk,5,Railroad Commissioner,,Martina Salinas,GRN,17,4,8,12,0,5,5
Polk,6,Railroad Commissioner,,Martina Salinas,GRN,41,3,23,26,1,14,15
Polk,7,Railroad Commissioner,,Martina Salinas,GRN,5,0,3,3,0,2,2
Polk,8,Railroad Commissioner,,Martina Salinas,GRN,4,0,0,0,2,2,4
Polk,9,Railroad Commissioner,,Martina Salinas,GRN,5,0,2,2,0,3,3
Polk,10,Railroad Commissioner,,Martina Salinas,GRN,15,1,6,7,1,7,8
Polk,11,Railroad Commissioner,,Martina Salinas,GRN,2,0,2,2,0,0,0
Polk,12,Railroad Commissioner,,Martina Salinas,GRN,7,0,1,1,0,6,6
Polk,13,Railroad Commissioner,,Martina Salinas,GRN,1,0,1,1,0,0,0
Polk,14,Railroad Commissioner,,Martina Salinas,GRN,7,0,0,0,3,4,7
Polk,15,Railroad Commissioner,,Martina Salinas,GRN,9,2,3,5,0,4,4
Polk,16,Railroad Commissioner,,Martina Salinas,GRN,28,2,15,17,1,10,11
Polk,17,Railroad Commissioner,,Martina Salinas,GRN,3,0,2,2,0,1,1
Polk,18,Railroad Commissioner,,Martina Salinas,GRN,7,0,6,6,1,0,1
Polk,19,Railroad Commissioner,,Martina Salinas,GRN,33,27,3,30,1,2,3
Polk,20,Railroad Commissioner,,Martina Salinas,GRN,58,43,6,49,5,4,9
Polk,21,Railroad Commissioner,,Martina Salinas,GRN,16,0,7,7,1,8,9
Polk,1,Railroad Commissioner,,Over Votes,,0,0,0,0,0,0,0
Polk,2,Railroad Commissioner,,Over Votes,,0,0,0,0,0,0,0
Polk,3,Railroad Commissioner,,Over Votes,,0,0,0,0,0,0,0
Polk,4,Railroad Commissioner,,Over Votes,,0,0,0,0,0,0,0
Polk,5,Railroad Commissioner,,Over Votes,,0,0,0,0,0,0,0
Polk,6,Railroad Commissioner,,Over Votes,,0,0,0,0,0,0,0
Polk,7,Railroad Commissioner,,Over Votes,,0,0,0,0,0,0,0
Polk,8,Railroad Commissioner,,Over Votes,,0,0,0,0,0,0,0
Polk,9,Railroad Commissioner,,Over Votes,,0,0,0,0,0,0,0
Polk,10,Railroad Commissioner,,Over Votes,,0,0,0,0,0,0,0
Polk,11,Railroad Commissioner,,Over Votes,,0,0,0,0,0,0,0
Polk,12,Railroad Commissioner,,Over Votes,,0,0,0,0,0,0,0
Polk,13,Railroad Commissioner,,Over Votes,,0,0,0,0,0,0,0
Polk,14,Railroad Commissioner,,Over Votes,,0,0,0,0,0,0,0
Polk,15,Railroad Commissioner,,Over Votes,,0,0,0,0,0,0,0
Polk,16,Railroad Commissioner,,Over Votes,,0,0,0,0,0,0,0
Polk,17,Railroad Commissioner,,Over Votes,,0,0,0,0,0,0,0
Polk,18,Railroad Commissioner,,Over Votes,,0,0,0,0,0,0,0
Polk,19,Railroad Commissioner,,Over Votes,,0,0,0,0,0,0,0
Polk,20,Railroad Commissioner,,Over Votes,,0,0,0,0,0,0,0
Polk,21,Railroad Commissioner,,Over Votes,,0,0,0,0,0,0,0
Polk,1,Railroad Commissioner,,Under Votes,,12,3,0,3,7,2,9
Polk,2,Railroad Commissioner,,Under Votes,,14,0,5,5,0,9,9
Polk,3,Railroad Commissioner,,Under Votes,,45,2,24,26,4,15,19
Polk,4,Railroad Commissioner,,Under Votes,,50,0,33,33,0,17,17
Polk,5,Railroad Commissioner,,Under Votes,,68,2,45,47,0,21,21
Polk,6,Railroad Commissioner,,Under Votes,,105,6,68,74,3,28,31
Polk,7,Railroad Commissioner,,Under Votes,,31,0,24,24,1,6,7
Polk,8,Railroad Commissioner,,Under Votes,,32,4,15,19,6,7,13
Polk,9,Railroad Commissioner,,Under Votes,,21,2,9,11,3,7,10
Polk,10,Railroad Commissioner,,Under Votes,,46,12,21,33,4,9,13
Polk,11,Railroad Commissioner,,Under Votes,,7,0,3,3,3,1,4
Polk,12,Railroad Commissioner,,Under Votes,,7,0,1,1,1,5,6
Polk,13,Railroad Commissioner,,Under Votes,,21,3,3,6,2,13,15
Polk,14,Railroad Commissioner,,Under Votes,,18,2,4,6,5,7,12
Polk,15,Railroad Commissioner,,Under Votes,,30,1,17,18,0,12,12
Polk,16,Railroad Commissioner,,Under Votes,,163,11,98,109,11,43,54
Polk,17,Railroad Commissioner,,Under Votes,,34,2,23,25,1,8,9
Polk,18,Railroad Commissioner,,Under Votes,,18,0,9,9,7,2,9
Polk,19,Railroad Commissioner,,Under Votes,,204,174,15,189,3,12,15
Polk,20,Railroad Commissioner,,Under Votes,,228,193,22,215,0,13,13
Polk,21,Railroad Commissioner,,Under Votes,,34,0,22,22,0,12,12
Polk,1,State Representative,19,James White,REP,175,78,7,85,85,5,90
Polk,2,State Representative,19,James White,REP,231,13,100,113,28,90,118
Polk,3,State Representative,19,James White,REP,735,50,395,445,53,237,290
Polk,4,State Representative,19,James White,REP,694,46,497,543,6,145,151
Polk,5,State Representative,19,James White,REP,1263,116,843,959,8,296,304
Polk,6,State Representative,19,James White,REP,2191,112,1689,1801,16,374,390
Polk,7,State Representative,19,James White,REP,315,31,216,247,5,63,68
Polk,8,State Representative,19,James White,REP,402,38,203,241,44,117,161
Polk,9,State Representative,19,James White,REP,344,27,191,218,20,106,126
Polk,10,State Representative,19,James White,REP,839,123,477,600,49,190,239
Polk,11,State Representative,19,James White,REP,157,8,90,98,28,31,59
Polk,12,State Representative,19,James White,REP,91,1,6,7,46,38,84
Polk,13,State Representative,19,James White,REP,236,18,74,92,24,120,144
Polk,14,State Representative,19,James White,REP,455,44,156,200,132,123,255
Polk,15,State Representative,19,James White,REP,523,31,283,314,15,194,209
Polk,16,State Representative,19,James White,REP,2015,203,1327,1530,110,375,485
Polk,17,State Representative,19,James White,REP,560,26,389,415,19,126,145
Polk,18,State Representative,19,James White,REP,159,18,83,101,35,23,58
Polk,19,State Representative,19,James White,REP,1753,1352,248,1600,63,90,153
Polk,20,State Representative,19,James White,REP,1779,1295,290,1585,30,0,30
Polk,21,State Representative,19,James White,REP,561,42,389,431,3,127,130
Polk,1,State Representative,19,Over Votes,,0,0,0,0,0,0,0
Polk,2,State Representative,19,Over Votes,,0,0,0,0,0,0,0
Polk,3,State Representative,19,Over Votes,,0,0,0,0,0,0,0
Polk,4,State Representative,19,Over Votes,,0,0,0,0,0,0,0
Polk,5,State Representative,19,Over Votes,,0,0,0,0,0,0,0
Polk,6,State Representative,19,Over Votes,,0,0,0,0,0,0,0
Polk,7,State Representative,19,Over Votes,,0,0,0,0,0,0,0
Polk,8,State Representative,19,Over Votes,,0,0,0,0,0,0,0
Polk,9,State Representative,19,Over Votes,,0,0,0,0,0,0,0
Polk,10,State Representative,19,Over Votes,,0,0,0,0,0,0,0
Polk,11,State Representative,19,Over Votes,,0,0,0,0,0,0,0
Polk,12,State Representative,19,Over Votes,,0,0,0,0,0,0,0
Polk,13,State Representative,19,Over Votes,,0,0,0,0,0,0,0
Polk,14,State Representative,19,Over Votes,,0,0,0,0,0,0,0
Polk,15,State Representative,19,Over Votes,,0,0,0,0,0,0,0
Polk,16,State Representative,19,Over Votes,,0,0,0,0,0,0,0
Polk,17,State Representative,19,Over Votes,,0,0,0,0,0,0,0
Polk,18,State Representative,19,Over Votes,,0,0,0,0,0,0,0
Polk,19,State Representative,19,Over Votes,,0,0,0,0,0,0,0
Polk,20,State Representative,19,Over Votes,,0,0,0,0,0,0,0
Polk,21,State Representative,19,Over Votes,,0,0,0,0,0,0,0
Polk,1,State Representative,19,Under Votes,,34,10,5,15,18,1,19
Polk,2,State Representative,19,Under Votes,,51,3,19,22,8,21,29
Polk,3,State Representative,19,Under Votes,,208,10,97,107,22,79,101
Polk,4,State Representative,19,Under Votes,,179,16,112,128,3,48,51
Polk,5,State Representative,19,Under Votes,,78,2,45,47,0,31,31
Polk,6,State Representative,19,Under Votes,,450,32,331,363,6,81,87
Polk,7,State Representative,19,Under Votes,,88,6,58,64,1,23,24
Polk,8,State Representative,19,Under Votes,,155,28,50,78,42,35,77
Polk,9,State Representative,19,Under Votes,,104,9,36,45,8,51,59
Polk,10,State Representative,19,Under Votes,,353,53,147,200,33,120,153
Polk,11,State Representative,19,Under Votes,,50,6,20,26,12,12,24
Polk,12,State Representative,19,Under Votes,,18,0,1,1,6,11,17
Polk,13,State Representative,19,Under Votes,,32,2,6,8,3,21,24
Polk,14,State Representative,19,Under Votes,,81,7,19,26,20,35,55
Polk,15,State Representative,19,Under Votes,,85,6,47,53,1,31,32
Polk,16,State Representative,19,Under Votes,,391,54,228,282,24,85,109
Polk,17,State Representative,19,Under Votes,,33,2,21,23,1,9,10
Polk,18,State Representative,19,Under Votes,,165,16,73,89,55,21,76
Polk,19,State Representative,19,Under Votes,,727,598,79,677,17,33,50
Polk,20,State Representative,19,Under Votes,,773,637,85,722,3,48,51
Polk,21,State Representative,19,Under Votes,,138,7,75,82,0,56,56
