county,precinct,office,district,party,candidate,votes,election_day,early_voting
Lipscomb,,Attorney General,,DEM,Justin Nelson,2,1,0
Lipscomb,,Comptroller of Public Accounts,,DEM,Joi Chevalier,0,0,0
Lipscomb,,Comptroller of Public Accounts,,DEM,Tim Mahoney,2,1,0
Lipscomb,,Commissioner of the General Land Office,,DEM,Tex Morgan,1,0,0
Lipscomb,,Commissioner of the General Land Office,,DEM,Miguel Suazo,1,1,0
Lipscomb,,Commissioner of Agriculture,,DEM,Kim Olson,2,1,0
Lipscomb,,Railroad Commissioner,,DEM,Chris Spellmon,1,0,0
Lipscomb,,Railroad Commissioner,,DEM,Roman McAllen,1,1,0
Lipscomb,,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,2,1,0
Lipscomb,,"Justice, Supreme Court, Place 4",,DEM,R.K. Sandill,2,1,0
Lipscomb,,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,2,1,0
Lipscomb,,"Presiding Judge, Court of Criminal Appeals",,DEM,Maria T. (Terri) Jackson,2,1,0
Lipscomb,,"Judge, Court of Criminal Appeals, Place 7",,DEM,Ramona Franklin,2,1,0
Lipscomb,,State Representative,88,DEM,Ezekiel Barron,2,1,0
Lipscomb,,County Chairman,,DEM,Virginia Scott,2,1,0
Lipscomb,,Proposition #1 Right to a 21st Century Public Education:,,,Yes,1,1,0
Lipscomb,,Proposition #1 Right to a 21st Century Public Education:,,,No,1,0,0
Lipscomb,,Proposition #2 Student Loan Debt:,,,Yes,2,1,0
Lipscomb,,Proposition #2 Student Loan Debt:,,,No,0,0,0
Lipscomb,,Proposition #3 Right to Healthcare:,,,Yes,1,1,0
Lipscomb,,Proposition #3 Right to Healthcare:,,,No,0,0,0
Lipscomb,,Proposition #4 Right to Economic Security:,,,Yes,2,1,0
Lipscomb,,Proposition #4 Right to Economic Security:,,,No,0,0,0
Lipscomb,,Proposition #5 National Jobs Program:,,,Yes,1,1,0
Lipscomb,,Proposition #5 National Jobs Program:,,,No,1,0,0
Lipscomb,,"Proposition #6 Right to Clean Air, Safe Water, and a Healthy Environment:",,,Yes,2,1,0
Lipscomb,,"Proposition #6 Right to Clean Air, Safe Water, and a Healthy Environment:",,,No,0,0,0
Lipscomb,,Proposition #7 Right to Dignity & Respect:,,,Yes,2,1,0
Lipscomb,,Proposition #7 Right to Dignity & Respect:,,,No,0,0,0
Lipscomb,,Proposition #8 Right to Housing:,,,Yes,2,1,0
Lipscomb,,Proposition #8 Right to Housing:,,,No,0,0,0
Lipscomb,,Proposition #9 Right to Vote:,,,Yes,2,1,0
Lipscomb,,Proposition #9 Right to Vote:,,,No,0,0,0
Lipscomb,,Proposition #10 Right to a Fair Criminal Justice System:,,,Yes,2,1,0
Lipscomb,,Proposition #10 Right to a Fair Criminal Justice System:,,,No,0,0,0
Lipscomb,,Proposition #11 Immigrant Rights:,,,Yes,2,1,0
Lipscomb,,Proposition #11 Immigrant Rights:,,,No,0,0,0
Lipscomb,,Proposition #12 Right to Fair Taxation:,,,Yes,2,1,0
Lipscomb,,Proposition #12 Right to Fair Taxation:,,,No,0,0,0
Lipscomb,,Proposition 1,,,YES,89,83,3
Lipscomb,,Proposition 1,,,NO,44,41,3
Lipscomb,,Proposition 2,,,YES,118,110,5
Lipscomb,,Proposition 2,,,NO,19,18,1
Lipscomb,,Proposition 3,,,YES,118,110,5
Lipscomb,,Proposition 3,,,NO,18,17,1
Lipscomb,,Proposition 4,,,YES,119,111,5
Lipscomb,,Proposition 4,,,NO,21,20,1
Lipscomb,,Proposition 5,,,YES,94,88,3
Lipscomb,,Proposition 5,,,NO,47,44,3
Lipscomb,,Proposition 6,,,YES,125,117,5
Lipscomb,,Proposition 6,,,NO,15,14,1
Lipscomb,,Proposition 7,,,YES,107,99,6
Lipscomb,,Proposition 7,,,NO,31,30,0
