county,precinct,office,district,candidate,party,early_voting,election_day,votes
Menard,6,Straight Party,,Democratic Party,DEM,2,1,3
Menard,6,Straight Party,,Libertarian Party,LIB,1,0,1
Menard,6,U.S. Senate,,Ted Cruz,REP,35,23,58
Menard,6,U.S. Senate,,Beto O'Rourke,DEM,6,0,6
Menard,6,U.S. Senate,,Neal M. Dikeman,LIB,1,0,1
Menard,6,U.S. House,11,Mike Conaway,REP,33,24,57
Menard,6,U.S. House,11,Jennie Lou Leeder,DEM,7,0,7
Menard,6,U.S. House,11,Rhett Rosenquest Smith,LIB,1,0,1
Menard,6,Governor,,Greg Abbott,REP,34,24,58
Menard,6,Governor,,Lupe Valdez,DEM,6,0,6
Menard,6,Governor,,Mark Jay Tippetts,LIB,2,0,2
Menard,6,Lieutenant Governor,,Dan Patrick,REP,30,24,54
Menard,6,Lieutenant Governor,,Mike Collier,DEM,8,1,9
Menard,6,Lieutenant Governor,,Kerry Douglas McKennon,LIB,3,0,3
Menard,6,Attorney General,,Ken Paxton,REP,32,24,56
Menard,6,Attorney General,,Justin Nelson,DEM,7,1,8
Menard,6,Attorney General,,Michael Ray Harris,LIB,3,0,3
Menard,6,Comptroller of Public Accounts,,Glenn Hegar,REP,34,24,58
Menard,6,Comptroller of Public Accounts,,Joi Chevalier,DEM,6,1,7
Menard,6,Comptroller of Public Accounts,,Ben Sanders,LIB,2,0,2
Menard,6,Commissioner of the General Land Office,,George P. Bush,REP,27,25,52
Menard,6,Commissioner of the General Land Office,,Miguel Suazo,DEM,9,0,9
Menard,6,Commissioner of the General Land Office,,Matt Pi–a,LIB,4,0,4
Menard,6,Commissioner of Agriculture,,Sid Miller,REP,33,23,56
Menard,6,Commissioner of Agriculture,,Kim Olson,DEM,7,1,8
Menard,6,Commissioner of Agriculture,,Richard Carpenter,LIB,2,1,3
Menard,6,Railroad Commissioner,,Christi Craddick,REP,32,24,56
Menard,6,Railroad Commissioner,,Roman McAllen,DEM,7,0,7
Menard,6,Railroad Commissioner,,Mike Wright,LIB,3,1,4
Menard,6,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,,35,24,59
Menard,6,"Justice, Supreme Court, Place 2",,Steven Kirkland,,6,1,7
Menard,6,"Justice, Supreme Court, Place 4",,John Devine,,34,22,56
Menard,6,"Justice, Supreme Court, Place 4",,R.K. Sandill,,7,2,9
Menard,6,"Justice, Supreme Court, Place 6",,Jeff Brown,,35,23,58
Menard,6,"Justice, Supreme Court, Place 6",,Kathy Cheng,,6,1,7
Menard,6,"Presiding Judge, Court of Criminal Appeals",,Sharon Keller,,32,24,56
Menard,6,"Presiding Judge, Court of Criminal Appeals",,Maria T. (Terri) Jackson,,6,1,7
Menard,6,"Presiding Judge, Court of Criminal Appeals",,William Bryan Strange III,,3,0,3
Menard,6,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,,35,24,59
Menard,6,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,,6,1,7
Menard,6,"Judge, Court of Criminal Appeals, Place 8",,Michelle Slaughter,,32,23,55
Menard,6,"Judge, Court of Criminal Appeals, Place 8",,Mark Ash,,8,1,9
Menard,6,State Representative,53,Andrew S. Murr,REP,36,24,60
Menard,6,State Representative,53,Stephanie Lochte Ertel,DEM,6,0,6
Menard,6,"Justice, 4th Court of Appeals District, Place No. 2",,Marialyn Barnard,,34,23,57
Menard,6,"Justice, 4th Court of Appeals District, Place No. 2",,Beth Watkins,,6,1,7
Menard,6,"Justice, 4th Court of Appeals District, Place No. 3",,Jason Pulliam,,35,24,59
Menard,6,"Justice, 4th Court of Appeals District, Place No. 3",,Patricia O'Connell Alvarez,,6,0,6
Menard,6,"Justice, 4th Court of Appeals District, Place No. 4",,Patrick Ballantyne,,35,24,59
Menard,6,"Justice, 4th Court of Appeals District, Place No. 4",,Luz Elena Chapa,,6,0,6
Menard,6,"Justice, 4th Court of Appeals District, Place No. 5",,Rebecca Simmons,,35,24,59
Menard,6,"Justice, 4th Court of Appeals District, Place No. 5",,Liza Rodriguez,,6,0,6
Menard,6,"Justice, 4th Court of Appeals District, Place No. 7",,Shane Stolarczyk,,35,24,59
Menard,6,"Justice, 4th Court of Appeals District, Place No. 7",,Rebeca Martinez,,6,1,7
Menard,6,"District Judge, 452nd Judicial District",,"Robert R. ""Rob"" Hofmann",,36,25,61
Menard,6,"District Attorney, 452nd Judicial District",,Tonya Spaeth Ahlschwede,,37,24,61
Menard,1,Registered Voters,,,,,,338
Menard,2,Registered Voters,,,,,,337
Menard,3,Registered Voters,,,,,,379
Menard,4,Registered Voters,,,,,,236
Menard,5,Registered Voters,,,,,,59
Menard,6,Registered Voters,,,,,,87
