county,precinct,office,district,party,candidate,votes,election_day,early_voting
Hardin,Precinct 10,State Senate,3,REP,Robert Nichols,1026,133,893
Hardin,Precinct 10,State Senate,3,DEM,Shirley Layton,451,191,260
Hardin,Precinct 10,State Senate,3,LIB,Bruce Quarles,8,1,7
Hardin,Precinct 10,State Representative,19,REP,James White,1065,149,916
Hardin,Precinct 10,State Representative,19,DEM,Sherry Williams,539,177,362
Hardin,Precinct 11,Ballots Cast,,,,,,484
Hardin,Precinct 11,Straight Party,,REP,,313,161,152
Hardin,Precinct 11,Straight Party,,DEM,,32,21,11
Hardin,Precinct 11,Straight Party,,LIB,,1,1,0
Hardin,Precinct 11,U.S. Senate,,REP,Ted Cruz,430,224,206
Hardin,Precinct 11,U.S. Senate,,DEM,Beto O'Rourke,53,29,24
Hardin,Precinct 11,U.S. Senate,,LIB,Neal M Dikeman,1,1,0
Hardin,Precinct 11,U.S. House,36,REP,Brian Babin,423,222,201
Hardin,Precinct 11,U.S. House,36,DEM,Dayna Steele,59,31,28
Hardin,Precinct 11,Governor ,,REP,Greg Abbott,436,228,208
Hardin,Precinct 11,Governor ,,DEM,Lupe Valdez,44,23,21
Hardin,Precinct 11,Governor ,,LIB,Mark Jay Tippetts,3,2,1
Hardin,Precinct 11,Lieutenant Governor,,REP,Dan Patrick,409,217,192
Hardin,Precinct 11,Lieutenant Governor,,DEM,Mike Collier,65,33,32
Hardin,Precinct 11,Lieutenant Governor,,LIB,Kerry Douglas McKennon,7,2,5
Hardin,Precinct 11,Attorney General,,REP,Ken Paxton,413,219,194
Hardin,Precinct 11,Attorney General,,DEM,Justin Nelson,59,30,29
Hardin,Precinct 11,Attorney General,,LIB,Michael Ray Harris,8,3,5
Hardin,Precinct 11,Comptroller of Public Accounts,,REP,Glenn Hegar,417,217,200
Hardin,Precinct 11,Comptroller of Public Accounts,,DEM,Joi Chevalier,50,27,23
Hardin,Precinct 11,Comptroller of Public Accounts,,LIB,Ben Sanders,10,5,5
Hardin,Precinct 11,Commissioner of the General Land Office,,REP,George P Bush,410,215,195
Hardin,Precinct 11,Commissioner of the General Land Office,,DEM,Miguel Suazo,56,31,25
Hardin,Precinct 11,Commissioner of the General Land Office,,LIB,Matt Pina ,14,5,9
Hardin,Precinct 11,Railroad Commissioner,,REP,Christi Craddick,417,219,198
Hardin,Precinct 11,Railroad Commissioner,,DEM,Roman McAllen,52,27,25
Hardin,Precinct 11,Railroad Commissioner,,LIB,Mike Wright,7,4,3
Hardin,Precinct 11,State Senate,3,REP,Robert Nichols,415,217,198
Hardin,Precinct 11,State Senate,3,DEM,Shirley Layton,59,33,26
