county,precinct,office,district,candidate,party,early_voting,election_day,votes
Jack,4,"Justice, 2nd Court of Appeals District, Place No. 6",,Mark Pittman,REP,344,91,435
Jack,4,"District Judge, 271st Judicial District",,Brock R. Smith,REP,347,92,439
Jack,4,"Directors, Place 2",,Lori McBrayer,,234,55,289
Jack,4,"Directors, Place 2",,Joe Logan,,72,25,97
Jack,4,"Directors, Place 4",,Mark A. Maples,,284,86,370
Jack,5,Straight Party,,Republican Party    REP,REP,134,168,302
Jack,5,Straight Party,,Democratic Party   DEM,DEM,12,5,17
Jack,5,Straight Party,,Libertarian Party    LIB,LIB,1,4,5
Jack,5,U.S. Senate,,Ted Cruz,REP,171,204,375
Jack,5,U.S. Senate,,Beto O'Rourke,DEM,15,12,27
Jack,5,U.S. Senate,,Neal M. Dikeman,LIB,4,3,7
Jack,5,U.S. House,13,Mac Thornberry,REP,178,201,379
Jack,5,U.S. House,13,Greg Sagan,DEM,15,12,27
Jack,5,U.S. House,13,Calvin DeWeese,LIB,1,5,6
Jack,5,Governor,,Greg Abbott,REP,178,204,382
Jack,5,Governor,,Lupe Valdez,DEM,13,10,23
Jack,5,Governor,,Mark Jay Tippetts,LIB,3,4,7
Jack,5,Lieutenant Governor,,Dan Patrick,REP,171,184,355
Jack,5,Lieutenant Governor,,Mike Collier,DEM,18,26,44
Jack,5,Lieutenant Governor,,Kerry Douglas McKennon,LIB,4,6,10
Jack,5,Attorney General,,Ken Paxton,REP,172,198,370
Jack,5,Attorney General,,Justin Nelson,DEM,19,15,34
Jack,5,Attorney General,,Michael Ray Harris,LIB,3,5,8
Jack,5,Comptroller of Public Accounts,,Glenn Hegar,REP,174,199,373
Jack,5,Comptroller of Public Accounts,,Joi Chevalier,DEM,15,12,27
Jack,5,Comptroller of Public Accounts,,Ben Sanders,LIB,3,4,7
Jack,5,"Commissioner of the General Land Office",,George P. Bush,REP,171,199,370
Jack,5,"Commissioner of the General Land Office",,Miguel Suazo,DEM,20,11,31
Jack,5,"Commissioner of the General Land Office",,Matt Pina,LIB,3,7,10
Jack,5,Commissioner of Agriculture,,Sid Miller,REP,174,201,375
Jack,5,Commissioner of Agriculture,,Kim Olson,DEM,16,13,29
Jack,5,Commissioner of Agriculture,,Richard Carpenter,LIB,4,4,8
Jack,5,Railroad Commissioner,,Christi Craddick,REP,173,197,370
Jack,5,Railroad Commissioner,,Roman McAllen,DEM,16,14,30
Jack,5,Railroad Commissioner,,Mike Wright,LIB,3,5,8
Jack,5,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,REP,177,201,378
Jack,5,"Justice, Supreme Court, Place 2",,Steven Kirkland,DEM,15,13,28
Jack,5,"Justice, Supreme Court, Place 4",,John Devine,REP,176,201,377
Jack,5,"Justice, Supreme Court, Place 4",,R.K. Sandill,DEM,14,13,27
Jack,5,"Justice, Supreme Court, Place 6",,Jeff Brown,REP,177,201,378
Jack,5,"Justice, Supreme Court, Place 6",,Kathy Cheng,DEM,13,12,25
Jack,5,"Presiding Judge, Court of Criminal Appeals",,Sharon Keller,REP,173,200,373
Jack,5,"Presiding Judge, Court of Criminal Appeals",,Maria T. (Terri) Jackson,DEM,15,11,26
Jack,5,"Presiding Judge, Court of Criminal Appeals",,William Bryan Strange III,LIB,2,4,6
Jack,5,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,REP,176,198,374
Jack,5,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,DEM,16,13,29
Jack,5,"Judge, Court of Criminal Appeals, Place 8",,Michelle Slaughter,REP,178,203,381
Jack,5,"Judge, Court of Criminal Appeals, Place 8",,Mark Ash,LIB,7,8,15
Jack,5,State Senate,30,Pat Fallon,REP,175,202,377
Jack,5,State Senate,30,Kevin Lopez,DEM,17,11,28
Jack,5,State Representative,68,Drew Springer,REP,182,208,390
Jack,5,"Chief Justice, 2nd Court of Appeals District",,Bonnie Sudderth,REP,180,206,386
Jack,5,"Justice, 2nd Court of Appeals District, Place No. 4",,Wade Birdwell,REP,181,206,387
Jack,5,"Justice, 2nd Court of Appeals District, Place No. 5",,Dabney Bassel,REP,175,200,375
Jack,5,"Justice, 2nd Court of Appeals District, Place No. 5",,Delonia A. Watson,DEM,15,11,26
Jack,5,"Justice, 2nd Court of Appeals District, Place No. 6",,Mark Pittman,REP,181,206,387
Jack,5,"District Judge, 271st Judicial District",,Brock R. Smith,REP,181,206,387
Jack,5,"Directors, Place 2",,Lori McBrayer,,89,91,180
Jack,5,"Directors, Place 2",,Joe Logan,,38,44,82
Jack,5,"Directors, Place 4",,Mark A. Maples,,112,118,230
Jack,6,Straight Party,,Republican Party    REP,REP,330,100,430
Jack,6,Straight Party,,Democratic Party   DEM,DEM,36,8,44
Jack,6,Straight Party,,Libertarian Party    LIB,LIB,1,1,2
Jack,6,U.S. Senate,,Ted Cruz,REP,433,138,571
Jack,6,U.S. Senate,,Beto O'Rourke,DEM,56,26,82
