county,office,candidate,party,precinct,precinct_name,early_voting,election_day,votes,
Hardin,Commissioner of the General Land Office,George Bush,REP,14,pinewood fire station,9,65,74,
Hardin,Commissioner of the General Land Office,Jerry Patterson,REP,14,pinewood fire station,7,27,34,
Hardin,Commissioner of the General Land Office,Richard Range,REP,14,pinewood fire station,0,1,1,
Hardin,Commissioner of the General Land Office,William Edwards,REP,14,pinewood fire station,1,2,3,
Hardin,Commissioner of the General Land Office,George Bush,REP,15,sour lake community cente,26,86,112,
Hardin,Commissioner of the General Land Office,Jerry Patterson,REP,15,sour lake community cente,11,40,51,
Hardin,Commissioner of the General Land Office,Richard Range,REP,15,sour lake community cente,2,12,14,
Hardin,Commissioner of the General Land Office,William Edwards,REP,15,sour lake community cente,2,5,7,
Hardin,Commissioner of the General Land Office,George Bush,REP,16,parkway life,58,84,142,
Hardin,Commissioner of the General Land Office,Jerry Patterson,REP,16,parkway life,19,33,52,
Hardin,Commissioner of the General Land Office,Richard Range,REP,16,parkway life,1,5,6,
Hardin,Commissioner of the General Land Office,William Edwards,REP,16,parkway life,4,1,5,
Hardin,Commissioner of the General Land Office,George Bush,REP,17,pineridge church,14,41,55,
Hardin,Commissioner of the General Land Office,Jerry Patterson,REP,17,pineridge church,5,18,23,
Hardin,Commissioner of the General Land Office,Richard Range,REP,17,pineridge church,3,7,10,
Hardin,Commissioner of the General Land Office,William Edwards,REP,17,pineridge church,0,1,1,
Hardin,Commissioner of the General Land Office,George Bush,REP,18,church of christ lumberto,160,259,419,
Hardin,Commissioner of the General Land Office,Jerry Patterson,REP,18,church of christ lumberto,60,79,139,
Hardin,Commissioner of the General Land Office,Richard Range,REP,18,church of christ lumberto,8,11,19,
Hardin,Commissioner of the General Land Office,William Edwards,REP,18,church of christ lumberto,9,7,16,
Hardin,Commissioner of the General Land Office,George Bush,REP,19,keith road fire station,10,38,48,
Hardin,Commissioner of the General Land Office,Jerry Patterson,REP,19,keith road fire station,9,15,24,
Hardin,Commissioner of the General Land Office,Richard Range,REP,19,keith road fire station,1,2,3,
Hardin,Commissioner of the General Land Office,William Edwards,REP,19,keith road fire station,0,3,3,
Hardin,Commissioner of the General Land Office,George Bush,REP,2,yyafa,95,190,285,
Hardin,Commissioner of the General Land Office,Jerry Patterson,REP,2,yyafa,37,50,87,
Hardin,Commissioner of the General Land Office,Richard Range,REP,2,yyafa,10,8,18,
Hardin,Commissioner of the General Land Office,William Edwards,REP,2,yyafa,2,7,9,
Hardin,Commissioner of the General Land Office,George Bush,REP,3,saratoga fire station,15,76,91,
Hardin,Commissioner of the General Land Office,Jerry Patterson,REP,3,saratoga fire station,7,17,24,
Hardin,Commissioner of the General Land Office,Richard Range,REP,3,saratoga fire station,1,8,9,
Hardin,Commissioner of the General Land Office,William Edwards,REP,3,saratoga fire station,2,6,8,
Hardin,Commissioner of the General Land Office,George Bush,REP,4,batson baptist church,18,126,144,
Hardin,Commissioner of the General Land Office,Jerry Patterson,REP,4,batson baptist church,6,56,62,
Hardin,Commissioner of the General Land Office,Richard Range,REP,4,batson baptist church,2,19,21,
Hardin,Commissioner of the General Land Office,William Edwards,REP,4,batson baptist church,1,7,8,
Hardin,Commissioner of the General Land Office,George Bush,REP,5,thicket fire station,12,67,79,
Hardin,Commissioner of the General Land Office,Jerry Patterson,REP,5,thicket fire station,3,24,27,
Hardin,Commissioner of the General Land Office,Richard Range,REP,5,thicket fire station,0,9,9,
Hardin,Commissioner of the General Land Office,William Edwards,REP,5,thicket fire station,1,4,5,
Hardin,Commissioner of the General Land Office,George Bush,REP,6,woodcrest baptist church,100,134,234,
Hardin,Commissioner of the General Land Office,Jerry Patterson,REP,6,woodcrest baptist church,22,51,73,
Hardin,Commissioner of the General Land Office,Richard Range,REP,6,woodcrest baptist church,6,21,27,
Hardin,Commissioner of the General Land Office,William Edwards,REP,6,woodcrest baptist church,4,3,7,
Hardin,Commissioner of the General Land Office,George Bush,REP,7,honey island assembly god,37,55,92,
Hardin,Commissioner of the General Land Office,Jerry Patterson,REP,7,honey island assembly god,7,17,24,
Hardin,Commissioner of the General Land Office,Richard Range,REP,7,honey island assembly god,2,5,7,
Hardin,Commissioner of the General Land Office,William Edwards,REP,7,honey island assembly god,1,3,4,
Hardin,Commissioner of the General Land Office,George Bush,REP,8,vfw hall,23,51,74,
Hardin,Commissioner of the General Land Office,Jerry Patterson,REP,8,vfw hall,3,13,16,
Hardin,Commissioner of the General Land Office,Richard Range,REP,8,vfw hall,2,2,4,
Hardin,Commissioner of the General Land Office,William Edwards,REP,8,vfw hall,5,1,6,
Hardin,Commissioner of the General Land Office,George Bush,REP,9,first assembly church,35,150,185,
Hardin,Commissioner of the General Land Office,Jerry Patterson,REP,9,first assembly church,10,58,68,
Hardin,Commissioner of the General Land Office,Richard Range,REP,9,first assembly church,3,3,6,
Hardin,Commissioner of the General Land Office,William Edwards,REP,9,first assembly church,3,10,13,
Hardin,Comptroller of Public Accounts,Joi Lynne Chevalier,DEM,1,courthouse,3,10,13,
Hardin,Comptroller of Public Accounts,Timothy Raymond Mahoney,DEM,1,courthouse,11,10,21,
Hardin,Comptroller of Public Accounts,Joi Lynne Chevalier,DEM,10,st johns episcopal church,11,12,23,
Hardin,Comptroller of Public Accounts,Timothy Raymond Mahoney,DEM,10,st johns episcopal church,9,10,19,
Hardin,Comptroller of Public Accounts,Joi Lynne Chevalier,DEM,11,wiley mae church,0,0,0,
Hardin,Comptroller of Public Accounts,Timothy Raymond Mahoney,DEM,11,wiley mae church,3,9,12,
Hardin,Comptroller of Public Accounts,Joi Lynne Chevalier,DEM,12,church of christ kountze,4,6,10,
Hardin,Comptroller of Public Accounts,Timothy Raymond Mahoney,DEM,12,church of christ kountze,3,4,7,
Hardin,Comptroller of Public Accounts,Joi Lynne Chevalier,DEM,13,pete trest,4,7,11,
Hardin,Comptroller of Public Accounts,Timothy Raymond Mahoney,DEM,13,pete trest,4,3,7,
Hardin,Comptroller of Public Accounts,Joi Lynne Chevalier,DEM,14,pinewood fire station,1,1,2,
Hardin,Comptroller of Public Accounts,Timothy Raymond Mahoney,DEM,14,pinewood fire station,1,1,2,
Hardin,Comptroller of Public Accounts,Joi Lynne Chevalier,DEM,15,sour lake community cente,1,14,15,
Hardin,Comptroller of Public Accounts,Timothy Raymond Mahoney,DEM,15,sour lake community cente,1,5,6,
Hardin,Comptroller of Public Accounts,Joi Lynne Chevalier,DEM,16,parkway church,4,7,11,
Hardin,Comptroller of Public Accounts,Timothy Raymond Mahoney,DEM,16,parkway church,2,6,8,
Hardin,Comptroller of Public Accounts,Joi Lynne Chevalier,DEM,17,pineridge church,1,1,2,
Hardin,Comptroller of Public Accounts,Timothy Raymond Mahoney,DEM,17,pineridge church,3,4,7,
Hardin,Comptroller of Public Accounts,Joi Lynne Chevalier,DEM,18,church of christ lumberto,17,14,31,
Hardin,Comptroller of Public Accounts,Timothy Raymond Mahoney,DEM,18,church of christ lumberto,18,11,29,
Hardin,Comptroller of Public Accounts,Joi Lynne Chevalier,DEM,19,keith road fire station,2,4,6,
Hardin,Comptroller of Public Accounts,Timothy Raymond Mahoney,DEM,19,keith road fire station,4,5,9,
Hardin,Comptroller of Public Accounts,Joi Lynne Chevalier,DEM,2,yyafa,16,17,33,
Hardin,Comptroller of Public Accounts,Timothy Raymond Mahoney,DEM,2,yyafa,8,13,21,
Hardin,Comptroller of Public Accounts,Joi Lynne Chevalier,DEM,3,saratoga fire station,1,1,2,
Hardin,Comptroller of Public Accounts,Timothy Raymond Mahoney,DEM,3,saratoga fire station,0,0,0,
Hardin,Comptroller of Public Accounts,Joi Lynne Chevalier,DEM,4,first baptist batson,0,0,0,
Hardin,Comptroller of Public Accounts,Timothy Raymond Mahoney,DEM,4,first baptist batson,0,3,3,
Hardin,Comptroller of Public Accounts,Joi Lynne Chevalier,DEM,5,thicket fire station,0,1,1,
Hardin,Comptroller of Public Accounts,Timothy Raymond Mahoney,DEM,5,thicket fire station,0,3,3,
Hardin,Comptroller of Public Accounts,Joi Lynne Chevalier,DEM,6,crestwood baptist church,6,14,20,
Hardin,Comptroller of Public Accounts,Timothy Raymond Mahoney,DEM,6,crestwood baptist church,15,19,34,
Hardin,Comptroller of Public Accounts,Joi Lynne Chevalier,DEM,7,assembly of god honey isl,0,0,0,
Hardin,Comptroller of Public Accounts,Timothy Raymond Mahoney,DEM,7,assembly of god honey isl,0,0,0,
Hardin,Comptroller of Public Accounts,Joi Lynne Chevalier,DEM,8,vfw hall village mills,0,4,4,
Hardin,Comptroller of Public Accounts,Timothy Raymond Mahoney,DEM,8,vfw hall village mills,5,2,7,
Hardin,Comptroller of Public Accounts,Joi Lynne Chevalier,DEM,9,assembly of god silsbee,9,11,20,
Hardin,Comptroller of Public Accounts,Timothy Raymond Mahoney,DEM,9,assembly of god silsbee,9,16,25,
Hardin,Comptroller of Public Accounts,Glenn Hegar,REP,1,courthouse,64,50,114,
Hardin,Comptroller of Public Accounts,Glenn Hegar,REP,10,st johns episcopal church,15,49,64,
Hardin,Comptroller of Public Accounts,Glenn Hegar,REP,11,wiley mae church,24,43,67,
Hardin,Comptroller of Public Accounts,Glenn Hegar,REP,12,church of christ kountze,48,46,94,
Hardin,Comptroller of Public Accounts,Glenn Hegar,REP,13,pete trest building,96,122,218,
Hardin,Comptroller of Public Accounts,Glenn Hegar,REP,14,pinewood fire station,14,77,91,
Hardin,Comptroller of Public Accounts,Glenn Hegar,REP,15,sour lake community cente,36,123,159,
Hardin,Comptroller of Public Accounts,Glenn Hegar,REP,16,parkway life,73,108,181,
Hardin,Comptroller of Public Accounts,Glenn Hegar,REP,17,pineridge church,15,61,76,
Hardin,Comptroller of Public Accounts,Glenn Hegar,REP,18,church of christ lumberto,215,306,521,
Hardin,Comptroller of Public Accounts,Glenn Hegar,REP,19,keith road fire station,14,50,64,
Hardin,Comptroller of Public Accounts,Glenn Hegar,REP,2,yyafa,117,221,338,
Hardin,Comptroller of Public Accounts,Glenn Hegar,REP,3,saratoga fire station,23,93,116,
Hardin,Comptroller of Public Accounts,Glenn Hegar,REP,4,batson baptist church,21,174,195,
Hardin,Comptroller of Public Accounts,Glenn Hegar,REP,5,thicket fire station,14,86,100,
Hardin,Comptroller of Public Accounts,Glenn Hegar,REP,6,woodcrest baptist church,122,178,300,
Hardin,Comptroller of Public Accounts,Glenn Hegar,REP,7,honey island assembly god,37,65,102,
Hardin,Comptroller of Public Accounts,Glenn Hegar,REP,8,vfw hall,31,58,89,
Hardin,Comptroller of Public Accounts,Glenn Hegar,REP,9,first assembly church,44,182,226,
Hardin,Governor,Adrian Ocegueda,DEM,1,courthouse,0,2,2,courthouse
Hardin,Governor,"Cedric Wayne Davis, Sr.",DEM,1,courthouse,1,3,4,courthouse
Hardin,Governor,Grady Yarbrough,DEM,1,courthouse,5,3,8,courthouse
Hardin,Governor,Guadalupe Valdez,DEM,1,courthouse,2,4,6,courthouse
Hardin,Governor,James Jolly Clark,DEM,1,courthouse,0,0,0,courthouse
Hardin,Governor,Jeffrey Alan Payne,DEM,1,courthouse,1,3,4,courthouse
Hardin,Governor,Joseph William Mumbach,DEM,1,courthouse,0,0,0,courthouse
Hardin,Governor,Robert Andrew  White,DEM,1,courthouse,5,4,9,courthouse
Hardin,Governor,Thomas John Wakely,DEM,1,courthouse,0,1,1,courthouse
Hardin,Governor,Adrian Ocegueda,DEM,10,st johns episcopal church,2,1,3,st johns episcopal church
Hardin,Governor,"Cedric Wayne Davis, Sr.",DEM,10,st johns episcopal church,2,8,10,st johns episcopal church
Hardin,Governor,Grady Yarbrough,DEM,10,st johns episcopal church,6,2,8,st johns episcopal church
Hardin,Governor,Guadalupe Valdez,DEM,10,st johns episcopal church,3,2,5,st johns episcopal church
Hardin,Governor,James Jolly Clark,DEM,10,st johns episcopal church,0,0,0,st johns episcopal church
Hardin,Governor,Jeffrey Alan Payne,DEM,10,st johns episcopal church,2,1,3,st johns episcopal church
