county,precinct_number,office,district,candidate,party,early_voting,election_day,votes
Bee,16,County Clerk,,Nickelle Clark Gonzales,REP,51,51,102
Bee,17,County Clerk,,Susana Moron,DEM,33,31,64
Bee,17,County Clerk,,Nickelle Clark Gonzales,REP,42,33,75
Bee,18,County Clerk,,Susana Moron,DEM,22,23,45
Bee,18,County Clerk,,Nickelle Clark Gonzales,REP,121,85,206
Bee,19,County Clerk,,Susana Moron,DEM,21,7,28
Bee,19,County Clerk,,Nickelle Clark Gonzales,REP,2,3,5
Bee,3,"County Commisisoner, Precinct No. 4",,Richard (Rick) Olivares,DEM,39,23,62
Bee,4,"County Commisisoner, Precinct No. 4",,Richard (Rick) Olivares,DEM,5,7,12
Bee,6,"County Commisisoner, Precinct No. 4",,Richard (Rick) Olivares,DEM,77,57,134
Bee,14,"County Commisisoner, Precinct No. 4",,Richard (Rick) Olivares,DEM,16,12,28
Bee,2,"County Commissioner, Precinct No. 2",,Mirella Escamilla Davis,DEM,0,1,1
Bee,2,"County Commissioner, Precinct No. 2",,Dennis DeWitt,REP,10,34,44
Bee,2,"County Commissioner, Precinct No. 2",,Mike Smith,REP,3,16,19
Bee,5,"County Commissioner, Precinct No. 2",,Mirella Escamilla Davis,DEM,0,4,4
Bee,5,"County Commissioner, Precinct No. 2",,Dennis DeWitt,REP,3,16,19
Bee,5,"County Commissioner, Precinct No. 2",,Mike Smith,REP,6,40,46
Bee,8,"County Commissioner, Precinct No. 2",,Mirella Escamilla Davis,DEM,3,2,5
Bee,8,"County Commissioner, Precinct No. 2",,Dennis DeWitt,REP,17,5,22
Bee,8,"County Commissioner, Precinct No. 2",,Mike Smith,REP,1,16,17
Bee,11,"County Commissioner, Precinct No. 2",,Mirella Escamilla Davis,DEM,2,6,8
Bee,11,"County Commissioner, Precinct No. 2",,Dennis DeWitt,REP,4,12,16
Bee,11,"County Commissioner, Precinct No. 2",,Mike Smith,REP,2,9,11
Bee,12,"County Commissioner, Precinct No. 2",,Mirella Escamilla Davis,DEM,6,2,8
Bee,12,"County Commissioner, Precinct No. 2",,Dennis DeWitt,REP,9,24,33
Bee,12,"County Commissioner, Precinct No. 2",,Mike Smith,REP,3,11,14
Bee,16,"County Commissioner, Precinct No. 2",,Mirella Escamilla Davis,DEM,14,13,27
Bee,16,"County Commissioner, Precinct No. 2",,Dennis DeWitt,REP,41,41,82
Bee,16,"County Commissioner, Precinct No. 2",,Mike Smith,REP,18,18,36
Bee,18,"County Commissioner, Precinct No. 2",,Mirella Escamilla Davis,DEM,23,25,48
Bee,18,"County Commissioner, Precinct No. 2",,Dennis DeWitt,REP,137,92,229
Bee,18,"County Commissioner, Precinct No. 2",,Mike Smith,REP,17,20,37
Bee,3,"County Commissioner, Precinct No. 4",,Ken Haggard,REP,69,51,120
Bee,4,"County Commissioner, Precinct No. 4",,Ken Haggard,REP,14,19,33
Bee,6,"County Commissioner, Precinct No. 4",,Ken Haggard,REP,25,57,82
Bee,14,"County Commissioner, Precinct No. 4",,Ken Haggard,REP,5,13,18
Bee,1,County Judge,,"Stephanie ""Silvas"" Moreno",REP,86,97,183
Bee,2,County Judge,,"Stephanie ""Silvas"" Moreno",REP,9,40,49
Bee,3,County Judge,,"Stephanie ""Silvas"" Moreno",REP,68,55,123
Bee,4,County Judge,,"Stephanie ""Silvas"" Moreno",REP,14,18,32
Bee,5,County Judge,,"Stephanie ""Silvas"" Moreno",REP,5,44,49
Bee,6,County Judge,,"Stephanie ""Silvas"" Moreno",REP,22,53,75
Bee,8,County Judge,,"Stephanie ""Silvas"" Moreno",REP,17,13,30
Bee,9,County Judge,,"Stephanie ""Silvas"" Moreno",REP,11,10,21
Bee,10,County Judge,,"Stephanie ""Silvas"" Moreno",REP,20,14,34
Bee,11,County Judge,,"Stephanie ""Silvas"" Moreno",REP,5,15,20
Bee,12,County Judge,,"Stephanie ""Silvas"" Moreno",REP,12,29,41
Bee,13,County Judge,,"Stephanie ""Silvas"" Moreno",REP,45,85,130
Bee,14,County Judge,,"Stephanie ""Silvas"" Moreno",REP,6,13,19
Bee,16,County Judge,,"Stephanie ""Silvas"" Moreno",REP,50,50,100
Bee,17,County Judge,,"Stephanie ""Silvas"" Moreno",REP,48,39,87
Bee,18,County Judge,,"Stephanie ""Silvas"" Moreno",REP,138,99,237
Bee,19,County Judge,,"Stephanie ""Silvas"" Moreno",REP,3,3,6
Bee,1,District Clerk,,Sara Trevino,DEM,37,37,74
Bee,1,District Clerk,,Zenaida Silva,REP,85,98,183
Bee,2,District Clerk,,Sara Trevino,DEM,0,2,2
Bee,2,District Clerk,,Zenaida Silva,REP,10,36,46
Bee,3,District Clerk,,Sara Trevino,DEM,38,26,64
Bee,3,District Clerk,,Zenaida Silva,REP,73,54,127
Bee,4,District Clerk,,Sara Trevino,DEM,5,7,12
Bee,4,District Clerk,,Zenaida Silva,REP,13,17,30
Bee,5,District Clerk,,Sara Trevino,DEM,0,2,2
Bee,5,District Clerk,,Zenaida Silva,REP,5,41,46
Bee,6,District Clerk,,Sara Trevino,DEM,49,62,111
Bee,6,District Clerk,,Zenaida Silva,REP,22,52,74
Bee,8,District Clerk,,Sara Trevino,DEM,3,2,5
Bee,8,District Clerk,,Zenaida Silva,REP,16,15,31
Bee,9,District Clerk,,Sara Trevino,DEM,31,35,66
Bee,9,District Clerk,,Zenaida Silva,REP,12,10,22
Bee,10,District Clerk,,Sara Trevino,DEM,32,19,51
Bee,10,District Clerk,,Zenaida Silva,REP,21,13,34
Bee,11,District Clerk,,Sara Trevino,DEM,2,6,8
Bee,11,District Clerk,,Zenaida Silva,REP,5,16,21
Bee,12,District Clerk,,Sara Trevino,DEM,3,2,5
Bee,12,District Clerk,,Zenaida Silva,REP,12,28,40
Bee,13,District Clerk,,Sara Trevino,DEM,27,28,55
Bee,13,District Clerk,,Zenaida Silva,REP,44,85,129
Bee,14,District Clerk,,Sara Trevino,DEM,16,10,26
Bee,14,District Clerk,,Zenaida Silva,REP,6,12,18
Bee,16,District Clerk,,Sara Trevino,DEM,11,14,25
Bee,16,District Clerk,,Zenaida Silva,REP,56,54,110
Bee,17,District Clerk,,Sara Trevino,DEM,32,29,61
Bee,17,District Clerk,,Zenaida Silva,REP,45,37,82
Bee,18,District Clerk,,Sara Trevino,DEM,19,24,43
Bee,18,District Clerk,,Zenaida Silva,REP,131,94,225
Bee,19,District Clerk,,Sara Trevino,DEM,19,7,26
Bee,19,District Clerk,,Zenaida Silva,REP,2,3,5
Bee,1,"District Judge, 156th Judicial District",,Patrick L. Flanigan,REP,80,93,173
Bee,2,"District Judge, 156th Judicial District",,Patrick L. Flanigan,REP,9,35,44
Bee,3,"District Judge, 156th Judicial District",,Patrick L. Flanigan,REP,67,52,119
Bee,4,"District Judge, 156th Judicial District",,Patrick L. Flanigan,REP,13,19,32
Bee,5,"District Judge, 156th Judicial District",,Patrick L. Flanigan,REP,4,36,40
Bee,6,"District Judge, 156th Judicial District",,Patrick L. Flanigan,REP,23,50,73
Bee,8,"District Judge, 156th Judicial District",,Patrick L. Flanigan,REP,15,16,31
Bee,9,"District Judge, 156th Judicial District",,Patrick L. Flanigan,REP,10,8,18
Bee,10,"District Judge, 156th Judicial District",,Patrick L. Flanigan,REP,19,12,31
Bee,11,"District Judge, 156th Judicial District",,Patrick L. Flanigan,REP,5,16,21
Bee,12,"District Judge, 156th Judicial District",,Patrick L. Flanigan,REP,11,30,41
Bee,13,"District Judge, 156th Judicial District",,Patrick L. Flanigan,REP,41,83,124
Bee,14,"District Judge, 156th Judicial District",,Patrick L. Flanigan,REP,5,12,17
Bee,16,"District Judge, 156th Judicial District",,Patrick L. Flanigan,REP,49,47,96
Bee,17,"District Judge, 156th Judicial District",,Patrick L. Flanigan,REP,43,31,74
Bee,18,"District Judge, 156th Judicial District",,Patrick L. Flanigan,REP,120,85,205
Bee,19,"District Judge, 156th Judicial District",,Patrick L. Flanigan,REP,2,3,5
Bee,1,"District Judge, 36th Judicial District",,Starr Bauer,REP,87,98,185
Bee,1,"District Judge, 36th Judicial District",,Jason Keeney,REP,13,15,28
Bee,2,"District Judge, 36th Judicial District",,Starr Bauer,REP,10,39,49
Bee,2,"District Judge, 36th Judicial District",,Jason Keeney,REP,3,9,12
Bee,3,"District Judge, 36th Judicial District",,Starr Bauer,REP,71,51,122
Bee,3,"District Judge, 36th Judicial District",,Jason Keeney,REP,9,8,17
Bee,4,"District Judge, 36th Judicial District",,Starr Bauer,REP,12,13,25
Bee,4,"District Judge, 36th Judicial District",,Jason Keeney,REP,4,9,13
Bee,5,"District Judge, 36th Judicial District",,Starr Bauer,REP,9,36,45
Bee,5,"District Judge, 36th Judicial District",,Jason Keeney,REP,0,16,16
Bee,6,"District Judge, 36th Judicial District",,Starr Bauer,REP,22,50,72
Bee,6,"District Judge, 36th Judicial District",,Jason Keeney,REP,8,15,23
Bee,8,"District Judge, 36th Judicial District",,Starr Bauer,REP,15,16,31
Bee,8,"District Judge, 36th Judicial District",,Jason Keeney,REP,3,6,9
Bee,9,"District Judge, 36th Judicial District",,Starr Bauer,REP,13,9,22
Bee,9,"District Judge, 36th Judicial District",,Jason Keeney,REP,2,1,3
Bee,10,"District Judge, 36th Judicial District",,Starr Bauer,REP,18,11,29
Bee,10,"District Judge, 36th Judicial District",,Jason Keeney,REP,5,5,10
Bee,11,"District Judge, 36th Judicial District",,Starr Bauer,REP,5,15,20
Bee,11,"District Judge, 36th Judicial District",,Jason Keeney,REP,1,6,7
Bee,12,"District Judge, 36th Judicial District",,Starr Bauer,REP,12,34,46
Bee,12,"District Judge, 36th Judicial District",,Jason Keeney,REP,0,1,1
Bee,13,"District Judge, 36th Judicial District",,Starr Bauer,REP,42,72,114
Bee,13,"District Judge, 36th Judicial District",,Jason Keeney,REP,8,30,38
Bee,14,"District Judge, 36th Judicial District",,Starr Bauer,REP,3,15,18
Bee,14,"District Judge, 36th Judicial District",,Jason Keeney,REP,1,2,3
Bee,16,"District Judge, 36th Judicial District",,Starr Bauer,REP,50,41,91
Bee,16,"District Judge, 36th Judicial District",,Jason Keeney,REP,9,17,26
Bee,17,"District Judge, 36th Judicial District",,Starr Bauer,REP,45,43,88
Bee,17,"District Judge, 36th Judicial District",,Jason Keeney,REP,6,2,8
Bee,18,"District Judge, 36th Judicial District",,Starr Bauer,REP,145,100,245
Bee,18,"District Judge, 36th Judicial District",,Jason Keeney,REP,15,16,31
Bee,19,"District Judge, 36th Judicial District",,Starr Bauer,REP,4,3,7
Bee,19,"District Judge, 36th Judicial District",,Jason Keeney,REP,0,0,0
Bee,1,Governor,,Andrew White,DEM,6,9,15
Bee,1,Governor,,Grady Yarbrough,DEM,8,2,10
Bee,1,Governor,,"Cedric Davis, Sr.",DEM,1,0,1
Bee,1,Governor,,Tom Wakely,DEM,1,2,3
Bee,1,Governor,,James Jolly Clark,DEM,0,0,0
Bee,1,Governor,,Jeffrey Payne,DEM,1,1,2
Bee,1,Governor,,Joe Mumbach,DEM,0,0,0
Bee,1,Governor,,Adrian Ocegueda,DEM,1,3,4
Bee,1,Governor,,Lupe Valdez,DEM,22,26,48
Bee,1,Governor,,SECEDE Kilgore,REP,2,2,4
Bee,1,Governor,,Greg Abbott,REP,88,107,195
Bee,1,Governor,,Barbara Krueger,REP,10,5,15
Bee,2,Governor,,Andrew White,DEM,0,1,1
Bee,2,Governor,,Grady Yarbrough,DEM,0,0,0
Bee,2,Governor,,"Cedric Davis, Sr.",DEM,0,1,1
Bee,2,Governor,,Tom Wakely,DEM,0,0,0
Bee,2,Governor,,James Jolly Clark,DEM,0,0,0
Bee,2,Governor,,Jeffrey Payne,DEM,0,0,0
Bee,2,Governor,,Joe Mumbach,DEM,0,0,0
Bee,2,Governor,,Adrian Ocegueda,DEM,0,0,0
Bee,2,Governor,,Lupe Valdez,DEM,0,0,0
Bee,2,Governor,,SECEDE Kilgore,REP,0,0,0
Bee,2,Governor,,Greg Abbott,REP,12,49,61
Bee,2,Governor,,Barbara Krueger,REP,1,2,3
Bee,3,Governor,,Andrew White,DEM,11,4,15
Bee,3,Governor,,Grady Yarbrough,DEM,8,6,14
Bee,3,Governor,,"Cedric Davis, Sr.",DEM,0,2,2
Bee,3,Governor,,Tom Wakely,DEM,1,0,1
Bee,3,Governor,,James Jolly Clark,DEM,1,0,1
Bee,3,Governor,,Jeffrey Payne,DEM,0,0,0
Bee,3,Governor,,Joe Mumbach,DEM,0,0,0
Bee,3,Governor,,Adrian Ocegueda,DEM,1,1,2
Bee,3,Governor,,Lupe Valdez,DEM,18,15,33
Bee,3,Governor,,SECEDE Kilgore,REP,1,0,1
Bee,3,Governor,,Greg Abbott,REP,77,57,134
Bee,3,Governor,,Barbara Krueger,REP,2,3,5
Bee,4,Governor,,Andrew White,DEM,2,3,5
Bee,4,Governor,,Grady Yarbrough,DEM,1,0,1
Bee,4,Governor,,"Cedric Davis, Sr.",DEM,0,0,0
Bee,4,Governor,,Tom Wakely,DEM,0,0,0
Bee,4,Governor,,James Jolly Clark,DEM,0,0,0
Bee,4,Governor,,Jeffrey Payne,DEM,1,0,1
Bee,4,Governor,,Joe Mumbach,DEM,0,0,0
Bee,4,Governor,,Adrian Ocegueda,DEM,0,1,1
Bee,4,Governor,,Lupe Valdez,DEM,2,3,5
Bee,4,Governor,,SECEDE Kilgore,REP,0,0,0
Bee,4,Governor,,Greg Abbott,REP,14,21,35
Bee,4,Governor,,Barbara Krueger,REP,2,1,3
Bee,5,Governor,,Andrew White,DEM,0,1,1
Bee,5,Governor,,Grady Yarbrough,DEM,0,1,1
Bee,5,Governor,,"Cedric Davis, Sr.",DEM,0,0,0
Bee,5,Governor,,Tom Wakely,DEM,0,0,0
Bee,5,Governor,,James Jolly Clark,DEM,0,0,0
Bee,5,Governor,,Jeffrey Payne,DEM,0,0,0
Bee,5,Governor,,Joe Mumbach,DEM,0,0,0
Bee,5,Governor,,Adrian Ocegueda,DEM,0,0,0
Bee,5,Governor,,Lupe Valdez,DEM,0,0,0
Bee,5,Governor,,SECEDE Kilgore,REP,0,0,0
Bee,5,Governor,,Greg Abbott,REP,8,51,59
Bee,5,Governor,,Barbara Krueger,REP,0,3,3
Bee,6,Governor,,Andrew White,DEM,7,6,13
Bee,6,Governor,,Grady Yarbrough,DEM,15,13,28
Bee,6,Governor,,"Cedric Davis, Sr.",DEM,0,2,2
Bee,6,Governor,,Tom Wakely,DEM,1,3,4
Bee,6,Governor,,James Jolly Clark,DEM,0,2,2
Bee,6,Governor,,Jeffrey Payne,DEM,0,3,3
Bee,6,Governor,,Joe Mumbach,DEM,0,0,0
Bee,6,Governor,,Adrian Ocegueda,DEM,9,6,15
Bee,6,Governor,,Lupe Valdez,DEM,28,28,56
Bee,6,Governor,,SECEDE Kilgore,REP,0,1,1
Bee,6,Governor,,Greg Abbott,REP,29,66,95
Bee,6,Governor,,Barbara Krueger,REP,2,1,3
Bee,8,Governor,,Andrew White,DEM,0,1,1
Bee,8,Governor,,Grady Yarbrough,DEM,3,0,3
Bee,8,Governor,,"Cedric Davis, Sr.",DEM,0,0,0
Bee,8,Governor,,Tom Wakely,DEM,0,0,0
Bee,8,Governor,,James Jolly Clark,DEM,0,0,0
Bee,8,Governor,,Jeffrey Payne,DEM,0,0,0
Bee,8,Governor,,Joe Mumbach,DEM,0,0,0
Bee,8,Governor,,Adrian Ocegueda,DEM,0,0,0
Bee,8,Governor,,Lupe Valdez,DEM,0,1,1
Bee,8,Governor,,SECEDE Kilgore,REP,0,0,0
Bee,8,Governor,,Greg Abbott,REP,18,20,38
Bee,8,Governor,,Barbara Krueger,REP,0,1,1
Bee,9,Governor,,Andrew White,DEM,4,6,10
Bee,9,Governor,,Grady Yarbrough,DEM,5,0,5
Bee,9,Governor,,"Cedric Davis, Sr.",DEM,0,3,3
Bee,9,Governor,,Tom Wakely,DEM,1,1,2
Bee,9,Governor,,James Jolly Clark,DEM,0,1,1
Bee,9,Governor,,Jeffrey Payne,DEM,0,0,0
Bee,9,Governor,,Joe Mumbach,DEM,1,0,1
Bee,9,Governor,,Adrian Ocegueda,DEM,2,6,8
Bee,9,Governor,,Lupe Valdez,DEM,22,20,42
Bee,9,Governor,,SECEDE Kilgore,REP,1,0,1
Bee,9,Governor,,Greg Abbott,REP,13,9,22
Bee,9,Governor,,Barbara Krueger,REP,1,1,2
Bee,10,Governor,,Andrew White,DEM,4,1,5
Bee,10,Governor,,Grady Yarbrough,DEM,3,3,6
Bee,10,Governor,,"Cedric Davis, Sr.",DEM,0,0,0
Bee,10,Governor,,Tom Wakely,DEM,1,3,4
Bee,10,Governor,,James Jolly Clark,DEM,1,0,1
Bee,10,Governor,,Jeffrey Payne,DEM,1,1,2
Bee,10,Governor,,Joe Mumbach,DEM,2,0,2
Bee,10,Governor,,Adrian Ocegueda,DEM,3,3,6
Bee,10,Governor,,Lupe Valdez,DEM,18,12,30
Bee,10,Governor,,SECEDE Kilgore,REP,1,0,1
Bee,10,Governor,,Greg Abbott,REP,23,14,37
Bee,10,Governor,,Barbara Krueger,REP,1,0,1
Bee,11,Governor,,Andrew White,DEM,0,1,1
Bee,11,Governor,,Grady Yarbrough,DEM,1,0,1
Bee,11,Governor,,"Cedric Davis, Sr.",DEM,0,0,0
Bee,11,Governor,,Tom Wakely,DEM,0,1,1
Bee,11,Governor,,James Jolly Clark,DEM,0,0,0
Bee,11,Governor,,Jeffrey Payne,DEM,0,0,0
Bee,11,Governor,,Joe Mumbach,DEM,0,0,0
Bee,11,Governor,,Adrian Ocegueda,DEM,0,0,0
Bee,11,Governor,,Lupe Valdez,DEM,2,4,6
Bee,11,Governor,,SECEDE Kilgore,REP,0,0,0
Bee,11,Governor,,Greg Abbott,REP,6,22,28
Bee,11,Governor,,Barbara Krueger,REP,0,0,0
Bee,12,Governor,,Andrew White,DEM,0,1,1
Bee,12,Governor,,Grady Yarbrough,DEM,0,0,0
Bee,12,Governor,,"Cedric Davis, Sr.",DEM,0,0,0
Bee,12,Governor,,Tom Wakely,DEM,1,0,1
Bee,12,Governor,,James Jolly Clark,DEM,0,0,0
Bee,12,Governor,,Jeffrey Payne,DEM,0,0,0
Bee,12,Governor,,Joe Mumbach,DEM,0,0,0
Bee,12,Governor,,Adrian Ocegueda,DEM,0,0,0
Bee,12,Governor,,Lupe Valdez,DEM,2,1,3
Bee,12,Governor,,SECEDE Kilgore,REP,0,0,0
Bee,12,Governor,,Greg Abbott,REP,9,36,45
Bee,12,Governor,,Barbara Krueger,REP,3,1,4
Bee,13,Governor,,Andrew White,DEM,7,5,12
Bee,13,Governor,,Grady Yarbrough,DEM,6,7,13
Bee,13,Governor,,"Cedric Davis, Sr.",DEM,0,1,1
Bee,13,Governor,,Tom Wakely,DEM,0,1,1
Bee,13,Governor,,James Jolly Clark,DEM,0,0,0
Bee,13,Governor,,Jeffrey Payne,DEM,0,0,0
Bee,13,Governor,,Joe Mumbach,DEM,1,0,1
Bee,13,Governor,,Adrian Ocegueda,DEM,1,2,3
Bee,13,Governor,,Lupe Valdez,DEM,15,15,30
Bee,13,Governor,,SECEDE Kilgore,REP,0,2,2
Bee,13,Governor,,Greg Abbott,REP,45,94,139
Bee,13,Governor,,Barbara Krueger,REP,3,5,8
Bee,14,Governor,,Andrew White,DEM,0,0,0
Bee,14,Governor,,Grady Yarbrough,DEM,0,2,2
Bee,14,Governor,,"Cedric Davis, Sr.",DEM,0,0,0
Bee,14,Governor,,Tom Wakely,DEM,0,1,1
Bee,14,Governor,,James Jolly Clark,DEM,0,1,1
Bee,14,Governor,,Jeffrey Payne,DEM,0,0,0
Bee,14,Governor,,Joe Mumbach,DEM,0,0,0
Bee,14,Governor,,Adrian Ocegueda,DEM,3,0,3
Bee,14,Governor,,Lupe Valdez,DEM,13,7,20
Bee,14,Governor,,SECEDE Kilgore,REP,0,0,0
Bee,14,Governor,,Greg Abbott,REP,6,18,24
Bee,14,Governor,,Barbara Krueger,REP,0,0,0
Bee,16,Governor,,Andrew White,DEM,4,3,7
Bee,16,Governor,,Grady Yarbrough,DEM,2,1,3
Bee,16,Governor,,"Cedric Davis, Sr.",DEM,2,2,4
Bee,16,Governor,,Tom Wakely,DEM,1,2,3
Bee,16,Governor,,James Jolly Clark,DEM,0,0,0
Bee,16,Governor,,Jeffrey Payne,DEM,0,2,2
Bee,16,Governor,,Joe Mumbach,DEM,0,0,0
Bee,16,Governor,,Adrian Ocegueda,DEM,1,0,1
Bee,16,Governor,,Lupe Valdez,DEM,3,7,10
Bee,16,Governor,,SECEDE Kilgore,REP,0,2,2
Bee,16,Governor,,Greg Abbott,REP,47,51,98
Bee,16,Governor,,Barbara Krueger,REP,10,6,16
Bee,17,Governor,,Andrew White,DEM,9,7,16
Bee,17,Governor,,Grady Yarbrough,DEM,7,3,10
Bee,17,Governor,,"Cedric Davis, Sr.",DEM,0,0,0
Bee,17,Governor,,Tom Wakely,DEM,0,1,1
Bee,17,Governor,,James Jolly Clark,DEM,3,0,3
Bee,17,Governor,,Jeffrey Payne,DEM,1,0,1
Bee,17,Governor,,Joe Mumbach,DEM,0,0,0
Bee,17,Governor,,Adrian Ocegueda,DEM,3,2,5
Bee,17,Governor,,Lupe Valdez,DEM,12,21,33
Bee,17,Governor,,SECEDE Kilgore,REP,0,0,0
Bee,17,Governor,,Greg Abbott,REP,51,41,92
Bee,17,Governor,,Barbara Krueger,REP,0,0,0
Bee,18,Governor,,Andrew White,DEM,9,5,14
Bee,18,Governor,,Grady Yarbrough,DEM,0,2,2
Bee,18,Governor,,"Cedric Davis, Sr.",DEM,0,1,1
Bee,18,Governor,,Tom Wakely,DEM,1,1,2
Bee,18,Governor,,James Jolly Clark,DEM,0,0,0
Bee,18,Governor,,Jeffrey Payne,DEM,0,0,0
Bee,18,Governor,,Joe Mumbach,DEM,0,0,0
Bee,18,Governor,,Adrian Ocegueda,DEM,1,3,4
Bee,18,Governor,,Lupe Valdez,DEM,11,12,23
Bee,18,Governor,,SECEDE Kilgore,REP,0,0,0
Bee,18,Governor,,Greg Abbott,REP,149,105,254
Bee,18,Governor,,Barbara Krueger,REP,9,7,16
Bee,19,Governor,,Andrew White,DEM,3,2,5
Bee,19,Governor,,Grady Yarbrough,DEM,2,1,3
Bee,19,Governor,,"Cedric Davis, Sr.",DEM,0,0,0
Bee,19,Governor,,Tom Wakely,DEM,0,0,0
Bee,19,Governor,,James Jolly Clark,DEM,0,0,0
Bee,19,Governor,,Jeffrey Payne,DEM,0,0,0
Bee,19,Governor,,Joe Mumbach,DEM,1,0,1
Bee,19,Governor,,Adrian Ocegueda,DEM,3,0,3
Bee,19,Governor,,Lupe Valdez,DEM,13,4,17
Bee,19,Governor,,SECEDE Kilgore,REP,0,0,0
Bee,19,Governor,,Greg Abbott,REP,4,2,6
Bee,19,Governor,,Barbara Krueger,REP,0,1,1
Bee,1,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,DEM,31,37,68
Bee,1,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,REP,78,89,167
Bee,2,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,DEM,0,0,0
Bee,2,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,REP,7,32,39
Bee,3,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,DEM,37,24,61
Bee,3,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,REP,62,54,116
Bee,4,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,DEM,4,7,11
Bee,4,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,REP,13,17,30
Bee,5,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,DEM,0,2,2
Bee,5,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,REP,6,37,43
Bee,6,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,DEM,42,51,93
Bee,6,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,REP,22,52,74
Bee,8,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,DEM,3,2,5
Bee,8,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,REP,14,15,29
Bee,9,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,DEM,33,31,64
Bee,9,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,REP,12,7,19
Bee,10,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,DEM,30,19,49
Bee,10,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,REP,20,10,30
Bee,11,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,DEM,1,6,7
Bee,11,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,REP,5,13,18
Bee,12,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,DEM,2,2,4
Bee,12,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,REP,11,29,40
Bee,13,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,DEM,26,28,54
Bee,13,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,REP,38,80,118
Bee,14,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,DEM,15,7,22
Bee,14,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,REP,6,12,18
Bee,16,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,DEM,11,15,26
Bee,16,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,REP,49,39,88
Bee,17,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,DEM,31,26,57
Bee,17,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,REP,42,27,69
Bee,18,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,DEM,20,25,45
Bee,18,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,REP,110,86,196
Bee,19,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,DEM,16,7,23
Bee,19,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,REP,1,3,4
Bee,1,"Judge, Court of Criminal Appeals, Place 8",,Dib Waldrip,REP,8,10,18
Bee,1,"Judge, Court of Criminal Appeals, Place 8",,Jay Brandon,REP,32,39,71
Bee,1,"Judge, Court of Criminal Appeals, Place 8",,Michelle Slaughter,REP,39,43,82
Bee,2,"Judge, Court of Criminal Appeals, Place 8",,Dib Waldrip,REP,3,7,10
Bee,2,"Judge, Court of Criminal Appeals, Place 8",,Jay Brandon,REP,3,15,18
Bee,2,"Judge, Court of Criminal Appeals, Place 8",,Michelle Slaughter,REP,5,15,20
Bee,3,"Judge, Court of Criminal Appeals, Place 8",,Dib Waldrip,REP,9,8,17
Bee,3,"Judge, Court of Criminal Appeals, Place 8",,Jay Brandon,REP,21,23,44
Bee,3,"Judge, Court of Criminal Appeals, Place 8",,Michelle Slaughter,REP,34,21,55
Bee,4,"Judge, Court of Criminal Appeals, Place 8",,Dib Waldrip,REP,2,2,4
Bee,4,"Judge, Court of Criminal Appeals, Place 8",,Jay Brandon,REP,5,5,10
Bee,4,"Judge, Court of Criminal Appeals, Place 8",,Michelle Slaughter,REP,7,10,17
Bee,5,"Judge, Court of Criminal Appeals, Place 8",,Dib Waldrip,REP,1,6,7
Bee,5,"Judge, Court of Criminal Appeals, Place 8",,Jay Brandon,REP,2,17,19
Bee,5,"Judge, Court of Criminal Appeals, Place 8",,Michelle Slaughter,REP,4,19,23
Bee,6,"Judge, Court of Criminal Appeals, Place 8",,Dib Waldrip,REP,6,10,16
Bee,6,"Judge, Court of Criminal Appeals, Place 8",,Jay Brandon,REP,10,21,31
