county,office,district,candidate,party,precinct,precinct_name,early_voting,election_day,votes
Sterling,Commissioner of Agriculture,,Trey Blocker,REP,4,Sterling Depot,3,9,12
Sterling,Railroad Commissioner,,Christi Craddick,REP,1,Community Center,34,38,72
Sterling,Railroad Commissioner,,Weston Martinez,REP,1,Community Center,8,5,13
Sterling,Railroad Commissioner,,Christi Craddick,REP,2,Courthouse,24,14,38
Sterling,Railroad Commissioner,,Weston Martinez,REP,2,Courthouse,15,12,27
Sterling,Railroad Commissioner,,Christi Craddick,REP,3,Sterling Library,43,23,66
Sterling,Railroad Commissioner,,Weston Martinez,REP,3,Sterling Library,7,7,14
Sterling,Railroad Commissioner,,Christi Craddick,REP,4,Sterling Depot,31,22,53
Sterling,Railroad Commissioner,,Weston Martinez,REP,4,Sterling Depot,2,11,13
Sterling,Lieutenant Governor,,Dan Patrick,REP,1,Community Center,30,21,51
Sterling,Lieutenant Governor,,Scott Milder,REP,1,Community Center,19,29,48
Sterling,Lieutenant Governor,,Dan Patrick,REP,2,Courthouse,28,22,50
Sterling,Lieutenant Governor,,Scott Milder,REP,2,Courthouse,14,8,22
Sterling,Lieutenant Governor,,Dan Patrick,REP,3,Sterling Library,32,21,53
Sterling,Lieutenant Governor,,Scott Milder,REP,3,Sterling Library,23,19,42
Sterling,Lieutenant Governor,,Dan Patrick,REP,4,Sterling Depot,28,23,51
Sterling,Lieutenant Governor,,Scott Milder,REP,4,Sterling Depot,13,13,26
Sterling,Comptroller of Public Accounts,,Glenn Hegar,REP,1,Community Center,42,41,83
Sterling,Comptroller of Public Accounts,,Glenn Hegar,REP,2,Courthouse,32,23,55
Sterling,Comptroller of Public Accounts,,Glenn Hegar,REP,3,Sterling Library,54,32,86
Sterling,Comptroller of Public Accounts,,Glenn Hegar,REP,4,Sterling Depot,37,34,71
Sterling,U.S. House,11,K Conaway,REP,1,Community Center,51,42,93
Sterling,U.S. House,11,Thomas Myers,REP,1,Community Center,2,5,7
Sterling,U.S. House,11,K Conaway,REP,2,Courthouse,45,29,74
Sterling,U.S. House,11,Thomas Myers,REP,2,Courthouse,4,4,8
Sterling,U.S. House,11,K Conaway,REP,3,Sterling Library,66,43,109
Sterling,U.S. House,11,Thomas Myers,REP,3,Sterling Library,2,3,5
Sterling,U.S. House,11,K Conaway,REP,4,Sterling Depot,41,35,76
Sterling,U.S. House,11,Thomas Myers,REP,4,Sterling Depot,1,5,6
Sterling,U. S. Senator,,Bruce Jacobson,REP,1,Community Center,1,1,2
Sterling,U. S. Senator,,Geraldine Sam,REP,1,Community Center,0,0,0
Sterling,U. S. Senator,,Mary Miller,REP,1,Community Center,3,4,7
Sterling,U. S. Senator,,Rafael  Cruz,REP,1,Community Center,45,45,90
Sterling,U. S. Senator,,Stefano de Stefano IV,REP,1,Community Center,1,0,1
Sterling,U. S. Senator,,Bruce Jacobson,REP,2,Courthouse,3,0,3
Sterling,U. S. Senator,,Geraldine Sam,REP,2,Courthouse,0,0,0
Sterling,U. S. Senator,,Mary Miller,REP,2,Courthouse,4,2,6
Sterling,U. S. Senator,,Rafael  Cruz,REP,2,Courthouse,37,29,66
Sterling,U. S. Senator,,Stefano de Stefano IV,REP,2,Courthouse,2,0,2
Sterling,U. S. Senator,,Bruce Jacobson,REP,3,Sterling Library,2,2,4
Sterling,U. S. Senator,,Geraldine Sam,REP,3,Sterling Library,0,1,1
Sterling,U. S. Senator,,Mary Miller,REP,3,Sterling Library,2,2,4
Sterling,U. S. Senator,,Rafael  Cruz,REP,3,Sterling Library,59,34,93
Sterling,U. S. Senator,,Stefano de Stefano IV,REP,3,Sterling Library,0,0,0
Sterling,U. S. Senator,,Bruce Jacobson,REP,4,Sterling Depot,1,0,1
Sterling,U. S. Senator,,Geraldine Sam,REP,4,Sterling Depot,0,0,0
Sterling,U. S. Senator,,Mary Miller,REP,4,Sterling Depot,2,1,3
Sterling,U. S. Senator,,Rafael  Cruz,REP,4,Sterling Depot,38,37,75
Sterling,U. S. Senator,,Stefano de Stefano IV,REP,4,Sterling Depot,1,0,1
Sterling,State Representative,72,William  Darby,REP,1,Community Center,46,44,90
Sterling,State Representative,72,William  Darby,REP,2,Courthouse,40,26,66
Sterling,State Representative,72,William  Darby,REP,3,Sterling Library,61,35,96
Sterling,State Representative,72,William  Darby,REP,4,Sterling Depot,35,35,70
Sterling,Attorney General,,Warren Paxton,REP,1,Community Center,42,41,83
Sterling,Attorney General,,Warren Paxton,REP,2,Courthouse,34,25,59
Sterling,Attorney General,,Warren Paxton,REP,3,Sterling Library,55,32,87
Sterling,Attorney General,,Warren Paxton,REP,4,Sterling Depot,37,33,70
Sterling,Governor,,Barbara Krueger,REP,1,Community Center,5,2,7
Sterling,Governor,,Gregory Abbott,REP,1,Community Center,48,41,89
Sterling,Governor,,Larry Kilgore,REP,1,Community Center,0,3,3
Sterling,Governor,,Barbara Krueger,REP,2,Courthouse,5,4,9
Sterling,Governor,,Gregory Abbott,REP,2,Courthouse,41,26,67
Sterling,Governor,,Larry Kilgore,REP,2,Courthouse,0,2,2
Sterling,Governor,,Barbara Krueger,REP,3,Sterling Library,4,5,9
Sterling,Governor,,Gregory Abbott,REP,3,Sterling Library,59,36,95
Sterling,Governor,,Larry Kilgore,REP,3,Sterling Library,2,2,4
Sterling,Governor,,Barbara Krueger,REP,4,Sterling Depot,0,4,4
Sterling,Governor,,Gregory Abbott,REP,4,Sterling Depot,42,37,79
Sterling,Governor,,Larry Kilgore,REP,4,Sterling Depot,0,1,1
Sterling,Commissioner of the General Land Office,,George Bush,REP,1,Community Center,33,41,74
Sterling,Commissioner of the General Land Office,,Jerry Patterson,REP,1,Community Center,13,3,16
Sterling,Commissioner of the General Land Office,,Richard Range,REP,1,Community Center,3,1,4
Sterling,Commissioner of the General Land Office,,William Edwards,REP,1,Community Center,2,3,5
Sterling,Commissioner of the General Land Office,,George Bush,REP,2,Courthouse,33,22,55
Sterling,Commissioner of the General Land Office,,Jerry Patterson,REP,2,Courthouse,7,5,12
Sterling,Commissioner of the General Land Office,,Richard Range,REP,2,Courthouse,1,1,2
Sterling,Commissioner of the General Land Office,,William Edwards,REP,2,Courthouse,0,1,1
Sterling,Commissioner of the General Land Office,,George Bush,REP,3,Sterling Library,55,29,84
Sterling,Commissioner of the General Land Office,,Jerry Patterson,REP,3,Sterling Library,3,4,7
Sterling,Commissioner of the General Land Office,,Richard Range,REP,3,Sterling Library,1,2,3
Sterling,Commissioner of the General Land Office,,William Edwards,REP,3,Sterling Library,2,0,2
Sterling,Commissioner of the General Land Office,,George Bush,REP,4,Sterling Depot,28,35,63
Sterling,Commissioner of the General Land Office,,Jerry Patterson,REP,4,Sterling Depot,5,2,7
Sterling,Commissioner of the General Land Office,,Richard Range,REP,4,Sterling Depot,1,1,2
Sterling,Commissioner of the General Land Office,,William Edwards,REP,4,Sterling Depot,1,1,2
