candidate,office,district,party,county,precinct,early_voting,election_day,provisional,votes
Ken Paxton,Attorney General ,,REP,Jasper,Box 10 Call Junction,354,426,4,784
Justin Nelson,Attorney General ,,DEM,Jasper,Box 10 Call Junction,63,33,0,96
Michael Ray Harris,Attorney General ,,LIB,Jasper,Box 10 Call Junction,7,9,0,16
Glenn Hegar,Comptroller of Public Accounts,,REP,Jasper,Box 10 Call Junction,364,427,4,795
Joi Chevalier,Comptroller of Public Accounts,,DEM,Jasper,Box 10 Call Junction,52,28,0,80
Ben Sanders,Comptroller of Public Accounts,,LIB,Jasper,Box 10 Call Junction,4,11,0,15
George P. Bush,Commissioner of the General Land Office,,REP,Jasper,Box 10 Call Junction,358,417,1,776
Miguel Suazo,Commissioner of the General Land Office,,DEM,Jasper,Box 10 Call Junction,53,30,0,83
Matt Pina,Commissioner of the General Land Office,,LIB,Jasper,Box 10 Call Junction,11,20,0,31
Christi Craddick,Railroad Commissioner,,REP,Jasper,Box 10 Call Junction,360,424,1,785
Roman McAllen,Railroad Commissioner,,DEM,Jasper,Box 10 Call Junction,54,27,0,81
Mike Wright,Railroad Commissioner,,LIB,Jasper,Box 10 Call Junction,7,15,0,22
Robert Nichols ,State Senate ,3,REP,Jasper,Box 10 Call Junction,371,427,5,803
Shirley Layton,State Senate ,3,DEM,Jasper,Box 10 Call Junction,50,31,0,81
Bruce Quarles ,State Senate ,3,LIB,Jasper,Box 10 Call Junction,4,8,0,12
James White,State Representative ,19,REP,Jasper,Box 10 Call Junction,375,431,5,811
Sherry Williams,State Representative ,19,DEM,Jasper,Box 10 Call Junction,51,34,0,85
,Registered Voters,,,Jasper,Box 11 Erin,0,0,0,0
,Ballots Cast,,,Jasper,Box 11 Erin,172,106,0,278
,Straight Party,,REP,Jasper,Box 11 Erin,97,46,0,143
,Straight Party,,DEM,Jasper,Box 11 Erin,4,6,0,10
,Straight Party,,LIB,Jasper,Box 11 Erin,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Jasper,Box 11 Erin,157,89,0,246
Beto O'Rourke,U.S. Senate,,DEM,Jasper,Box 11 Erin,12,16,0,28
Neal M Dikeman,U.S. Senate,,LIB,Jasper,Box 11 Erin,0,0,0,0
Brian Babin,U.S. House,36,REP,Jasper,Box 11 Erin,159,93,0,252
Dayna Steele ,U.S. House,36,DEM,Jasper,Box 11 Erin,11,12,0,23
Greg Abbott,Governor ,,REP,Jasper,Box 11 Erin,159,91,0,250
Lupe Valdez,Governor ,,DEM,Jasper,Box 11 Erin,10,14,0,24
Mark Jay Tippetts,Governor ,,LIB,Jasper,Box 11 Erin,1,0,0,1
Dan Patrick,Lieutenant Governor,,REP,Jasper,Box 11 Erin,155,83,0,238
Mike Collier,Lieutenant Governor,,DEM,Jasper,Box 11 Erin,13,19,0,32
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Jasper,Box 11 Erin,1,1,0,2
Ken Paxton,Attorney General ,,REP,Jasper,Box 11 Erin,156,84,0,240
Justin Nelson,Attorney General ,,DEM,Jasper,Box 11 Erin,11,16,0,27
Michael Ray Harris,Attorney General ,,LIB,Jasper,Box 11 Erin,2,2,0,4
Glenn Hegar,Comptroller of Public Accounts,,REP,Jasper,Box 11 Erin,155,87,0,242
Joi Chevalier,Comptroller of Public Accounts,,DEM,Jasper,Box 11 Erin,13,13,0,26
Ben Sanders,Comptroller of Public Accounts,,LIB,Jasper,Box 11 Erin,0,2,0,2
George P. Bush,Commissioner of the General Land Office,,REP,Jasper,Box 11 Erin,155,89,0,244
Miguel Suazo,Commissioner of the General Land Office,,DEM,Jasper,Box 11 Erin,13,13,0,26
Matt Pina,Commissioner of the General Land Office,,LIB,Jasper,Box 11 Erin,2,1,0,3
Christi Craddick,Railroad Commissioner,,REP,Jasper,Box 11 Erin,157,84,0,241
Roman McAllen,Railroad Commissioner,,DEM,Jasper,Box 11 Erin,12,13,0,25
Mike Wright,Railroad Commissioner,,LIB,Jasper,Box 11 Erin,1,5,0,6
Robert Nichols ,State Senate ,3,REP,Jasper,Box 11 Erin,158,85,0,243
Shirley Layton,State Senate ,3,DEM,Jasper,Box 11 Erin,14,15,0,29
Bruce Quarles ,State Senate ,3,LIB,Jasper,Box 11 Erin,0,1,0,1
James White,State Representative ,19,REP,Jasper,Box 11 Erin,160,89,0,249
Sherry Williams,State Representative ,19,DEM,Jasper,Box 11 Erin,10,14,0,24
,Registered Voters,,,Jasper,Box 12 Roganville,0,0,0,0
,Ballots Cast,,,Jasper,Box 12 Roganville,187,128,0,315
,Straight Party,,REP,Jasper,Box 12 Roganville,85,60,0,145
,Straight Party,,DEM,Jasper,Box 12 Roganville,22,11,0,33
,Straight Party,,LIB,Jasper,Box 12 Roganville,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Jasper,Box 12 Roganville,152,111,0,263
Beto O'Rourke,U.S. Senate,,DEM,Jasper,Box 12 Roganville,33,17,0,50
Neal M Dikeman,U.S. Senate,,LIB,Jasper,Box 12 Roganville,1,0,0,1
Brian Babin,U.S. House,36,REP,Jasper,Box 12 Roganville,151,108,0,259
Dayna Steele ,U.S. House,36,DEM,Jasper,Box 12 Roganville,34,19,0,53
Greg Abbott,Governor ,,REP,Jasper,Box 12 Roganville,157,116,0,273
Lupe Valdez,Governor ,,DEM,Jasper,Box 12 Roganville,24,12,0,36
Mark Jay Tippetts,Governor ,,LIB,Jasper,Box 12 Roganville,4,0,0,4
Dan Patrick,Lieutenant Governor,,REP,Jasper,Box 12 Roganville,147,111,0,258
Mike Collier,Lieutenant Governor,,DEM,Jasper,Box 12 Roganville,35,15,0,50
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Jasper,Box 12 Roganville,2,0,0,2
Ken Paxton,Attorney General ,,REP,Jasper,Box 12 Roganville,147,112,0,259
Justin Nelson,Attorney General ,,DEM,Jasper,Box 12 Roganville,34,15,0,49
Michael Ray Harris,Attorney General ,,LIB,Jasper,Box 12 Roganville,3,0,0,3
Glenn Hegar,Comptroller of Public Accounts,,REP,Jasper,Box 12 Roganville,149,112,0,261
Joi Chevalier,Comptroller of Public Accounts,,DEM,Jasper,Box 12 Roganville,31,14,0,45
Ben Sanders,Comptroller of Public Accounts,,LIB,Jasper,Box 12 Roganville,2,0,0,2
George P. Bush,Commissioner of the General Land Office,,REP,Jasper,Box 12 Roganville,145,112,0,257
Miguel Suazo,Commissioner of the General Land Office,,DEM,Jasper,Box 12 Roganville,33,13,0,46
Matt Pina,Commissioner of the General Land Office,,LIB,Jasper,Box 12 Roganville,5,2,0,7
Christi Craddick,Railroad Commissioner,,REP,Jasper,Box 12 Roganville,145,110,0,255
Roman McAllen,Railroad Commissioner,,DEM,Jasper,Box 12 Roganville,35,14,0,49
Mike Wright,Railroad Commissioner,,LIB,Jasper,Box 12 Roganville,3,2,0,5
Robert Nichols ,State Senate ,3,REP,Jasper,Box 12 Roganville,146,110,0,256
Shirley Layton,State Senate ,3,DEM,Jasper,Box 12 Roganville,31,15,0,46
Bruce Quarles ,State Senate ,3,LIB,Jasper,Box 12 Roganville,4,0,0,4
James White,State Representative ,19,REP,Jasper,Box 12 Roganville,152,112,0,264
Sherry Williams,State Representative ,19,DEM,Jasper,Box 12 Roganville,29,14,0,43
,Registered Voters,,,Jasper,Box 13 Magnolia Springs,0,0,0,0
,Ballots Cast,,,Jasper,Box 13 Magnolia Springs,124,161,0,285
,Straight Party,,REP,Jasper,Box 13 Magnolia Springs,67,71,0,138
,Straight Party,,DEM,Jasper,Box 13 Magnolia Springs,19,16,0,35
,Straight Party,,LIB,Jasper,Box 13 Magnolia Springs,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Jasper,Box 13 Magnolia Springs,98,130,0,228
Beto O'Rourke,U.S. Senate,,DEM,Jasper,Box 13 Magnolia Springs,26,29,0,55
Neal M Dikeman,U.S. Senate,,LIB,Jasper,Box 13 Magnolia Springs,0,1,0,1
Brian Babin,U.S. House,36,REP,Jasper,Box 13 Magnolia Springs,99,126,0,225
Dayna Steele ,U.S. House,36,DEM,Jasper,Box 13 Magnolia Springs,25,31,0,56
Greg Abbott,Governor ,,REP,Jasper,Box 13 Magnolia Springs,99,131,0,230
Lupe Valdez,Governor ,,DEM,Jasper,Box 13 Magnolia Springs,25,28,0,53
Mark Jay Tippetts,Governor ,,LIB,Jasper,Box 13 Magnolia Springs,0,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Jasper,Box 13 Magnolia Springs,97,123,0,220
Mike Collier,Lieutenant Governor,,DEM,Jasper,Box 13 Magnolia Springs,27,30,0,57
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Jasper,Box 13 Magnolia Springs,0,3,0,3
Ken Paxton,Attorney General ,,REP,Jasper,Box 13 Magnolia Springs,98,127,0,225
Justin Nelson,Attorney General ,,DEM,Jasper,Box 13 Magnolia Springs,26,30,0,56
Michael Ray Harris,Attorney General ,,LIB,Jasper,Box 13 Magnolia Springs,0,0,0,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Jasper,Box 13 Magnolia Springs,96,124,0,220
Joi Chevalier,Comptroller of Public Accounts,,DEM,Jasper,Box 13 Magnolia Springs,26,29,0,55
Ben Sanders,Comptroller of Public Accounts,,LIB,Jasper,Box 13 Magnolia Springs,0,3,0,3
George P. Bush,Commissioner of the General Land Office,,REP,Jasper,Box 13 Magnolia Springs,95,124,0,219
Miguel Suazo,Commissioner of the General Land Office,,DEM,Jasper,Box 13 Magnolia Springs,25,27,0,52
Matt Pina,Commissioner of the General Land Office,,LIB,Jasper,Box 13 Magnolia Springs,3,6,0,9
Christi Craddick,Railroad Commissioner,,REP,Jasper,Box 13 Magnolia Springs,97,127,0,224
Roman McAllen,Railroad Commissioner,,DEM,Jasper,Box 13 Magnolia Springs,26,31,0,57
Mike Wright,Railroad Commissioner,,LIB,Jasper,Box 13 Magnolia Springs,0,0,0,0
Robert Nichols ,State Senate ,3,REP,Jasper,Box 13 Magnolia Springs,98,126,0,224
Shirley Layton,State Senate ,3,DEM,Jasper,Box 13 Magnolia Springs,26,32,0,58
Bruce Quarles ,State Senate ,3,LIB,Jasper,Box 13 Magnolia Springs,0,0,0,0
James White,State Representative ,19,REP,Jasper,Box 13 Magnolia Springs,105,135,0,240
Sherry Williams,State Representative ,19,DEM,Jasper,Box 13 Magnolia Springs,19,24,0,43
,Registered Voters,,,Jasper,Box 14 Kirbyville,0,0,0,0
,Ballots Cast,,,Jasper,Box 14 Kirbyville,598,635,0,1233
,Straight Party,,REP,Jasper,Box 14 Kirbyville,303,290,0,593
,Straight Party,,DEM,Jasper,Box 14 Kirbyville,51,81,0,132
,Straight Party,,LIB,Jasper,Box 14 Kirbyville,0,3,0,3
Ted Cruz,U.S. Senate,,REP,Jasper,Box 14 Kirbyville,503,492,0,995
Beto O'Rourke,U.S. Senate,,DEM,Jasper,Box 14 Kirbyville,90,131,0,221
Neal M Dikeman,U.S. Senate,,LIB,Jasper,Box 14 Kirbyville,1,3,0,4
Brian Babin,U.S. House,36,REP,Jasper,Box 14 Kirbyville,511,496,0,1007
Dayna Steele ,U.S. House,36,DEM,Jasper,Box 14 Kirbyville,83,130,0,213
Greg Abbott,Governor ,,REP,Jasper,Box 14 Kirbyville,514,519,0,1033
Lupe Valdez,Governor ,,DEM,Jasper,Box 14 Kirbyville,74,105,0,179
Mark Jay Tippetts,Governor ,,LIB,Jasper,Box 14 Kirbyville,5,3,0,8
Dan Patrick,Lieutenant Governor,,REP,Jasper,Box 14 Kirbyville,492,475,0,967
Mike Collier,Lieutenant Governor,,DEM,Jasper,Box 14 Kirbyville,93,138,0,231
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Jasper,Box 14 Kirbyville,5,7,0,12
Ken Paxton,Attorney General ,,REP,Jasper,Box 14 Kirbyville,495,477,0,972
Justin Nelson,Attorney General ,,DEM,Jasper,Box 14 Kirbyville,95,133,0,228
Michael Ray Harris,Attorney General ,,LIB,Jasper,Box 14 Kirbyville,2,11,0,13
Glenn Hegar,Comptroller of Public Accounts,,REP,Jasper,Box 14 Kirbyville,494,468,0,962
Joi Chevalier,Comptroller of Public Accounts,,DEM,Jasper,Box 14 Kirbyville,83,128,0,211
Ben Sanders,Comptroller of Public Accounts,,LIB,Jasper,Box 14 Kirbyville,11,17,0,28
George P. Bush,Commissioner of the General Land Office,,REP,Jasper,Box 14 Kirbyville,491,482,0,973
Miguel Suazo,Commissioner of the General Land Office,,DEM,Jasper,Box 14 Kirbyville,82,124,0,206
Matt Pina,Commissioner of the General Land Office,,LIB,Jasper,Box 14 Kirbyville,14,12,0,26
Christi Craddick,Railroad Commissioner,,REP,Jasper,Box 14 Kirbyville,490,466,0,956
Roman McAllen,Railroad Commissioner,,DEM,Jasper,Box 14 Kirbyville,90,133,0,223
Mike Wright,Railroad Commissioner,,LIB,Jasper,Box 14 Kirbyville,7,15,0,22
Robert Nichols ,State Senate ,3,REP,Jasper,Box 14 Kirbyville,499,475,0,974
Shirley Layton,State Senate ,3,DEM,Jasper,Box 14 Kirbyville,85,138,0,223
Bruce Quarles ,State Senate ,3,LIB,Jasper,Box 14 Kirbyville,2,7,0,9
James White,State Representative ,19,REP,Jasper,Box 14 Kirbyville,518,502,0,1020
Sherry Williams,State Representative ,19,DEM,Jasper,Box 14 Kirbyville,71,123,0,194
,Registered Voters,,,Jasper,Box 15 Buna West,0,0,0,0
,Ballots Cast,,,Jasper,Box 15 Buna West,771,617,0,1388
,Straight Party,,REP,Jasper,Box 15 Buna West,423,325,0,748
,Straight Party,,DEM,Jasper,Box 15 Buna West,36,31,0,67
,Straight Party,,LIB,Jasper,Box 15 Buna West,1,2,0,3
Ted Cruz,U.S. Senate,,REP,Jasper,Box 15 Buna West,687,541,0,1228
Beto O'Rourke,U.S. Senate,,DEM,Jasper,Box 15 Buna West,68,63,0,131
Neal M Dikeman,U.S. Senate,,LIB,Jasper,Box 15 Buna West,2,4,0,6
Brian Babin,U.S. House,36,REP,Jasper,Box 15 Buna West,685,545,0,1230
Dayna Steele ,U.S. House,36,DEM,Jasper,Box 15 Buna West,72,61,0,133
Greg Abbott,Governor ,,REP,Jasper,Box 15 Buna West,689,548,0,1237
Lupe Valdez,Governor ,,DEM,Jasper,Box 15 Buna West,64,51,0,115
Mark Jay Tippetts,Governor ,,LIB,Jasper,Box 15 Buna West,5,7,0,12
Dan Patrick,Lieutenant Governor,,REP,Jasper,Box 15 Buna West,664,513,0,1177
Mike Collier,Lieutenant Governor,,DEM,Jasper,Box 15 Buna West,83,77,0,160
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Jasper,Box 15 Buna West,8,10,0,18
Ken Paxton,Attorney General ,,REP,Jasper,Box 15 Buna West,672,533,0,1205
Justin Nelson,Attorney General ,,DEM,Jasper,Box 15 Buna West,78,65,0,143
Michael Ray Harris,Attorney General ,,LIB,Jasper,Box 15 Buna West,6,7,0,13
Glenn Hegar,Comptroller of Public Accounts,,REP,Jasper,Box 15 Buna West,676,524,0,1200
Joi Chevalier,Comptroller of Public Accounts,,DEM,Jasper,Box 15 Buna West,65,56,0,121
Ben Sanders,Comptroller of Public Accounts,,LIB,Jasper,Box 15 Buna West,7,17,0,24
George P. Bush,Commissioner of the General Land Office,,REP,Jasper,Box 15 Buna West,655,521,0,1176
Miguel Suazo,Commissioner of the General Land Office,,DEM,Jasper,Box 15 Buna West,72,57,0,129
Matt Pina,Commissioner of the General Land Office,,LIB,Jasper,Box 15 Buna West,25,20,0,45
Christi Craddick,Railroad Commissioner,,REP,Jasper,Box 15 Buna West,674,527,0,1201
Roman McAllen,Railroad Commissioner,,DEM,Jasper,Box 15 Buna West,64,59,0,123
Mike Wright,Railroad Commissioner,,LIB,Jasper,Box 15 Buna West,12,14,0,26
Robert Nichols ,State Senate ,3,REP,Jasper,Box 15 Buna West,680,533,0,1213
Shirley Layton,State Senate ,3,DEM,Jasper,Box 15 Buna West,72,61,0,133
Bruce Quarles ,State Senate ,3,LIB,Jasper,Box 15 Buna West,5,11,0,16
James White,State Representative ,19,REP,Jasper,Box 15 Buna West,691,548,0,1239
Sherry Williams,State Representative ,19,DEM,Jasper,Box 15 Buna West,68,58,0,126
,Registered Voters,,,Jasper,Box 16 Cherry Grove-Gist,0,0,0,0
,Ballots Cast,,,Jasper,Box 16 Cherry Grove-Gist,34,102,0,136
,Straight Party,,REP,Jasper,Box 16 Cherry Grove-Gist,22,54,0,76
,Straight Party,,DEM,Jasper,Box 16 Cherry Grove-Gist,1,1,0,2
,Straight Party,,LIB,Jasper,Box 16 Cherry Grove-Gist,0,1,0,1
Ted Cruz,U.S. Senate,,REP,Jasper,Box 16 Cherry Grove-Gist,31,97,0,128
Beto O'Rourke,U.S. Senate,,DEM,Jasper,Box 16 Cherry Grove-Gist,3,4,0,7
Neal M Dikeman,U.S. Senate,,LIB,Jasper,Box 16 Cherry Grove-Gist,0,0,0,0
Brian Babin,U.S. House,36,REP,Jasper,Box 16 Cherry Grove-Gist,32,97,0,129
Dayna Steele ,U.S. House,36,DEM,Jasper,Box 16 Cherry Grove-Gist,2,4,0,6
Greg Abbott,Governor ,,REP,Jasper,Box 16 Cherry Grove-Gist,32,99,0,131
Lupe Valdez,Governor ,,DEM,Jasper,Box 16 Cherry Grove-Gist,2,2,0,4
Mark Jay Tippetts,Governor ,,LIB,Jasper,Box 16 Cherry Grove-Gist,0,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Jasper,Box 16 Cherry Grove-Gist,31,93,0,124
Mike Collier,Lieutenant Governor,,DEM,Jasper,Box 16 Cherry Grove-Gist,3,6,0,9
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Jasper,Box 16 Cherry Grove-Gist,0,1,0,1
Ken Paxton,Attorney General ,,REP,Jasper,Box 16 Cherry Grove-Gist,31,88,0,119
Justin Nelson,Attorney General ,,DEM,Jasper,Box 16 Cherry Grove-Gist,3,10,0,13
Michael Ray Harris,Attorney General ,,LIB,Jasper,Box 16 Cherry Grove-Gist,0,1,0,1
Glenn Hegar,Comptroller of Public Accounts,,REP,Jasper,Box 16 Cherry Grove-Gist,30,93,0,123
Joi Chevalier,Comptroller of Public Accounts,,DEM,Jasper,Box 16 Cherry Grove-Gist,1,5,0,6
Ben Sanders,Comptroller of Public Accounts,,LIB,Jasper,Box 16 Cherry Grove-Gist,2,2,0,4
George P. Bush,Commissioner of the General Land Office,,REP,Jasper,Box 16 Cherry Grove-Gist,29,89,0,118
Miguel Suazo,Commissioner of the General Land Office,,DEM,Jasper,Box 16 Cherry Grove-Gist,1,4,0,5
Matt Pina,Commissioner of the General Land Office,,LIB,Jasper,Box 16 Cherry Grove-Gist,3,6,0,9
Christi Craddick,Railroad Commissioner,,REP,Jasper,Box 16 Cherry Grove-Gist,29,91,0,120
Roman McAllen,Railroad Commissioner,,DEM,Jasper,Box 16 Cherry Grove-Gist,3,5,0,8
Mike Wright,Railroad Commissioner,,LIB,Jasper,Box 16 Cherry Grove-Gist,1,4,0,5
Robert Nichols ,State Senate ,3,REP,Jasper,Box 16 Cherry Grove-Gist,31,93,0,124
Shirley Layton,State Senate ,3,DEM,Jasper,Box 16 Cherry Grove-Gist,3,5,0,8
Bruce Quarles ,State Senate ,3,LIB,Jasper,Box 16 Cherry Grove-Gist,0,3,0,3
James White,State Representative ,19,REP,Jasper,Box 16 Cherry Grove-Gist,31,97,0,128
Sherry Williams,State Representative ,19,DEM,Jasper,Box 16 Cherry Grove-Gist,3,4,0,7
,Registered Voters,,,Jasper,Box 17 Evadale,0,0,0,0
,Ballots Cast,,,Jasper,Box 17 Evadale,340,418,5,763
,Straight Party,,REP,Jasper,Box 17 Evadale,201,232,0,433
,Straight Party,,DEM,Jasper,Box 17 Evadale,9,12,0,21
,Straight Party,,LIB,Jasper,Box 17 Evadale,0,3,0,3
Ted Cruz,U.S. Senate,,REP,Jasper,Box 17 Evadale,312,381,2,695
Beto O'Rourke,U.S. Senate,,DEM,Jasper,Box 17 Evadale,24,27,0,51
Neal M Dikeman,U.S. Senate,,LIB,Jasper,Box 17 Evadale,1,3,0,4
Brian Babin,U.S. House,36,REP,Jasper,Box 17 Evadale,312,378,2,692
Dayna Steele ,U.S. House,36,DEM,Jasper,Box 17 Evadale,23,27,0,50
Greg Abbott,Governor ,,REP,Jasper,Box 17 Evadale,313,382,3,698
Lupe Valdez,Governor ,,DEM,Jasper,Box 17 Evadale,18,21,0,39
Mark Jay Tippetts,Governor ,,LIB,Jasper,Box 17 Evadale,3,4,0,7
Dan Patrick,Lieutenant Governor,,REP,Jasper,Box 17 Evadale,295,352,2,649
Mike Collier,Lieutenant Governor,,DEM,Jasper,Box 17 Evadale,35,43,0,78
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Jasper,Box 17 Evadale,2,8,0,10
Ken Paxton,Attorney General ,,REP,Jasper,Box 17 Evadale,301,366,2,669
Justin Nelson,Attorney General ,,DEM,Jasper,Box 17 Evadale,30,33,0,63
Michael Ray Harris,Attorney General ,,LIB,Jasper,Box 17 Evadale,4,7,0,11
Glenn Hegar,Comptroller of Public Accounts,,REP,Jasper,Box 17 Evadale,305,370,2,677
Joi Chevalier,Comptroller of Public Accounts,,DEM,Jasper,Box 17 Evadale,22,24,0,46
Ben Sanders,Comptroller of Public Accounts,,LIB,Jasper,Box 17 Evadale,6,7,0,13
George P. Bush,Commissioner of the General Land Office,,REP,Jasper,Box 17 Evadale,292,360,5,657
Miguel Suazo,Commissioner of the General Land Office,,DEM,Jasper,Box 17 Evadale,26,35,0,61
Matt Pina,Commissioner of the General Land Office,,LIB,Jasper,Box 17 Evadale,16,9,0,25
Christi Craddick,Railroad Commissioner,,REP,Jasper,Box 17 Evadale,302,364,5,671
Roman McAllen,Railroad Commissioner,,DEM,Jasper,Box 17 Evadale,25,29,0,54
Mike Wright,Railroad Commissioner,,LIB,Jasper,Box 17 Evadale,6,11,0,17
Robert Nichols ,State Senate ,3,REP,Jasper,Box 17 Evadale,306,371,5,682
Shirley Layton,State Senate ,3,DEM,Jasper,Box 17 Evadale,26,30,0,56
Bruce Quarles ,State Senate ,3,LIB,Jasper,Box 17 Evadale,3,7,0,10
James White,State Representative ,19,REP,Jasper,Box 17 Evadale,309,384,5,698
Sherry Williams,State Representative ,19,DEM,Jasper,Box 17 Evadale,25,26,0,51
,Registered Voters,,,Jasper,Box 19 Pickleville,0,0,0,0
,Ballots Cast,,,Jasper,Box 19 Pickleville,930,307,4,1241
,Straight Party,,REP,Jasper,Box 19 Pickleville,461,144,0,605
,Straight Party,,DEM,Jasper,Box 19 Pickleville,79,38,0,117
,Straight Party,,LIB,Jasper,Box 19 Pickleville,0,2,0,2
Ted Cruz,U.S. Senate,,REP,Jasper,Box 19 Pickleville,756,239,4,999
Beto O'Rourke,U.S. Senate,,DEM,Jasper,Box 19 Pickleville,167,64,0,231
Neal M Dikeman,U.S. Senate,,LIB,Jasper,Box 19 Pickleville,1,2,0,3
Brian Babin,U.S. House,36,REP,Jasper,Box 19 Pickleville,767,247,4,1018
Dayna Steele ,U.S. House,36,DEM,Jasper,Box 19 Pickleville,156,59,0,215
Greg Abbott,Governor ,,REP,Jasper,Box 19 Pickleville,782,249,3,1034
Lupe Valdez,Governor ,,DEM,Jasper,Box 19 Pickleville,137,55,0,192
Mark Jay Tippetts,Governor ,,LIB,Jasper,Box 19 Pickleville,6,3,0,9
Dan Patrick,Lieutenant Governor,,REP,Jasper,Box 19 Pickleville,716,228,4,948
Mike Collier,Lieutenant Governor,,DEM,Jasper,Box 19 Pickleville,197,75,0,272
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Jasper,Box 19 Pickleville,10,3,0,13
Ken Paxton,Attorney General ,,REP,Jasper,Box 19 Pickleville,740,238,4,982
Justin Nelson,Attorney General ,,DEM,Jasper,Box 19 Pickleville,169,64,0,233
Michael Ray Harris,Attorney General ,,LIB,Jasper,Box 19 Pickleville,8,3,0,11
Glenn Hegar,Comptroller of Public Accounts,,REP,Jasper,Box 19 Pickleville,747,240,4,991
Joi Chevalier,Comptroller of Public Accounts,,DEM,Jasper,Box 19 Pickleville,152,59,0,211
Ben Sanders,Comptroller of Public Accounts,,LIB,Jasper,Box 19 Pickleville,13,6,0,19
George P. Bush,Commissioner of the General Land Office,,REP,Jasper,Box 19 Pickleville,734,241,4,979
Miguel Suazo,Commissioner of the General Land Office,,DEM,Jasper,Box 19 Pickleville,152,56,0,208
Matt Pina,Commissioner of the General Land Office,,LIB,Jasper,Box 19 Pickleville,23,7,0,30
Christi Craddick,Railroad Commissioner,,REP,Jasper,Box 19 Pickleville,737,236,4,977
Roman McAllen,Railroad Commissioner,,DEM,Jasper,Box 19 Pickleville,161,62,0,223
Mike Wright,Railroad Commissioner,,LIB,Jasper,Box 19 Pickleville,11,8,0,19
Robert Nichols ,State Senate ,3,REP,Jasper,Box 19 Pickleville,756,237,4,997
Shirley Layton,State Senate ,3,DEM,Jasper,Box 19 Pickleville,158,63,0,221
Bruce Quarles ,State Senate ,3,LIB,Jasper,Box 19 Pickleville,5,4,0,9
James White,State Representative ,19,REP,Jasper,Box 19 Pickleville,786,246,4,1036
Sherry Williams,State Representative ,19,DEM,Jasper,Box 19 Pickleville,133,57,0,190
,Registered Voters,,,Jasper,Box 20 Bevil Box,0,0,0,0
,Ballots Cast,,,Jasper,Box 20 Bevil Box,461,137,0,598
,Straight Party,,REP,Jasper,Box 20 Bevil Box,112,36,0,148
,Straight Party,,DEM,Jasper,Box 20 Bevil Box,155,50,0,205
,Straight Party,,LIB,Jasper,Box 20 Bevil Box,1,0,0,1
Ted Cruz,U.S. Senate,,REP,Jasper,Box 20 Bevil Box,219,66,0,285
Beto O'Rourke,U.S. Senate,,DEM,Jasper,Box 20 Bevil Box,236,67,0,303
Neal M Dikeman,U.S. Senate,,LIB,Jasper,Box 20 Bevil Box,0,0,0,0
Brian Babin,U.S. House,36,REP,Jasper,Box 20 Bevil Box,217,60,0,277
Dayna Steele ,U.S. House,36,DEM,Jasper,Box 20 Bevil Box,226,70,0,296
Greg Abbott,Governor ,,REP,Jasper,Box 20 Bevil Box,230,72,0,302
Lupe Valdez,Governor ,,DEM,Jasper,Box 20 Bevil Box,209,59,0,268
Mark Jay Tippetts,Governor ,,LIB,Jasper,Box 20 Bevil Box,8,1,0,9
Dan Patrick,Lieutenant Governor,,REP,Jasper,Box 20 Bevil Box,201,62,0,263
Mike Collier,Lieutenant Governor,,DEM,Jasper,Box 20 Bevil Box,233,69,0,302
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Jasper,Box 20 Bevil Box,6,1,0,7
Ken Paxton,Attorney General ,,REP,Jasper,Box 20 Bevil Box,210,64,0,274
Justin Nelson,Attorney General ,,DEM,Jasper,Box 20 Bevil Box,230,66,0,296
Michael Ray Harris,Attorney General ,,LIB,Jasper,Box 20 Bevil Box,2,1,0,3
Glenn Hegar,Comptroller of Public Accounts,,REP,Jasper,Box 20 Bevil Box,211,58,0,269
Joi Chevalier,Comptroller of Public Accounts,,DEM,Jasper,Box 20 Bevil Box,215,66,0,281
Ben Sanders,Comptroller of Public Accounts,,LIB,Jasper,Box 20 Bevil Box,15,5,0,20
George P. Bush,Commissioner of the General Land Office,,REP,Jasper,Box 20 Bevil Box,207,65,0,272
Miguel Suazo,Commissioner of the General Land Office,,DEM,Jasper,Box 20 Bevil Box,221,63,0,284
Matt Pina,Commissioner of the General Land Office,,LIB,Jasper,Box 20 Bevil Box,10,4,0,14
Christi Craddick,Railroad Commissioner,,REP,Jasper,Box 20 Bevil Box,214,57,0,271
Roman McAllen,Railroad Commissioner,,DEM,Jasper,Box 20 Bevil Box,221,66,0,287
Mike Wright,Railroad Commissioner,,LIB,Jasper,Box 20 Bevil Box,5,7,0,12
