county,precinct,office,district,party,candidate,votes,election_day,early_voting,,
Brewster,3,U.S. Senate,,REP,Stefano de Stefano IV,1,1,0,,Early
Brewster,4,U.S. Senate,,REP,Bruce Jacobson,10,1,9,,Early
Brewster,4,U.S. Senate,,REP,Geraldine Sam,3,1,2,,Early
Brewster,4,U.S. Senate,,REP,Mary Miller,10,6,4,,Early
Brewster,4,U.S. Senate,,REP,Rafael  Cruz,106,67,39,,Early
Brewster,4,U.S. Senate,,REP,Stefano de Stefano IV,2,1,1,,Early
Brewster,5,U.S. Senate,,REP,Bruce Jacobson,2,1,1,,Early
Brewster,5,U.S. Senate,,REP,Geraldine Sam,0,0,0,,Early
Brewster,5,U.S. Senate,,REP,Mary Miller,1,1,0,,Early
Brewster,5,U.S. Senate,,REP,Rafael  Cruz,3,2,1,,Early
Brewster,5,U.S. Senate,,REP,Stefano de Stefano IV,0,0,0,,Early
Brewster,6,U.S. Senate,,REP,Bruce Jacobson,3,3,0,,Early
Brewster,6,U.S. Senate,,REP,Geraldine Sam,1,1,0,,Early
Brewster,6,U.S. Senate,,REP,Mary Miller,7,4,3,,Early
Brewster,6,U.S. Senate,,REP,Rafael  Cruz,58,51,7,,Early
Brewster,6,U.S. Senate,,REP,Stefano de Stefano IV,3,3,0,,Early
Brewster,7,U.S. Senate,,REP,Bruce Jacobson,0,0,0,,Early
Brewster,7,U.S. Senate,,REP,Geraldine Sam,0,0,0,,Early
Brewster,7,U.S. Senate,,REP,Mary Miller,0,0,0,,Early
Brewster,7,U.S. Senate,,REP,Rafael  Cruz,0,0,0,,Early
Brewster,7,U.S. Senate,,REP,Stefano de Stefano IV,0,0,0,,Early
Brewster,8,U.S. Senate,,REP,Bruce Jacobson,3,0,3,,Early
Brewster,8,U.S. Senate,,REP,Geraldine Sam,1,1,0,,Early
Brewster,8,U.S. Senate,,REP,Mary Miller,5,4,1,,Early
Brewster,8,U.S. Senate,,REP,Rafael  Cruz,21,12,9,,Early
Brewster,8,U.S. Senate,,REP,Stefano de Stefano IV,0,0,0,,Early
Brewster,1,Lieutenant Governor,,REP,Dan Patrick,227,106,121,,Early
Brewster,1,Lieutenant Governor,,REP,Scott Milder,59,22,37,,Early
Brewster,2,Lieutenant Governor,,REP,Dan Patrick,77,52,25,,Early
Brewster,2,Lieutenant Governor,,REP,Scott Milder,25,15,10,,Early
Brewster,3,Lieutenant Governor,,REP,Dan Patrick,34,23,11,,Early
Brewster,3,Lieutenant Governor,,REP,Scott Milder,11,6,5,,Early
Brewster,4,Lieutenant Governor,,REP,Dan Patrick,92,51,41,,Early
Brewster,4,Lieutenant Governor,,REP,Scott Milder,35,22,13,,Early
Brewster,5,Lieutenant Governor,,REP,Dan Patrick,3,2,1,,Early
Brewster,5,Lieutenant Governor,,REP,Scott Milder,3,2,1,,Early
Brewster,6,Lieutenant Governor,,REP,Dan Patrick,53,45,8,,Early
Brewster,6,Lieutenant Governor,,REP,Scott Milder,17,15,2,,Early
Brewster,7,Lieutenant Governor,,REP,Dan Patrick,0,0,0,,Early
Brewster,7,Lieutenant Governor,,REP,Scott Milder,0,0,0,,Early
Brewster,8,Lieutenant Governor,,REP,Dan Patrick,18,7,11,,Early
Brewster,8,Lieutenant Governor,,REP,Scott Milder,9,7,2,,Early
Brewster,1,Railroad Commissioner,,REP,Christi Craddick,204,94,110,,Early
Brewster,1,Railroad Commissioner,,REP,Weston Martinez,50,24,26,,Early
Brewster,2,Railroad Commissioner,,REP,Christi Craddick,76,45,31,,Early
Brewster,2,Railroad Commissioner,,REP,Weston Martinez,15,11,4,,Early
Brewster,3,Railroad Commissioner,,REP,Christi Craddick,37,26,11,,Early
Brewster,3,Railroad Commissioner,,REP,Weston Martinez,6,3,3,,Early
Brewster,4,Railroad Commissioner,,REP,Christi Craddick,92,54,38,,Early
Brewster,4,Railroad Commissioner,,REP,Weston Martinez,31,14,17,,Early
Brewster,5,Railroad Commissioner,,REP,Christi Craddick,5,3,2,,Early
Brewster,5,Railroad Commissioner,,REP,Weston Martinez,1,1,0,,Early
Brewster,6,Railroad Commissioner,,REP,Christi Craddick,43,36,7,,Early
Brewster,6,Railroad Commissioner,,REP,Weston Martinez,20,18,2,,Early
Brewster,7,Railroad Commissioner,,REP,Christi Craddick,0,0,0,,Early
Brewster,7,Railroad Commissioner,,REP,Weston Martinez,0,0,0,,Early
Brewster,8,Railroad Commissioner,,REP,Christi Craddick,17,12,5,,Early
Brewster,8,Railroad Commissioner,,REP,Weston Martinez,5,2,3,,Early
Brewster,1,State Representative,74,DEM,"Alfonso Nevrez, Jr.",187,73,113,,Early
Brewster,2,State Representative,74,DEM,"Alfonso Nevrez, Jr.",122,73,117,,Early
Brewster,3,State Representative,74,DEM,"Alfonso Nevrez, Jr.",15,38,5,,Early
Brewster,4,State Representative,74,DEM,"Alfonso Nevrez, Jr.",142,78,76,,Early
Brewster,5,State Representative,74,DEM,"Alfonso Nevrez, Jr.",12,7,3,,Early
Brewster,6,State Representative,74,DEM,"Alfonso Nevrez, Jr.",43,68,34,,Early
Brewster,7,State Representative,74,DEM,"Alfonso Nevrez, Jr.",34,15,8,,Early
Brewster,8,State Representative,74,DEM,"Alfonso Nevrez, Jr.",43,40,41,,Early
