candidate,office,district,party,county,precinct,votes,early_voting,early_voting_paper,early_voting_machine,election_day,election_day_paper,election_day_machine
Neal M Dikeman,U.S. Senate,,LIB,Lavaca,Precinct 17,2,0,0,0,2,1,1
Michael Cloud,U.S. House,27,REP,Lavaca,Precinct 17,193,119,59,60,74,58,16
Eric Holguin,U.S. House,27,DEM,Lavaca,Precinct 17,16,12,7,5,4,2,2
Daniel Tinus,U.S. House,27,LIB,Lavaca,Precinct 17,1,0,0,0,1,0,1
James Duerr,U.S. House,27,IND,Lavaca,Precinct 17,0,0,0,0,0,0,0
Greg Abbott,Governor ,,REP,Lavaca,Precinct 17,195,121,60,61,74,57,17
Lupe Valdez,Governor ,,DEM,Lavaca,Precinct 17,16,11,6,5,5,4,1
Mark Jay Tippetts,Governor ,,LIB,Lavaca,Precinct 17,1,0,0,0,1,0,1
Dan Patrick,Lieutenant Governor,,REP,Lavaca,Precinct 17,184,118,58,60,66,50,16
Mike Collier,Lieutenant Governor,,DEM,Lavaca,Precinct 17,24,13,8,5,11,9,2
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lavaca,Precinct 17,2,0,0,0,2,1,1
Ken Paxton,Attorney General ,,REP,Lavaca,Precinct 17,183,115,56,59,68,52,16
Justin Nelson,Attorney General ,,DEM,Lavaca,Precinct 17,23,13,8,5,10,8,2
Michael Ray Harris,Attorney General ,,LIB,Lavaca,Precinct 17,3,2,1,1,1,0,1
Glenn Hegar,Comptroller of Public Accounts,,REP,Lavaca,Precinct 17,193,120,59,61,73,56,17
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lavaca,Precinct 17,13,10,6,4,3,3,0
Ben Sanders,Comptroller of Public Accounts,,LIB,Lavaca,Precinct 17,3,1,1,0,2,0,2
George P. Bush,Commissioner of the General Land Office,,REP,Lavaca,Precinct 17,180,113,56,57,67,53,14
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lavaca,Precinct 17,20,14,8,6,6,4,2
Matt Pina,Commissioner of the General Land Office,,LIB,Lavaca,Precinct 17,9,4,2,2,5,3,2
Christi Craddick,Railroad Commissioner,,REP,Lavaca,Precinct 17,185,115,57,58,70,54,16
Roman McAllen,Railroad Commissioner,,DEM,Lavaca,Precinct 17,18,13,8,5,5,4,1
Mike Wright,Railroad Commissioner,,LIB,Lavaca,Precinct 17,6,6,4,2,3,1,2
Ben Leman ,State Representative,13,REP,Lavaca,Precinct 17,187,115,55,60,72,55,17
Cecil Ray Webster,State Representative,13,DEM,Lavaca,Precinct 17,18,13,8,5,5,3,2
,Registered Voters,,,Lavaca,Precinct 19,424,,,,,,
,Ballots Cast,,,Lavaca,Precinct 19,249,179,76,103,70,47,23
,Straight Party,,REP,Lavaca,Precinct 19,156,115,42,73,41,29,12
,Straight Party,,DEM,Lavaca,Precinct 19,10,4,3,1,6,3,3
,Straight Party,,LIB,Lavaca,Precinct 19,0,0,0,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Lavaca,Precinct 19,228,166,68,98,62,43,19
Beto O'Rourke,U.S. Senate,,DEM,Lavaca,Precinct 19,21,13,8,5,8,4,4
Neal M Dikeman,U.S. Senate,,LIB,Lavaca,Precinct 19,0,0,0,0,0,0,0
Michael Cloud,U.S. House,27,REP,Lavaca,Precinct 19,224,166,68,98,58,41,17
Eric Holguin,U.S. House,27,DEM,Lavaca,Precinct 19,22,13,8,5,9,4,5
Daniel Tinus,U.S. House,27,LIB,Lavaca,Precinct 19,1,0,0,0,1,1,0
James Duerr,U.S. House,27,IND,Lavaca,Precinct 19,0,0,0,0,0,0,0
Greg Abbott,Governor ,,REP,Lavaca,Precinct 19,229,166,68,98,63,43,20
Lupe Valdez,Governor ,,DEM,Lavaca,Precinct 19,18,11,7,4,7,4,3
Mark Jay Tippetts,Governor ,,LIB,Lavaca,Precinct 19,0,0,0,0,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Lavaca,Precinct 19,223,165,68,97,58,41,17
Mike Collier,Lieutenant Governor,,DEM,Lavaca,Precinct 19,23,14,8,6,9,4,5
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lavaca,Precinct 19,1,0,0,0,1,0,1
Ken Paxton,Attorney General ,,REP,Lavaca,Precinct 19,220,162,67,95,58,41,17
Justin Nelson,Attorney General ,,DEM,Lavaca,Precinct 19,22,13,7,6,9,5,4
Michael Ray Harris,Attorney General ,,LIB,Lavaca,Precinct 19,4,3,1,2,1,0,1
Glenn Hegar,Comptroller of Public Accounts,,REP,Lavaca,Precinct 19,220,165,68,97,55,39,16
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lavaca,Precinct 19,21,12,7,5,9,4,5
Ben Sanders,Comptroller of Public Accounts,,LIB,Lavaca,Precinct 19,4,1,0,1,3,2,1
George P. Bush,Commissioner of the General Land Office,,REP,Lavaca,Precinct 19,226,166,68,98,60,42,18
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lavaca,Precinct 19,19,11,7,4,8,4,4
Matt Pina,Commissioner of the General Land Office,,LIB,Lavaca,Precinct 19,3,2,1,1,1,0,1
Christi Craddick,Railroad Commissioner,,REP,Lavaca,Precinct 19,223,166,68,98,57,39,18
Roman McAllen,Railroad Commissioner,,DEM,Lavaca,Precinct 19,21,13,8,5,8,4,4
Mike Wright,Railroad Commissioner,,LIB,Lavaca,Precinct 19,2,0,0,0,2,1,1
Ben Leman ,State Representative,13,REP,Lavaca,Precinct 19,224,166,68,98,58,41,17
Cecil Ray Webster,State Representative,13,DEM,Lavaca,Precinct 19,22,13,8,5,9,4,5
,Registered Voters,,,Lavaca,Precinct 20,111,,,,,,
,Ballots Cast,,,Lavaca,Precinct 20,63,52,32,20,11,10,1
,Straight Party,,REP,Lavaca,Precinct 20,38,31,16,15,7,6,1
,Straight Party,,DEM,Lavaca,Precinct 20,4,4,3,1,0,0,0
,Straight Party,,LIB,Lavaca,Precinct 20,0,0,0,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Lavaca,Precinct 20,52,43,25,18,9,8,1
Beto O'Rourke,U.S. Senate,,DEM,Lavaca,Precinct 20,9,7,5,2,2,2,0
Neal M Dikeman,U.S. Senate,,LIB,Lavaca,Precinct 20,0,0,0,0,0,0,0
Michael Cloud,U.S. House,27,REP,Lavaca,Precinct 20,52,43,26,17,9,8,1
Eric Holguin,U.S. House,27,DEM,Lavaca,Precinct 20,9,7,4,3,2,2,0
Daniel Tinus,U.S. House,27,LIB,Lavaca,Precinct 20,0,0,0,0,0,0,0
James Duerr,U.S. House,27,IND,Lavaca,Precinct 20,0,0,0,0,0,0,0
Greg Abbott,Governor ,,REP,Lavaca,Precinct 20,51,42,24,18,9,8,1
Lupe Valdez,Governor ,,DEM,Lavaca,Precinct 20,10,8,6,2,2,2,0
Mark Jay Tippetts,Governor ,,LIB,Lavaca,Precinct 20,1,1,1,0,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Lavaca,Precinct 20,51,42,25,17,9,8,1
Mike Collier,Lieutenant Governor,,DEM,Lavaca,Precinct 20,11,9,6,3,2,2,0
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lavaca,Precinct 20,0,0,0,0,0,0,0
Ken Paxton,Attorney General ,,REP,Lavaca,Precinct 20,51,42,25,17,9,8,1
Justin Nelson,Attorney General ,,DEM,Lavaca,Precinct 20,11,9,6,3,2,2,0
Michael Ray Harris,Attorney General ,,LIB,Lavaca,Precinct 20,0,0,0,0,0,0,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Lavaca,Precinct 20,52,43,25,18,9,8,1
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lavaca,Precinct 20,9,7,5,2,2,2,0
Ben Sanders,Comptroller of Public Accounts,,LIB,Lavaca,Precinct 20,1,1,1,0,0,0,0
George P. Bush,Commissioner of the General Land Office,,REP,Lavaca,Precinct 20,46,37,20,17,9,8,1
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lavaca,Precinct 20,10,8,5,3,2,2,0
Matt Pina,Commissioner of the General Land Office,,LIB,Lavaca,Precinct 20,6,6,6,0,0,0,0
Christi Craddick,Railroad Commissioner,,REP,Lavaca,Precinct 20,50,41,24,17,9,8,1
Roman McAllen,Railroad Commissioner,,DEM,Lavaca,Precinct 20,10,9,6,3,1,1,0
Mike Wright,Railroad Commissioner,,LIB,Lavaca,Precinct 20,2,1,1,0,1,1,0
Ben Leman ,State Representative,13,REP,Lavaca,Precinct 20,51,42,25,17,9,8,1
Cecil Ray Webster,State Representative,13,DEM,Lavaca,Precinct 20,10,8,5,3,2,2,0
,Registered Voters,,,Lavaca,Precinct 23,1286,,,,,,
,Ballots Cast,,,Lavaca,Precinct 23,772,274,169,105,498,369,129
,Straight Party,,REP,Lavaca,Precinct 23,417,150,99,51,267,188,79
,Straight Party,,DEM,Lavaca,Precinct 23,54,20,15,5,34,25,9
,Straight Party,,LIB,Lavaca,Precinct 23,1,0,0,0,1,1,0
Ted Cruz,U.S. Senate,,REP,Lavaca,Precinct 23,673,233,143,90,440,328,112
Beto O'Rourke,U.S. Senate,,DEM,Lavaca,Precinct 23,96,40,25,15,56,41,15
Neal M Dikeman,U.S. Senate,,LIB,Lavaca,Precinct 23,1,0,0,0,1,0,1
Michael Cloud,U.S. House,27,REP,Lavaca,Precinct 23,676,239,145,94,437,327,110
Eric Holguin,U.S. House,27,DEM,Lavaca,Precinct 23,83,33,22,11,50,36,14
Daniel Tinus,U.S. House,27,LIB,Lavaca,Precinct 23,4,0,0,0,4,3,1
James Duerr,U.S. House,27,IND,Lavaca,Precinct 23,3,1,1,0,2,0,2
Greg Abbott,Governor ,,REP,Lavaca,Precinct 23,689,240,148,92,449,336,113
Lupe Valdez,Governor ,,DEM,Lavaca,Precinct 23,79,33,21,12,46,31,15
Mark Jay Tippetts,Governor ,,LIB,Lavaca,Precinct 23,2,1,0,1,1,1,0
Dan Patrick,Lieutenant Governor,,REP,Lavaca,Precinct 23,654,232,144,88,422,314,108
Mike Collier,Lieutenant Governor,,DEM,Lavaca,Precinct 23,93,36,22,14,57,40,17
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lavaca,Precinct 23,15,5,3,2,10,8,2
Ken Paxton,Attorney General ,,REP,Lavaca,Precinct 23,644,229,141,88,415,309,106
Justin Nelson,Attorney General ,,DEM,Lavaca,Precinct 23,103,42,26,16,61,45,16
Michael Ray Harris,Attorney General ,,LIB,Lavaca,Precinct 23,14,3,2,1,11,6,5
Glenn Hegar,Comptroller of Public Accounts,,REP,Lavaca,Precinct 23,663,236,143,93,427,315,112
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lavaca,Precinct 23,80,35,23,12,45,34,11
Ben Sanders,Comptroller of Public Accounts,,LIB,Lavaca,Precinct 23,12,2,2,0,10,6,4
George P. Bush,Commissioner of the General Land Office,,REP,Lavaca,Precinct 23,664,238,145,93,426,316,110
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lavaca,Precinct 23,76,29,20,9,47,34,13
Matt Pina,Commissioner of the General Land Office,,LIB,Lavaca,Precinct 23,18,5,3,2,13,9,4
Christi Craddick,Railroad Commissioner,,REP,Lavaca,Precinct 23,650,233,142,91,417,308,109
Roman McAllen,Railroad Commissioner,,DEM,Lavaca,Precinct 23,91,37,25,12,54,41,13
Mike Wright,Railroad Commissioner,,LIB,Lavaca,Precinct 23,12,3,1,2,9,5,4
Ben Leman ,State Representative,13,REP,Lavaca,Precinct 23,654,233,142,91,421,309,112
Cecil Ray Webster,State Representative,13,DEM,Lavaca,Precinct 23,91,38,25,13,53,38,15
,Registered Voters,,,Lavaca,Precinct 26,382,,,,,,
,Ballots Cast,,,Lavaca,Precinct 26,128,39,22,17,89,44,45
,Straight Party,,REP,Lavaca,Precinct 26,55,13,7,6,42,19,23
,Straight Party,,DEM,Lavaca,Precinct 26,23,9,5,4,14,8,6
,Straight Party,,LIB,Lavaca,Precinct 26,0,0,0,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Lavaca,Precinct 26,95,27,15,12,68,32,36
Beto O'Rourke,U.S. Senate,,DEM,Lavaca,Precinct 26,30,11,6,5,19,10,9
Neal M Dikeman,U.S. Senate,,LIB,Lavaca,Precinct 26,0,0,0,0,0,0,0
Michael Cloud,U.S. House,27,REP,Lavaca,Precinct 26,92,26,14,12,66,30,36
Eric Holguin,U.S. House,27,DEM,Lavaca,Precinct 26,28,11,6,5,17,10,7
Daniel Tinus,U.S. House,27,LIB,Lavaca,Precinct 26,0,0,0,0,0,0,0
James Duerr,U.S. House,27,IND,Lavaca,Precinct 26,1,0,0,0,1,1,0
Greg Abbott,Governor ,,REP,Lavaca,Precinct 26,94,27,15,12,67,32,35
Lupe Valdez,Governor ,,DEM,Lavaca,Precinct 26,29,12,7,5,17,10,7
Mark Jay Tippetts,Governor ,,LIB,Lavaca,Precinct 26,1,0,0,0,1,0,1
Dan Patrick,Lieutenant Governor,,REP,Lavaca,Precinct 26,86,26,15,11,60,28,32
Mike Collier,Lieutenant Governor,,DEM,Lavaca,Precinct 26,34,11,7,4,23,12,11
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lavaca,Precinct 26,3,2,0,2,1,1,0
Ken Paxton,Attorney General ,,REP,Lavaca,Precinct 26,90,26,15,11,64,30,34
Justin Nelson,Attorney General ,,DEM,Lavaca,Precinct 26,30,13,7,6,17,10,7
Michael Ray Harris,Attorney General ,,LIB,Lavaca,Precinct 26,3,0,0,0,3,1,2
Glenn Hegar,Comptroller of Public Accounts,,REP,Lavaca,Precinct 26,91,26,14,12,65,31,34
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lavaca,Precinct 26,28,12,7,5,16,10,6
Ben Sanders,Comptroller of Public Accounts,,LIB,Lavaca,Precinct 26,2,0,0,0,2,0,2
George P. Bush,Commissioner of the General Land Office,,REP,Lavaca,Precinct 26,86,23,12,11,63,29,34
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lavaca,Precinct 26,31,13,7,6,18,10,8
Matt Pina,Commissioner of the General Land Office,,LIB,Lavaca,Precinct 26,5,2,2,0,3,2,1
Christi Craddick,Railroad Commissioner,,REP,Lavaca,Precinct 26,92,27,14,13,65,30,35
Roman McAllen,Railroad Commissioner,,DEM,Lavaca,Precinct 26,29,11,7,4,18,11,7
Mike Wright,Railroad Commissioner,,LIB,Lavaca,Precinct 26,0,0,0,0,0,0,0
Ben Leman ,State Representative,13,REP,Lavaca,Precinct 26,89,24,12,12,65,32,33
Cecil Ray Webster,State Representative,13,DEM,Lavaca,Precinct 26,34,14,9,5,20,11,9
,Registered Voters,,,Lavaca,Precinct 27,206,,,,,,
,Ballots Cast,,,Lavaca,Precinct 27,124,87,47,40,37,11,26
,Straight Party,,REP,Lavaca,Precinct 27,73,52,30,22,21,8,13
,Straight Party,,DEM,Lavaca,Precinct 27,7,4,3,1,3,0,3
,Straight Party,,LIB,Lavaca,Precinct 27,0,0,0,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Lavaca,Precinct 27,113,81,44,37,32,10,22
Beto O'Rourke,U.S. Senate,,DEM,Lavaca,Precinct 27,11,6,3,3,5,1,4
Neal M Dikeman,U.S. Senate,,LIB,Lavaca,Precinct 27,0,0,0,0,0,0,0
Michael Cloud,U.S. House,27,REP,Lavaca,Precinct 27,114,81,43,38,33,11,22
Eric Holguin,U.S. House,27,DEM,Lavaca,Precinct 27,9,5,3,2,4,0,4
Daniel Tinus,U.S. House,27,LIB,Lavaca,Precinct 27,0,0,0,0,0,0,0
James Duerr,U.S. House,27,IND,Lavaca,Precinct 27,1,1,1,0,0,0,0
Greg Abbott,Governor ,,REP,Lavaca,Precinct 27,115,82,44,38,33,11,22
Lupe Valdez,Governor ,,DEM,Lavaca,Precinct 27,8,5,3,2,3,0,3
Mark Jay Tippetts,Governor ,,LIB,Lavaca,Precinct 27,1,0,0,0,1,0,1
Dan Patrick,Lieutenant Governor,,REP,Lavaca,Precinct 27,112,81,44,37,31,10,21
Mike Collier,Lieutenant Governor,,DEM,Lavaca,Precinct 27,12,6,3,3,6,1,5
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lavaca,Precinct 27,0,0,0,0,0,0,0
Ken Paxton,Attorney General ,,REP,Lavaca,Precinct 27,109,78,43,35,31,10,21
Justin Nelson,Attorney General ,,DEM,Lavaca,Precinct 27,15,9,4,5,6,1,5
Michael Ray Harris,Attorney General ,,LIB,Lavaca,Precinct 27,0,0,0,0,0,0,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Lavaca,Precinct 27,114,81,44,37,33,11,22
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lavaca,Precinct 27,10,6,3,3,4,0,4
Ben Sanders,Comptroller of Public Accounts,,LIB,Lavaca,Precinct 27,0,0,0,0,0,0,0
George P. Bush,Commissioner of the General Land Office,,REP,Lavaca,Precinct 27,111,80,42,38,31,11,20
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lavaca,Precinct 27,9,5,3,2,4,0,4
Matt Pina,Commissioner of the General Land Office,,LIB,Lavaca,Precinct 27,4,2,2,0,2,0,2
Christi Craddick,Railroad Commissioner,,REP,Lavaca,Precinct 27,112,79,42,37,33,11,22
Roman McAllen,Railroad Commissioner,,DEM,Lavaca,Precinct 27,9,6,3,3,3,0,3
Mike Wright,Railroad Commissioner,,LIB,Lavaca,Precinct 27,3,2,2,0,1,0,1
Ben Leman ,State Representative,13,REP,Lavaca,Precinct 27,112,79,43,36,33,11,22
Cecil Ray Webster,State Representative,13,DEM,Lavaca,Precinct 27,12,8,4,4,4,0,4
,Registered Voters,,,Lavaca,Precinct 29,1193,,,,,,
,Ballots Cast,,,Lavaca,Precinct 29,678,318,179,139,360,230,130
,Straight Party,,REP,Lavaca,Precinct 29,327,164,85,79,163,102,61
,Straight Party,,DEM,Lavaca,Precinct 29,45,17,15,2,28,14,14
,Straight Party,,LIB,Lavaca,Precinct 29,1,1,0,1,0,0,0
Ted Cruz,U.S. Senate,,REP,Lavaca,Precinct 29,575,271,141,130,304,200,104
Beto O'Rourke,U.S. Senate,,DEM,Lavaca,Precinct 29,96,44,35,9,52,27,25
Neal M Dikeman,U.S. Senate,,LIB,Lavaca,Precinct 29,4,1,1,0,3,2,1
Michael Cloud,U.S. House,27,REP,Lavaca,Precinct 29,575,270,142,128,305,200,105
Eric Holguin,U.S. House,27,DEM,Lavaca,Precinct 29,87,40,31,9,47,25,22
Daniel Tinus,U.S. House,27,LIB,Lavaca,Precinct 29,4,2,1,1,2,0,2
James Duerr,U.S. House,27,IND,Lavaca,Precinct 29,5,3,2,1,2,2,0
Greg Abbott,Governor ,,REP,Lavaca,Precinct 29,593,279,149,130,314,206,108
Lupe Valdez,Governor ,,DEM,Lavaca,Precinct 29,69,30,24,6,39,19,20
Mark Jay Tippetts,Governor ,,LIB,Lavaca,Precinct 29,12,6,4,2,6,4,2
Dan Patrick,Lieutenant Governor,,REP,Lavaca,Precinct 29,544,254,137,117,290,192,98
Mike Collier,Lieutenant Governor,,DEM,Lavaca,Precinct 29,118,57,39,18,61,31,30
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lavaca,Precinct 29,10,4,2,2,6,4,2
Ken Paxton,Attorney General ,,REP,Lavaca,Precinct 29,538,252,130,122,286,187,99
Justin Nelson,Attorney General ,,DEM,Lavaca,Precinct 29,114,52,40,12,62,33,29
Michael Ray Harris,Attorney General ,,LIB,Lavaca,Precinct 29,16,9,6,3,7,5,2
Glenn Hegar,Comptroller of Public Accounts,,REP,Lavaca,Precinct 29,566,266,140,126,300,194,106
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lavaca,Precinct 29,88,39,32,7,49,27,22
Ben Sanders,Comptroller of Public Accounts,,LIB,Lavaca,Precinct 29,11,7,4,3,4,2,2
George P. Bush,Commissioner of the General Land Office,,REP,Lavaca,Precinct 29,571,261,140,121,310,199,111
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lavaca,Precinct 29,82,41,32,9,41,24,17
Matt Pina,Commissioner of the General Land Office,,LIB,Lavaca,Precinct 29,17,11,5,6,6,4,2
Christi Craddick,Railroad Commissioner,,REP,Lavaca,Precinct 29,577,271,141,130,306,197,109
Roman McAllen,Railroad Commissioner,,DEM,Lavaca,Precinct 29,85,39,33,6,46,26,20
Mike Wright,Railroad Commissioner,,LIB,Lavaca,Precinct 29,6,4,2,2,2,1,1
Ben Leman ,State Representative,13,REP,Lavaca,Precinct 29,578,271,144,127,307,202,105
Cecil Ray Webster,State Representative,13,DEM,Lavaca,Precinct 29,93,43,32,11,50,25,25
,Registered Voters,,,Lavaca,Precinct 30,1797,,,,,,
,Ballots Cast,,,Lavaca,Precinct 30,924,360,216,144,564,342,222
,Straight Party,,REP,Lavaca,Precinct 30,494,200,112,88,294,172,122
,Straight Party,,DEM,Lavaca,Precinct 30,72,29,24,5,43,25,18
,Straight Party,,LIB,Lavaca,Precinct 30,2,0,0,0,2,1,1
Ted Cruz,U.S. Senate,,REP,Lavaca,Precinct 30,777,299,171,128,478,289,189
Beto O'Rourke,U.S. Senate,,DEM,Lavaca,Precinct 30,138,58,42,16,80,50,30
Neal M Dikeman,U.S. Senate,,LIB,Lavaca,Precinct 30,7,2,2,0,5,2,3
Michael Cloud,U.S. House,27,REP,Lavaca,Precinct 30,782,302,173,129,480,288,192
Eric Holguin,U.S. House,27,DEM,Lavaca,Precinct 30,124,51,40,11,73,47,26
Daniel Tinus,U.S. House,27,LIB,Lavaca,Precinct 30,5,1,0,1,4,2,2
James Duerr,U.S. House,27,IND,Lavaca,Precinct 30,3,0,0,0,3,1,2
Greg Abbott,Governor ,,REP,Lavaca,Precinct 30,807,311,177,134,496,301,195
Lupe Valdez,Governor ,,DEM,Lavaca,Precinct 30,106,45,35,10,61,37,24
Mark Jay Tippetts,Governor ,,LIB,Lavaca,Precinct 30,7,3,3,0,4,2,2
Dan Patrick,Lieutenant Governor,,REP,Lavaca,Precinct 30,740,282,163,119,458,281,177
Mike Collier,Lieutenant Governor,,DEM,Lavaca,Precinct 30,159,66,45,21,93,53,40
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lavaca,Precinct 30,17,7,5,2,10,5,5
Ken Paxton,Attorney General ,,REP,Lavaca,Precinct 30,748,289,165,124,459,276,183
Justin Nelson,Attorney General ,,DEM,Lavaca,Precinct 30,142,58,43,15,84,51,33
Michael Ray Harris,Attorney General ,,LIB,Lavaca,Precinct 30,21,7,4,3,14,9,5
Glenn Hegar,Comptroller of Public Accounts,,REP,Lavaca,Precinct 30,782,301,174,127,481,283,198
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lavaca,Precinct 30,109,46,36,10,63,43,20
Ben Sanders,Comptroller of Public Accounts,,LIB,Lavaca,Precinct 30,19,6,2,4,13,9,4
George P. Bush,Commissioner of the General Land Office,,REP,Lavaca,Precinct 30,759,295,166,129,464,283,181
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lavaca,Precinct 30,113,45,36,9,68,45,23
Matt Pina,Commissioner of the General Land Office,,LIB,Lavaca,Precinct 30,41,13,9,4,28,11,17
Christi Craddick,Railroad Commissioner,,REP,Lavaca,Precinct 30,770,301,173,128,469,279,190
Roman McAllen,Railroad Commissioner,,DEM,Lavaca,Precinct 30,115,45,36,9,70,44,26
Mike Wright,Railroad Commissioner,,LIB,Lavaca,Precinct 30,21,6,2,4,15,9,6
Ben Leman ,State Representative,13,REP,Lavaca,Precinct 30,765,294,165,129,471,277,194
Cecil Ray Webster,State Representative,13,DEM,Lavaca,Precinct 30,129,54,41,13,75,48,27
,Registered Voters,,,Lavaca,Precinct 31,1116,,,,,,
,Ballots Cast,,,Lavaca,Precinct 31,700,528,289,239,172,73,99
,Straight Party,,REP,Lavaca,Precinct 31,391,294,151,143,97,39,58
,Straight Party,,DEM,Lavaca,Precinct 31,42,27,17,10,15,6,9
,Straight Party,,LIB,Lavaca,Precinct 31,0,0,0,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Lavaca,Precinct 31,620,467,250,217,153,65,88
Beto O'Rourke,U.S. Senate,,DEM,Lavaca,Precinct 31,73,55,34,21,18,7,11
Neal M Dikeman,U.S. Senate,,LIB,Lavaca,Precinct 31,3,2,1,1,1,1,0
Michael Cloud,U.S. House,27,REP,Lavaca,Precinct 31,616,465,249,216,151,64,87
Eric Holguin,U.S. House,27,DEM,Lavaca,Precinct 31,70,52,33,19,18,8,10
Daniel Tinus,U.S. House,27,LIB,Lavaca,Precinct 31,4,3,1,2,1,1,0
James Duerr,U.S. House,27,IND,Lavaca,Precinct 31,6,4,2,2,2,0,2
Greg Abbott,Governor ,,REP,Lavaca,Precinct 31,632,478,260,218,154,65,89
Lupe Valdez,Governor ,,DEM,Lavaca,Precinct 31,65,47,26,21,18,8,10
Mark Jay Tippetts,Governor ,,LIB,Lavaca,Precinct 31,1,1,1,0,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Lavaca,Precinct 31,592,445,238,207,147,62,85
Mike Collier,Lieutenant Governor,,DEM,Lavaca,Precinct 31,91,67,39,28,24,11,13
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lavaca,Precinct 31,8,8,6,2,0,0,0
Ken Paxton,Attorney General ,,REP,Lavaca,Precinct 31,597,449,247,202,148,62,86
Justin Nelson,Attorney General ,,DEM,Lavaca,Precinct 31,84,64,36,28,20,9,11
Michael Ray Harris,Attorney General ,,LIB,Lavaca,Precinct 31,11,8,1,7,3,2,1
Glenn Hegar,Comptroller of Public Accounts,,REP,Lavaca,Precinct 31,616,464,252,212,152,63,89
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lavaca,Precinct 31,66,51,31,20,15,7,8
Ben Sanders,Comptroller of Public Accounts,,LIB,Lavaca,Precinct 31,11,8,4,4,3,1,2
George P. Bush,Commissioner of the General Land Office,,REP,Lavaca,Precinct 31,610,454,239,215,156,65,91
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lavaca,Precinct 31,63,50,32,18,13,6,7
Matt Pina,Commissioner of the General Land Office,,LIB,Lavaca,Precinct 31,19,17,12,5,2,1,1
Christi Craddick,Railroad Commissioner,,REP,Lavaca,Precinct 31,600,450,239,211,150,62,88
Roman McAllen,Railroad Commissioner,,DEM,Lavaca,Precinct 31,72,56,36,20,16,7,9
Mike Wright,Railroad Commissioner,,LIB,Lavaca,Precinct 31,17,13,9,4,4,2,2
Ben Leman ,State Representative,13,REP,Lavaca,Precinct 31,607,455,239,216,152,64,88
Cecil Ray Webster,State Representative,13,DEM,Lavaca,Precinct 31,77,59,40,19,18,8,10
,Registered Voters,,,Lavaca,Precinct 32,327,,,,,,
,Ballots Cast,,,Lavaca,Precinct 32,170,74,42,32,96,47,49
,Straight Party,,REP,Lavaca,Precinct 32,104,47,25,22,57,23,34
,Straight Party,,DEM,Lavaca,Precinct 32,4,1,1,0,3,2,1
,Straight Party,,LIB,Lavaca,Precinct 32,1,0,0,0,1,0,1
Ted Cruz,U.S. Senate,,REP,Lavaca,Precinct 32,152,68,37,31,84,37,47
Beto O'Rourke,U.S. Senate,,DEM,Lavaca,Precinct 32,16,6,5,1,10,8,2
Neal M Dikeman,U.S. Senate,,LIB,Lavaca,Precinct 32,0,0,0,0,0,0,0
Michael Cloud,U.S. House,27,REP,Lavaca,Precinct 32,154,67,37,30,87,40,47
Eric Holguin,U.S. House,27,DEM,Lavaca,Precinct 32,12,5,4,1,7,6,1
Daniel Tinus,U.S. House,27,LIB,Lavaca,Precinct 32,0,0,0,0,0,0,0
James Duerr,U.S. House,27,IND,Lavaca,Precinct 32,1,0,0,0,1,0,1
Greg Abbott,Governor ,,REP,Lavaca,Precinct 32,156,68,38,30,88,42,46
Lupe Valdez,Governor ,,DEM,Lavaca,Precinct 32,12,5,4,1,7,4,3
