county,precinct,office,district,party,candidate,votes,election_day,absentee,early_voting
Polk,21,Commissioner of Agriculture ,,REP,Trey Blocker,28,,,
Polk,1,Railroad Commissioner ,,REP,Christi Craddick,50,,,
Polk,1,Railroad Commissioner ,,REP,Weston Martinez,6,,,
Polk,2,Railroad Commissioner ,,REP,Christi Craddick,32,,,
Polk,2,Railroad Commissioner ,,REP,Weston Martinez,16,,,
Polk,3,Railroad Commissioner ,,REP,Christi Craddick,187,,,
Polk,3,Railroad Commissioner ,,REP,Weston Martinez,46,,,
Polk,4,Railroad Commissioner ,,REP,Christi Craddick,193,,,
Polk,4,Railroad Commissioner ,,REP,Weston Martinez,47,,,
Polk,5,Railroad Commissioner ,,REP,Christi Craddick,350,,,
Polk,5,Railroad Commissioner ,,REP,Weston Martinez,79,,,
Polk,6,Railroad Commissioner ,,REP,Christi Craddick,651,,,
Polk,6,Railroad Commissioner ,,REP,Weston Martinez,153,,,
Polk,7,Railroad Commissioner ,,REP,Christi Craddick,92,,,
Polk,7,Railroad Commissioner ,,REP,Weston Martinez,24,,,
Polk,8,Railroad Commissioner ,,REP,Christi Craddick,84,,,
Polk,8,Railroad Commissioner ,,REP,Weston Martinez,23,,,
Polk,9,Railroad Commissioner ,,REP,Christi Craddick,82,,,
Polk,9,Railroad Commissioner ,,REP,Weston Martinez,24,,,
Polk,10,Railroad Commissioner ,,REP,Christi Craddick,173,,,
Polk,10,Railroad Commissioner ,,REP,Weston Martinez,52,,,
Polk,11,Railroad Commissioner ,,REP,Christi Craddick,56,,,
Polk,11,Railroad Commissioner ,,REP,Weston Martinez,16,,,
Polk,12,Railroad Commissioner ,,REP,Christi Craddick,12,,,
Polk,12,Railroad Commissioner ,,REP,Weston Martinez,13,,,
Polk,13,Railroad Commissioner ,,REP,Christi Craddick,52,,,
Polk,13,Railroad Commissioner ,,REP,Weston Martinez,12,,,
Polk,14,Railroad Commissioner ,,REP,Christi Craddick,105,,,
Polk,14,Railroad Commissioner ,,REP,Weston Martinez,23,,,
Polk,15,Railroad Commissioner ,,REP,Christi Craddick,135,,,
Polk,15,Railroad Commissioner ,,REP,Weston Martinez,32,,,
Polk,16,Railroad Commissioner ,,REP,Christi Craddick,627,,,
Polk,16,Railroad Commissioner ,,REP,Weston Martinez,156,,,
Polk,17,Railroad Commissioner ,,REP,Christi Craddick,151,,,
Polk,17,Railroad Commissioner ,,REP,Weston Martinez,29,,,
Polk,18,Railroad Commissioner ,,REP,Christi Craddick,32,,,
Polk,18,Railroad Commissioner ,,REP,Weston Martinez,10,,,
Polk,19,Railroad Commissioner ,,REP,Christi Craddick,134,,,
Polk,19,Railroad Commissioner ,,REP,Weston Martinez,42,,,
Polk,20,Railroad Commissioner ,,REP,Christi Craddick,146,,,
Polk,20,Railroad Commissioner ,,REP,Weston Martinez,36,,,
Polk,21,Railroad Commissioner ,,REP,Christi Craddick,146,,,
Polk,21,Railroad Commissioner ,,REP,Weston Martinez,41,,,
Polk,1,"Justice, Supreme Court, Place 2 ",,REP,Jimmy Blacklock,52,,,
Polk,2,"Justice, Supreme Court, Place 2 ",,REP,Jimmy Blacklock,48,,,
Polk,3,"Justice, Supreme Court, Place 2 ",,REP,Jimmy Blacklock,219,,,
Polk,4,"Justice, Supreme Court, Place 2 ",,REP,Jimmy Blacklock,239,,,
Polk,5,"Justice, Supreme Court, Place 2 ",,REP,Jimmy Blacklock,414,,,
Polk,6,"Justice, Supreme Court, Place 2 ",,REP,Jimmy Blacklock,773,,,
Polk,7,"Justice, Supreme Court, Place 2 ",,REP,Jimmy Blacklock,116,,,
Polk,8,"Justice, Supreme Court, Place 2 ",,REP,Jimmy Blacklock,107,,,
Polk,9,"Justice, Supreme Court, Place 2 ",,REP,Jimmy Blacklock,105,,,
Polk,10,"Justice, Supreme Court, Place 2 ",,REP,Jimmy Blacklock,197,,,
Polk,11,"Justice, Supreme Court, Place 2 ",,REP,Jimmy Blacklock,59,,,
Polk,12,"Justice, Supreme Court, Place 2 ",,REP,Jimmy Blacklock,19,,,
Polk,13,"Justice, Supreme Court, Place 2 ",,REP,Jimmy Blacklock,64,,,
Polk,14,"Justice, Supreme Court, Place 2 ",,REP,Jimmy Blacklock,124,,,
Polk,15,"Justice, Supreme Court, Place 2 ",,REP,Jimmy Blacklock,165,,,
Polk,16,"Justice, Supreme Court, Place 2 ",,REP,Jimmy Blacklock,756,,,
Polk,17,"Justice, Supreme Court, Place 2 ",,REP,Jimmy Blacklock,174,,,
Polk,18,"Justice, Supreme Court, Place 2 ",,REP,Jimmy Blacklock,35,,,
Polk,19,"Justice, Supreme Court, Place 2 ",,REP,Jimmy Blacklock,189,,,
Polk,20,"Justice, Supreme Court, Place 2 ",,REP,Jimmy Blacklock,184,,,
Polk,21,"Justice, Supreme Court, Place 2 ",,REP,Jimmy Blacklock,180,,,
Polk,1,"Justice, Supreme Court, Place 4 ",,REP,John Devine,50,,,
Polk,2,"Justice, Supreme Court, Place 4 ",,REP,John Devine,46,,,
Polk,3,"Justice, Supreme Court, Place 4 ",,REP,John Devine,213,,,
Polk,4,"Justice, Supreme Court, Place 4 ",,REP,John Devine,242,,,
Polk,5,"Justice, Supreme Court, Place 4 ",,REP,John Devine,411,,,
Polk,6,"Justice, Supreme Court, Place 4 ",,REP,John Devine,764,,,
Polk,7,"Justice, Supreme Court, Place 4 ",,REP,John Devine,115,,,
Polk,8,"Justice, Supreme Court, Place 4 ",,REP,John Devine,105,,,
Polk,9,"Justice, Supreme Court, Place 4 ",,REP,John Devine,100,,,
Polk,10,"Justice, Supreme Court, Place 4 ",,REP,John Devine,188,,,
Polk,11,"Justice, Supreme Court, Place 4 ",,REP,John Devine,58,,,
Polk,12,"Justice, Supreme Court, Place 4 ",,REP,John Devine,16,,,
Polk,13,"Justice, Supreme Court, Place 4 ",,REP,John Devine,63,,,
Polk,14,"Justice, Supreme Court, Place 4 ",,REP,John Devine,121,,,
Polk,15,"Justice, Supreme Court, Place 4 ",,REP,John Devine,158,,,
Polk,16,"Justice, Supreme Court, Place 4 ",,REP,John Devine,746,,,
Polk,17,"Justice, Supreme Court, Place 4 ",,REP,John Devine,174,,,
Polk,18,"Justice, Supreme Court, Place 4 ",,REP,John Devine,31,,,
Polk,19,"Justice, Supreme Court, Place 4 ",,REP,John Devine,183,,,
Polk,20,"Justice, Supreme Court, Place 4 ",,REP,John Devine,182,,,
Polk,21,"Justice, Supreme Court, Place 4 ",,REP,John Devine,177,,,
Polk,1,"Justice, Supreme Court, Place 6 ",,REP,Jeff Brown,49,,,
Polk,2,"Justice, Supreme Court, Place 6 ",,REP,Jeff Brown,46,,,
Polk,3,"Justice, Supreme Court, Place 6 ",,REP,Jeff Brown,215,,,
Polk,4,"Justice, Supreme Court, Place 6 ",,REP,Jeff Brown,241,,,
Polk,5,"Justice, Supreme Court, Place 6 ",,REP,Jeff Brown,409,,,
Polk,6,"Justice, Supreme Court, Place 6 ",,REP,Jeff Brown,764,,,
Polk,7,"Justice, Supreme Court, Place 6 ",,REP,Jeff Brown,114,,,
Polk,8,"Justice, Supreme Court, Place 6 ",,REP,Jeff Brown,104,,,
Polk,9,"Justice, Supreme Court, Place 6 ",,REP,Jeff Brown,100,,,
Polk,10,"Justice, Supreme Court, Place 6 ",,REP,Jeff Brown,196,,,
Polk,11,"Justice, Supreme Court, Place 6 ",,REP,Jeff Brown,57,,,
Polk,12,"Justice, Supreme Court, Place 6 ",,REP,Jeff Brown,17,,,
Polk,13,"Justice, Supreme Court, Place 6 ",,REP,Jeff Brown,64,,,
Polk,14,"Justice, Supreme Court, Place 6 ",,REP,Jeff Brown,122,,,
Polk,15,"Justice, Supreme Court, Place 6 ",,REP,Jeff Brown,159,,,
Polk,16,"Justice, Supreme Court, Place 6 ",,REP,Jeff Brown,743,,,
Polk,17,"Justice, Supreme Court, Place 6 ",,REP,Jeff Brown,173,,,
Polk,18,"Justice, Supreme Court, Place 6 ",,REP,Jeff Brown,33,,,
Polk,19,"Justice, Supreme Court, Place 6 ",,REP,Jeff Brown,185,,,
Polk,20,"Justice, Supreme Court, Place 6 ",,REP,Jeff Brown,180,,,
Polk,21,"Justice, Supreme Court, Place 6 ",,REP,Jeff Brown,172,,,
Polk,1,"Presiding Judge, Court of Criminal Appeals ",,REP,David Bridges,46,,,
Polk,1,"Presiding Judge, Court of Criminal Appeals ",,REP,Sharon Keller,7,,,
Polk,2,"Presiding Judge, Court of Criminal Appeals ",,REP,David Bridges,27,,,
Polk,2,"Presiding Judge, Court of Criminal Appeals ",,REP,Sharon Keller,20,,,
Polk,3,"Presiding Judge, Court of Criminal Appeals ",,REP,David Bridges,137,,,
Polk,3,"Presiding Judge, Court of Criminal Appeals ",,REP,Sharon Keller,89,,,
Polk,4,"Presiding Judge, Court of Criminal Appeals ",,REP,David Bridges,134,,,
Polk,4,"Presiding Judge, Court of Criminal Appeals ",,REP,Sharon Keller,106,,,
Polk,5,"Presiding Judge, Court of Criminal Appeals ",,REP,David Bridges,250,,,
Polk,5,"Presiding Judge, Court of Criminal Appeals ",,REP,Sharon Keller,178,,,
Polk,6,"Presiding Judge, Court of Criminal Appeals ",,REP,David Bridges,465,,,
Polk,6,"Presiding Judge, Court of Criminal Appeals ",,REP,Sharon Keller,324,,,
Polk,7,"Presiding Judge, Court of Criminal Appeals ",,REP,David Bridges,59,,,
Polk,7,"Presiding Judge, Court of Criminal Appeals ",,REP,Sharon Keller,50,,,
Polk,8,"Presiding Judge, Court of Criminal Appeals ",,REP,David Bridges,67,,,
Polk,8,"Presiding Judge, Court of Criminal Appeals ",,REP,Sharon Keller,39,,,
Polk,9,"Presiding Judge, Court of Criminal Appeals ",,REP,David Bridges,70,,,
Polk,9,"Presiding Judge, Court of Criminal Appeals ",,REP,Sharon Keller,30,,,
Polk,10,"Presiding Judge, Court of Criminal Appeals ",,REP,David Bridges,149,,,
Polk,10,"Presiding Judge, Court of Criminal Appeals ",,REP,Sharon Keller,74,,,
Polk,11,"Presiding Judge, Court of Criminal Appeals ",,REP,David Bridges,38,,,
Polk,11,"Presiding Judge, Court of Criminal Appeals ",,REP,Sharon Keller,27,,,
Polk,12,"Presiding Judge, Court of Criminal Appeals ",,REP,David Bridges,8,,,
Polk,12,"Presiding Judge, Court of Criminal Appeals ",,REP,Sharon Keller,15,,,
Polk,13,"Presiding Judge, Court of Criminal Appeals ",,REP,David Bridges,41,,,
Polk,13,"Presiding Judge, Court of Criminal Appeals ",,REP,Sharon Keller,22,,,
Polk,14,"Presiding Judge, Court of Criminal Appeals ",,REP,David Bridges,80,,,
Polk,14,"Presiding Judge, Court of Criminal Appeals ",,REP,Sharon Keller,47,,,
Polk,15,"Presiding Judge, Court of Criminal Appeals ",,REP,David Bridges,116,,,
Polk,15,"Presiding Judge, Court of Criminal Appeals ",,REP,Sharon Keller,45,,,
Polk,16,"Presiding Judge, Court of Criminal Appeals ",,REP,David Bridges,504,,,
Polk,16,"Presiding Judge, Court of Criminal Appeals ",,REP,Sharon Keller,271,,,
Polk,17,"Presiding Judge, Court of Criminal Appeals ",,REP,David Bridges,118,,,
Polk,17,"Presiding Judge, Court of Criminal Appeals ",,REP,Sharon Keller,62,,,
Polk,18,"Presiding Judge, Court of Criminal Appeals ",,REP,David Bridges,22,,,
Polk,18,"Presiding Judge, Court of Criminal Appeals ",,REP,Sharon Keller,19,,,
Polk,19,"Presiding Judge, Court of Criminal Appeals ",,REP,David Bridges,112,,,
Polk,19,"Presiding Judge, Court of Criminal Appeals ",,REP,Sharon Keller,74,,,
Polk,20,"Presiding Judge, Court of Criminal Appeals ",,REP,David Bridges,103,,,
Polk,20,"Presiding Judge, Court of Criminal Appeals ",,REP,Sharon Keller,75,,,
Polk,21,"Presiding Judge, Court of Criminal Appeals ",,REP,David Bridges,130,,,
Polk,21,"Presiding Judge, Court of Criminal Appeals ",,REP,Sharon Keller,51,,,
Polk,1,"Judge, Court of Criminal Appeals, Place 7 ",,REP,Barbara Parker Hervey,46,,,
Polk,2,"Judge, Court of Criminal Appeals, Place 7 ",,REP,Barbara Parker Hervey,44,,,
Polk,3,"Judge, Court of Criminal Appeals, Place 7 ",,REP,Barbara Parker Hervey,203,,,
Polk,4,"Judge, Court of Criminal Appeals, Place 7 ",,REP,Barbara Parker Hervey,231,,,
Polk,5,"Judge, Court of Criminal Appeals, Place 7 ",,REP,Barbara Parker Hervey,404,,,
Polk,6,"Judge, Court of Criminal Appeals, Place 7 ",,REP,Barbara Parker Hervey,756,,,
Polk,7,"Judge, Court of Criminal Appeals, Place 7 ",,REP,Barbara Parker Hervey,112,,,
Polk,8,"Judge, Court of Criminal Appeals, Place 7 ",,REP,Barbara Parker Hervey,102,,,
Polk,9,"Judge, Court of Criminal Appeals, Place 7 ",,REP,Barbara Parker Hervey,101,,,
Polk,10,"Judge, Court of Criminal Appeals, Place 7 ",,REP,Barbara Parker Hervey,192,,,
Polk,11,"Judge, Court of Criminal Appeals, Place 7 ",,REP,Barbara Parker Hervey,56,,,
Polk,12,"Judge, Court of Criminal Appeals, Place 7 ",,REP,Barbara Parker Hervey,17,,,
Polk,13,"Judge, Court of Criminal Appeals, Place 7 ",,REP,Barbara Parker Hervey,63,,,
Polk,14,"Judge, Court of Criminal Appeals, Place 7 ",,REP,Barbara Parker Hervey,123,,,
Polk,15,"Judge, Court of Criminal Appeals, Place 7 ",,REP,Barbara Parker Hervey,159,,,
Polk,16,"Judge, Court of Criminal Appeals, Place 7 ",,REP,Barbara Parker Hervey,725,,,
Polk,17,"Judge, Court of Criminal Appeals, Place 7 ",,REP,Barbara Parker Hervey,172,,,
Polk,18,"Judge, Court of Criminal Appeals, Place 7 ",,REP,Barbara Parker Hervey,33,,,
Polk,19,"Judge, Court of Criminal Appeals, Place 7 ",,REP,Barbara Parker Hervey,183,,,
Polk,20,"Judge, Court of Criminal Appeals, Place 7 ",,REP,Barbara Parker Hervey,182,,,
Polk,21,"Judge, Court of Criminal Appeals, Place 7 ",,REP,Barbara Parker Hervey,174,,,
Polk,1,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Michelle Slaughter,23,,,
Polk,1,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Jay Brandon,23,,,
Polk,1,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Dib Waldrip,4,,,
Polk,2,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Michelle Slaughter,24,,,
Polk,2,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Jay Brandon,20,,,
Polk,2,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Dib Waldrip,3,,,
Polk,3,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Michelle Slaughter,91,,,
Polk,3,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Jay Brandon,87,,,
Polk,3,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Dib Waldrip,30,,,
Polk,4,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Michelle Slaughter,121,,,
Polk,4,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Jay Brandon,76,,,
Polk,4,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Dib Waldrip,28,,,
Polk,5,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Michelle Slaughter,219,,,
Polk,5,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Jay Brandon,145,,,
Polk,5,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Dib Waldrip,41,,,
Polk,6,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Michelle Slaughter,413,,,
Polk,6,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Jay Brandon,261,,,
Polk,6,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Dib Waldrip,83,,,
Polk,7,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Michelle Slaughter,41,,,
Polk,7,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Jay Brandon,43,,,
Polk,7,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Dib Waldrip,13,,,
Polk,8,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Michelle Slaughter,52,,,
Polk,8,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Jay Brandon,30,,,
Polk,8,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Dib Waldrip,19,,,
Polk,9,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Michelle Slaughter,42,,,
Polk,9,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Jay Brandon,47,,,
Polk,9,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Dib Waldrip,5,,,
Polk,10,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Michelle Slaughter,101,,,
Polk,10,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Jay Brandon,89,,,
Polk,10,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Dib Waldrip,15,,,
Polk,11,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Michelle Slaughter,33,,,
Polk,11,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Jay Brandon,19,,,
Polk,11,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Dib Waldrip,8,,,
Polk,12,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Michelle Slaughter,16,,,
Polk,12,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Jay Brandon,4,,,
Polk,12,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Dib Waldrip,0,,,
Polk,13,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Michelle Slaughter,30,,,
Polk,13,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Jay Brandon,21,,,
Polk,13,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Dib Waldrip,9,,,
Polk,14,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Michelle Slaughter,49,,,
Polk,14,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Jay Brandon,42,,,
Polk,14,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Dib Waldrip,28,,,
Polk,15,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Michelle Slaughter,76,,,
Polk,15,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Jay Brandon,52,,,
Polk,15,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Dib Waldrip,24,,,
Polk,16,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Michelle Slaughter,339,,,
Polk,16,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Jay Brandon,268,,,
Polk,16,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Dib Waldrip,96,,,
Polk,17,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Michelle Slaughter,83,,,
Polk,17,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Jay Brandon,68,,,
Polk,17,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Dib Waldrip,16,,,
Polk,18,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Michelle Slaughter,23,,,
Polk,18,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Jay Brandon,10,,,
Polk,18,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Dib Waldrip,4,,,
Polk,19,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Michelle Slaughter,82,,,
Polk,19,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Jay Brandon,70,,,
Polk,19,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Dib Waldrip,25,,,
Polk,20,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Michelle Slaughter,95,,,
Polk,20,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Jay Brandon,63,,,
Polk,20,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Dib Waldrip,16,,,
Polk,21,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Michelle Slaughter,86,,,
Polk,21,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Jay Brandon,68,,,
Polk,21,"Judge, Court of Criminal Appeals, Place 8 ",,REP,Dib Waldrip,15,,,
Polk,1,State Senate,3,REP,Robert Nichols,53,,,
Polk,2,State Senate,3,REP,Robert Nichols,48,,,
Polk,3,State Senate,3,REP,Robert Nichols,226,,,
Polk,4,State Senate,3,REP,Robert Nichols,254,,,
Polk,5,State Senate,3,REP,Robert Nichols,426,,,
Polk,6,State Senate,3,REP,Robert Nichols,787,,,
Polk,7,State Senate,3,REP,Robert Nichols,127,,,
Polk,8,State Senate,3,REP,Robert Nichols,114,,,
Polk,9,State Senate,3,REP,Robert Nichols,114,,,
Polk,10,State Senate,3,REP,Robert Nichols,221,,,
Polk,11,State Senate,3,REP,Robert Nichols,64,,,
Polk,12,State Senate,3,REP,Robert Nichols,22,,,
Polk,13,State Senate,3,REP,Robert Nichols,65,,,
Polk,14,State Senate,3,REP,Robert Nichols,124,,,
Polk,15,State Senate,3,REP,Robert Nichols,170,,,
Polk,16,State Senate,3,REP,Robert Nichols,812,,,
Polk,17,State Senate,3,REP,Robert Nichols,180,,,
Polk,18,State Senate,3,REP,Robert Nichols,37,,,
Polk,19,State Senate,3,REP,Robert Nichols,190,,,
Polk,20,State Senate,3,REP,Robert Nichols,193,,,
Polk,21,State Senate,3,REP,Robert Nichols,196,,,
Polk,1,State Representative,19,REP,James White,57,,,
Polk,2,State Representative,19,REP,James White,49,,,
Polk,3,State Representative,19,REP,James White,253,,,
Polk,4,State Representative,19,REP,James White,275,,,
Polk,5,State Representative,19,REP,James White,445,,,
Polk,6,State Representative,19,REP,James White,812,,,
Polk,7,State Representative,19,REP,James White,136,,,
Polk,8,State Representative,19,REP,James White,119,,,
Polk,9,State Representative,19,REP,James White,109,,,
Polk,10,State Representative,19,REP,James White,229,,,
Polk,11,State Representative,19,REP,James White,73,,,
Polk,12,State Representative,19,REP,James White,28,,,
Polk,13,State Representative,19,REP,James White,71,,,
Polk,14,State Representative,19,REP,James White,134,,,
Polk,15,State Representative,19,REP,James White,170,,,
Polk,16,State Representative,19,REP,James White,845,,,
Polk,17,State Representative,19,REP,James White,189,,,
Polk,18,State Representative,19,REP,James White,45,,,
Polk,19,State Representative,19,REP,James White,191,,,
Polk,20,State Representative,19,REP,James White,196,,,
Polk,21,State Representative,19,REP,James White,208,,,
Polk,1,"Justice, 9th Court of Appeals District, Place No. 3 ",,REP,Leanne Johnson,45,,,
Polk,2,"Justice, 9th Court of Appeals District, Place No. 3 ",,REP,Leanne Johnson,45,,,
Polk,3,"Justice, 9th Court of Appeals District, Place No. 3 ",,REP,Leanne Johnson,211,,,
Polk,4,"Justice, 9th Court of Appeals District, Place No. 3 ",,REP,Leanne Johnson,240,,,
Polk,5,"Justice, 9th Court of Appeals District, Place No. 3 ",,REP,Leanne Johnson,407,,,
Polk,6,"Justice, 9th Court of Appeals District, Place No. 3 ",,REP,Leanne Johnson,747,,,
Polk,7,"Justice, 9th Court of Appeals District, Place No. 3 ",,REP,Leanne Johnson,113,,,
Polk,8,"Justice, 9th Court of Appeals District, Place No. 3 ",,REP,Leanne Johnson,102,,,
Polk,9,"Justice, 9th Court of Appeals District, Place No. 3 ",,REP,Leanne Johnson,98,,,
Polk,10,"Justice, 9th Court of Appeals District, Place No. 3 ",,REP,Leanne Johnson,192,,,
Polk,11,"Justice, 9th Court of Appeals District, Place No. 3 ",,REP,Leanne Johnson,57,,,
Polk,12,"Justice, 9th Court of Appeals District, Place No. 3 ",,REP,Leanne Johnson,18,,,
Polk,13,"Justice, 9th Court of Appeals District, Place No. 3 ",,REP,Leanne Johnson,65,,,
Polk,14,"Justice, 9th Court of Appeals District, Place No. 3 ",,REP,Leanne Johnson,120,,,
Polk,15,"Justice, 9th Court of Appeals District, Place No. 3 ",,REP,Leanne Johnson,158,,,
Polk,16,"Justice, 9th Court of Appeals District, Place No. 3 ",,REP,Leanne Johnson,733,,,
Polk,17,"Justice, 9th Court of Appeals District, Place No. 3 ",,REP,Leanne Johnson,174,,,
Polk,18,"Justice, 9th Court of Appeals District, Place No. 3 ",,REP,Leanne Johnson,34,,,
Polk,19,"Justice, 9th Court of Appeals District, Place No. 3 ",,REP,Leanne Johnson,185,,,
Polk,20,"Justice, 9th Court of Appeals District, Place No. 3 ",,REP,Leanne Johnson,179,,,
Polk,21,"Justice, 9th Court of Appeals District, Place No. 3 ",,REP,Leanne Johnson,174,,,
Polk,1,"Justice, 9th Court of Appeals District, Place No. 4 ",,REP,Hollis Horton,43,,,
Polk,2,"Justice, 9th Court of Appeals District, Place No. 4 ",,REP,Hollis Horton,47,,,
Polk,3,"Justice, 9th Court of Appeals District, Place No. 4 ",,REP,Hollis Horton,200,,,
Polk,4,"Justice, 9th Court of Appeals District, Place No. 4 ",,REP,Hollis Horton,231,,,
Polk,5,"Justice, 9th Court of Appeals District, Place No. 4 ",,REP,Hollis Horton,411,,,
Polk,6,"Justice, 9th Court of Appeals District, Place No. 4 ",,REP,Hollis Horton,740,,,
Polk,7,"Justice, 9th Court of Appeals District, Place No. 4 ",,REP,Hollis Horton,112,,,
Polk,8,"Justice, 9th Court of Appeals District, Place No. 4 ",,REP,Hollis Horton,100,,,
Polk,9,"Justice, 9th Court of Appeals District, Place No. 4 ",,REP,Hollis Horton,96,,,
Polk,10,"Justice, 9th Court of Appeals District, Place No. 4 ",,REP,Hollis Horton,193,,,
Polk,11,"Justice, 9th Court of Appeals District, Place No. 4 ",,REP,Hollis Horton,56,,,
Polk,12,"Justice, 9th Court of Appeals District, Place No. 4 ",,REP,Hollis Horton,15,,,
Polk,13,"Justice, 9th Court of Appeals District, Place No. 4 ",,REP,Hollis Horton,63,,,
Polk,14,"Justice, 9th Court of Appeals District, Place No. 4 ",,REP,Hollis Horton,118,,,
Polk,15,"Justice, 9th Court of Appeals District, Place No. 4 ",,REP,Hollis Horton,155,,,
Polk,16,"Justice, 9th Court of Appeals District, Place No. 4 ",,REP,Hollis Horton,717,,,
Polk,17,"Justice, 9th Court of Appeals District, Place No. 4 ",,REP,Hollis Horton,171,,,
Polk,18,"Justice, 9th Court of Appeals District, Place No. 4 ",,REP,Hollis Horton,33,,,
Polk,19,"Justice, 9th Court of Appeals District, Place No. 4 ",,REP,Hollis Horton,182,,,
Polk,20,"Justice, 9th Court of Appeals District, Place No. 4 ",,REP,Hollis Horton,179,,,
Polk,21,"Justice, 9th Court of Appeals District, Place No. 4 ",,REP,Hollis Horton,170,,,
Polk,1,"District Judge, 258th Judicial District ",,REP,John Wells,34,,,
Polk,1,"District Judge, 258th Judicial District ",,REP,Shelly Bush Sitton,21,,,
Polk,1,"District Judge, 258th Judicial District ",,REP,Travis Kitchens,14,,,
Polk,2,"District Judge, 258th Judicial District ",,REP,John Wells,23,,,
Polk,2,"District Judge, 258th Judicial District ",,REP,Shelly Bush Sitton,20,,,
Polk,2,"District Judge, 258th Judicial District ",,REP,Travis Kitchens,10,,,
Polk,3,"District Judge, 258th Judicial District ",,REP,John Wells,96,,,
Polk,3,"District Judge, 258th Judicial District ",,REP,Shelly Bush Sitton,144,,,
Polk,3,"District Judge, 258th Judicial District ",,REP,Travis Kitchens,61,,,
Polk,4,"District Judge, 258th Judicial District ",,REP,John Wells,125,,,
Polk,4,"District Judge, 258th Judicial District ",,REP,Shelly Bush Sitton,150,,,
Polk,4,"District Judge, 258th Judicial District ",,REP,Travis Kitchens,54,,,
Polk,5,"District Judge, 258th Judicial District ",,REP,John Wells,190,,,
Polk,5,"District Judge, 258th Judicial District ",,REP,Shelly Bush Sitton,169,,,
Polk,5,"District Judge, 258th Judicial District ",,REP,Travis Kitchens,127,,,
Polk,6,"District Judge, 258th Judicial District ",,REP,John Wells,215,,,
Polk,6,"District Judge, 258th Judicial District ",,REP,Shelly Bush Sitton,256,,,
Polk,6,"District Judge, 258th Judicial District ",,REP,Travis Kitchens,438,,,
