county,precinct,office,district,party,candidate,votes,election_day,election_day_paper,early_voting,absentee
El Paso,7,Proposition 10,,REP,Against (En Contra),7,4,0,3,0
El Paso,7,Proposition 11,,REP,For (A Favor),155,78,0,71,6
El Paso,7,Proposition 11,,REP,Against (En Contra),31,14,0,17,0
El Paso,7,U.S. Senate,,DEM,Sema Hernandez,26,13,0,11,2
El Paso,7,U.S. Senate,,DEM,Beto O'Rourke,423,176,0,217,30
El Paso,7,U.S. Senate,,DEM,Edward Kimbrough,22,7,0,14,1
El Paso,7,U.S. House,16,DEM,Dori Fenenbock,130,59,0,59,12
El Paso,7,U.S. House,16,DEM,Veronica Escobar,289,115,0,155,19
El Paso,7,U.S. House,16,DEM,Norma Chavez,23,11,0,11,1
El Paso,7,U.S. House,16,DEM,John Carrillo,7,3,0,4,0
El Paso,7,U.S. House,16,DEM,Jerome Tilghman,10,8,0,2,0
El Paso,7,U.S. House,16,DEM,Enrique Garcia,16,6,0,10,0
El Paso,7,Governor,,DEM,Lupe Valdez,178,74,0,93,11
El Paso,7,Governor,,DEM,Adrian Ocegueda,33,9,0,20,4
El Paso,7,Governor,,DEM,Jeffrey Payne,22,10,0,11,1
El Paso,7,Governor,,DEM,James Jolly Clark,12,4,0,6,2
El Paso,7,Governor,,DEM,Joe Mumbach,11,3,0,6,2
El Paso,7,Governor,,DEM,Grady Yarbrough,23,13,0,7,3
El Paso,7,Governor,,DEM,Cedric Davis Sr,7,3,0,4,0
El Paso,7,Governor,,DEM,Andrew White,81,31,0,44,6
El Paso,7,Governor,,DEM,Tom Wakely,24,10,0,14,0
El Paso,7,Lieutenant Governor,,DEM,Michael Cooper,216,89,0,107,20
El Paso,7,Lieutenant Governor,,DEM,Mike Collier,144,55,0,81,8
El Paso,7,Attorney General,,DEM,Justin Nelson,323,117,0,182,24
El Paso,7,Comptroller Of Public Accounts,,DEM,Joi Chevalier,150,50,0,88,12
El Paso,7,Comptroller Of Public Accounts,,DEM,Tim Mahoney,195,80,0,100,15
El Paso,7,Commissioner Of General Land Office,,DEM,Miguel Suazo,233,91,0,126,16
El Paso,7,Commissioner Of General Land Office,,DEM,Tex Morgan,118,51,0,57,10
El Paso,7,Commissioner Of Agriculture,,DEM,Kim Olson,316,121,0,171,24
El Paso,7,Railroad Commissioner,,DEM,Roman Mcallen,204,77,0,111,16
El Paso,7,Railroad Commissioner,,DEM,Chris Spellmon,141,61,0,70,10
El Paso,7,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,315,116,0,173,26
El Paso,7,"Justice, Supreme Court, Place 4",,DEM,R.K. Sandill,311,113,0,172,26
El Paso,7,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,321,120,0,176,25
El Paso,7,"Presiding Judge, Court Of Criminal Appeals",,DEM,Maria T. (Terry) Jackson,315,116,0,176,23
El Paso,7,"Judge, Court Of Criminal Appeals, Place 7",,DEM,Ramona Franklin,310,113,0,174,23
El Paso,7,State Representative,78,DEM,Joe Moody,342,129,0,185,28
El Paso,7,"Justice, 8th Court Of Appeals District, Place 2",,DEM,Yvonne Rodriguez,309,112,0,175,22
El Paso,7,"Justice, 8th Court Of Appeals District, Place 3",,DEM,Gina M Palafox,321,118,0,180,23
El Paso,7,District Judge 120th Judicial District,,DEM,Maria Salas Mendoza,309,114,0,172,23
El Paso,7,District Judge 168th Judicial District,,DEM,Marcos Lizarraga,309,114,0,173,22
El Paso,7,District Judge 171st Judicial District,,DEM,Bonnie Rangel,314,115,0,175,24
El Paso,7,District Judge 205th Judicial District,,DEM,Francisco X Domingue,319,120,0,176,23
El Paso,7,District Judge 210th Judicial District,,DEM,Alyssa G Perez,273,113,0,140,20
El Paso,7,District Judge 210th Judicial District,,DEM,Monique Velarde,100,36,0,57,7
El Paso,7,District Judge 243rd Judicial District,,DEM,Selena Solis,197,77,0,103,17
El Paso,7,District Judge 243rd Judicial District,,DEM,Feliciano Felix Cast,52,20,0,31,1
El Paso,7,District Judge 243rd Judicial District,,DEM,Roberto J Ramos,75,36,0,33,6
El Paso,7,District Judge 243rd Judicial District,,DEM,Luis Aguilar,64,27,0,34,3
El Paso,7,District Judge 327th Judicial District,,DEM,Linda Yee Chew,335,131,0,179,25
El Paso,7,El Paso County Judge,,DEM,Ricardo Samaniego,103,48,0,48,7
El Paso,7,El Paso County Judge,,DEM,John Cook,241,91,0,131,19
El Paso,7,El Paso County Judge,,DEM,Laura Enriquez,101,48,0,47,6
El Paso,7,Judge County Court At Law 1,,DEM,Ruth Reyes,244,97,0,129,18
El Paso,7,Judge County Court At Law 1,,DEM,Ruben Nunez,155,67,0,76,12
El Paso,7,Judge County Court At Law 2,,DEM,Julie Gonzalez,307,115,0,169,23
El Paso,7,Judge County Court At Law 3,,DEM,Javier Alvarez,311,117,0,171,23
El Paso,7,Judge County Court At Law 4,,DEM,Alex Gonzalez,293,105,0,165,23
El Paso,7,Judge County Court At Law 5,,DEM,Kristin Raquel Romer,135,52,0,71,12
El Paso,7,Judge County Court At Law 5,,DEM,Jesus Rodriguez,129,56,0,65,8
El Paso,7,Judge County Court At Law 5,,DEM,Mike Herrera,67,29,0,34,4
El Paso,7,Judge County Court At Law 5,,DEM,Danny Razo,64,28,0,33,3
El Paso,7,Judge County Court At Law 6,,DEM,M Sue Kurita,320,124,0,173,23
El Paso,7,Judge County Court At Law 7,,DEM,Patsy Lopez,197,85,0,100,12
El Paso,7,Judge County Court At Law 7,,DEM,Ruben Morales,200,80,0,105,15
El Paso,7,Judge County Criminal Court 1,,DEM,Alma Trejo,304,108,0,173,23
El Paso,7,Judge County Criminal Court 2,,DEM,Robert S Anchondo,302,108,0,172,22
El Paso,7,Judge County Probate Court 1,,DEM,Patricia B Chew,320,137,0,160,23
El Paso,7,Judge County Probate Court 1,,DEM,Darron Powell,88,32,0,49,7
El Paso,7,Judge County Probate Court 2,,DEM,Eduardo A Gamboa,304,113,0,168,23
El Paso,7,District Clerk,,DEM,Norma Favela Barcele,307,112,0,173,22
El Paso,7,County Clerk,,DEM,Delia Briones,311,110,0,178,23
El Paso,7,County Commissioner 4,,DEM,Carl L Robinson,300,107,0,169,24
El Paso,7,Justice Of The Peace 7,,DEM,Stephanie Frietze,258,95,0,142,21
El Paso,7,Justice Of The Peace 7,,DEM,James W Wolff,110,49,0,55,6
El Paso,7,County Chairman,,DEM,Iliana Holguin,302,107,0,172,23
El Paso,7,Referendum 1,,DEM,For (A Favor),409,167,0,214,28
El Paso,7,Referendum 1,,DEM,Against (En Contra),55,31,0,22,2
El Paso,7,Referendum 2,,DEM,For (A Favor),406,168,0,208,30
El Paso,7,Referendum 2,,DEM,Against (En Contra),60,28,0,29,3
El Paso,7,Referendum 3,,DEM,For (A Favor),397,159,0,208,30
El Paso,7,Referendum 3,,DEM,Against (En Contra),74,41,0,30,3
El Paso,7,Referendum 4,,DEM,For (A Favor),404,162,0,210,32
El Paso,7,Referendum 4,,DEM,Against (En Contra),62,35,0,26,1
El Paso,7,Referendum 5,,DEM,For (A Favor),374,157,0,188,29
El Paso,7,Referendum 5,,DEM,Against (En Contra),76,32,0,42,2
El Paso,7,Referendum 6,,DEM,For (A Favor),434,178,0,224,32
El Paso,7,Referendum 6,,DEM,Against (En Contra),34,22,0,11,1
El Paso,7,Referendum 7,,DEM,For (A Favor),418,171,0,216,31
El Paso,7,Referendum 7,,DEM,Against (En Contra),48,27,0,19,2
El Paso,7,Referendum 8,,DEM,For (A Favor),372,153,0,192,27
El Paso,7,Referendum 8,,DEM,Against (En Contra),90,41,0,44,5
El Paso,7,Referendum 9,,DEM,For (A Favor),392,160,0,201,31
El Paso,7,Referendum 9,,DEM,Against (En Contra),68,34,0,33,1
El Paso,7,Referendum 10,,DEM,For (A Favor),414,173,0,211,30
El Paso,7,Referendum 10,,DEM,Against (En Contra),45,23,0,20,2
El Paso,7,Referendum 11,,DEM,For (A Favor),405,165,0,210,30
El Paso,7,Referendum 11,,DEM,Against (En Contra),63,36,0,24,3
El Paso,7,Referendum 12,,DEM,For (A Favor),418,170,0,217,31
El Paso,7,Referendum 12,,DEM,Against (En Contra),38,21,0,15,2
El Paso,8,U.S. Senate,,REP,Mary Miller,11,7,0,4,0
El Paso,8,U.S. Senate,,REP,Stefano De Stefano,2,2,0,0,0
El Paso,8,U.S. Senate,,REP,Ted Cruz,208,106,0,89,13
El Paso,8,U.S. Senate,,REP,Geraldine Sam,4,3,0,1,0
El Paso,8,U.S. Senate,,REP,Bruce Jacobson Jr,3,2,0,0,1
El Paso,8,U.S. House,16,REP,Alia Garcia-Ureste,53,27,0,23,3
El Paso,8,U.S. House,16,REP,Rick Seeberger,155,77,0,68,10
El Paso,8,Governor,,REP,Greg Abbott,225,117,0,94,14
El Paso,8,Governor,,REP,Barbara Krueger,6,3,0,3,0
El Paso,8,Governor,,REP,Secede Kilgore,0,0,0,0,0
El Paso,8,Lieutenant Governor,,REP,Dan Patrick,192,99,0,80,13
El Paso,8,Lieutenant Governor,,REP,Scott Milder,24,10,0,14,0
El Paso,8,Attorney General,,REP,Ken Paxton,199,101,0,90,8
El Paso,8,Comptroller Of Public Accounts,,REP,Glenn Hegar,181,94,0,82,5
El Paso,8,Commissioner Of General Land Office,,REP,Jerry Patterson,38,18,0,18,2
El Paso,8,Commissioner Of General Land Office,,REP,Rick Range,11,5,0,3,3
El Paso,8,Commissioner Of General Land Office,,REP,Davey Edwards,12,9,0,3,0
El Paso,8,Commissioner Of General Land Office,,REP,George P Bush,156,80,0,68,8
El Paso,8,Commissioner Of Agriculture,,REP,Trey Blocker,72,39,0,26,7
El Paso,8,Commissioner Of Agriculture,,REP,Jim Hogan,57,30,0,26,1
El Paso,8,Commissioner Of Agriculture,,REP,Sid Miller,61,28,0,30,3
El Paso,8,Railroad Commissioner,,REP,Christi Craddick,160,82,0,70,8
El Paso,8,Railroad Commissioner,,REP,Weston Martinez,45,21,0,21,3
El Paso,8,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,188,97,0,84,7
El Paso,8,"Justice, Supreme Court, Place 4",,REP,John Devine,184,96,0,83,5
El Paso,8,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,179,91,0,83,5
El Paso,8,"Presiding Judge, Court Of Criminal Appeals",,REP,Sharon Keller,109,57,0,47,5
El Paso,8,"Presiding Judge, Court Of Criminal Appeals",,REP,David Bridges,88,42,0,40,6
El Paso,8,"Judge, Court Of Criminal Appeals, Place 7",,REP,Barbara Parker Herve,177,88,0,82,7
El Paso,8,"Judge, Court Of Criminal Appeals, Place 8",,REP,Jay Brandon,91,47,0,36,8
El Paso,8,"Judge, Court Of Criminal Appeals, Place 8",,REP,Michelle Slaughter,86,46,0,39,1
El Paso,8,"Judge, Court Of Criminal Appeals, Place 8",,REP,Dib Waldrip,22,9,0,13,0
El Paso,8,State Representative,78,REP,Jeffrey Lane,179,92,0,82,5
El Paso,8,County Commissioner 4,,REP,Andrew R Haggerty,189,95,0,87,7
El Paso,8,Justice Of The Peace 7,,REP,Crystal Urquidi,51,31,0,18,2
El Paso,8,Justice Of The Peace 7,,REP,Ida Gardner,79,45,0,30,4
El Paso,8,Justice Of The Peace 7,,REP,Kelly Dickson,75,28,0,42,5
El Paso,8,County Chairman,,REP,Adolpho R Telles,173,91,0,77,5
El Paso,8,Proposition 1,,REP,For (A Favor),164,84,0,70,10
El Paso,8,Proposition 1,,REP,Against (En Contra),54,27,0,25,2
El Paso,8,Proposition 2,,REP,For (A Favor),201,104,0,83,14
El Paso,8,Proposition 2,,REP,Against (En Contra),26,13,0,13,0
El Paso,8,Proposition 3,,REP,For (A Favor),203,106,0,84,13
El Paso,8,Proposition 3,,REP,Against (En Contra),22,10,0,12,0
El Paso,8,Proposition 4,,REP,For (A Favor),213,108,0,91,14
El Paso,8,Proposition 4,,REP,Against (En Contra),15,11,0,4,0
El Paso,8,Proposition 5,,REP,For (A Favor),206,106,0,87,13
El Paso,8,Proposition 5,,REP,Against (En Contra),22,14,0,8,0
El Paso,8,Proposition 6,,REP,For (A Favor),214,111,0,90,13
El Paso,8,Proposition 6,,REP,Against (En Contra),11,8,0,3,0
El Paso,8,Proposition 7,,REP,For (A Favor),137,77,0,49,11
El Paso,8,Proposition 7,,REP,Against (En Contra),91,45,0,45,1
El Paso,8,Proposition 8,,REP,For (A Favor),222,114,0,94,14
El Paso,8,Proposition 8,,REP,Against (En Contra),8,5,0,3,0
El Paso,8,Proposition 9,,REP,For (A Favor),220,116,0,91,13
El Paso,8,Proposition 9,,REP,Against (En Contra),11,5,0,6,0
El Paso,8,Proposition 10,,REP,For (A Favor),220,115,0,91,14
El Paso,8,Proposition 10,,REP,Against (En Contra),8,3,0,5,0
El Paso,8,Proposition 11,,REP,For (A Favor),168,83,0,74,11
El Paso,8,Proposition 11,,REP,Against (En Contra),59,36,0,21,2
El Paso,8,U.S. Senate,,DEM,Sema Hernandez,32,17,0,15,0
El Paso,8,U.S. Senate,,DEM,Beto O'Rourke,488,241,0,238,9
El Paso,8,U.S. Senate,,DEM,Edward Kimbrough,74,43,0,31,0
El Paso,8,U.S. House,16,DEM,Dori Fenenbock,252,132,0,115,5
El Paso,8,U.S. House,16,DEM,Veronica Escobar,314,154,0,154,6
El Paso,8,U.S. House,16,DEM,Norma Chavez,12,5,0,7,0
El Paso,8,U.S. House,16,DEM,John Carrillo,2,0,0,2,0
El Paso,8,U.S. House,16,DEM,Jerome Tilghman,29,16,0,13,0
El Paso,8,U.S. House,16,DEM,Enrique Garcia,6,5,0,1,0
El Paso,8,Governor,,DEM,Lupe Valdez,129,66,0,59,4
El Paso,8,Governor,,DEM,Adrian Ocegueda,22,7,0,14,1
El Paso,8,Governor,,DEM,Jeffrey Payne,36,17,0,19,0
El Paso,8,Governor,,DEM,James Jolly Clark,17,8,0,9,0
El Paso,8,Governor,,DEM,Joe Mumbach,9,6,0,3,0
El Paso,8,Governor,,DEM,Grady Yarbrough,36,19,0,16,1
El Paso,8,Governor,,DEM,Cedric Davis Sr,13,6,0,6,1
El Paso,8,Governor,,DEM,Andrew White,133,58,0,75,0
El Paso,8,Governor,,DEM,Tom Wakely,31,19,0,12,0
El Paso,8,Lieutenant Governor,,DEM,Michael Cooper,190,93,0,94,3
El Paso,8,Lieutenant Governor,,DEM,Mike Collier,197,89,0,104,4
El Paso,8,Attorney General,,DEM,Justin Nelson,341,164,0,171,6
El Paso,8,Comptroller Of Public Accounts,,DEM,Joi Chevalier,157,63,0,90,4
El Paso,8,Comptroller Of Public Accounts,,DEM,Tim Mahoney,219,116,0,100,3
El Paso,8,Commissioner Of General Land Office,,DEM,Miguel Suazo,215,93,0,115,7
El Paso,8,Commissioner Of General Land Office,,DEM,Tex Morgan,165,86,0,79,0
El Paso,8,Commissioner Of Agriculture,,DEM,Kim Olson,331,165,0,160,6
El Paso,8,Railroad Commissioner,,DEM,Roman Mcallen,186,78,0,104,4
El Paso,8,Railroad Commissioner,,DEM,Chris Spellmon,179,94,0,82,3
El Paso,8,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,339,167,0,166,6
El Paso,8,"Justice, Supreme Court, Place 4",,DEM,R.K. Sandill,339,168,0,165,6
El Paso,8,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,349,171,0,172,6
El Paso,8,"Presiding Judge, Court Of Criminal Appeals",,DEM,Maria T. (Terry) Jackson,342,169,0,167,6
El Paso,8,"Judge, Court Of Criminal Appeals, Place 7",,DEM,Ramona Franklin,345,169,0,170,6
El Paso,8,State Representative,78,DEM,Joe Moody,408,197,0,204,7
El Paso,8,"Justice, 8th Court Of Appeals District, Place 2",,DEM,Yvonne Rodriguez,347,165,0,176,6
El Paso,8,"Justice, 8th Court Of Appeals District, Place 3",,DEM,Gina M Palafox,381,189,0,185,7
El Paso,8,District Judge 120th Judicial District,,DEM,Maria Salas Mendoza,346,162,0,178,6
El Paso,8,District Judge 168th Judicial District,,DEM,Marcos Lizarraga,353,171,0,176,6
El Paso,8,District Judge 171st Judicial District,,DEM,Bonnie Rangel,362,177,0,179,6
El Paso,8,District Judge 205th Judicial District,,DEM,Francisco X Domingue,355,171,0,178,6
El Paso,8,District Judge 210th Judicial District,,DEM,Alyssa G Perez,312,139,0,168,5
El Paso,8,District Judge 210th Judicial District,,DEM,Monique Velarde,134,70,0,62,2
El Paso,8,District Judge 243rd Judicial District,,DEM,Selena Solis,266,123,0,139,4
El Paso,8,District Judge 243rd Judicial District,,DEM,Feliciano Felix Cast,48,25,0,22,1
El Paso,8,District Judge 243rd Judicial District,,DEM,Roberto J Ramos,62,28,0,34,0
El Paso,8,District Judge 243rd Judicial District,,DEM,Luis Aguilar,84,44,0,37,3
El Paso,8,District Judge 327th Judicial District,,DEM,Linda Yee Chew,384,187,0,191,6
El Paso,8,El Paso County Judge,,DEM,Ricardo Samaniego,141,63,0,76,2
El Paso,8,El Paso County Judge,,DEM,John Cook,271,143,0,119,9
El Paso,8,El Paso County Judge,,DEM,Laura Enriquez,138,69,0,69,0
El Paso,8,Judge County Court At Law 1,,DEM,Ruth Reyes,243,121,0,116,6
El Paso,8,Judge County Court At Law 1,,DEM,Ruben Nunez,227,110,0,115,2
El Paso,8,Judge County Court At Law 2,,DEM,Julie Gonzalez,348,168,0,175,5
El Paso,8,Judge County Court At Law 3,,DEM,Javier Alvarez,349,169,0,174,6
El Paso,8,Judge County Court At Law 4,,DEM,Alex Gonzalez,343,159,0,178,6
El Paso,8,Judge County Court At Law 5,,DEM,Kristin Raquel Romer,126,52,0,71,3
El Paso,8,Judge County Court At Law 5,,DEM,Jesus Rodriguez,194,102,0,90,2
El Paso,8,Judge County Court At Law 5,,DEM,Mike Herrera,99,54,0,44,1
El Paso,8,Judge County Court At Law 5,,DEM,Danny Razo,46,22,0,23,1
El Paso,8,Judge County Court At Law 6,,DEM,M Sue Kurita,376,185,0,185,6
El Paso,8,Judge County Court At Law 7,,DEM,Patsy Lopez,186,86,0,97,3
El Paso,8,Judge County Court At Law 7,,DEM,Ruben Morales,264,128,0,132,4
El Paso,8,Judge County Criminal Court 1,,DEM,Alma Trejo,340,160,0,174,6
El Paso,8,Judge County Criminal Court 2,,DEM,Robert S Anchondo,348,168,0,174,6
El Paso,8,Judge County Probate Court 1,,DEM,Patricia B Chew,393,196,0,194,3
El Paso,8,Judge County Probate Court 1,,DEM,Darron Powell,133,62,0,64,7
El Paso,8,Judge County Probate Court 2,,DEM,Eduardo A Gamboa,340,159,0,175,6
El Paso,8,District Clerk,,DEM,Norma Favela Barcele,354,165,0,183,6
El Paso,8,County Clerk,,DEM,Delia Briones,355,166,0,183,6
El Paso,8,County Commissioner 4,,DEM,Carl L Robinson,332,160,0,167,5
El Paso,8,Justice Of The Peace 7,,DEM,Stephanie Frietze,273,117,0,150,6
El Paso,8,Justice Of The Peace 7,,DEM,James W Wolff,144,84,0,59,1
El Paso,8,County Chairman,,DEM,Iliana Holguin,341,159,0,176,6
El Paso,8,Referendum 1,,DEM,For (A Favor),436,210,0,217,9
El Paso,8,Referendum 1,,DEM,Against (En Contra),139,77,0,61,1
El Paso,8,Referendum 2,,DEM,For (A Favor),424,215,0,201,8
El Paso,8,Referendum 2,,DEM,Against (En Contra),152,72,0,77,3
El Paso,8,Referendum 3,,DEM,For (A Favor),392,180,0,203,9
El Paso,8,Referendum 3,,DEM,Against (En Contra),179,101,0,76,2
El Paso,8,Referendum 4,,DEM,For (A Favor),398,190,0,198,10
El Paso,8,Referendum 4,,DEM,Against (En Contra),166,89,0,76,1
El Paso,8,Referendum 5,,DEM,For (A Favor),382,185,0,187,10
El Paso,8,Referendum 5,,DEM,Against (En Contra),176,93,0,82,1
El Paso,8,Referendum 6,,DEM,For (A Favor),491,246,0,234,11
El Paso,8,Referendum 6,,DEM,Against (En Contra),85,44,0,41,0
El Paso,8,Referendum 7,,DEM,For (A Favor),460,226,0,223,11
El Paso,8,Referendum 7,,DEM,Against (En Contra),105,58,0,47,0
El Paso,8,Referendum 8,,DEM,For (A Favor),370,179,0,183,8
El Paso,8,Referendum 8,,DEM,Against (En Contra),183,97,0,83,3
El Paso,8,Referendum 9,,DEM,For (A Favor),402,186,0,205,11
El Paso,8,Referendum 9,,DEM,Against (En Contra),157,90,0,67,0
El Paso,8,Referendum 10,,DEM,For (A Favor),446,219,0,216,11
El Paso,8,Referendum 10,,DEM,Against (En Contra),112,60,0,52,0
El Paso,8,Referendum 11,,DEM,For (A Favor),435,209,0,216,10
El Paso,8,Referendum 11,,DEM,Against (En Contra),127,73,0,54,0
El Paso,8,Referendum 12,,DEM,For (A Favor),453,222,0,221,10
El Paso,8,Referendum 12,,DEM,Against (En Contra),99,53,0,46,0
El Paso,9,U.S. Senate,,REP,Mary Miller,9,6,0,3,0
El Paso,9,U.S. Senate,,REP,Stefano De Stefano,3,1,0,2,0
El Paso,9,U.S. Senate,,REP,Ted Cruz,174,91,0,70,13
El Paso,9,U.S. Senate,,REP,Geraldine Sam,3,2,0,1,0
El Paso,9,U.S. Senate,,REP,Bruce Jacobson Jr,5,2,0,3,0
El Paso,9,U.S. House,16,REP,Alia Garcia-Ureste,29,19,0,10,0
El Paso,9,U.S. House,16,REP,Rick Seeberger,152,74,0,65,13
El Paso,9,Governor,,REP,Greg Abbott,185,97,0,75,13
El Paso,9,Governor,,REP,Barbara Krueger,10,7,0,3,0
El Paso,9,Governor,,REP,Secede Kilgore,4,2,0,2,0
El Paso,9,Lieutenant Governor,,REP,Dan Patrick,158,77,0,69,12
El Paso,9,Lieutenant Governor,,REP,Scott Milder,27,18,0,8,1
El Paso,9,Attorney General,,REP,Ken Paxton,171,87,0,73,11
El Paso,9,Comptroller Of Public Accounts,,REP,Glenn Hegar,155,76,0,68,11
El Paso,9,Commissioner Of General Land Office,,REP,Jerry Patterson,55,32,0,18,5
El Paso,9,Commissioner Of General Land Office,,REP,Rick Range,12,4,0,6,2
El Paso,9,Commissioner Of General Land Office,,REP,Davey Edwards,6,4,0,2,0
El Paso,9,Commissioner Of General Land Office,,REP,George P Bush,113,55,0,52,6
El Paso,9,Commissioner Of Agriculture,,REP,Trey Blocker,49,24,0,23,2
El Paso,9,Commissioner Of Agriculture,,REP,Jim Hogan,40,24,0,14,2
El Paso,9,Commissioner Of Agriculture,,REP,Sid Miller,81,39,0,34,8
El Paso,9,Railroad Commissioner,,REP,Christi Craddick,110,60,0,44,6
El Paso,9,Railroad Commissioner,,REP,Weston Martinez,56,24,0,27,5
El Paso,9,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,150,77,0,62,11
El Paso,9,"Justice, Supreme Court, Place 4",,REP,John Devine,150,76,0,63,11
El Paso,9,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,146,75,0,60,11
El Paso,9,"Presiding Judge, Court Of Criminal Appeals",,REP,Sharon Keller,83,40,0,35,8
El Paso,9,"Presiding Judge, Court Of Criminal Appeals",,REP,David Bridges,76,41,0,32,3
El Paso,9,"Judge, Court Of Criminal Appeals, Place 7",,REP,Barbara Parker Herve,148,77,0,60,11
El Paso,9,"Judge, Court Of Criminal Appeals, Place 8",,REP,Jay Brandon,71,40,0,26,5
El Paso,9,"Judge, Court Of Criminal Appeals, Place 8",,REP,Michelle Slaughter,68,31,0,33,4
El Paso,9,"Judge, Court Of Criminal Appeals, Place 8",,REP,Dib Waldrip,18,9,0,7,2
El Paso,9,State Representative,78,REP,Jeffrey Lane,149,75,0,63,11
El Paso,9,County Commissioner 4,,REP,Andrew R Haggerty,159,79,0,69,11
El Paso,9,Justice Of The Peace 7,,REP,Crystal Urquidi,23,11,0,12,0
El Paso,9,Justice Of The Peace 7,,REP,Ida Gardner,91,40,0,43,8
El Paso,9,Justice Of The Peace 7,,REP,Kelly Dickson,61,39,0,19,3
El Paso,9,County Chairman,,REP,Adolpho R Telles,151,78,0,62,11
El Paso,9,Proposition 1,,REP,For (A Favor),135,68,0,58,9
El Paso,9,Proposition 1,,REP,Against (En Contra),55,36,0,17,2
El Paso,9,Proposition 2,,REP,For (A Favor),184,97,0,74,13
El Paso,9,Proposition 2,,REP,Against (En Contra),16,10,0,6,0
El Paso,9,Proposition 3,,REP,For (A Favor),177,93,0,71,13
El Paso,9,Proposition 3,,REP,Against (En Contra),22,14,0,8,0
El Paso,9,Proposition 4,,REP,For (A Favor),181,97,0,73,11
El Paso,9,Proposition 4,,REP,Against (En Contra),17,10,0,5,2
El Paso,9,Proposition 5,,REP,For (A Favor),164,88,0,64,12
El Paso,9,Proposition 5,,REP,Against (En Contra),36,20,0,15,1
El Paso,9,Proposition 6,,REP,For (A Favor),188,101,0,74,13
El Paso,9,Proposition 6,,REP,Against (En Contra),12,7,0,5,0
El Paso,9,Proposition 7,,REP,For (A Favor),131,59,0,60,12
El Paso,9,Proposition 7,,REP,Against (En Contra),63,42,0,20,1
El Paso,9,Proposition 8,,REP,For (A Favor),195,102,0,80,13
El Paso,9,Proposition 8,,REP,Against (En Contra),6,6,0,0,0
El Paso,9,Proposition 9,,REP,For (A Favor),179,91,0,75,13
El Paso,9,Proposition 9,,REP,Against (En Contra),19,14,0,5,0
El Paso,9,Proposition 10,,REP,For (A Favor),189,101,0,75,13
El Paso,9,Proposition 10,,REP,Against (En Contra),8,4,0,4,0
El Paso,9,Proposition 11,,REP,For (A Favor),165,86,0,66,13
El Paso,9,Proposition 11,,REP,Against (En Contra),32,20,0,12,0
El Paso,9,U.S. Senate,,DEM,Sema Hernandez,28,17,0,10,1
El Paso,9,U.S. Senate,,DEM,Beto O'Rourke,509,276,0,197,36
El Paso,9,U.S. Senate,,DEM,Edward Kimbrough,28,12,0,15,1
El Paso,9,U.S. House,16,DEM,Dori Fenenbock,157,86,0,62,9
El Paso,9,U.S. House,16,DEM,Veronica Escobar,359,180,0,149,30
El Paso,9,U.S. House,16,DEM,Norma Chavez,24,18,0,6,0
El Paso,9,U.S. House,16,DEM,John Carrillo,3,3,0,0,0
El Paso,9,U.S. House,16,DEM,Jerome Tilghman,9,6,0,3,0
El Paso,9,U.S. House,16,DEM,Enrique Garcia,18,13,0,5,0
El Paso,9,Governor,,DEM,Lupe Valdez,186,98,0,72,16
El Paso,9,Governor,,DEM,Adrian Ocegueda,45,23,0,17,5
El Paso,9,Governor,,DEM,Jeffrey Payne,32,17,0,14,1
El Paso,9,Governor,,DEM,James Jolly Clark,9,9,0,0,0
El Paso,9,Governor,,DEM,Joe Mumbach,9,6,0,3,0
El Paso,9,Governor,,DEM,Grady Yarbrough,31,14,0,16,1
El Paso,9,Governor,,DEM,Cedric Davis Sr,11,7,0,4,0
El Paso,9,Governor,,DEM,Andrew White,108,53,0,52,3
El Paso,9,Governor,,DEM,Tom Wakely,19,11,0,8,0
El Paso,9,Lieutenant Governor,,DEM,Michael Cooper,218,112,0,91,15
El Paso,9,Lieutenant Governor,,DEM,Mike Collier,180,94,0,75,11
El Paso,9,Attorney General,,DEM,Justin Nelson,362,181,0,153,28
El Paso,9,Comptroller Of Public Accounts,,DEM,Joi Chevalier,199,105,0,81,13
El Paso,9,Comptroller Of Public Accounts,,DEM,Tim Mahoney,191,96,0,85,10
El Paso,9,Commissioner Of General Land Office,,DEM,Miguel Suazo,289,147,0,119,23
El Paso,9,Commissioner Of General Land Office,,DEM,Tex Morgan,117,63,0,49,5
El Paso,9,Commissioner Of Agriculture,,DEM,Kim Olson,356,182,0,146,28
El Paso,9,Railroad Commissioner,,DEM,Roman Mcallen,227,115,0,95,17
El Paso,9,Railroad Commissioner,,DEM,Chris Spellmon,150,81,0,63,6
El Paso,9,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,341,170,0,143,28
El Paso,9,"Justice, Supreme Court, Place 4",,DEM,R.K. Sandill,340,168,0,144,28
