county,precinct,office,district,party,candidate,election_day,early_voting,mail,provisional,total
Wilson,104,State Representative,44,R,John Kuempel ,122,101,1,0,224
Wilson,205,State Representative,44,D,Robert Bohmfalk ,62,20,13,0,95
Wilson,205,State Representative,44,R,John Kuempel ,249,92,4,0,345
Wilson,206,State Representative,44,D,Robert Bohmfalk ,74,76,31,0,181
Wilson,206,State Representative,44,R,John Kuempel ,169,246,11,0,426
Wilson,207,State Representative,44,D,Robert Bohmfalk ,59,60,13,0,132
Wilson,207,State Representative,44,R,John Kuempel ,173,225,5,0,403
Wilson,208,State Representative,44,D,Robert Bohmfalk ,17,6,2,0,25
Wilson,208,State Representative,44,R,John Kuempel ,135,51,2,0,188
Wilson,209,State Representative,44,D,Robert Bohmfalk ,6,3,1,0,10
Wilson,209,State Representative,44,R,John Kuempel ,133,23,1,0,157
Wilson,310,State Representative,44,D,Robert Bohmfalk ,10,6,4,0,20
Wilson,310,State Representative,44,R,John Kuempel ,53,111,3,0,167
Wilson,311,State Representative,44,D,Robert Bohmfalk ,26,20,9,0,55
Wilson,311,State Representative,44,R,John Kuempel ,173,213,18,0,404
Wilson,312,State Representative,44,D,Robert Bohmfalk ,51,43,5,0,99
Wilson,312,State Representative,44,R,John Kuempel ,249,285,19,0,553
Wilson,313,State Representative,44,D,Robert Bohmfalk ,69,45,12,0,126
Wilson,313,State Representative,44,R,John Kuempel ,272,352,12,0,636
Wilson,101,State Senator,21,D,Judith Zaffirini ,131,67,23,0,221
Wilson,101,State Senator,21,R,Frank Pomeroy ,178,137,8,0,323
Wilson,102,State Senator,21,D,Judith Zaffirini ,106,86,43,0,235
Wilson,102,State Senator,21,R,Frank Pomeroy ,88,93,1,0,182
Wilson,103,State Senator,21,D,Judith Zaffirini ,92,47,30,0,169
Wilson,103,State Senator,21,R,Frank Pomeroy ,133,93,6,0,232
Wilson,104,State Senator,21,D,Judith Zaffirini ,44,15,6,0,65
Wilson,104,State Senator,21,R,Frank Pomeroy ,119,93,1,0,213
Wilson,205,State Senator,21,D,Judith Zaffirini ,70,22,15,0,107
Wilson,205,State Senator,21,R,Frank Pomeroy ,232,89,4,0,325
Wilson,206,State Senator,21,D,Judith Zaffirini ,89,83,41,0,213
Wilson,206,State Senator,21,R,Frank Pomeroy ,162,232,11,0,405
Wilson,207,State Senator,21,D,Judith Zaffirini ,65,67,15,0,147
Wilson,207,State Senator,21,R,Frank Pomeroy ,170,222,5,0,397
Wilson,208,State Senator,21,D,Judith Zaffirini ,16,9,2,0,27
Wilson,208,State Senator,21,R,Frank Pomeroy ,115,49,0,0,164
Wilson,209,State Senator,21,D,Judith Zaffirini ,7,3,1,0,11
Wilson,209,State Senator,21,R,Frank Pomeroy ,129,23,1,0,153
Wilson,310,State Senator,21,D,Judith Zaffirini ,11,8,4,0,23
Wilson,310,State Senator,21,R,Frank Pomeroy ,51,111,3,0,165
Wilson,311,State Senator,21,D,Judith Zaffirini ,31,25,9,0,65
Wilson,311,State Senator,21,R,Frank Pomeroy ,174,204,17,0,395
Wilson,312,State Senator,21,D,Judith Zaffirini ,50,51,5,0,106
Wilson,312,State Senator,21,R,Frank Pomeroy ,241,270,18,0,529
Wilson,313,State Senator,21,D,Judith Zaffirini ,71,47,14,0,132
Wilson,313,State Senator,21,R,Frank Pomeroy ,277,342,11,0,630
Wilson,209,U.S. House,15,D,Vicente Gonzalez ,5,3,1,0,9
Wilson,209,U.S. House,15,R,M. Cruz-Hernandez ,43,7,0,0,50
Wilson,209,U.S. House,15,R,Ryan Krause ,65,11,1,0,77
Wilson,209,U.S. House,15,R,Tim Westley ,29,4,0,0,33
Wilson,101,U.S. House,28,D,Jessica Cisneros ,93,32,11,0,136
Wilson,101,U.S. House,28,D,Henry Cuellar ,53,40,17,0,110
Wilson,101,U.S. House,28,R,Sandra Whitten ,180,136,10,0,326
Wilson,102,U.S. House,28,D,Jessica Cisneros ,51,35,8,0,94
Wilson,102,U.S. House,28,D,Henry Cuellar ,73,54,39,0,166
Wilson,102,U.S. House,28,R,Sandra Whitten ,92,92,2,0,186
Wilson,103,U.S. House,28,D,Jessica Cisneros ,61,31,10,0,102
Wilson,103,U.S. House,28,D,Henry Cuellar ,43,16,23,0,82
Wilson,103,U.S. House,28,R,Sandra Whitten ,133,94,8,0,235
Wilson,104,U.S. House,28,D,Jessica Cisneros ,28,7,1,0,36
Wilson,104,U.S. House,28,D,Henry Cuellar ,20,11,5,0,36
Wilson,104,U.S. House,28,R,Sandra Whitten ,118,96,1,0,215
Wilson,205,U.S. House,28,D,Jessica Cisneros ,39,11,2,0,52
Wilson,205,U.S. House,28,D,Henry Cuellar ,43,15,17,0,75
Wilson,205,U.S. House,28,R,Sandra Whitten ,225,83,3,0,311
Wilson,206,U.S. House,28,D,Jessica Cisneros ,59,38,8,0,105
Wilson,206,U.S. House,28,D,Henry Cuellar ,43,55,39,0,137
Wilson,206,U.S. House,28,R,Sandra Whitten ,163,242,9,0,414
Wilson,207,U.S. House,28,D,Jessica Cisneros ,48,52,7,0,107
Wilson,207,U.S. House,28,D,Henry Cuellar ,29,23,10,0,62
Wilson,207,U.S. House,28,R,Sandra Whitten ,168,220,5,0,393
Wilson,208,U.S. House,28,D,Jessica Cisneros ,11,3,2,0,16
Wilson,208,U.S. House,28,D,Henry Cuellar ,8,5,0,0,13
Wilson,208,U.S. House,28,R,Sandra Whitten ,119,48,0,0,167
Wilson,310,U.S. House,28,D,Jessica Cisneros ,7,7,2,0,16
Wilson,310,U.S. House,28,D,Henry Cuellar ,4,3,2,0,9
Wilson,310,U.S. House,28,R,Sandra Whitten ,51,107,3,0,161
Wilson,311,U.S. House,28,D,Jessica Cisneros ,24,14,5,0,43
Wilson,311,U.S. House,28,D,Henry Cuellar ,11,16,4,0,31
Wilson,311,U.S. House,28,R,Sandra Whitten ,164,203,15,0,382
Wilson,312,U.S. House,28,D,Jessica Cisneros ,34,29,2,0,65
Wilson,312,U.S. House,28,D,Henry Cuellar ,24,28,3,0,55
Wilson,312,U.S. House,28,R,Sandra Whitten ,236,273,19,0,528
Wilson,313,U.S. House,28,D,Jessica Cisneros ,47,24,8,0,79
Wilson,313,U.S. House,28,D,Henry Cuellar ,28,28,6,0,62
Wilson,313,U.S. House,28,R,Sandra Whitten ,262,338,11,0,611
Wilson,101,U.S. Senate,,D,Adrian Ocegueda ,7,4,1,0,12
Wilson,101,U.S. Senate,,D,D. R. Hunter ,3,2,0,0,5
Wilson,101,U.S. Senate,,D,C. Tzintzun Ramirez ,53,18,6,0,77
Wilson,101,U.S. Senate,,D,Amanda K. Edwards ,9,5,2,0,16
Wilson,101,U.S. Senate,,D,Chris Bell ,6,4,4,0,14
Wilson,101,U.S. Senate,,D,Sema Hernandez ,9,6,1,0,16
Wilson,101,U.S. Senate,,D,"Annie \Mam·\"" Garcia"" ",18,7,2,0,27
Wilson,101,U.S. Senate,,D,J. Daniel Foster Jr. ,1,0,0,0,1
Wilson,101,U.S. Senate,,D,Victor Hugo Harris ,0,1,1,0,2
Wilson,101,U.S. Senate,,D,"Mary \MJ\"" Hegar"" ",27,19,5,0,51
Wilson,101,U.S. Senate,,D,Royce West ,6,2,1,0,9
Wilson,101,U.S. Senate,,D,Michael Cooper ,5,1,0,0,6
Wilson,101,U.S. Senate,,R,John Anthony Castro ,19,9,0,0,28
Wilson,101,U.S. Senate,,R,Virgil Bierschwale ,5,5,0,0,10
Wilson,101,U.S. Senate,,R,Dwayne Stovall ,12,16,0,0,28
Wilson,101,U.S. Senate,,R,Mark Yancey ,8,9,0,0,17
Wilson,101,U.S. Senate,,R,John Cornyn ,148,111,11,0,270
Wilson,102,U.S. Senate,,D,Adrian Ocegueda ,12,8,4,0,24
Wilson,102,U.S. Senate,,D,D. R. Hunter ,3,2,2,0,7
Wilson,102,U.S. Senate,,D,C. Tzintzun Ramirez ,46,38,16,0,100
Wilson,102,U.S. Senate,,D,Amanda K. Edwards ,7,7,2,0,16
Wilson,102,U.S. Senate,,D,Chris Bell ,5,3,2,0,10
Wilson,102,U.S. Senate,,D,Sema Hernandez ,6,6,2,0,14
Wilson,102,U.S. Senate,,D,"Annie \Mam·\"" Garcia"" ",17,8,1,0,26
Wilson,102,U.S. Senate,,D,J. Daniel Foster Jr. ,0,2,0,0,2
Wilson,102,U.S. Senate,,D,Victor Hugo Harris ,2,2,1,0,5
Wilson,102,U.S. Senate,,D,"Mary \MJ\"" Hegar"" ",7,10,8,0,25
Wilson,102,U.S. Senate,,D,Royce West ,2,0,0,0,2
Wilson,102,U.S. Senate,,D,Michael Cooper ,5,1,3,0,9
Wilson,102,U.S. Senate,,R,John Anthony Castro ,22,17,0,0,39
Wilson,102,U.S. Senate,,R,Virgil Bierschwale ,1,1,0,0,2
Wilson,102,U.S. Senate,,R,Dwayne Stovall ,9,11,0,0,20
Wilson,102,U.S. Senate,,R,Mark Yancey ,10,2,0,0,12
Wilson,102,U.S. Senate,,R,John Cornyn ,61,74,1,0,136
Wilson,103,U.S. Senate,,D,Adrian Ocegueda ,4,5,3,0,12
Wilson,103,U.S. Senate,,D,D. R. Hunter ,1,3,0,0,4
Wilson,103,U.S. Senate,,D,C. Tzintzun Ramirez ,33,12,12,0,57
Wilson,103,U.S. Senate,,D,Amanda K. Edwards ,5,3,0,0,8
Wilson,103,U.S. Senate,,D,Chris Bell ,3,5,3,0,11
Wilson,103,U.S. Senate,,D,Sema Hernandez ,8,2,1,0,11
Wilson,103,U.S. Senate,,D,"Annie \Mam·\"" Garcia"" ",14,8,2,0,24
Wilson,103,U.S. Senate,,D,J. Daniel Foster Jr. ,1,0,0,0,1
Wilson,103,U.S. Senate,,D,Victor Hugo Harris ,4,0,2,0,6
Wilson,103,U.S. Senate,,D,"Mary \MJ\"" Hegar"" ",20,10,6,0,36
Wilson,103,U.S. Senate,,D,Royce West ,1,1,0,0,2
Wilson,103,U.S. Senate,,D,Michael Cooper ,4,0,2,0,6
Wilson,103,U.S. Senate,,R,John Anthony Castro ,18,4,0,0,22
Wilson,103,U.S. Senate,,R,Virgil Bierschwale ,2,1,0,0,3
Wilson,103,U.S. Senate,,R,Dwayne Stovall ,19,5,0,0,24
Wilson,103,U.S. Senate,,R,Mark Yancey ,15,1,0,0,16
Wilson,103,U.S. Senate,,R,John Cornyn ,105,106,7,0,218
Wilson,104,U.S. Senate,,D,Adrian Ocegueda ,4,2,0,0,6
Wilson,104,U.S. Senate,,D,D. R. Hunter ,1,0,0,0,1
Wilson,104,U.S. Senate,,D,C. Tzintzun Ramirez ,13,2,0,0,15
Wilson,104,U.S. Senate,,D,Amanda K. Edwards ,1,3,4,0,8
Wilson,104,U.S. Senate,,D,Chris Bell ,5,0,0,0,5
Wilson,104,U.S. Senate,,D,Sema Hernandez ,1,1,0,0,2
Wilson,104,U.S. Senate,,D,"Annie \Mam·\"" Garcia"" ",5,1,1,0,7
Wilson,104,U.S. Senate,,D,J. Daniel Foster Jr. ,1,1,0,0,2
Wilson,104,U.S. Senate,,D,Victor Hugo Harris ,0,1,0,0,1
Wilson,104,U.S. Senate,,D,"Mary \MJ\"" Hegar"" ",11,6,0,0,17
Wilson,104,U.S. Senate,,D,Royce West ,1,0,0,0,1
Wilson,104,U.S. Senate,,D,Michael Cooper ,0,0,1,0,1
Wilson,104,U.S. Senate,,R,John Anthony Castro ,7,6,0,0,13
Wilson,104,U.S. Senate,,R,Virgil Bierschwale ,0,2,0,0,2
Wilson,104,U.S. Senate,,R,Dwayne Stovall ,15,15,0,0,30
Wilson,104,U.S. Senate,,R,Mark Yancey ,15,10,0,0,25
Wilson,104,U.S. Senate,,R,John Cornyn ,96,75,2,0,173
Wilson,205,U.S. Senate,,D,Adrian Ocegueda ,5,0,0,0,5
Wilson,205,U.S. Senate,,D,D. R. Hunter ,1,0,0,0,1
Wilson,205,U.S. Senate,,D,C. Tzintzun Ramirez ,25,6,3,0,34
Wilson,205,U.S. Senate,,D,Amanda K. Edwards ,6,4,1,0,11
Wilson,205,U.S. Senate,,D,Chris Bell ,7,0,2,0,9
Wilson,205,U.S. Senate,,D,Sema Hernandez ,4,4,3,0,11
Wilson,205,U.S. Senate,,D,"Annie \Mam·\"" Garcia"" ",9,3,6,0,18
Wilson,205,U.S. Senate,,D,J. Daniel Foster Jr. ,0,0,2,0,2
Wilson,205,U.S. Senate,,D,Victor Hugo Harris ,0,0,0,0,0
Wilson,205,U.S. Senate,,D,"Mary \MJ\"" Hegar"" ",13,6,0,0,19
Wilson,205,U.S. Senate,,D,Royce West ,2,0,0,0,2
Wilson,205,U.S. Senate,,D,Michael Cooper ,2,1,1,0,4
Wilson,205,U.S. Senate,,R,John Anthony Castro ,16,6,0,0,22
Wilson,205,U.S. Senate,,R,Virgil Bierschwale ,3,2,1,0,6
Wilson,205,U.S. Senate,,R,Dwayne Stovall ,23,5,1,0,29
Wilson,205,U.S. Senate,,R,Mark Yancey ,14,6,0,0,20
Wilson,205,U.S. Senate,,R,John Cornyn ,213,78,2,0,293
Wilson,206,U.S. Senate,,D,Adrian Ocegueda ,4,3,3,0,10
Wilson,206,U.S. Senate,,D,D. R. Hunter ,1,3,1,0,5
Wilson,206,U.S. Senate,,D,C. Tzintzun Ramirez ,43,34,18,0,95
Wilson,206,U.S. Senate,,D,Amanda K. Edwards ,5,3,2,0,10
Wilson,206,U.S. Senate,,D,Chris Bell ,4,4,2,0,10
Wilson,206,U.S. Senate,,D,Sema Hernandez ,4,9,4,0,17
Wilson,206,U.S. Senate,,D,"Annie \Mam·\"" Garcia"" ",10,6,4,0,20
Wilson,206,U.S. Senate,,D,J. Daniel Foster Jr. ,1,3,1,0,5
Wilson,206,U.S. Senate,,D,Victor Hugo Harris ,0,0,0,0,0
Wilson,206,U.S. Senate,,D,"Mary \MJ\"" Hegar"" ",17,15,5,0,37
Wilson,206,U.S. Senate,,D,Royce West ,0,2,0,0,2
Wilson,206,U.S. Senate,,D,Michael Cooper ,3,3,1,0,7
Wilson,206,U.S. Senate,,R,John Anthony Castro ,18,16,2,0,36
Wilson,206,U.S. Senate,,R,Virgil Bierschwale ,3,7,0,0,10
Wilson,206,U.S. Senate,,R,Dwayne Stovall ,10,23,0,0,33
Wilson,206,U.S. Senate,,R,Mark Yancey ,12,18,1,0,31
Wilson,206,U.S. Senate,,R,John Cornyn ,148,213,9,0,370
Wilson,207,U.S. Senate,,D,Adrian Ocegueda ,6,5,0,0,11
Wilson,207,U.S. Senate,,D,D. R. Hunter ,0,1,1,0,2
Wilson,207,U.S. Senate,,D,C. Tzintzun Ramirez ,19,10,4,0,33
Wilson,207,U.S. Senate,,D,Amanda K. Edwards ,8,3,1,0,12
Wilson,207,U.S. Senate,,D,Chris Bell ,3,9,2,0,14
Wilson,207,U.S. Senate,,D,Sema Hernandez ,2,12,0,0,14
Wilson,207,U.S. Senate,,D,"Annie \Mam·\"" Garcia"" ",10,3,1,0,14
Wilson,207,U.S. Senate,,D,J. Daniel Foster Jr. ,1,3,0,0,4
Wilson,207,U.S. Senate,,D,Victor Hugo Harris ,1,1,1,0,3
Wilson,207,U.S. Senate,,D,"Mary \MJ\"" Hegar"" ",9,19,1,0,29
Wilson,207,U.S. Senate,,D,Royce West ,4,1,2,0,7
Wilson,207,U.S. Senate,,D,Michael Cooper ,5,5,2,0,12
Wilson,207,U.S. Senate,,R,John Anthony Castro ,15,9,0,0,24
Wilson,207,U.S. Senate,,R,Virgil Bierschwale ,3,2,0,0,5
Wilson,207,U.S. Senate,,R,Dwayne Stovall ,20,26,0,0,46
Wilson,207,U.S. Senate,,R,Mark Yancey ,13,8,0,0,21
Wilson,207,U.S. Senate,,R,John Cornyn ,159,204,7,0,370
Wilson,208,U.S. Senate,,D,Adrian Ocegueda ,0,0,0,0,0
Wilson,208,U.S. Senate,,D,D. R. Hunter ,2,0,0,0,2
Wilson,208,U.S. Senate,,D,C. Tzintzun Ramirez ,2,4,0,0,6
Wilson,208,U.S. Senate,,D,Amanda K. Edwards ,3,0,0,0,3
Wilson,208,U.S. Senate,,D,Chris Bell ,2,1,0,0,3
Wilson,208,U.S. Senate,,D,Sema Hernandez ,1,0,0,0,1
Wilson,208,U.S. Senate,,D,"Annie \Mam·\"" Garcia"" ",0,0,0,0,0
Wilson,208,U.S. Senate,,D,J. Daniel Foster Jr. ,3,1,0,0,4
Wilson,208,U.S. Senate,,D,Victor Hugo Harris ,0,0,0,0,0
Wilson,208,U.S. Senate,,D,"Mary \MJ\"" Hegar"" ",5,1,0,0,6
Wilson,208,U.S. Senate,,D,Royce West ,0,0,0,0,0
Wilson,208,U.S. Senate,,D,Michael Cooper ,0,0,0,0,0
Wilson,208,U.S. Senate,,R,John Anthony Castro ,3,2,0,0,5
Wilson,208,U.S. Senate,,R,Virgil Bierschwale ,1,0,0,0,1
Wilson,208,U.S. Senate,,R,Dwayne Stovall ,16,2,0,0,18
Wilson,208,U.S. Senate,,R,Mark Yancey ,12,1,0,0,13
Wilson,208,U.S. Senate,,R,John Cornyn ,114,49,2,0,165
Wilson,209,U.S. Senate,,D,Adrian Ocegueda ,1,0,0,0,1
Wilson,209,U.S. Senate,,D,D. R. Hunter ,0,0,0,0,0
Wilson,209,U.S. Senate,,D,C. Tzintzun Ramirez ,0,1,0,0,1
Wilson,209,U.S. Senate,,D,Amanda K. Edwards ,1,0,0,0,1
Wilson,209,U.S. Senate,,D,Chris Bell ,0,1,0,0,1
Wilson,209,U.S. Senate,,D,Sema Hernandez ,0,0,0,0,0
Wilson,209,U.S. Senate,,D,"Annie \Mam·\"" Garcia"" ",0,0,0,0,0
Wilson,209,U.S. Senate,,D,J. Daniel Foster Jr. ,0,0,0,0,0
Wilson,209,U.S. Senate,,D,Victor Hugo Harris ,0,0,0,0,0
Wilson,209,U.S. Senate,,D,"Mary \MJ\"" Hegar"" ",5,1,1,0,7
Wilson,209,U.S. Senate,,D,Royce West ,0,0,0,0,0
Wilson,209,U.S. Senate,,D,Michael Cooper ,1,0,0,0,1
Wilson,209,U.S. Senate,,R,John Anthony Castro ,7,0,0,0,7
Wilson,209,U.S. Senate,,R,Virgil Bierschwale ,4,0,0,0,4
Wilson,209,U.S. Senate,,R,Dwayne Stovall ,9,0,0,0,9
Wilson,209,U.S. Senate,,R,Mark Yancey ,13,1,0,0,14
Wilson,209,U.S. Senate,,R,John Cornyn ,110,26,1,0,137
Wilson,310,U.S. Senate,,D,Adrian Ocegueda ,1,1,0,0,2
Wilson,310,U.S. Senate,,D,D. R. Hunter ,1,1,0,0,2
Wilson,310,U.S. Senate,,D,C. Tzintzun Ramirez ,2,2,2,0,6
Wilson,310,U.S. Senate,,D,Amanda K. Edwards ,3,0,0,0,3
Wilson,310,U.S. Senate,,D,Chris Bell ,0,0,0,0,0
Wilson,310,U.S. Senate,,D,Sema Hernandez ,2,0,0,0,2
Wilson,310,U.S. Senate,,D,"Annie \Mam·\"" Garcia"" ",1,1,1,0,3
Wilson,310,U.S. Senate,,D,J. Daniel Foster Jr. ,0,0,0,0,0
Wilson,310,U.S. Senate,,D,Victor Hugo Harris ,0,0,0,0,0
Wilson,310,U.S. Senate,,D,"Mary \MJ\"" Hegar"" ",0,2,0,0,2
Wilson,310,U.S. Senate,,D,Royce West ,0,1,0,0,1
Wilson,310,U.S. Senate,,D,Michael Cooper ,0,0,1,0,1
Wilson,310,U.S. Senate,,R,John Anthony Castro ,5,6,0,0,11
Wilson,310,U.S. Senate,,R,Virgil Bierschwale ,0,1,0,0,1
Wilson,310,U.S. Senate,,R,Dwayne Stovall ,1,5,0,0,6
Wilson,310,U.S. Senate,,R,Mark Yancey ,4,7,0,0,11
Wilson,310,U.S. Senate,,R,John Cornyn ,48,107,4,0,159
Wilson,311,U.S. Senate,,D,Adrian Ocegueda ,3,0,1,0,4
Wilson,311,U.S. Senate,,D,D. R. Hunter ,1,1,0,0,2
Wilson,311,U.S. Senate,,D,C. Tzintzun Ramirez ,11,6,0,0,17
Wilson,311,U.S. Senate,,D,Amanda K. Edwards ,4,0,3,0,7
Wilson,311,U.S. Senate,,D,Chris Bell ,2,3,0,0,5
Wilson,311,U.S. Senate,,D,Sema Hernandez ,2,1,0,0,3
Wilson,311,U.S. Senate,,D,"Annie \Mam·\"" Garcia"" ",2,0,1,0,3
Wilson,311,U.S. Senate,,D,J. Daniel Foster Jr. ,0,0,0,0,0
Wilson,311,U.S. Senate,,D,Victor Hugo Harris ,1,0,0,0,1
Wilson,311,U.S. Senate,,D,"Mary \MJ\"" Hegar"" ",4,16,3,0,23
Wilson,311,U.S. Senate,,D,Royce West ,1,0,1,0,2
Wilson,311,U.S. Senate,,D,Michael Cooper ,2,1,0,0,3
Wilson,311,U.S. Senate,,R,John Anthony Castro ,7,1,0,0,8
Wilson,311,U.S. Senate,,R,Virgil Bierschwale ,2,2,1,0,5
Wilson,311,U.S. Senate,,R,Dwayne Stovall ,18,22,1,0,41
Wilson,311,U.S. Senate,,R,Mark Yancey ,11,5,2,0,18
Wilson,311,U.S. Senate,,R,John Cornyn ,158,200,15,0,373
Wilson,312,U.S. Senate,,D,Adrian Ocegueda ,3,2,0,0,5
Wilson,312,U.S. Senate,,D,D. R. Hunter ,0,2,0,0,2
Wilson,312,U.S. Senate,,D,C. Tzintzun Ramirez ,16,10,1,0,27
Wilson,312,U.S. Senate,,D,Amanda K. Edwards ,4,7,0,0,11
Wilson,312,U.S. Senate,,D,Chris Bell ,4,6,0,0,10
Wilson,312,U.S. Senate,,D,Sema Hernandez ,1,2,0,0,3
Wilson,312,U.S. Senate,,D,"Annie \Mam·\"" Garcia"" ",8,4,0,0,12
Wilson,312,U.S. Senate,,D,J. Daniel Foster Jr. ,2,0,0,0,2
Wilson,312,U.S. Senate,,D,Victor Hugo Harris ,0,0,0,0,0
Wilson,312,U.S. Senate,,D,"Mary \MJ\"" Hegar"" ",14,16,1,0,31
Wilson,312,U.S. Senate,,D,Royce West ,2,1,0,0,3
Wilson,312,U.S. Senate,,D,Michael Cooper ,2,0,1,0,3
Wilson,312,U.S. Senate,,R,John Anthony Castro ,27,12,0,0,39
Wilson,312,U.S. Senate,,R,Virgil Bierschwale ,6,8,1,0,15
Wilson,312,U.S. Senate,,R,Dwayne Stovall ,31,24,0,0,55
Wilson,312,U.S. Senate,,R,Mark Yancey ,16,11,0,0,27
Wilson,312,U.S. Senate,,R,John Cornyn ,186,252,18,0,456
Wilson,313,U.S. Senate,,D,Adrian Ocegueda ,9,1,0,0,10
Wilson,313,U.S. Senate,,D,D. R. Hunter ,1,1,1,0,3
Wilson,313,U.S. Senate,,D,C. Tzintzun Ramirez ,18,11,2,0,31
Wilson,313,U.S. Senate,,D,Amanda K. Edwards ,6,4,0,0,10
Wilson,313,U.S. Senate,,D,Chris Bell ,6,2,0,0,8
Wilson,313,U.S. Senate,,D,Sema Hernandez ,5,4,0,0,9
Wilson,313,U.S. Senate,,D,"Annie \Mam·\"" Garcia"" ",5,4,1,0,10
Wilson,313,U.S. Senate,,D,J. Daniel Foster Jr. ,2,0,0,0,2
Wilson,313,U.S. Senate,,D,Victor Hugo Harris ,0,3,0,0,3
Wilson,313,U.S. Senate,,D,"Mary \MJ\"" Hegar"" ",21,16,5,0,42
Wilson,313,U.S. Senate,,D,Royce West ,0,0,1,0,1
Wilson,313,U.S. Senate,,D,Michael Cooper ,1,2,0,0,3
Wilson,313,U.S. Senate,,R,John Anthony Castro ,30,22,1,0,53
Wilson,313,U.S. Senate,,R,Virgil Bierschwale ,5,10,0,0,15
Wilson,313,U.S. Senate,,R,Dwayne Stovall ,28,46,2,0,76
Wilson,313,U.S. Senate,,R,Mark Yancey ,23,24,0,0,47
Wilson,313,U.S. Senate,,R,John Cornyn ,214,265,10,0,489
