candidate,office,district,party,county,precinct,mail,early_voting,election_day,votes
Matt Sterett,Railroad Commissioner,,LIB,Taylor,108 - W,1,9,3,13
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,108 - W,3,2,0,5
Dawn Buckingham,State Senate,24,REP,Taylor,108 - W,34,433,180,647
Clayton Tucker,State Senate,24,DEM,Taylor,108 - W,9,56,14,79
Stan Lambert,State Representative,71,REP,Taylor,108 - W,34,443,185,662
Samuel Hatton,State Representative,71,DEM,Taylor,108 - W,8,45,9,62
Donald J Trump,President,,REP,Taylor,109 - B,0,7,2,9
Joseph R Biden,President,,DEM,Taylor,109 - B,0,0,1,1
Jo Jorgensen,President,,LIB,Taylor,109 - B,0,0,0,0
Howie Hawkins,President,,GRN,Taylor,109 - B,0,0,0,0
Abram Loeb (W),President,,,Taylor,109 - B,0,0,0,0
Brian Carroll (W),President,,,Taylor,109 - B,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,109 - B,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,109 - B,0,0,0,0
Kasey Wells (W),President,,,Taylor,109 - B,0,0,0,0
President R. Boddie (W),President,,,Taylor,109 - B,0,0,0,0
Robert Marrow (W),President,,,Taylor,109 - B,0,0,0,0
Todd Cella (W),President,,,Taylor,109 - B,0,0,0,0
Tom Heofling (W),President,,,Taylor,109 - B,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,109 - B,0,7,2,9
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,109 - B,0,0,1,1
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,109 - B,0,0,0,0
David B. Collins,U.S. Senate,,GRN,Taylor,109 - B,0,0,0,0
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,109 - B,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,109 - B,0,7,2,9
Tom Watson,U.S. House,19,DEM,Taylor,109 - B,0,0,1,1
Joe Bumes,U.S. House,19,LIB,Taylor,109 - B,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,109 - B,0,6,2,8
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,109 - B,0,0,1,1
Matt Sterett,Railroad Commissioner,,LIB,Taylor,109 - B,0,0,0,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,109 - B,0,1,0,1
Dawn Buckingham,State Senate,24,REP,Taylor,109 - B,0,7,2,9
Clayton Tucker,State Senate,24,DEM,Taylor,109 - B,0,0,1,1
Stan Lambert,State Representative,71,REP,Taylor,109 - B,0,7,2,9
Samuel Hatton,State Representative,71,DEM,Taylor,109 - B,0,0,1,1
Donald J Trump,President,,REP,Taylor,109 - M,8,96,46,150
Joseph R Biden,President,,DEM,Taylor,109 - M,4,9,6,19
Jo Jorgensen,President,,LIB,Taylor,109 - M,0,0,0,0
Howie Hawkins,President,,GRN,Taylor,109 - M,0,1,0,1
Abram Loeb (W),President,,,Taylor,109 - M,0,0,0,0
Brian Carroll (W),President,,,Taylor,109 - M,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,109 - M,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,109 - M,0,0,0,0
Kasey Wells (W),President,,,Taylor,109 - M,0,0,0,0
President R. Boddie (W),President,,,Taylor,109 - M,0,0,0,0
Robert Marrow (W),President,,,Taylor,109 - M,0,0,0,0
Todd Cella (W),President,,,Taylor,109 - M,0,0,0,0
Tom Heofling (W),President,,,Taylor,109 - M,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,109 - M,10,97,45,152
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,109 - M,2,9,5,16
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,109 - M,0,0,1,1
David B. Collins,U.S. Senate,,GRN,Taylor,109 - M,0,0,0,0
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,109 - M,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,109 - M,10,96,47,153
Tom Watson,U.S. House,19,DEM,Taylor,109 - M,2,9,3,14
Joe Bumes,U.S. House,19,LIB,Taylor,109 - M,0,1,1,2
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,109 - M,8,96,46,150
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,109 - M,2,8,3,13
Matt Sterett,Railroad Commissioner,,LIB,Taylor,109 - M,0,1,1,2
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,109 - M,0,1,0,1
Dawn Buckingham,State Senate,24,REP,Taylor,109 - M,8,97,46,151
Clayton Tucker,State Senate,24,DEM,Taylor,109 - M,2,8,5,15
Stan Lambert,State Representative,71,REP,Taylor,109 - M,8,94,47,149
Samuel Hatton,State Representative,71,DEM,Taylor,109 - M,2,9,4,15
Donald J Trump,President,,REP,Taylor,109 - T,2,13,2,17
Joseph R Biden,President,,DEM,Taylor,109 - T,0,0,1,1
Jo Jorgensen,President,,LIB,Taylor,109 - T,0,0,0,0
Howie Hawkins,President,,GRN,Taylor,109 - T,0,0,0,0
Abram Loeb (W),President,,,Taylor,109 - T,0,0,0,0
Brian Carroll (W),President,,,Taylor,109 - T,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,109 - T,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,109 - T,0,0,0,0
Kasey Wells (W),President,,,Taylor,109 - T,0,0,0,0
President R. Boddie (W),President,,,Taylor,109 - T,0,0,0,0
Robert Marrow (W),President,,,Taylor,109 - T,0,0,0,0
Todd Cella (W),President,,,Taylor,109 - T,0,0,0,0
Tom Heofling (W),President,,,Taylor,109 - T,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,109 - T,2,13,2,17
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,109 - T,0,0,1,1
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,109 - T,0,0,0,0
David B. Collins,U.S. Senate,,GRN,Taylor,109 - T,0,0,0,0
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,109 - T,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,109 - T,2,13,2,17
Tom Watson,U.S. House,19,DEM,Taylor,109 - T,0,0,1,1
Joe Bumes,U.S. House,19,LIB,Taylor,109 - T,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,109 - T,2,13,2,17
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,109 - T,0,0,1,1
Matt Sterett,Railroad Commissioner,,LIB,Taylor,109 - T,0,0,0,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,109 - T,0,0,0,0
Dawn Buckingham,State Senate,24,REP,Taylor,109 - T,2,13,2,17
Clayton Tucker,State Senate,24,DEM,Taylor,109 - T,0,0,1,1
Stan Lambert,State Representative,71,REP,Taylor,109 - T,2,13,2,17
Samuel Hatton,State Representative,71,DEM,Taylor,109 - T,0,0,1,1
Donald J Trump,President,,REP,Taylor,110 - B,4,29,9,42
Joseph R Biden,President,,DEM,Taylor,110 - B,2,1,3,6
Jo Jorgensen,President,,LIB,Taylor,110 - B,0,0,0,0
Howie Hawkins,President,,GRN,Taylor,110 - B,0,0,0,0
Abram Loeb (W),President,,,Taylor,110 - B,0,0,0,0
Brian Carroll (W),President,,,Taylor,110 - B,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,110 - B,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,110 - B,0,0,0,0
Kasey Wells (W),President,,,Taylor,110 - B,0,0,0,0
President R. Boddie (W),President,,,Taylor,110 - B,0,0,0,0
Robert Marrow (W),President,,,Taylor,110 - B,0,0,0,0
Todd Cella (W),President,,,Taylor,110 - B,0,0,0,0
Tom Heofling (W),President,,,Taylor,110 - B,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,110 - B,5,28,9,42
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,110 - B,2,2,3,7
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,110 - B,0,0,0,0
David B. Collins,U.S. Senate,,GRN,Taylor,110 - B,0,0,0,0
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,110 - B,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,110 - B,5,27,10,42
Tom Watson,U.S. House,19,DEM,Taylor,110 - B,2,2,2,6
Joe Bumes,U.S. House,19,LIB,Taylor,110 - B,0,1,0,1
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,110 - B,5,26,9,40
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,110 - B,2,3,3,8
Matt Sterett,Railroad Commissioner,,LIB,Taylor,110 - B,0,1,0,1
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,110 - B,0,0,0,0
Dawn Buckingham,State Senate,24,REP,Taylor,110 - B,5,28,9,42
Clayton Tucker,State Senate,24,DEM,Taylor,110 - B,2,2,3,7
Stan Lambert,State Representative,71,REP,Taylor,110 - B,7,29,10,46
Samuel Hatton,State Representative,71,DEM,Taylor,110 - B,0,1,2,3
Donald J Trump,President,,REP,Taylor,110 - W4,9,16,1,26
Joseph R Biden,President,,DEM,Taylor,110 - W4,0,0,0,0
Jo Jorgensen,President,,LIB,Taylor,110 - W4,0,0,0,0
Howie Hawkins,President,,GRN,Taylor,110 - W4,0,0,0,0
Abram Loeb (W),President,,,Taylor,110 - W4,0,0,0,0
Brian Carroll (W),President,,,Taylor,110 - W4,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,110 - W4,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,110 - W4,0,0,0,0
Kasey Wells (W),President,,,Taylor,110 - W4,0,0,0,0
President R. Boddie (W),President,,,Taylor,110 - W4,0,0,0,0
Robert Marrow (W),President,,,Taylor,110 - W4,0,0,0,0
Todd Cella (W),President,,,Taylor,110 - W4,0,0,0,0
Tom Heofling (W),President,,,Taylor,110 - W4,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,110 - W4,9,16,1,26
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,110 - W4,0,0,0,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,110 - W4,0,0,0,0
David B. Collins,U.S. Senate,,GRN,Taylor,110 - W4,0,0,0,0
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,110 - W4,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,110 - W4,9,16,1,26
Tom Watson,U.S. House,19,DEM,Taylor,110 - W4,0,0,0,0
Joe Bumes,U.S. House,19,LIB,Taylor,110 - W4,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,110 - W4,9,16,1,26
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,110 - W4,0,0,0,0
Matt Sterett,Railroad Commissioner,,LIB,Taylor,110 - W4,0,0,0,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,110 - W4,0,0,0,0
Dawn Buckingham,State Senate,24,REP,Taylor,110 - W4,9,16,1,26
Clayton Tucker,State Senate,24,DEM,Taylor,110 - W4,0,0,0,0
Stan Lambert,State Representative,71,REP,Taylor,110 - W4,8,16,1,25
Samuel Hatton,State Representative,71,DEM,Taylor,110 - W4,0,0,0,0
Donald J Trump,President,,REP,Taylor,201 - 0,39,379,98,516
Joseph R Biden,President,,DEM,Taylor,201 - 0,57,217,67,341
Jo Jorgensen,President,,LIB,Taylor,201 - 0,0,11,6,17
Howie Hawkins,President,,GRN,Taylor,201 - 0,2,1,0,3
Abram Loeb (W),President,,,Taylor,201 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,201 - 0,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,201 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,201 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,201 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,201 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,201 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,201 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,201 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,201 - 0,40,374,90,504
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,201 - 0,55,197,65,317
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,201 - 0,0,20,7,27
David B. Collins,U.S. Senate,,GRN,Taylor,201 - 0,1,5,4,10
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,201 - 0,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,201 - 0,43,380,95,518
Tom Watson,U.S. House,19,DEM,Taylor,201 - 0,52,186,60,298
Joe Bumes,U.S. House,19,LIB,Taylor,201 - 0,2,23,7,32
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,201 - 0,41,364,91,496
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,201 - 0,53,187,62,302
Matt Sterett,Railroad Commissioner,,LIB,Taylor,201 - 0,1,23,4,28
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,201 - 0,1,12,4,17
Charles Perry,State Senate,28,REP,Taylor,201 - 0,60,452,125,637
Stan Lambert,State Representative,71,REP,Taylor,201 - 0,45,394,96,535
Samuel Hatton,State Representative,71,DEM,Taylor,201 - 0,51,187,65,303
Donald J Trump,President,,REP,Taylor,202 - 0,64,618,160,842
Joseph R Biden,President,,DEM,Taylor,202 - 0,91,481,117,689
Jo Jorgensen,President,,LIB,Taylor,202 - 0,0,14,4,18
Howie Hawkins,President,,GRN,Taylor,202 - 0,0,5,2,7
Abram Loeb (W),President,,,Taylor,202 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,202 - 0,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,202 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,202 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,202 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,202 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,202 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,202 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,202 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,202 - 0,71,617,152,840
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,202 - 0,76,427,108,611
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,202 - 0,0,27,7,34
David B. Collins,U.S. Senate,,GRN,Taylor,202 - 0,1,16,5,22
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,202 - 0,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,202 - 0,71,627,161,859
Tom Watson,U.S. House,19,DEM,Taylor,202 - 0,76,412,95,583
Joe Bumes,U.S. House,19,LIB,Taylor,202 - 0,2,40,15,57
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,202 - 0,66,596,143,805
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,202 - 0,78,440,112,630
Matt Sterett,Railroad Commissioner,,LIB,Taylor,202 - 0,0,28,9,37
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,202 - 0,3,9,6,18
Charles Perry,State Senate,28,REP,Taylor,202 - 0,96,806,204,1106
Stan Lambert,State Representative,71,REP,Taylor,202 - 0,71,654,156,881
Samuel Hatton,State Representative,71,DEM,Taylor,202 - 0,72,408,107,587
Donald J Trump,President,,REP,Taylor,203 - 0,70,689,164,923
Joseph R Biden,President,,DEM,Taylor,203 - 0,85,404,116,605
Jo Jorgensen,President,,LIB,Taylor,203 - 0,0,10,3,13
Howie Hawkins,President,,GRN,Taylor,203 - 0,0,10,2,12
Abram Loeb (W),President,,,Taylor,203 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,203 - 0,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,203 - 0,0,1,0,1
Jesse Cuellar (W),President,,,Taylor,203 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,203 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,203 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,203 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,203 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,203 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,203 - 0,70,685,151,906
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,203 - 0,83,373,107,563
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,203 - 0,0,24,14,38
David B. Collins,U.S. Senate,,GRN,Taylor,203 - 0,0,10,4,14
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,203 - 0,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,203 - 0,71,702,161,934
Tom Watson,U.S. House,19,DEM,Taylor,203 - 0,82,340,92,514
Joe Bumes,U.S. House,19,LIB,Taylor,203 - 0,1,40,19,60
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,203 - 0,69,678,142,889
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,203 - 0,79,352,112,543
Matt Sterett,Railroad Commissioner,,LIB,Taylor,203 - 0,0,34,16,50
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,203 - 0,3,15,3,21
Charles Perry,State Senate,28,REP,Taylor,203 - 0,96,839,222,1157
Stan Lambert,State Representative,71,REP,Taylor,203 - 0,71,717,170,958
Samuel Hatton,State Representative,71,DEM,Taylor,203 - 0,79,361,103,543
Donald J Trump,President,,REP,Taylor,203 - I,0,6,0,6
Joseph R Biden,President,,DEM,Taylor,203 - I,0,1,0,1
Jo Jorgensen,President,,LIB,Taylor,203 - I,0,0,0,0
Howie Hawkins,President,,GRN,Taylor,203 - I,0,0,0,0
Abram Loeb (W),President,,,Taylor,203 - I,0,0,0,0
Brian Carroll (W),President,,,Taylor,203 - I,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,203 - I,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,203 - I,0,0,0,0
Kasey Wells (W),President,,,Taylor,203 - I,0,0,0,0
President R. Boddie (W),President,,,Taylor,203 - I,0,0,0,0
Robert Marrow (W),President,,,Taylor,203 - I,0,0,0,0
Todd Cella (W),President,,,Taylor,203 - I,0,0,0,0
Tom Heofling (W),President,,,Taylor,203 - I,0,6,0,6
John Cornyn,U.S. Senate,,REP,Taylor,203 - I,0,1,0,1
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,203 - I,0,0,0,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,203 - I,0,0,0,0
David B. Collins,U.S. Senate,,GRN,Taylor,203 - I,0,0,0,0
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,203 - I,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,203 - I,0,6,0,6
Tom Watson,U.S. House,19,DEM,Taylor,203 - I,0,1,0,1
Joe Bumes,U.S. House,19,LIB,Taylor,203 - I,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,203 - I,0,6,0,6
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,203 - I,0,1,0,1
Matt Sterett,Railroad Commissioner,,LIB,Taylor,203 - I,0,0,0,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,203 - I,0,0,0,0
Charles Perry,State Senate,28,REP,Taylor,203 - I,0,6,0,6
Stan Lambert,State Representative,71,REP,Taylor,203 - I,0,6,0,6
Samuel Hatton,State Representative,71,DEM,Taylor,203 - I,0,1,0,1
Donald J Trump,President,,REP,Taylor,204 - 0,45,598,86,729
Joseph R Biden,President,,DEM,Taylor,204 - 0,43,241,29,313
Jo Jorgensen,President,,LIB,Taylor,204 - 0,1,8,6,15
Howie Hawkins,President,,GRN,Taylor,204 - 0,0,3,2,5
Abram Loeb (W),President,,,Taylor,204 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,204 - 0,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,204 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,204 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,204 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,204 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,204 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,204 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,204 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,204 - 0,51,613,80,744
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,204 - 0,38,218,25,281
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,204 - 0,0,15,7,22
David B. Collins,U.S. Senate,,GRN,Taylor,204 - 0,0,2,5,7
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,204 - 0,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,204 - 0,46,614,89,749
Tom Watson,U.S. House,19,DEM,Taylor,204 - 0,40,201,21,262
Joe Bumes,U.S. House,19,LIB,Taylor,204 - 0,1,13,5,19
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,204 - 0,47,620,83,750
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,204 - 0,31,188,19,238
Matt Sterett,Railroad Commissioner,,LIB,Taylor,204 - 0,3,17,6,26
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,204 - 0,1,8,6,15
Charles Perry,State Senate,28,REP,Taylor,204 - 0,65,724,101,890
Stan Lambert,State Representative,71,REP,Taylor,204 - 0,51,641,91,783
Samuel Hatton,State Representative,71,DEM,Taylor,204 - 0,32,185,26,243
Donald J Trump,President,,REP,Taylor,204 - B,1,28,4,33
Joseph R Biden,President,,DEM,Taylor,204 - B,2,6,1,9
Jo Jorgensen,President,,LIB,Taylor,204 - B,0,0,0,0
Howie Hawkins,President,,GRN,Taylor,204 - B,0,0,0,0
Abram Loeb (W),President,,,Taylor,204 - B,0,0,0,0
Brian Carroll (W),President,,,Taylor,204 - B,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,204 - B,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,204 - B,0,0,0,0
Kasey Wells (W),President,,,Taylor,204 - B,0,0,0,0
President R. Boddie (W),President,,,Taylor,204 - B,0,0,0,0
Robert Marrow (W),President,,,Taylor,204 - B,0,0,0,0
Todd Cella (W),President,,,Taylor,204 - B,0,0,0,0
Tom Heofling (W),President,,,Taylor,204 - B,1,29,4,34
John Cornyn,U.S. Senate,,REP,Taylor,204 - B,2,5,1,8
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,204 - B,0,0,0,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,204 - B,0,0,0,0
David B. Collins,U.S. Senate,,GRN,Taylor,204 - B,0,0,0,0
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,204 - B,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,204 - B,1,28,3,32
Tom Watson,U.S. House,19,DEM,Taylor,204 - B,2,6,1,9
Joe Bumes,U.S. House,19,LIB,Taylor,204 - B,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,204 - B,1,29,3,33
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,204 - B,2,5,0,7
Matt Sterett,Railroad Commissioner,,LIB,Taylor,204 - B,0,0,1,1
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,204 - B,0,0,0,0
Charles Perry,State Senate,28,REP,Taylor,204 - B,3,30,4,37
Stan Lambert,State Representative,71,REP,Taylor,204 - B,1,31,3,35
Samuel Hatton,State Representative,71,DEM,Taylor,204 - B,2,3,1,6
Donald J Trump,President,,REP,Taylor,204 - C,2,116,15,133
Joseph R Biden,President,,DEM,Taylor,204 - C,4,10,1,15
Jo Jorgensen,President,,LIB,Taylor,204 - C,0,0,0,0
Howie Hawkins,President,,GRN,Taylor,204 - C,0,0,1,1
Abram Loeb (W),President,,,Taylor,204 - C,0,0,0,0
Brian Carroll (W),President,,,Taylor,204 - C,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,204 - C,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,204 - C,0,0,0,0
Kasey Wells (W),President,,,Taylor,204 - C,0,0,0,0
President R. Boddie (W),President,,,Taylor,204 - C,0,0,0,0
Robert Marrow (W),President,,,Taylor,204 - C,0,0,0,0
Todd Cella (W),President,,,Taylor,204 - C,0,0,0,0
Tom Heofling (W),President,,,Taylor,204 - C,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,204 - C,3,114,15,132
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,204 - C,3,9,0,12
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,204 - C,0,1,1,2
David B. Collins,U.S. Senate,,GRN,Taylor,204 - C,0,1,1,2
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,204 - C,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,204 - C,4,114,15,133
Tom Watson,U.S. House,19,DEM,Taylor,204 - C,2,9,0,11
Joe Bumes,U.S. House,19,LIB,Taylor,204 - C,0,0,2,2
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,204 - C,4,112,14,130
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,204 - C,2,9,2,13
Matt Sterett,Railroad Commissioner,,LIB,Taylor,204 - C,0,0,0,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,204 - C,0,1,1,2
Charles Perry,State Senate,28,REP,Taylor,204 - C,4,116,16,136
Stan Lambert,State Representative,71,REP,Taylor,204 - C,2,116,15,133
Samuel Hatton,State Representative,71,DEM,Taylor,204 - C,4,8,2,14
Donald J Trump,President,,REP,Taylor,204 - D,0,4,0,4
Joseph R Biden,President,,DEM,Taylor,204 - D,0,0,0,0
Jo Jorgensen,President,,LIB,Taylor,204 - D,0,0,0,0
Howie Hawkins,President,,GRN,Taylor,204 - D,0,0,0,0
Abram Loeb (W),President,,,Taylor,204 - D,0,0,0,0
Brian Carroll (W),President,,,Taylor,204 - D,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,204 - D,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,204 - D,0,0,0,0
Kasey Wells (W),President,,,Taylor,204 - D,0,0,0,0
President R. Boddie (W),President,,,Taylor,204 - D,0,0,0,0
Robert Marrow (W),President,,,Taylor,204 - D,0,0,0,0
Todd Cella (W),President,,,Taylor,204 - D,0,0,0,0
Tom Heofling (W),President,,,Taylor,204 - D,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,204 - D,0,4,0,4
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,204 - D,0,0,0,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,204 - D,0,0,0,0
David B. Collins,U.S. Senate,,GRN,Taylor,204 - D,0,0,0,0
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,204 - D,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,204 - D,0,4,0,4
Tom Watson,U.S. House,19,DEM,Taylor,204 - D,0,0,0,0
Joe Bumes,U.S. House,19,LIB,Taylor,204 - D,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,204 - D,0,4,0,4
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,204 - D,0,0,0,0
Matt Sterett,Railroad Commissioner,,LIB,Taylor,204 - D,0,0,0,0
