county,precinct,office,district,party,candidate,votes,early_voting,mail,election_day,hand_count
Jasper,Box 17,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",3,2,1,0,0
Jasper,Box 17,State Representative,19,REP,James White,935,708,28,195,4
Jasper,Box 19,Registered Voters,,,,2069,,,,
Jasper,Box 19,Ballots Cast,,,,1503,1184,100,210,9
Jasper,Box 19,President,,REP,Donald J Trump,1177,956,49,166,6
Jasper,Box 19,President,,DEM,Joseph R Biden,302,212,49,38,3
Jasper,Box 19,President,,LIB,Jo Jorgensen,8,4,1,3,0
Jasper,Box 19,President,,GRN,Howie Hawkins,0,0,0,0,0
Jasper,Box 19,President,,,Write-In,2,2,0,0,0
Jasper,Box 19,U.S. Senate,,REP,John Cornyn,1161,940,54,162,5
Jasper,Box 19,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",283,199,42,39,3
Jasper,Box 19,U.S. Senate,,LIB,Kerry Douglas McKennon,17,11,1,4,1
Jasper,Box 19,U.S. Senate,,GRN,David B. Collins,5,5,0,0,0
Jasper,Box 19,U.S. Senate,,,Write-In,1,0,1,0,0
Jasper,Box 19,U.S. House,36,REP,Brian Babin,1185,960,56,164,5
Jasper,Box 19,U.S. House,36,DEM,Rashad Lewis,271,188,39,40,4
Jasper,Box 19,U.S. House,36,LIB,Chad Abbey,16,10,4,2,0
Jasper,Box 19,U.S. House,36,GRN,Hal J. Ridley Jr,1,1,0,0,0
Jasper,Box 19,Railroad Commissioner,,REP,"James ""Jim""Wright",1177,948,56,167,6
Jasper,Box 19,Railroad Commissioner,,DEM,Chrysta Castaneda,262,185,40,34,3
Jasper,Box 19,Railroad Commissioner,,LIB,Matt Sterett,18,14,3,1,0
Jasper,Box 19,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",4,3,1,0,0
Jasper,Box 19,State Representative,19,REP,James White,1316,1046,74,187,9
Jasper,Box 20,Registered Voters,,,,1438,,,,
Jasper,Box 20,Ballots Cast,,,,782,594,74,109,5
Jasper,Box 20,President,,REP,Donald J Trump,359,280,15,61,3
Jasper,Box 20,President,,DEM,Joseph R Biden,400,292,59,47,2
Jasper,Box 20,President,,LIB,Jo Jorgensen,5,5,0,0,0
Jasper,Box 20,President,,GRN,Howie Hawkins,0,0,0,0,0
Jasper,Box 20,President,,,Write-In,1,1,0,0,0
Jasper,Box 20,U.S. Senate,,REP,John Cornyn,361,285,15,60,1
Jasper,Box 20,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",375,277,58,39,1
Jasper,Box 20,U.S. Senate,,LIB,Kerry Douglas McKennon,9,7,0,2,0
Jasper,Box 20,U.S. Senate,,GRN,David B. Collins,6,5,0,1,0
Jasper,Box 20,U.S. Senate,,,Write-In,0,0,0,0,0
Jasper,Box 20,U.S. House,36,REP,Brian Babin,366,292,16,57,1
Jasper,Box 20,U.S. House,36,DEM,Rashad Lewis,386,281,58,46,1
Jasper,Box 20,U.S. House,36,LIB,Chad Abbey,8,6,0,2,0
Jasper,Box 20,U.S. House,36,GRN,Hal J. Ridley Jr,1,1,0,0,0
Jasper,Box 20,Railroad Commissioner,,REP,"James ""Jim""Wright",365,289,15,60,1
Jasper,Box 20,Railroad Commissioner,,DEM,Chrysta Castaneda,361,265,57,38,1
Jasper,Box 20,Railroad Commissioner,,LIB,Matt Sterett,12,8,0,4,0
Jasper,Box 20,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",3,3,0,0,0
Jasper,Box 20,State Representative,19,REP,James White,550,417,45,86,2
Jasper,Box 21,Registered Voters,,,,1754,,,,
Jasper,Box 21,Ballots Cast,,,,998,799,74,124,1
Jasper,Box 21,President,,REP,Donald J Trump,624,515,36,72,1
Jasper,Box 21,President,,DEM,Joseph R Biden,350,267,34,49,0
Jasper,Box 21,President,,LIB,Jo Jorgensen,14,11,1,2,0
Jasper,Box 21,President,,GRN,Howie Hawkins,0,0,0,0,0
Jasper,Box 21,President,,,Write-In,0,0,0,0,0
Jasper,Box 21,U.S. Senate,,REP,John Cornyn,622,518,35,69,0
Jasper,Box 21,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",322,245,34,43,0
Jasper,Box 21,U.S. Senate,,LIB,Kerry Douglas McKennon,18,10,1,6,1
Jasper,Box 21,U.S. Senate,,GRN,David B. Collins,7,7,0,0,0
Jasper,Box 21,U.S. Senate,,,Write-In,1,0,1,0,0
Jasper,Box 21,U.S. House,36,REP,Brian Babin,641,531,36,74,0
Jasper,Box 21,U.S. House,36,DEM,Rashad Lewis,322,244,35,43,0
Jasper,Box 21,U.S. House,36,LIB,Chad Abbey,14,10,0,3,1
Jasper,Box 21,U.S. House,36,GRN,Hal J. Ridley Jr,3,3,0,0,0
Jasper,Box 21,Railroad Commissioner,,REP,"James ""Jim""Wright",633,522,38,73,0
Jasper,Box 21,Railroad Commissioner,,DEM,Chrysta Castaneda,303,234,32,37,0
Jasper,Box 21,Railroad Commissioner,,LIB,Matt Sterett,16,8,0,7,1
Jasper,Box 21,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",3,2,0,1,0
Jasper,Box 21,State Representative,19,REP,James White,783,637,52,93,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
