candidate,office,district,party,county,precinct,absentee,early_voting,election_day,votes
Robert Morrow (W),President,,,Milam,212 -  MISD,,,,0
Jesse Cuellar (W),President,,,Milam,212 -  MISD,,,,0
Gloria La Riva (W),President,,,Milam,212 -  MISD,,,,0
Tom Hoefling (W),President,,,Milam,212 -  MISD,,,,0
Brian Carroll (W),President,,,Milam,212 -  MISD,,,,0
Kasey Wells (W),President,,,Milam,212 -  MISD,,,,0
President R. Boddie (W),President,,,Milam,212 -  MISD,,,,0
Undervotes,President,,,Milam,212 -  MISD,,,,0
Overvotes,President,,,Milam,212 -  MISD,,,,0
John Cornyn,U.S. Senate,,REP,Milam,212 -  MISD,,,,15
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Milam,212 -  MISD,,,,1
Kerry Douglas McKennon,U.S. Senate,,LIB,Milam,212 -  MISD,,,,0
David B. Collins,U.S. Senate,,GRN,Milam,212 -  MISD,,,,0
Ricardo Turullois-Bonilla (W),U.S. Senate,,,Milam,212 -  MISD,,,,0
Undervotes,U.S. Senate,,,Milam,212 -  MISD,,,,0
Overvotes,U.S. Senate,,,Milam,212 -  MISD,,,,0
Pete Sessions,U.S. House,17,REP,Milam,212 -  MISD,,,,15
Rick Kennedy,U.S. House,17,DEM,Milam,212 -  MISD,,,,1
Ted Brown,U.S. House,17,LIB,Milam,212 -  MISD,,,,0
Undervotes,U.S. House,17,,Milam,212 -  MISD,,,,0
Overvotes,U.S. House,17,,Milam,212 -  MISD,,,,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Milam,212 -  MISD,,,,15
Chrysta Castaneda,Railroad Commissioner,,DEM,Milam,212 -  MISD,,,,1
Matt Sterett,Railroad Commissioner,,LIB,Milam,212 -  MISD,,,,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Milam,212 -  MISD,,,,0
Undervotes,Railroad Commissioner,,,Milam,212 -  MISD,,,,0
Overvotes,Railroad Commissioner,,,Milam,212 -  MISD,,,,0
Terry M Wilson,State Representative,20,REP,Milam,212 -  MISD,,,,15
Jessica Tiedt,State Representative,20,DEM,Milam,212 -  MISD,,,,1
Undervotes,State Representative,20,,Milam,212 -  MISD,,,,0
Overvotes,State Representative,20,,Milam,212 -  MISD,,,,0
Registered Voters,,,,Milam,316 -  MISD,,,,0
Ballots Cast,,,,Milam,316 -  MISD,0,9,7,16
Donald J Trump,President,,REP,Milam,316 -  MISD,,,,13
Joseph R Biden,President,,DEM,Milam,316 -  MISD,,,,2
Jo Jorgensen,President,,LIB,Milam,316 -  MISD,,,,1
Howie Hawkins,President,,GRN,Milam,316 -  MISD,,,,0
Todd Cella (W),President,,,Milam,316 -  MISD,,,,0
Abram Loeb (W),President,,,Milam,316 -  MISD,,,,0
Robert Morrow (W),President,,,Milam,316 -  MISD,,,,0
Jesse Cuellar (W),President,,,Milam,316 -  MISD,,,,0
Gloria La Riva (W),President,,,Milam,316 -  MISD,,,,0
Tom Hoefling (W),President,,,Milam,316 -  MISD,,,,0
Brian Carroll (W),President,,,Milam,316 -  MISD,,,,0
Kasey Wells (W),President,,,Milam,316 -  MISD,,,,0
President R. Boddie (W),President,,,Milam,316 -  MISD,,,,0
Undervotes,President,,,Milam,316 -  MISD,,,,0
Overvotes,President,,,Milam,316 -  MISD,,,,0
John Cornyn,U.S. Senate,,REP,Milam,316 -  MISD,,,,12
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Milam,316 -  MISD,,,,2
Kerry Douglas McKennon,U.S. Senate,,LIB,Milam,316 -  MISD,,,,1
David B. Collins,U.S. Senate,,GRN,Milam,316 -  MISD,,,,0
Ricardo Turullois-Bonilla (W),U.S. Senate,,,Milam,316 -  MISD,,,,0
Undervotes,U.S. Senate,,,Milam,316 -  MISD,,,,1
Overvotes,U.S. Senate,,,Milam,316 -  MISD,,,,0
Pete Sessions,U.S. House,17,REP,Milam,316 -  MISD,,,,12
Rick Kennedy,U.S. House,17,DEM,Milam,316 -  MISD,,,,2
Ted Brown,U.S. House,17,LIB,Milam,316 -  MISD,,,,2
Undervotes,U.S. House,17,,Milam,316 -  MISD,,,,0
Overvotes,U.S. House,17,,Milam,316 -  MISD,,,,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Milam,316 -  MISD,,,,13
Chrysta Castaneda,Railroad Commissioner,,DEM,Milam,316 -  MISD,,,,2
Matt Sterett,Railroad Commissioner,,LIB,Milam,316 -  MISD,,,,1
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Milam,316 -  MISD,,,,0
Undervotes,Railroad Commissioner,,,Milam,316 -  MISD,,,,0
Overvotes,Railroad Commissioner,,,Milam,316 -  MISD,,,,0
Terry M Wilson,State Representative,20,REP,Milam,316 -  MISD,,,,14
Jessica Tiedt,State Representative,20,DEM,Milam,316 -  MISD,,,,2
Undervotes,State Representative,20,,Milam,316 -  MISD,,,,0
Overvotes,State Representative,20,,Milam,316 -  MISD,,,,0
Registered Voters,,,,Milam,317 -  MISD,,,,0
Ballots Cast,,,,Milam,317 -  MISD,72,603,197,872
Donald J Trump,President,,REP,Milam,317 -  MISD,,,,745
Joseph R Biden,President,,DEM,Milam,317 -  MISD,,,,121
Jo Jorgensen,President,,LIB,Milam,317 -  MISD,,,,3
Howie Hawkins,President,,GRN,Milam,317 -  MISD,,,,1
Todd Cella (W),President,,,Milam,317 -  MISD,,,,0
Abram Loeb (W),President,,,Milam,317 -  MISD,,,,0
Robert Morrow (W),President,,,Milam,317 -  MISD,,,,0
Jesse Cuellar (W),President,,,Milam,317 -  MISD,,,,0
Gloria La Riva (W),President,,,Milam,317 -  MISD,,,,0
Tom Hoefling (W),President,,,Milam,317 -  MISD,,,,0
Brian Carroll (W),President,,,Milam,317 -  MISD,,,,0
Kasey Wells (W),President,,,Milam,317 -  MISD,,,,0
President R. Boddie (W),President,,,Milam,317 -  MISD,,,,0
Undervotes,President,,,Milam,317 -  MISD,,,,2
Overvotes,President,,,Milam,317 -  MISD,,,,0
John Cornyn,U.S. Senate,,REP,Milam,317 -  MISD,,,,721
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Milam,317 -  MISD,,,,120
Kerry Douglas McKennon,U.S. Senate,,LIB,Milam,317 -  MISD,,,,10
David B. Collins,U.S. Senate,,GRN,Milam,317 -  MISD,,,,4
Ricardo Turullois-Bonilla (W),U.S. Senate,,,Milam,317 -  MISD,,,,0
Undervotes,U.S. Senate,,,Milam,317 -  MISD,,,,17
Overvotes,U.S. Senate,,,Milam,317 -  MISD,,,,0
Pete Sessions,U.S. House,17,REP,Milam,317 -  MISD,,,,712
Rick Kennedy,U.S. House,17,DEM,Milam,317 -  MISD,,,,108
Ted Brown,U.S. House,17,LIB,Milam,317 -  MISD,,,,21
Undervotes,U.S. House,17,,Milam,317 -  MISD,,,,31
Overvotes,U.S. House,17,,Milam,317 -  MISD,,,,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Milam,317 -  MISD,,,,727
Chrysta Castaneda,Railroad Commissioner,,DEM,Milam,317 -  MISD,,,,103
Matt Sterett,Railroad Commissioner,,LIB,Milam,317 -  MISD,,,,9
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Milam,317 -  MISD,,,,4
Undervotes,Railroad Commissioner,,,Milam,317 -  MISD,,,,29
Overvotes,Railroad Commissioner,,,Milam,317 -  MISD,,,,0
Terry M Wilson,State Representative,20,REP,Milam,317 -  MISD,,,,729
Jessica Tiedt,State Representative,20,DEM,Milam,317 -  MISD,,,,103
Undervotes,State Representative,20,,Milam,317 -  MISD,,,,40
Overvotes,State Representative,20,,Milam,317 -  MISD,,,,0
Registered Voters,,,,Milam,318 -  MISD,,,,0
Ballots Cast,,,,Milam,318 -  MISD,4,71,13,88
Donald J Trump,President,,REP,Milam,318 -  MISD,,,,80
Joseph R Biden,President,,DEM,Milam,318 -  MISD,,,,8
Jo Jorgensen,President,,LIB,Milam,318 -  MISD,,,,0
Howie Hawkins,President,,GRN,Milam,318 -  MISD,,,,0
Todd Cella (W),President,,,Milam,318 -  MISD,,,,0
Abram Loeb (W),President,,,Milam,318 -  MISD,,,,0
Robert Morrow (W),President,,,Milam,318 -  MISD,,,,0
Jesse Cuellar (W),President,,,Milam,318 -  MISD,,,,0
Gloria La Riva (W),President,,,Milam,318 -  MISD,,,,0
Tom Hoefling (W),President,,,Milam,318 -  MISD,,,,0
Brian Carroll (W),President,,,Milam,318 -  MISD,,,,0
Kasey Wells (W),President,,,Milam,318 -  MISD,,,,0
President R. Boddie (W),President,,,Milam,318 -  MISD,,,,0
Undervotes,President,,,Milam,318 -  MISD,,,,0
Overvotes,President,,,Milam,318 -  MISD,,,,0
John Cornyn,U.S. Senate,,REP,Milam,318 -  MISD,,,,80
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Milam,318 -  MISD,,,,8
Kerry Douglas McKennon,U.S. Senate,,LIB,Milam,318 -  MISD,,,,0
David B. Collins,U.S. Senate,,GRN,Milam,318 -  MISD,,,,0
Ricardo Turullois-Bonilla (W),U.S. Senate,,,Milam,318 -  MISD,,,,0
Undervotes,U.S. Senate,,,Milam,318 -  MISD,,,,0
Overvotes,U.S. Senate,,,Milam,318 -  MISD,,,,0
Pete Sessions,U.S. House,17,REP,Milam,318 -  MISD,,,,80
Rick Kennedy,U.S. House,17,DEM,Milam,318 -  MISD,,,,8
Ted Brown,U.S. House,17,LIB,Milam,318 -  MISD,,,,0
Undervotes,U.S. House,17,,Milam,318 -  MISD,,,,0
Overvotes,U.S. House,17,,Milam,318 -  MISD,,,,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Milam,318 -  MISD,,,,76
Chrysta Castaneda,Railroad Commissioner,,DEM,Milam,318 -  MISD,,,,7
Matt Sterett,Railroad Commissioner,,LIB,Milam,318 -  MISD,,,,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Milam,318 -  MISD,,,,0
Undervotes,Railroad Commissioner,,,Milam,318 -  MISD,,,,5
Overvotes,Railroad Commissioner,,,Milam,318 -  MISD,,,,0
Terry M Wilson,State Representative,20,REP,Milam,318 -  MISD,,,,77
Jessica Tiedt,State Representative,20,DEM,Milam,318 -  MISD,,,,7
Undervotes,State Representative,20,,Milam,318 -  MISD,,,,4
Overvotes,State Representative,20,,Milam,318 -  MISD,,,,0
Registered Voters,,,,Milam,105 - TISD,,,,0
Ballots Cast,,,,Milam,105 - TISD,0,2,0,2
Donald J Trump,President,,REP,Milam,105 - TISD,,,,2
Joseph R Biden,President,,DEM,Milam,105 - TISD,,,,0
Jo Jorgensen,President,,LIB,Milam,105 - TISD,,,,0
Howie Hawkins,President,,GRN,Milam,105 - TISD,,,,0
Todd Cella (W),President,,,Milam,105 - TISD,,,,0
Abram Loeb (W),President,,,Milam,105 - TISD,,,,0
Robert Morrow (W),President,,,Milam,105 - TISD,,,,0
Jesse Cuellar (W),President,,,Milam,105 - TISD,,,,0
Gloria La Riva (W),President,,,Milam,105 - TISD,,,,0
Tom Hoefling (W),President,,,Milam,105 - TISD,,,,0
Brian Carroll (W),President,,,Milam,105 - TISD,,,,0
Kasey Wells (W),President,,,Milam,105 - TISD,,,,0
President R. Boddie (W),President,,,Milam,105 - TISD,,,,0
Undervotes,President,,,Milam,105 - TISD,,,,0
Overvotes,President,,,Milam,105 - TISD,,,,0
John Cornyn,U.S. Senate,,REP,Milam,105 - TISD,,,,2
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Milam,105 - TISD,,,,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Milam,105 - TISD,,,,0
David B. Collins,U.S. Senate,,GRN,Milam,105 - TISD,,,,0
Ricardo Turullois-Bonilla (W),U.S. Senate,,,Milam,105 - TISD,,,,0
Undervotes,U.S. Senate,,,Milam,105 - TISD,,,,0
Overvotes,U.S. Senate,,,Milam,105 - TISD,,,,0
Pete Sessions,U.S. House,17,REP,Milam,105 - TISD,,,,1
Rick Kennedy,U.S. House,17,DEM,Milam,105 - TISD,,,,0
Ted Brown,U.S. House,17,LIB,Milam,105 - TISD,,,,0
Undervotes,U.S. House,17,,Milam,105 - TISD,,,,1
Overvotes,U.S. House,17,,Milam,105 - TISD,,,,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Milam,105 - TISD,,,,2
Chrysta Castaneda,Railroad Commissioner,,DEM,Milam,105 - TISD,,,,0
Matt Sterett,Railroad Commissioner,,LIB,Milam,105 - TISD,,,,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Milam,105 - TISD,,,,0
Undervotes,Railroad Commissioner,,,Milam,105 - TISD,,,,0
Overvotes,Railroad Commissioner,,,Milam,105 - TISD,,,,0
Terry M Wilson,State Representative,20,REP,Milam,105 - TISD,,,,2
Jessica Tiedt,State Representative,20,DEM,Milam,105 - TISD,,,,0
Undervotes,State Representative,20,,Milam,105 - TISD,,,,0
Overvotes,State Representative,20,,Milam,105 - TISD,,,,0
Registered Voters,,,,Milam,419 - TISD,,,,0
Ballots Cast,,,,Milam,419 - TISD,0,10,0,10
Donald J Trump,President,,REP,Milam,419 - TISD,,,,8
Joseph R Biden,President,,DEM,Milam,419 - TISD,,,,2
Jo Jorgensen,President,,LIB,Milam,419 - TISD,,,,0
Howie Hawkins,President,,GRN,Milam,419 - TISD,,,,0
Todd Cella (W),President,,,Milam,419 - TISD,,,,0
Abram Loeb (W),President,,,Milam,419 - TISD,,,,0
Robert Morrow (W),President,,,Milam,419 - TISD,,,,0
Jesse Cuellar (W),President,,,Milam,419 - TISD,,,,0
Gloria La Riva (W),President,,,Milam,419 - TISD,,,,0
Tom Hoefling (W),President,,,Milam,419 - TISD,,,,0
Brian Carroll (W),President,,,Milam,419 - TISD,,,,0
Kasey Wells (W),President,,,Milam,419 - TISD,,,,0
President R. Boddie (W),President,,,Milam,419 - TISD,,,,0
Undervotes,President,,,Milam,419 - TISD,,,,0
Overvotes,President,,,Milam,419 - TISD,,,,0
John Cornyn,U.S. Senate,,REP,Milam,419 - TISD,,,,7
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Milam,419 - TISD,,,,2
Kerry Douglas McKennon,U.S. Senate,,LIB,Milam,419 - TISD,,,,0
David B. Collins,U.S. Senate,,GRN,Milam,419 - TISD,,,,0
Ricardo Turullois-Bonilla (W),U.S. Senate,,,Milam,419 - TISD,,,,0
Undervotes,U.S. Senate,,,Milam,419 - TISD,,,,1
Overvotes,U.S. Senate,,,Milam,419 - TISD,,,,0
Pete Sessions,U.S. House,17,REP,Milam,419 - TISD,,,,8
Rick Kennedy,U.S. House,17,DEM,Milam,419 - TISD,,,,2
Ted Brown,U.S. House,17,LIB,Milam,419 - TISD,,,,0
Undervotes,U.S. House,17,,Milam,419 - TISD,,,,0
Overvotes,U.S. House,17,,Milam,419 - TISD,,,,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Milam,419 - TISD,,,,8
Chrysta Castaneda,Railroad Commissioner,,DEM,Milam,419 - TISD,,,,2
Matt Sterett,Railroad Commissioner,,LIB,Milam,419 - TISD,,,,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Milam,419 - TISD,,,,0
Undervotes,Railroad Commissioner,,,Milam,419 - TISD,,,,0
Overvotes,Railroad Commissioner,,,Milam,419 - TISD,,,,0
Terry M Wilson,State Representative,20,REP,Milam,419 - TISD,,,,8
Jessica Tiedt,State Representative,20,DEM,Milam,419 - TISD,,,,2
Undervotes,State Representative,20,,Milam,419 - TISD,,,,0
Overvotes,State Representative,20,,Milam,419 - TISD,,,,0
Registered Voters,,,,Milam,420 - TISD,,,,0
Ballots Cast,,,,Milam,420 - TISD,72,1216,210,1498
Donald J Trump,President,,REP,Milam,420 - TISD,,,,1207
Joseph R Biden,President,,DEM,Milam,420 - TISD,,,,270
Jo Jorgensen,President,,LIB,Milam,420 - TISD,,,,12
Howie Hawkins,President,,GRN,Milam,420 - TISD,,,,3
Todd Cella (W),President,,,Milam,420 - TISD,,,,0
Abram Loeb (W),President,,,Milam,420 - TISD,,,,0
Robert Morrow (W),President,,,Milam,420 - TISD,,,,0
Jesse Cuellar (W),President,,,Milam,420 - TISD,,,,0
Gloria La Riva (W),President,,,Milam,420 - TISD,,,,0
Tom Hoefling (W),President,,,Milam,420 - TISD,,,,0
Brian Carroll (W),President,,,Milam,420 - TISD,,,,0
Kasey Wells (W),President,,,Milam,420 - TISD,,,,0
President R. Boddie (W),President,,,Milam,420 - TISD,,,,0
Undervotes,President,,,Milam,420 - TISD,,,,6
Overvotes,President,,,Milam,420 - TISD,,,,0
John Cornyn,U.S. Senate,,REP,Milam,420 - TISD,,,,1168
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Milam,420 - TISD,,,,273
Kerry Douglas McKennon,U.S. Senate,,LIB,Milam,420 - TISD,,,,17
David B. Collins,U.S. Senate,,GRN,Milam,420 - TISD,,,,7
Ricardo Turullois-Bonilla (W),U.S. Senate,,,Milam,420 - TISD,,,,0
Undervotes,U.S. Senate,,,Milam,420 - TISD,,,,33
Overvotes,U.S. Senate,,,Milam,420 - TISD,,,,0
Pete Sessions,U.S. House,17,REP,Milam,420 - TISD,,,,1173
Rick Kennedy,U.S. House,17,DEM,Milam,420 - TISD,,,,253
Ted Brown,U.S. House,17,LIB,Milam,420 - TISD,,,,26
Undervotes,U.S. House,17,,Milam,420 - TISD,,,,46
Overvotes,U.S. House,17,,Milam,420 - TISD,,,,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Milam,420 - TISD,,,,1165
Chrysta Castaneda,Railroad Commissioner,,DEM,Milam,420 - TISD,,,,229
Matt Sterett,Railroad Commissioner,,LIB,Milam,420 - TISD,,,,27
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Milam,420 - TISD,,,,11
Undervotes,Railroad Commissioner,,,Milam,420 - TISD,,,,66
Overvotes,Railroad Commissioner,,,Milam,420 - TISD,,,,0
Terry M Wilson,State Representative,20,REP,Milam,420 - TISD,,,,1177
Jessica Tiedt,State Representative,20,DEM,Milam,420 - TISD,,,,256
Undervotes,State Representative,20,,Milam,420 - TISD,,,,65
Overvotes,State Representative,20,,Milam,420 - TISD,,,,0
Registered Voters,,,,Milam,101 - CCityW1,,,,0
Ballots Cast,,,,Milam,101 - CCityW1,30,187,42,259
Donald J Trump,President,,REP,Milam,101 - CCityW1,,,,181
Joseph R Biden,President,,DEM,Milam,101 - CCityW1,,,,75
Jo Jorgensen,President,,LIB,Milam,101 - CCityW1,,,,1
Howie Hawkins,President,,GRN,Milam,101 - CCityW1,,,,1
Todd Cella (W),President,,,Milam,101 - CCityW1,,,,0
Abram Loeb (W),President,,,Milam,101 - CCityW1,,,,0
Robert Morrow (W),President,,,Milam,101 - CCityW1,,,,0
Jesse Cuellar (W),President,,,Milam,101 - CCityW1,,,,0
Gloria La Riva (W),President,,,Milam,101 - CCityW1,,,,0
Tom Hoefling (W),President,,,Milam,101 - CCityW1,,,,0
Brian Carroll (W),President,,,Milam,101 - CCityW1,,,,0
Kasey Wells (W),President,,,Milam,101 - CCityW1,,,,0
President R. Boddie (W),President,,,Milam,101 - CCityW1,,,,0
Undervotes,President,,,Milam,101 - CCityW1,,,,0
Overvotes,President,,,Milam,101 - CCityW1,,,,1
John Cornyn,U.S. Senate,,REP,Milam,101 - CCityW1,,,,173
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Milam,101 - CCityW1,,,,71
Kerry Douglas McKennon,U.S. Senate,,LIB,Milam,101 - CCityW1,,,,6
David B. Collins,U.S. Senate,,GRN,Milam,101 - CCityW1,,,,1
Ricardo Turullois-Bonilla (W),U.S. Senate,,,Milam,101 - CCityW1,,,,0
Undervotes,U.S. Senate,,,Milam,101 - CCityW1,,,,8
Overvotes,U.S. Senate,,,Milam,101 - CCityW1,,,,0
Pete Sessions,U.S. House,17,REP,Milam,101 - CCityW1,,,,170
Rick Kennedy,U.S. House,17,DEM,Milam,101 - CCityW1,,,,72
Ted Brown,U.S. House,17,LIB,Milam,101 - CCityW1,,,,6
Undervotes,U.S. House,17,,Milam,101 - CCityW1,,,,11
Overvotes,U.S. House,17,,Milam,101 - CCityW1,,,,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Milam,101 - CCityW1,,,,166
Chrysta Castaneda,Railroad Commissioner,,DEM,Milam,101 - CCityW1,,,,66
Matt Sterett,Railroad Commissioner,,LIB,Milam,101 - CCityW1,,,,9
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Milam,101 - CCityW1,,,,4
Undervotes,Railroad Commissioner,,,Milam,101 - CCityW1,,,,14
Overvotes,Railroad Commissioner,,,Milam,101 - CCityW1,,,,0
Terry M Wilson,State Representative,20,REP,Milam,101 - CCityW1,,,,174
Jessica Tiedt,State Representative,20,DEM,Milam,101 - CCityW1,,,,70
Undervotes,State Representative,20,,Milam,101 - CCityW1,,,,15
Overvotes,State Representative,20,,Milam,101 - CCityW1,,,,0
Registered Voters,,,,Milam,101 - CCityW2,,,,0
Ballots Cast,,,,Milam,101 - CCityW2,63,416,61,540
Donald J Trump,President,,REP,Milam,101 - CCityW2,,,,426
Joseph R Biden,President,,DEM,Milam,101 - CCityW2,,,,107
Jo Jorgensen,President,,LIB,Milam,101 - CCityW2,,,,4
Howie Hawkins,President,,GRN,Milam,101 - CCityW2,,,,1
Todd Cella (W),President,,,Milam,101 - CCityW2,,,,0
Abram Loeb (W),President,,,Milam,101 - CCityW2,,,,0
Robert Morrow (W),President,,,Milam,101 - CCityW2,,,,0
Jesse Cuellar (W),President,,,Milam,101 - CCityW2,,,,0
Gloria La Riva (W),President,,,Milam,101 - CCityW2,,,,0
Tom Hoefling (W),President,,,Milam,101 - CCityW2,,,,0
Brian Carroll (W),President,,,Milam,101 - CCityW2,,,,0
Kasey Wells (W),President,,,Milam,101 - CCityW2,,,,0
President R. Boddie (W),President,,,Milam,101 - CCityW2,,,,0
Undervotes,President,,,Milam,101 - CCityW2,,,,2
Overvotes,President,,,Milam,101 - CCityW2,,,,0
John Cornyn,U.S. Senate,,REP,Milam,101 - CCityW2,,,,421
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Milam,101 - CCityW2,,,,95
Kerry Douglas McKennon,U.S. Senate,,LIB,Milam,101 - CCityW2,,,,4
David B. Collins,U.S. Senate,,GRN,Milam,101 - CCityW2,,,,0
Ricardo Turullois-Bonilla (W),U.S. Senate,,,Milam,101 - CCityW2,,,,0
Undervotes,U.S. Senate,,,Milam,101 - CCityW2,,,,20
Overvotes,U.S. Senate,,,Milam,101 - CCityW2,,,,0
Pete Sessions,U.S. House,17,REP,Milam,101 - CCityW2,,,,422
Rick Kennedy,U.S. House,17,DEM,Milam,101 - CCityW2,,,,92
Ted Brown,U.S. House,17,LIB,Milam,101 - CCityW2,,,,7
Undervotes,U.S. House,17,,Milam,101 - CCityW2,,,,19
Overvotes,U.S. House,17,,Milam,101 - CCityW2,,,,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Milam,101 - CCityW2,,,,411
Chrysta Castaneda,Railroad Commissioner,,DEM,Milam,101 - CCityW2,,,,85
Matt Sterett,Railroad Commissioner,,LIB,Milam,101 - CCityW2,,,,6
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Milam,101 - CCityW2,,,,2
Undervotes,Railroad Commissioner,,,Milam,101 - CCityW2,,,,36
Overvotes,Railroad Commissioner,,,Milam,101 - CCityW2,,,,0
Terry M Wilson,State Representative,20,REP,Milam,101 - CCityW2,,,,417
Jessica Tiedt,State Representative,20,DEM,Milam,101 - CCityW2,,,,83
Undervotes,State Representative,20,,Milam,101 - CCityW2,,,,40
Overvotes,State Representative,20,,Milam,101 - CCityW2,,,,0
Registered Voters,,,,Milam,101 - CCityW3,,,,0
Ballots Cast,,,,Milam,101 - CCityW3,26,180,39,245
Donald J Trump,President,,REP,Milam,101 - CCityW3,,,,169
Joseph R Biden,President,,DEM,Milam,101 - CCityW3,,,,70
Jo Jorgensen,President,,LIB,Milam,101 - CCityW3,,,,2
Howie Hawkins,President,,GRN,Milam,101 - CCityW3,,,,0
Todd Cella (W),President,,,Milam,101 - CCityW3,,,,0
Abram Loeb (W),President,,,Milam,101 - CCityW3,,,,0
Robert Morrow (W),President,,,Milam,101 - CCityW3,,,,0
Jesse Cuellar (W),President,,,Milam,101 - CCityW3,,,,0
Gloria La Riva (W),President,,,Milam,101 - CCityW3,,,,0
Tom Hoefling (W),President,,,Milam,101 - CCityW3,,,,0
Brian Carroll (W),President,,,Milam,101 - CCityW3,,,,0
Kasey Wells (W),President,,,Milam,101 - CCityW3,,,,0
President R. Boddie (W),President,,,Milam,101 - CCityW3,,,,0
Undervotes,President,,,Milam,101 - CCityW3,,,,3
Overvotes,President,,,Milam,101 - CCityW3,,,,1
John Cornyn,U.S. Senate,,REP,Milam,101 - CCityW3,,,,173
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Milam,101 - CCityW3,,,,63
Kerry Douglas McKennon,U.S. Senate,,LIB,Milam,101 - CCityW3,,,,3
David B. Collins,U.S. Senate,,GRN,Milam,101 - CCityW3,,,,1
Ricardo Turullois-Bonilla (W),U.S. Senate,,,Milam,101 - CCityW3,,,,0
Undervotes,U.S. Senate,,,Milam,101 - CCityW3,,,,4
Overvotes,U.S. Senate,,,Milam,101 - CCityW3,,,,1
Pete Sessions,U.S. House,17,REP,Milam,101 - CCityW3,,,,169
Rick Kennedy,U.S. House,17,DEM,Milam,101 - CCityW3,,,,63
Ted Brown,U.S. House,17,LIB,Milam,101 - CCityW3,,,,6
Undervotes,U.S. House,17,,Milam,101 - CCityW3,,,,7
Overvotes,U.S. House,17,,Milam,101 - CCityW3,,,,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Milam,101 - CCityW3,,,,164
Chrysta Castaneda,Railroad Commissioner,,DEM,Milam,101 - CCityW3,,,,64
Matt Sterett,Railroad Commissioner,,LIB,Milam,101 - CCityW3,,,,3
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Milam,101 - CCityW3,,,,2
Undervotes,Railroad Commissioner,,,Milam,101 - CCityW3,,,,12
Overvotes,Railroad Commissioner,,,Milam,101 - CCityW3,,,,0
Terry M Wilson,State Representative,20,REP,Milam,101 - CCityW3,,,,168
Jessica Tiedt,State Representative,20,DEM,Milam,101 - CCityW3,,,,61
Undervotes,State Representative,20,,Milam,101 - CCityW3,,,,16
Overvotes,State Representative,20,,Milam,101 - CCityW3,,,,0
Registered Voters,,,,Milam,101 - CCityW4,,,,0
Ballots Cast,,,,Milam,101 - CCityW4,1,16,2,19
Donald J Trump,President,,REP,Milam,101 - CCityW4,,,,13
Joseph R Biden,President,,DEM,Milam,101 - CCityW4,,,,6
Jo Jorgensen,President,,LIB,Milam,101 - CCityW4,,,,0
Howie Hawkins,President,,GRN,Milam,101 - CCityW4,,,,0
Todd Cella (W),President,,,Milam,101 - CCityW4,,,,0
Abram Loeb (W),President,,,Milam,101 - CCityW4,,,,0
Robert Morrow (W),President,,,Milam,101 - CCityW4,,,,0
Jesse Cuellar (W),President,,,Milam,101 - CCityW4,,,,0
Gloria La Riva (W),President,,,Milam,101 - CCityW4,,,,0
Tom Hoefling (W),President,,,Milam,101 - CCityW4,,,,0
Brian Carroll (W),President,,,Milam,101 - CCityW4,,,,0
Kasey Wells (W),President,,,Milam,101 - CCityW4,,,,0
President R. Boddie (W),President,,,Milam,101 - CCityW4,,,,0
Undervotes,President,,,Milam,101 - CCityW4,,,,0
Overvotes,President,,,Milam,101 - CCityW4,,,,0
John Cornyn,U.S. Senate,,REP,Milam,101 - CCityW4,,,,11
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Milam,101 - CCityW4,,,,5
Kerry Douglas McKennon,U.S. Senate,,LIB,Milam,101 - CCityW4,,,,1
