county,precinct,office,district,party,candidate,votes,mail,early_voting_paper,early_voting_ivo,election_day_paper,election_day_ivo,early_voting,election_day
Hill,PCT 13,President,,DEM,Tom Steyer,0,0,0,0,0,0,0,0
Hill,PCT 13,President,,DEM,Elizabeth Warren,9,1,2,1,2,3,3,5
Hill,PCT 13,President,,DEM,Amy Klobuchar,1,0,0,1,0,0,1,0
Hill,PCT 13,President,,DEM,Julian Castro,0,0,0,0,0,0,0,0
Hill,PCT 13,President,,DEM,Marianne Williamson,0,0,0,0,0,0,0,0
Hill,PCT 13,President,,DEM,Andrew Yang,2,0,0,1,0,1,1,1
Hill,PCT 13,President,,DEM,Robby Wells,0,0,0,0,0,0,0,0
Hill,PCT 13,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0,0,0,0,0
Hill,PCT 13,President,,DEM,Pete Buttigieg,1,0,0,1,0,0,1,0
Hill,PCT 13,President,,DEM,Michael Bennet,0,0,0,0,0,0,0,0
Hill,PCT 13,President,,DEM,Joseph R. Biden,56,6,2,4,21,23,6,44
Hill,PCT 13,President,,DEM,Tulsi Gabbard,0,0,0,0,0,0,0,0
Hill,PCT 13,U.S. Senate,,DEM,Royce West,21,1,1,5,8,6,6,14
Hill,PCT 13,U.S. Senate,,DEM,D. R. Hunter,5,0,0,3,1,1,3,2
Hill,PCT 13,U.S. Senate,,DEM,Michael Cooper,3,1,0,2,0,0,2,0
Hill,PCT 13,U.S. Senate,,DEM,Adrian Ocegueda,4,0,0,1,1,2,1,3
Hill,PCT 13,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,6,0,0,1,2,3,1,5
Hill,PCT 13,U.S. Senate,,DEM,Sema Hernandez,3,0,0,0,1,2,0,3
Hill,PCT 13,U.S. Senate,,DEM,"Jack Daniel Foster, Jr.",0,0,0,0,0,0,0,0
Hill,PCT 13,U.S. Senate,,DEM,Mary (MJ) Hegar,39,8,6,2,16,7,8,23
Hill,PCT 13,U.S. Senate,,DEM,Amanda K. Edwards,13,1,2,3,3,4,5,7
Hill,PCT 13,U.S. Senate,,DEM,Victor Hugo Harris,2,0,0,2,0,0,2,0
Hill,PCT 13,U.S. Senate,,DEM,Chris Bell,10,0,1,0,4,5,1,9
Hill,PCT 13,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",5,2,0,0,1,2,0,3
Hill,PCT 13,U.S. House,25,DEM,Julie Oliver,84,10,6,16,29,23,22,52
Hill,PCT 13,U.S. House,25,DEM,Heidi Sloan,18,1,4,3,6,4,7,10
Hill,PCT 13,Railroad Commissioner,,DEM,Mark Watson,39,6,4,8,16,5,12,21
Hill,PCT 13,Railroad Commissioner,,DEM,Kelly Stone,28,0,2,5,7,14,7,21
Hill,PCT 13,Railroad Commissioner,,DEM,"Roberto R. ""Beto"" Alonzo",17,4,2,1,5,5,3,10
Hill,PCT 13,Railroad Commissioner,,DEM,Chrysta Castaneda,21,2,0,5,7,7,5,14
Hill,PCT 13,"Chief Justice, Supreme Court",,DEM,Jerry Zimmerer,29,1,2,8,13,5,10,18
Hill,PCT 13,"Chief Justice, Supreme Court",,DEM,Amy Clark Meachum,76,11,6,11,21,27,17,48
Hill,PCT 13,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,78,6,6,13,23,30,19,53
Hill,PCT 13,"Justice, Supreme Court, Place 6",,DEM,Larry Praeger,32,6,2,7,14,3,9,17
Hill,PCT 13,"Justice, Supreme Court, P7",,DEM,Staci Williams,79,11,7,15,21,25,22,46
Hill,PCT 13,"Justice, Supreme Court, P7",,DEM,Brandy Voss,25,1,1,3,15,5,4,20
Hill,PCT 13,"Justice, Supreme Court, P8",,DEM,Peter Kelly,48,6,5,9,20,8,14,28
Hill,PCT 13,"Justice, Supreme Court, P8",,DEM,Gisela D. Triana,54,6,3,8,15,22,11,37
Hill,PCT 13,"Judge, CT of Criminal Appeals, P3",,DEM,Elizabeth Davis Frizell,75,9,7,12,24,23,19,47
Hill,PCT 13,"Judge, CT of Criminal Appeals, P3",,DEM,William Pieratt Demond,8,0,0,3,3,2,3,5
Hill,PCT 13,"Judge, CT of Criminal Appeals, P3",,DEM,Dan Wood,18,3,1,2,10,2,3,12
Hill,PCT 13,"Judge, CT of Criminal Appeals, P4",,DEM,Tina Clinton,84,12,6,13,28,25,19,53
Hill,PCT 13,"Judge, CT of Criminal Appeals, P4",,DEM,Steven Miears,21,0,2,6,9,4,8,13
Hill,PCT 13,"Judge, CT of Criminal Appeals, P9",,DEM,Brandon Birmingham,91,10,7,15,34,25,22,59
Hill,PCT 13,"Member, State BoE Dist 14",,DEM,Greg Alvord,88,10,7,13,34,24,20,58
Hill,PCT 13,County Chair,,DEM,Thomas Hanson,91,10,7,14,34,26,21,60
Hill,PCT 13,Proposition #1,,DEM,Yes,109,13,10,16,31,39,26,70
Hill,PCT 13,Proposition #1,,DEM,No,7,0,0,4,3,0,4,3
Hill,PCT 13,Proposition #2,,DEM,Yes,101,13,9,14,29,36,23,65
Hill,PCT 13,Proposition #2,,DEM,No,14,0,0,6,5,3,6,8
Hill,PCT 13,Proposition #3,,DEM,Yes,112,13,9,18,32,40,27,72
Hill,PCT 13,Proposition #3,,DEM,No,4,0,0,2,2,0,2,2
Hill,PCT 13,Proposition #4,,DEM,Yes,114,13,9,19,33,40,28,73
Hill,PCT 13,Proposition #4,,DEM,No,4,0,0,1,2,1,1,3
Hill,PCT 13,Proposition #5,,DEM,Yes,112,13,10,19,30,40,29,70
Hill,PCT 13,Proposition #5,,DEM,No,5,0,0,1,4,0,1,4
Hill,PCT 13,Proposition #6,,DEM,Yes,111,13,10,18,31,39,28,70
Hill,PCT 13,Proposition #6,,DEM,No,5,0,0,2,3,0,2,3
Hill,PCT 13,Proposition #7,,DEM,Yes,106,13,10,16,31,36,26,67
Hill,PCT 13,Proposition #7,,DEM,No,10,0,0,3,3,4,3,7
Hill,PCT 13,Proposition #8,,DEM,Yes,105,13,10,17,25,40,27,65
Hill,PCT 13,Proposition #8,,DEM,No,12,0,0,3,9,0,3,9
Hill,PCT 13,Proposition #9,,DEM,Yes,111,12,10,19,30,40,29,70
Hill,PCT 13,Proposition #9,,DEM,No,7,1,0,1,4,1,1,5
Hill,PCT 13,Proposition #10,,DEM,Yes,110,13,10,18,29,40,28,69
Hill,PCT 13,Proposition #10,,DEM,No,6,0,0,1,4,1,1,5
Hill,PCT 13,Proposition #11,,DEM,Yes,101,13,10,15,27,36,25,63
Hill,PCT 13,Proposition #11,,DEM,No,13,0,0,4,5,4,4,9
Hill,PCT 14,Registered Voters,,,,1071,,,,,,0,0
Hill,PCT 14,Ballots Cast,,DEM,,38,3,5,10,11,9,15,20
Hill,PCT 14,President,,DEM,Bernie Sanders,7,1,0,0,3,3,0,6
Hill,PCT 14,President,,DEM,John K. Delaney,0,0,0,0,0,0,0,0
Hill,PCT 14,President,,DEM,Michael R. Bloomberg,6,1,1,0,3,1,1,4
Hill,PCT 14,President,,DEM,Cory Booker,0,0,0,0,0,0,0,0
Hill,PCT 14,President,,DEM,Deval Patrick,0,0,0,0,0,0,0,0
Hill,PCT 14,President,,DEM,Tom Steyer,1,0,0,0,0,1,0,1
Hill,PCT 14,President,,DEM,Elizabeth Warren,4,1,0,2,0,1,2,1
Hill,PCT 14,President,,DEM,Amy Klobuchar,1,0,0,1,0,0,1,0
Hill,PCT 14,President,,DEM,Julian Castro,0,0,0,0,0,0,0,0
Hill,PCT 14,President,,DEM,Marianne Williamson,0,0,0,0,0,0,0,0
Hill,PCT 14,President,,DEM,Andrew Yang,0,0,0,0,0,0,0,0
Hill,PCT 14,President,,DEM,Robby Wells,0,0,0,0,0,0,0,0
Hill,PCT 14,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0,0,0,0,0
Hill,PCT 14,President,,DEM,Pete Buttigieg,4,0,1,3,0,0,4,0
Hill,PCT 14,President,,DEM,Michael Bennet,0,0,0,0,0,0,0,0
Hill,PCT 14,President,,DEM,Joseph R. Biden,15,0,3,4,5,3,7,8
Hill,PCT 14,President,,DEM,Tulsi Gabbard,0,0,0,0,0,0,0,0
Hill,PCT 14,U.S. Senate,,DEM,Royce West,8,0,2,0,4,2,2,6
Hill,PCT 14,U.S. Senate,,DEM,D. R. Hunter,0,0,0,0,0,0,0,0
Hill,PCT 14,U.S. Senate,,DEM,Michael Cooper,2,1,0,0,0,1,0,1
Hill,PCT 14,U.S. Senate,,DEM,Adrian Ocegueda,0,0,0,0,0,0,0,0
Hill,PCT 14,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,2,0,0,0,2,0,0,2
Hill,PCT 14,U.S. Senate,,DEM,Sema Hernandez,0,0,0,0,0,0,0,0
Hill,PCT 14,U.S. Senate,,DEM,"Jack Daniel Foster, Jr.",1,0,0,0,1,0,0,1
Hill,PCT 14,U.S. Senate,,DEM,Mary (MJ) Hegar,16,1,2,8,3,2,10,5
Hill,PCT 14,U.S. Senate,,DEM,Amanda K. Edwards,2,1,0,0,0,1,0,1
Hill,PCT 14,U.S. Senate,,DEM,Victor Hugo Harris,0,0,0,0,0,0,0,0
Hill,PCT 14,U.S. Senate,,DEM,Chris Bell,1,0,0,0,1,0,0,1
Hill,PCT 14,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",0,0,0,0,0,0,0,0
Hill,PCT 14,U.S. House,25,DEM,Julie Oliver,19,0,4,5,7,3,9,10
Hill,PCT 14,U.S. House,25,DEM,Heidi Sloan,14,3,1,3,4,3,4,7
Hill,PCT 14,Railroad Commissioner,,DEM,Mark Watson,13,2,3,0,4,4,3,8
Hill,PCT 14,Railroad Commissioner,,DEM,Kelly Stone,12,0,2,7,2,1,9,3
Hill,PCT 14,Railroad Commissioner,,DEM,"Roberto R. ""Beto"" Alonzo",3,0,0,0,3,0,0,3
Hill,PCT 14,Railroad Commissioner,,DEM,Chrysta Castaneda,6,1,0,2,2,1,2,3
Hill,PCT 14,"Chief Justice, Supreme Court",,DEM,Jerry Zimmerer,8,1,2,0,5,0,2,5
Hill,PCT 14,"Chief Justice, Supreme Court",,DEM,Amy Clark Meachum,25,2,3,8,6,6,11,12
Hill,PCT 14,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,22,2,2,7,7,4,9,11
Hill,PCT 14,"Justice, Supreme Court, Place 6",,DEM,Larry Praeger,11,1,2,2,4,2,4,6
Hill,PCT 14,"Justice, Supreme Court, P7",,DEM,Staci Williams,18,2,3,4,6,3,7,9
Hill,PCT 14,"Justice, Supreme Court, P7",,DEM,Brandy Voss,13,1,1,4,4,3,5,7
Hill,PCT 14,"Justice, Supreme Court, P8",,DEM,Peter Kelly,17,2,4,2,6,3,6,9
Hill,PCT 14,"Justice, Supreme Court, P8",,DEM,Gisela D. Triana,13,1,0,6,4,2,6,6
Hill,PCT 14,"Judge, CT of Criminal Appeals, P3",,DEM,Elizabeth Davis Frizell,19,1,2,6,6,4,8,10
Hill,PCT 14,"Judge, CT of Criminal Appeals, P3",,DEM,William Pieratt Demond,5,0,0,2,2,1,2,3
Hill,PCT 14,"Judge, CT of Criminal Appeals, P3",,DEM,Dan Wood,6,2,2,0,2,0,2,2
Hill,PCT 14,"Judge, CT of Criminal Appeals, P4",,DEM,Tina Clinton,18,2,2,6,4,4,8,8
Hill,PCT 14,"Judge, CT of Criminal Appeals, P4",,DEM,Steven Miears,12,1,2,2,6,1,4,7
Hill,PCT 14,"Judge, CT of Criminal Appeals, P9",,DEM,Brandon Birmingham,28,3,4,8,8,5,12,13
Hill,PCT 14,"Member, State BoE Dist 14",,DEM,Greg Alvord,27,3,4,7,8,5,11,13
Hill,PCT 14,County Chair,,DEM,Thomas Hanson,29,3,4,9,8,5,13,13
Hill,PCT 14,Proposition #1,,DEM,Yes,32,3,3,10,9,7,13,16
Hill,PCT 14,Proposition #1,,DEM,No,4,0,2,0,2,0,2,2
Hill,PCT 14,Proposition #2,,DEM,Yes,32,3,4,9,9,7,13,16
Hill,PCT 14,Proposition #2,,DEM,No,3,0,1,0,2,0,1,2
Hill,PCT 14,Proposition #3,,DEM,Yes,36,3,4,10,10,9,14,19
Hill,PCT 14,Proposition #3,,DEM,No,2,0,1,0,1,0,1,1
Hill,PCT 14,Proposition #4,,DEM,Yes,36,3,4,10,10,9,14,19
Hill,PCT 14,Proposition #4,,DEM,No,2,0,1,0,1,0,1,1
Hill,PCT 14,Proposition #5,,DEM,Yes,35,3,5,10,9,8,15,17
Hill,PCT 14,Proposition #5,,DEM,No,3,0,0,0,2,1,0,3
Hill,PCT 14,Proposition #6,,DEM,Yes,36,3,5,10,9,9,15,18
Hill,PCT 14,Proposition #6,,DEM,No,1,0,0,0,1,0,0,1
Hill,PCT 14,Proposition #7,,DEM,Yes,32,3,3,9,8,9,12,17
Hill,PCT 14,Proposition #7,,DEM,No,4,0,2,0,2,0,2,2
Hill,PCT 14,Proposition #8,,DEM,Yes,33,3,4,10,9,7,14,16
Hill,PCT 14,Proposition #8,,DEM,No,4,0,1,0,2,1,1,3
Hill,PCT 14,Proposition #9,,DEM,Yes,35,3,5,10,9,8,15,17
Hill,PCT 14,Proposition #9,,DEM,No,2,0,0,0,2,0,0,2
Hill,PCT 14,Proposition #10,,DEM,Yes,34,3,4,10,9,8,14,17
Hill,PCT 14,Proposition #10,,DEM,No,2,0,1,0,1,0,1,1
Hill,PCT 14,Proposition #11,,DEM,Yes,30,3,4,6,10,7,10,17
Hill,PCT 14,Proposition #11,,DEM,No,5,0,1,2,1,1,3,2
Hill,PCT 15,Registered Voters,,,,429,,,,,,0,0
Hill,PCT 15,Ballots Cast,,DEM,,15,4,0,1,7,3,1,10
Hill,PCT 15,President,,DEM,Bernie Sanders,5,1,0,0,3,1,0,4
Hill,PCT 15,President,,DEM,John K. Delaney,0,0,0,0,0,0,0,0
Hill,PCT 15,President,,DEM,Michael R. Bloomberg,5,2,0,0,2,1,0,3
Hill,PCT 15,President,,DEM,Cory Booker,0,0,0,0,0,0,0,0
Hill,PCT 15,President,,DEM,Deval Patrick,0,0,0,0,0,0,0,0
Hill,PCT 15,President,,DEM,Tom Steyer,0,0,0,0,0,0,0,0
Hill,PCT 15,President,,DEM,Elizabeth Warren,1,0,0,0,0,1,0,1
Hill,PCT 15,President,,DEM,Amy Klobuchar,0,0,0,0,0,0,0,0
Hill,PCT 15,President,,DEM,Julian Castro,0,0,0,0,0,0,0,0
Hill,PCT 15,President,,DEM,Marianne Williamson,0,0,0,0,0,0,0,0
Hill,PCT 15,President,,DEM,Andrew Yang,0,0,0,0,0,0,0,0
Hill,PCT 15,President,,DEM,Robby Wells,0,0,0,0,0,0,0,0
Hill,PCT 15,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0,0,0,0,0
Hill,PCT 15,President,,DEM,Pete Buttigieg,0,0,0,0,0,0,0,0
Hill,PCT 15,President,,DEM,Michael Bennet,0,0,0,0,0,0,0,0
Hill,PCT 15,President,,DEM,Joseph R. Biden,4,1,0,1,2,0,1,2
Hill,PCT 15,President,,DEM,Tulsi Gabbard,0,0,0,0,0,0,0,0
Hill,PCT 15,U.S. Senate,,DEM,Royce West,1,0,0,0,1,0,0,1
Hill,PCT 15,U.S. Senate,,DEM,D. R. Hunter,1,0,0,0,1,0,0,1
Hill,PCT 15,U.S. Senate,,DEM,Michael Cooper,1,0,0,0,0,1,0,1
Hill,PCT 15,U.S. Senate,,DEM,Adrian Ocegueda,1,0,0,0,1,0,0,1
Hill,PCT 15,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,1,0,0,0,0,1,0,1
Hill,PCT 15,U.S. Senate,,DEM,Sema Hernandez,0,0,0,0,0,0,0,0
Hill,PCT 15,U.S. Senate,,DEM,"Jack Daniel Foster, Jr.",1,0,0,0,1,0,0,1
Hill,PCT 15,U.S. Senate,,DEM,Mary (MJ) Hegar,3,3,0,0,0,0,0,0
Hill,PCT 15,U.S. Senate,,DEM,Amanda K. Edwards,0,0,0,0,0,0,0,0
Hill,PCT 15,U.S. Senate,,DEM,Victor Hugo Harris,0,0,0,0,0,0,0,0
Hill,PCT 15,U.S. Senate,,DEM,Chris Bell,1,0,0,0,1,0,0,1
Hill,PCT 15,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",1,0,0,0,1,0,0,1
Hill,PCT 15,U.S. House,25,DEM,Julie Oliver,6,3,0,0,2,1,0,3
Hill,PCT 15,U.S. House,25,DEM,Heidi Sloan,5,1,0,0,4,0,0,4
Hill,PCT 15,Railroad Commissioner,,DEM,Mark Watson,5,3,0,0,2,0,0,2
Hill,PCT 15,Railroad Commissioner,,DEM,Kelly Stone,4,0,0,0,3,1,0,4
Hill,PCT 15,Railroad Commissioner,,DEM,"Roberto R. ""Beto"" Alonzo",1,1,0,0,0,0,0,0
Hill,PCT 15,Railroad Commissioner,,DEM,Chrysta Castaneda,2,0,0,0,1,1,0,2
Hill,PCT 15,"Chief Justice, Supreme Court",,DEM,Jerry Zimmerer,6,2,0,0,3,1,0,4
Hill,PCT 15,"Chief Justice, Supreme Court",,DEM,Amy Clark Meachum,6,2,0,0,3,1,0,4
Hill,PCT 15,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,5,2,0,0,2,1,0,3
Hill,PCT 15,"Justice, Supreme Court, Place 6",,DEM,Larry Praeger,6,2,0,0,3,1,0,4
Hill,PCT 15,"Justice, Supreme Court, P7",,DEM,Staci Williams,9,4,0,0,3,2,0,5
Hill,PCT 15,"Justice, Supreme Court, P7",,DEM,Brandy Voss,2,0,0,0,2,0,0,2
Hill,PCT 15,"Justice, Supreme Court, P8",,DEM,Peter Kelly,7,2,0,0,4,1,0,5
Hill,PCT 15,"Justice, Supreme Court, P8",,DEM,Gisela D. Triana,3,1,0,0,1,1,0,2
Hill,PCT 15,"Judge, CT of Criminal Appeals, P3",,DEM,Elizabeth Davis Frizell,4,2,0,0,1,1,0,2
Hill,PCT 15,"Judge, CT of Criminal Appeals, P3",,DEM,William Pieratt Demond,3,0,0,0,2,1,0,3
Hill,PCT 15,"Judge, CT of Criminal Appeals, P3",,DEM,Dan Wood,4,2,0,0,2,0,0,2
Hill,PCT 15,"Judge, CT of Criminal Appeals, P4",,DEM,Tina Clinton,6,3,0,0,2,1,0,3
Hill,PCT 15,"Judge, CT of Criminal Appeals, P4",,DEM,Steven Miears,5,1,0,0,3,1,0,4
Hill,PCT 15,"Judge, CT of Criminal Appeals, P9",,DEM,Brandon Birmingham,10,4,0,0,5,1,0,6
Hill,PCT 15,"Member, State BoE Dist 14",,DEM,Greg Alvord,10,4,0,0,4,2,0,6
Hill,PCT 15,County Chair,,DEM,Thomas Hanson,11,4,0,0,5,2,0,7
Hill,PCT 15,Proposition #1,,DEM,Yes,10,4,0,1,3,2,1,5
Hill,PCT 15,Proposition #1,,DEM,No,4,0,0,0,3,1,0,4
Hill,PCT 15,Proposition #2,,DEM,Yes,11,4,0,1,4,2,1,6
Hill,PCT 15,Proposition #2,,DEM,No,4,0,0,0,3,1,0,4
Hill,PCT 15,Proposition #3,,DEM,Yes,12,4,0,1,5,2,1,7
Hill,PCT 15,Proposition #3,,DEM,No,2,0,0,0,1,1,0,2
Hill,PCT 15,Proposition #4,,DEM,Yes,10,4,0,1,3,2,1,5
Hill,PCT 15,Proposition #4,,DEM,No,4,0,0,0,3,1,0,4
Hill,PCT 15,Proposition #5,,DEM,Yes,10,4,0,1,3,2,1,5
Hill,PCT 15,Proposition #5,,DEM,No,4,0,0,0,3,1,0,4
Hill,PCT 15,Proposition #6,,DEM,Yes,10,4,0,1,3,2,1,5
Hill,PCT 15,Proposition #6,,DEM,No,4,0,0,0,3,1,0,4
Hill,PCT 15,Proposition #7,,DEM,Yes,10,4,0,1,3,2,1,5
Hill,PCT 15,Proposition #7,,DEM,No,4,0,0,0,3,1,0,4
Hill,PCT 15,Proposition #8,,DEM,Yes,10,4,0,1,3,2,1,5
Hill,PCT 15,Proposition #8,,DEM,No,4,0,0,0,3,1,0,4
Hill,PCT 15,Proposition #9,,DEM,Yes,10,4,0,1,3,2,1,5
Hill,PCT 15,Proposition #9,,DEM,No,4,0,0,0,3,1,0,4
Hill,PCT 15,Proposition #10,,DEM,Yes,9,4,0,1,2,2,1,4
Hill,PCT 15,Proposition #10,,DEM,No,5,0,0,0,4,1,0,5
Hill,PCT 15,Proposition #11,,DEM,Yes,12,4,0,1,5,2,1,7
Hill,PCT 15,Proposition #11,,DEM,No,2,0,0,0,1,1,0,2
Hill,PCT 16,Registered Voters,,,,371,,,,,,0,0
Hill,PCT 16,Ballots Cast,,DEM,,20,0,0,1,13,6,1,19
Hill,PCT 16,President,,DEM,Bernie Sanders,4,0,0,1,2,1,1,3
Hill,PCT 16,President,,DEM,John K. Delaney,0,0,0,0,0,0,0,0
Hill,PCT 16,President,,DEM,Michael R. Bloomberg,0,0,0,0,0,0,0,0
Hill,PCT 16,President,,DEM,Cory Booker,0,0,0,0,0,0,0,0
Hill,PCT 16,President,,DEM,Deval Patrick,0,0,0,0,0,0,0,0
Hill,PCT 16,President,,DEM,Tom Steyer,0,0,0,0,0,0,0,0
Hill,PCT 16,President,,DEM,Elizabeth Warren,2,0,0,0,1,1,0,2
Hill,PCT 16,President,,DEM,Amy Klobuchar,0,0,0,0,0,0,0,0
Hill,PCT 16,President,,DEM,Julian Castro,0,0,0,0,0,0,0,0
Hill,PCT 16,President,,DEM,Marianne Williamson,0,0,0,0,0,0,0,0
Hill,PCT 16,President,,DEM,Andrew Yang,0,0,0,0,0,0,0,0
Hill,PCT 16,President,,DEM,Robby Wells,0,0,0,0,0,0,0,0
Hill,PCT 16,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0,0,0,0,0
Hill,PCT 16,President,,DEM,Pete Buttigieg,0,0,0,0,0,0,0,0
Hill,PCT 16,President,,DEM,Michael Bennet,1,0,0,0,1,0,0,1
Hill,PCT 16,President,,DEM,Joseph R. Biden,12,0,0,0,8,4,0,12
Hill,PCT 16,President,,DEM,Tulsi Gabbard,1,0,0,0,1,0,0,1
Hill,PCT 16,U.S. Senate,,DEM,Royce West,2,0,0,0,2,0,0,2
Hill,PCT 16,U.S. Senate,,DEM,D. R. Hunter,1,0,0,0,1,0,0,1
Hill,PCT 16,U.S. Senate,,DEM,Michael Cooper,1,0,0,0,1,0,0,1
Hill,PCT 16,U.S. Senate,,DEM,Adrian Ocegueda,0,0,0,0,0,0,0,0
Hill,PCT 16,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,0,0,0,0,0,0,0,0
Hill,PCT 16,U.S. Senate,,DEM,Sema Hernandez,2,0,0,0,2,0,0,2
Hill,PCT 16,U.S. Senate,,DEM,"Jack Daniel Foster, Jr.",1,0,0,0,1,0,0,1
Hill,PCT 16,U.S. Senate,,DEM,Mary (MJ) Hegar,5,0,0,1,1,3,1,4
Hill,PCT 16,U.S. Senate,,DEM,Amanda K. Edwards,0,0,0,0,0,0,0,0
Hill,PCT 16,U.S. Senate,,DEM,Victor Hugo Harris,0,0,0,0,0,0,0,0
Hill,PCT 16,U.S. Senate,,DEM,Chris Bell,2,0,0,0,1,1,0,2
Hill,PCT 16,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",2,0,0,0,2,0,0,2
Hill,PCT 16,U.S. House,25,DEM,Julie Oliver,8,0,0,0,7,1,0,8
Hill,PCT 16,U.S. House,25,DEM,Heidi Sloan,7,0,0,1,4,2,1,6
Hill,PCT 16,Railroad Commissioner,,DEM,Mark Watson,5,0,0,0,3,2,0,5
Hill,PCT 16,Railroad Commissioner,,DEM,Kelly Stone,8,0,0,1,6,1,1,7
Hill,PCT 16,Railroad Commissioner,,DEM,"Roberto R. ""Beto"" Alonzo",1,0,0,0,1,0,0,1
Hill,PCT 16,Railroad Commissioner,,DEM,Chrysta Castaneda,2,0,0,0,1,1,0,2
Hill,PCT 16,"Chief Justice, Supreme Court",,DEM,Jerry Zimmerer,3,0,0,0,3,0,0,3
Hill,PCT 16,"Chief Justice, Supreme Court",,DEM,Amy Clark Meachum,10,0,0,1,6,3,1,9
Hill,PCT 16,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,8,0,0,1,5,2,1,7
Hill,PCT 16,"Justice, Supreme Court, Place 6",,DEM,Larry Praeger,7,0,0,0,6,1,0,7
Hill,PCT 16,"Justice, Supreme Court, P7",,DEM,Staci Williams,11,0,0,0,8,3,0,11
Hill,PCT 16,"Justice, Supreme Court, P7",,DEM,Brandy Voss,4,0,0,1,3,0,1,3
Hill,PCT 16,"Justice, Supreme Court, P8",,DEM,Peter Kelly,6,0,0,0,5,1,0,6
Hill,PCT 16,"Justice, Supreme Court, P8",,DEM,Gisela D. Triana,9,0,0,1,6,2,1,8
Hill,PCT 16,"Judge, CT of Criminal Appeals, P3",,DEM,Elizabeth Davis Frizell,11,0,0,1,7,3,1,10
Hill,PCT 16,"Judge, CT of Criminal Appeals, P3",,DEM,William Pieratt Demond,0,0,0,0,0,0,0,0
Hill,PCT 16,"Judge, CT of Criminal Appeals, P3",,DEM,Dan Wood,3,0,0,0,3,0,0,3
Hill,PCT 16,"Judge, CT of Criminal Appeals, P4",,DEM,Tina Clinton,8,0,0,1,5,2,1,7
Hill,PCT 16,"Judge, CT of Criminal Appeals, P4",,DEM,Steven Miears,5,0,0,0,4,1,0,5
Hill,PCT 16,"Judge, CT of Criminal Appeals, P9",,DEM,Brandon Birmingham,14,0,0,1,10,3,1,13
Hill,PCT 16,"Member, State BoE Dist 14",,DEM,Greg Alvord,13,0,0,1,9,3,1,12
Hill,PCT 16,County Chair,,DEM,Thomas Hanson,14,0,0,1,10,3,1,13
Hill,PCT 16,Proposition #1,,DEM,Yes,13,0,0,1,7,5,1,12
Hill,PCT 16,Proposition #1,,DEM,No,4,0,0,0,4,0,0,4
Hill,PCT 16,Proposition #2,,DEM,Yes,14,0,0,1,9,4,1,13
Hill,PCT 16,Proposition #2,,DEM,No,3,0,0,0,2,1,0,3
Hill,PCT 16,Proposition #3,,DEM,Yes,16,0,0,1,10,5,1,15
Hill,PCT 16,Proposition #3,,DEM,No,1,0,0,0,1,0,0,1
Hill,PCT 16,Proposition #4,,DEM,Yes,14,0,0,1,8,5,1,13
Hill,PCT 16,Proposition #4,,DEM,No,3,0,0,0,3,0,0,3
Hill,PCT 16,Proposition #5,,DEM,Yes,15,0,0,1,10,4,1,14
Hill,PCT 16,Proposition #5,,DEM,No,2,0,0,0,1,1,0,2
Hill,PCT 16,Proposition #6,,DEM,Yes,13,0,0,1,8,4,1,12
Hill,PCT 16,Proposition #6,,DEM,No,3,0,0,0,2,1,0,3
Hill,PCT 16,Proposition #7,,DEM,Yes,12,0,0,1,7,4,1,11
Hill,PCT 16,Proposition #7,,DEM,No,4,0,0,0,3,1,0,4
Hill,PCT 16,Proposition #8,,DEM,Yes,14,0,0,1,8,5,1,13
Hill,PCT 16,Proposition #8,,DEM,No,3,0,0,0,3,0,0,3
Hill,PCT 16,Proposition #9,,DEM,Yes,16,0,0,1,10,5,1,15
Hill,PCT 16,Proposition #9,,DEM,No,1,0,0,0,1,0,0,1
Hill,PCT 16,Proposition #10,,DEM,Yes,12,0,0,1,7,4,1,11
Hill,PCT 16,Proposition #10,,DEM,No,5,0,0,0,4,1,0,5
Hill,PCT 16,Proposition #11,,DEM,Yes,13,0,0,1,7,5,1,12
Hill,PCT 16,Proposition #11,,DEM,No,4,0,0,0,4,0,0,4
Hill,PCT 18,Registered Voters,,,,201,,,,,,0,0
Hill,PCT 18,Ballots Cast,,DEM,,5,1,0,0,3,1,0,4
Hill,PCT 18,President,,DEM,Bernie Sanders,0,0,0,0,0,0,0,0
Hill,PCT 18,President,,DEM,John K. Delaney,0,0,0,0,0,0,0,0
Hill,PCT 18,President,,DEM,Michael R. Bloomberg,2,0,0,0,2,0,0,2
