county,precinct,office,district,party,candidate,votes,early_voting,early_voting,election_day
Cooke,Pct. 5,U.S. Senate,,DEM,Mary MJ Hegar,200,28,136,36
Cooke,Pct. 5,U.S. Senate,,LBT,Kerry Douglas McKennon,23,2,16,5
Cooke,Pct. 5,U.S. Senate,,GRN,David B. Collins,4,2,1,1
Cooke,Pct. 5,U.S. Senate,,,Write-ins,0,0,0,0
Cooke,Pct. 5,U.S. Senate,,,Write-In: Uncertified,0,0,0,0
Cooke,Pct. 5,U.S. Senate,,,Write-In: Ricardo Turullois-Bonilla,0,0,0,0
Cooke,Pct. 5,U.S. Senate,,,Not Assigned,0,0,0,0
Cooke,Pct. 5,U.S. House,13,REP,Ronny Jackson,567,37,437,93
Cooke,Pct. 5,U.S. House,13,DEM,Gus Trujillo,204,34,133,37
Cooke,Pct. 5,U.S. House,13,LBT,Jack B. Westbrook,28,1,18,9
Cooke,Pct. 5,Railroad Commissioner,,REP,James Jim Wright,571,39,434,98
Cooke,Pct. 5,Railroad Commissioner,,DEM,Chrysta Castaneda,202,29,136,37
Cooke,Pct. 5,Railroad Commissioner,,LBT,Matt Sterett,23,3,16,4
Cooke,Pct. 5,Railroad Commissioner,,GRN,Katija Kat Gruene,5,0,3,2
Cooke,Pct. 5,Chief Justice Supreme Court,,REP,Nathan Hecht,570,42,433,95
Cooke,Pct. 5,Chief Justice Supreme Court,,DEM,Amy Clark Meachum,203,28,136,39
Cooke,Pct. 5,Chief Justice Supreme Court,,LBT,Mark Ash,30,2,20,8
Cooke,Pct. 5,Justice Supreme Court Pl 6,,REP,Jane Bland,586,40,445,101
Cooke,Pct. 5,Justice Supreme Court Pl 6,,DEM,Kathy Cheng,209,30,140,39
Cooke,Pct. 5,Justice Supreme Court Pl 7,,REP,Jeff Boyd,570,41,432,97
Cooke,Pct. 5,Justice Supreme Court Pl 7,,DEM,Staci Williams,210,29,139,42
Cooke,Pct. 5,Justice Supreme Court Pl 7,,LBT,William Bryan Strange III,19,0,16,3
Cooke,Pct. 5,Justice Supreme Court Pl 8,,REP,Brett Busby,572,40,432,100
Cooke,Pct. 5,Justice Supreme Court Pl 8,,DEM,Gisela D. Triana,203,30,136,37
Cooke,Pct. 5,Justice Supreme Court Pl 8,,LBT,Tom Oxford,21,0,16,5
Cooke,Pct. 5,Judge Ct of Crim App Pl 3,,REP,Bert Richardson,588,40,446,102
Cooke,Pct. 5,Judge Ct of Crim App Pl 3,,DEM,Elizabeth Davis Frizell,209,29,141,39
Cooke,Pct. 5,Judge Ct of Crim App Pl 4,,REP,Kevin Patrick Yeary,586,39,445,102
Cooke,Pct. 5,Judge Ct of Crim App Pl 4,,DEM,Tina Clinton,207,29,140,38
Cooke,Pct. 5,Judge Ct of Crim App Pl 9,,REP,David Newell,584,40,443,101
Cooke,Pct. 5,Judge Ct of Crim App Pl 9,,DEM,Brandon Birmingham,213,30,143,40
Cooke,Pct. 5,Member State BoE Dist 15,,REP,Jay Johnson,584,39,443,102
Cooke,Pct. 5,Member State BoE Dist 15,,DEM,John Betancourt,211,31,143,37
Cooke,Pct. 5,State Representative,68,REP,Drew Springer,583,40,441,102
Cooke,Pct. 5,State Representative,68,DEM,Patsy Ledbetter,222,33,148,41
Cooke,Pct. 5,Justice 2nd Ct of App Dist Pl 2,,REP,Dana Womack,708,47,527,134
Cooke,Pct. 5,Justice 2nd Ct of App Dist Pl 6,,REP,Mike Wallach,589,41,446,102
Cooke,Pct. 5,Justice 2nd Ct of App Dist Pl 6,,DEM,Delonia A. Watson,205,28,139,38
Cooke,Pct. 5,Justice 2nd Ct of App Dist Pl 7,,REP,Brian Walker,708,47,525,136
Cooke,Pct. 5,Dist Judge 235th Judicial Dist,,REP,Janelle M. Haverkamp,700,51,515,134
Cooke,Pct. 5,Dist Attorney 235th Judicial Dist,,REP,John Warren,710,51,524,135
Cooke,Pct. 5,County Attorney,,REP,Ed Zielinski,705,52,519,134
Cooke,Pct. 5,Sheriff,,REP,Ray Sappington,711,49,527,135
Cooke,Pct. 5,County Tax Assessor-Collector,,REP,Brandy Ann Carr,721,54,530,137
Cooke,Pct. 5,County Commissioner Pct 3,,REP,Adam P. Arendt,709,50,523,136
Cooke,Pct. 5,Constable Pct 2,,REP,Chuck Owen,713,49,530,134
Cooke,Pct. 5,Director GHD,,,Ken Arterbury,260,16,188,56
Cooke,Pct. 5,Director GHD,,,Brian Winters,277,15,217,45
Cooke,Pct. 5,Director GHD,,,Eugene Mills,124,3,98,23
Cooke,Pct. 5,Director GHD,,,Jimmy Mosman,189,16,135,38
Cooke,Pct. 5,Director GHD,,,G.D. Wally Cox,323,32,236,55
Cooke,Pct. 5,Director GHD,,,Kari Hutcherson,317,26,234,57
Cooke,Pct. 6,Registered Voters,,,,566,,,
Cooke,Pct. 6,Ballots Cast,,,,392,14,262,116
Cooke,Pct. 6,Ballots Cast - Blank,,,,0,0,0,0
Cooke,Pct. 6,President,,REP,Donald J. Trump / Michael R. Pence,341,6,233,102
Cooke,Pct. 6,President,,DEM,Joseph R. Biden / Kamala D. Harris,43,6,24,13
Cooke,Pct. 6,President,,LBT,Jo Jorgensen / Jeremy Spike Cohen,2,0,2,0
Cooke,Pct. 6,President,,GRN,Howie Hawkins / Angela Walker,2,0,1,1
Cooke,Pct. 6,President,,,Write-ins,0,0,0,0
Cooke,Pct. 6,President,,,Write-In: Abram Loeb/Jennifer Jairala,0,0,0,0
Cooke,Pct. 6,President,,,Write-In: Robert Morrow/Anne Beckett,0,0,0,0
Cooke,Pct. 6,President,,,Write-In: Kasey Wells/Rachel Wells,0,0,0,0
Cooke,Pct. 6,President,,,Write-In: Uncertified,0,0,0,0
Cooke,Pct. 6,President,,,Write-In: President R. boddie/Eric C. Stoneham,0,0,0,0
Cooke,Pct. 6,President,,,Write-In: Brian Carroll/Amar Patel,0,0,0,0
Cooke,Pct. 6,President,,,Write-In: Todd Cella/Tim Cella,0,0,0,0
Cooke,Pct. 6,President,,,Write-In: Jesse Cuellar/Jimmy Monreal,0,0,0,0
Cooke,Pct. 6,President,,,Write-In: Tom Hoefling/Andy Prior,0,0,0,0
Cooke,Pct. 6,President,,,Write-In: Gloria La Riva/Leonard Peltier,0,0,0,0
Cooke,Pct. 6,President,,,Not Assigned,0,0,0,0
Cooke,Pct. 6,U.S. Senate,,REP,John Cornyn,329,8,224,97
Cooke,Pct. 6,U.S. Senate,,DEM,Mary MJ Hegar,46,6,28,12
Cooke,Pct. 6,U.S. Senate,,LBT,Kerry Douglas McKennon,8,0,4,4
Cooke,Pct. 6,U.S. Senate,,GRN,David B. Collins,2,0,1,1
Cooke,Pct. 6,U.S. Senate,,,Write-ins,0,0,0,0
Cooke,Pct. 6,U.S. Senate,,,Write-In: Uncertified,0,0,0,0
Cooke,Pct. 6,U.S. Senate,,,Write-In: Ricardo Turullois-Bonilla,0,0,0,0
Cooke,Pct. 6,U.S. Senate,,,Not Assigned,0,0,0,0
Cooke,Pct. 6,U.S. House,13,REP,Ronny Jackson,334,7,229,98
Cooke,Pct. 6,U.S. House,13,DEM,Gus Trujillo,41,4,25,12
Cooke,Pct. 6,U.S. House,13,LBT,Jack B. Westbrook,11,2,5,4
Cooke,Pct. 6,Railroad Commissioner,,REP,James Jim Wright,334,9,230,95
Cooke,Pct. 6,Railroad Commissioner,,DEM,Chrysta Castaneda,38,5,22,11
Cooke,Pct. 6,Railroad Commissioner,,LBT,Matt Sterett,10,0,4,6
Cooke,Pct. 6,Railroad Commissioner,,GRN,Katija Kat Gruene,3,0,1,2
Cooke,Pct. 6,Chief Justice Supreme Court,,REP,Nathan Hecht,339,9,231,99
Cooke,Pct. 6,Chief Justice Supreme Court,,DEM,Amy Clark Meachum,38,4,24,10
Cooke,Pct. 6,Chief Justice Supreme Court,,LBT,Mark Ash,6,0,2,4
Cooke,Pct. 6,Justice Supreme Court Pl 6,,REP,Jane Bland,342,9,234,99
Cooke,Pct. 6,Justice Supreme Court Pl 6,,DEM,Kathy Cheng,43,5,24,14
Cooke,Pct. 6,Justice Supreme Court Pl 7,,REP,Jeff Boyd,336,9,230,97
Cooke,Pct. 6,Justice Supreme Court Pl 7,,DEM,Staci Williams,40,4,23,13
Cooke,Pct. 6,Justice Supreme Court Pl 7,,LBT,William Bryan Strange III,9,1,5,3
Cooke,Pct. 6,Justice Supreme Court Pl 8,,REP,Brett Busby,332,9,228,95
Cooke,Pct. 6,Justice Supreme Court Pl 8,,DEM,Gisela D. Triana,38,4,22,12
Cooke,Pct. 6,Justice Supreme Court Pl 8,,LBT,Tom Oxford,14,0,7,7
Cooke,Pct. 6,Judge Ct of Crim App Pl 3,,REP,Bert Richardson,339,8,231,100
Cooke,Pct. 6,Judge Ct of Crim App Pl 3,,DEM,Elizabeth Davis Frizell,46,5,27,14
Cooke,Pct. 6,Judge Ct of Crim App Pl 4,,REP,Kevin Patrick Yeary,339,9,230,100
Cooke,Pct. 6,Judge Ct of Crim App Pl 4,,DEM,Tina Clinton,40,4,24,12
Cooke,Pct. 6,Judge Ct of Crim App Pl 9,,REP,David Newell,340,8,230,102
Cooke,Pct. 6,Judge Ct of Crim App Pl 9,,DEM,Brandon Birmingham,42,5,25,12
Cooke,Pct. 6,Member State BoE Dist 15,,REP,Jay Johnson,341,9,230,102
Cooke,Pct. 6,Member State BoE Dist 15,,DEM,John Betancourt,42,5,25,12
Cooke,Pct. 6,State Representative,68,REP,Drew Springer,340,8,230,102
Cooke,Pct. 6,State Representative,68,DEM,Patsy Ledbetter,46,6,28,12
Cooke,Pct. 6,Justice 2nd Ct of App Dist Pl 2,,REP,Dana Womack,364,11,246,107
Cooke,Pct. 6,Justice 2nd Ct of App Dist Pl 6,,REP,Mike Wallach,343,9,233,101
Cooke,Pct. 6,Justice 2nd Ct of App Dist Pl 6,,DEM,Delonia A. Watson,41,4,24,13
Cooke,Pct. 6,Justice 2nd Ct of App Dist Pl 7,,REP,Brian Walker,365,11,247,107
Cooke,Pct. 6,Dist Judge 235th Judicial Dist,,REP,Janelle M. Haverkamp,342,9,239,94
Cooke,Pct. 6,Dist Attorney 235th Judicial Dist,,REP,John Warren,365,10,250,105
Cooke,Pct. 6,County Attorney,,REP,Ed Zielinski,363,11,249,103
Cooke,Pct. 6,Sheriff,,REP,Ray Sappington,369,11,251,107
Cooke,Pct. 6,County Tax Assessor-Collector,,REP,Brandy Ann Carr,368,10,252,106
Cooke,Pct. 6,County Commissioner Pct 1,,REP,Gary Hollowell,357,9,246,102
Cooke,Pct. 6,Justice of the Peace Pct 1,,REP,John J. (Jody) Henry,364,10,248,106
Cooke,Pct. 6,Constable Pct 1,,REP,Mark Westbrook,368,10,251,107
Cooke,Pct. 6,Director GHD,,,Ken Arterbury,179,2,112,65
Cooke,Pct. 6,Director GHD,,,Brian Winters,141,2,110,29
Cooke,Pct. 6,Director GHD,,,Eugene Mills,49,1,31,17
Cooke,Pct. 6,Director GHD,,,Jimmy Mosman,105,2,76,27
Cooke,Pct. 6,Director GHD,,,G.D. Wally Cox,127,3,88,36
Cooke,Pct. 6,Director GHD,,,Kari Hutcherson,133,3,95,35
Cooke,Pct. 7,Registered Voters,,,,1707,,,
Cooke,Pct. 7,Ballots Cast,,,,1168,63,784,321
Cooke,Pct. 7,Ballots Cast - Blank,,,,0,0,0,0
Cooke,Pct. 7,President,,REP,Donald J. Trump / Michael R. Pence,995,42,679,274
Cooke,Pct. 7,President,,DEM,Joseph R. Biden / Kamala D. Harris,154,15,97,42
Cooke,Pct. 7,President,,LBT,Jo Jorgensen / Jeremy Spike Cohen,9,2,6,1
Cooke,Pct. 7,President,,GRN,Howie Hawkins / Angela Walker,1,0,0,1
Cooke,Pct. 7,President,,,Write-ins,2,0,2,0
Cooke,Pct. 7,President,,,Write-In: Abram Loeb/Jennifer Jairala,0,0,0,0
Cooke,Pct. 7,President,,,Write-In: Robert Morrow/Anne Beckett,0,0,0,0
Cooke,Pct. 7,President,,,Write-In: Kasey Wells/Rachel Wells,0,0,0,0
Cooke,Pct. 7,President,,,Write-In: Uncertified,2,0,2,0
Cooke,Pct. 7,President,,,Write-In: President R. boddie/Eric C. Stoneham,0,0,0,0
Cooke,Pct. 7,President,,,Write-In: Brian Carroll/Amar Patel,0,0,0,0
Cooke,Pct. 7,President,,,Write-In: Todd Cella/Tim Cella,0,0,0,0
Cooke,Pct. 7,President,,,Write-In: Jesse Cuellar/Jimmy Monreal,0,0,0,0
Cooke,Pct. 7,President,,,Write-In: Tom Hoefling/Andy Prior,0,0,0,0
Cooke,Pct. 7,President,,,Write-In: Gloria La Riva/Leonard Peltier,0,0,0,0
Cooke,Pct. 7,President,,,Not Assigned,0,0,0,0
Cooke,Pct. 7,U.S. Senate,,REP,John Cornyn,979,48,669,262
Cooke,Pct. 7,U.S. Senate,,DEM,Mary MJ Hegar,145,11,87,47
Cooke,Pct. 7,U.S. Senate,,LBT,Kerry Douglas McKennon,14,2,11,1
Cooke,Pct. 7,U.S. Senate,,GRN,David B. Collins,9,0,5,4
Cooke,Pct. 7,U.S. Senate,,,Write-ins,3,0,3,0
Cooke,Pct. 7,U.S. Senate,,,Write-In: Uncertified,3,0,3,0
Cooke,Pct. 7,U.S. Senate,,,Write-In: Ricardo Turullois-Bonilla,0,0,0,0
Cooke,Pct. 7,U.S. Senate,,,Not Assigned,0,0,0,0
Cooke,Pct. 7,U.S. House,13,REP,Ronny Jackson,977,47,664,266
Cooke,Pct. 7,U.S. House,13,DEM,Gus Trujillo,126,10,77,39
Cooke,Pct. 7,U.S. House,13,LBT,Jack B. Westbrook,40,2,30,8
Cooke,Pct. 7,Railroad Commissioner,,REP,James Jim Wright,983,48,670,265
Cooke,Pct. 7,Railroad Commissioner,,DEM,Chrysta Castaneda,139,12,87,40
Cooke,Pct. 7,Railroad Commissioner,,LBT,Matt Sterett,17,1,11,5
Cooke,Pct. 7,Railroad Commissioner,,GRN,Katija Kat Gruene,6,0,3,3
Cooke,Pct. 7,Chief Justice Supreme Court,,REP,Nathan Hecht,976,48,658,270
Cooke,Pct. 7,Chief Justice Supreme Court,,DEM,Amy Clark Meachum,144,11,94,39
Cooke,Pct. 7,Chief Justice Supreme Court,,LBT,Mark Ash,21,1,15,5
Cooke,Pct. 7,Justice Supreme Court Pl 6,,REP,Jane Bland,1000,50,675,275
Cooke,Pct. 7,Justice Supreme Court Pl 6,,DEM,Kathy Cheng,141,9,93,39
Cooke,Pct. 7,Justice Supreme Court Pl 7,,REP,Jeff Boyd,982,46,667,269
Cooke,Pct. 7,Justice Supreme Court Pl 7,,DEM,Staci Williams,142,12,92,38
Cooke,Pct. 7,Justice Supreme Court Pl 7,,LBT,William Bryan Strange III,19,2,10,7
Cooke,Pct. 7,Justice Supreme Court Pl 8,,REP,Brett Busby,983,48,666,269
Cooke,Pct. 7,Justice Supreme Court Pl 8,,DEM,Gisela D. Triana,134,10,86,38
Cooke,Pct. 7,Justice Supreme Court Pl 8,,LBT,Tom Oxford,21,2,13,6
Cooke,Pct. 7,Judge Ct of Crim App Pl 3,,REP,Bert Richardson,984,49,666,269
Cooke,Pct. 7,Judge Ct of Crim App Pl 3,,DEM,Elizabeth Davis Frizell,156,10,101,45
Cooke,Pct. 7,Judge Ct of Crim App Pl 4,,REP,Kevin Patrick Yeary,988,48,671,269
Cooke,Pct. 7,Judge Ct of Crim App Pl 4,,DEM,Tina Clinton,143,11,89,43
Cooke,Pct. 7,Judge Ct of Crim App Pl 9,,REP,David Newell,985,47,669,269
Cooke,Pct. 7,Judge Ct of Crim App Pl 9,,DEM,Brandon Birmingham,151,13,94,44
Cooke,Pct. 7,Member State BoE Dist 15,,REP,Jay Johnson,988,49,670,269
Cooke,Pct. 7,Member State BoE Dist 15,,DEM,John Betancourt,147,11,91,45
Cooke,Pct. 7,State Representative,68,REP,Drew Springer,998,50,671,277
Cooke,Pct. 7,State Representative,68,DEM,Patsy Ledbetter,144,11,94,39
Cooke,Pct. 7,Justice 2nd Ct of App Dist Pl 2,,REP,Dana Womack,1072,52,725,295
Cooke,Pct. 7,Justice 2nd Ct of App Dist Pl 6,,REP,Mike Wallach,989,49,673,267
Cooke,Pct. 7,Justice 2nd Ct of App Dist Pl 6,,DEM,Delonia A. Watson,148,12,91,45
Cooke,Pct. 7,Justice 2nd Ct of App Dist Pl 7,,REP,Brian Walker,1070,49,724,297
Cooke,Pct. 7,Dist Judge 235th Judicial Dist,,REP,Janelle M. Haverkamp,1046,51,713,282
Cooke,Pct. 7,Dist Attorney 235th Judicial Dist,,REP,John Warren,1074,49,724,301
Cooke,Pct. 7,County Attorney,,REP,Ed Zielinski,1071,51,722,298
Cooke,Pct. 7,Sheriff,,REP,Ray Sappington,1068,52,718,298
Cooke,Pct. 7,County Tax Assessor-Collector,,REP,Brandy Ann Carr,1082,50,733,299
Cooke,Pct. 7,County Commissioner Pct 1,,REP,Gary Hollowell,1066,52,718,296
Cooke,Pct. 7,Justice of the Peace Pct 1,,REP,John J. (Jody) Henry,1078,52,727,299
Cooke,Pct. 7,Constable Pct 1,,REP,Mark Westbrook,1077,52,728,297
Cooke,Pct. 7,Director GHD,,,Ken Arterbury,456,14,305,137
Cooke,Pct. 7,Director GHD,,,Brian Winters,400,12,277,111
Cooke,Pct. 7,Director GHD,,,Eugene Mills,194,6,129,59
Cooke,Pct. 7,Director GHD,,,Jimmy Mosman,306,14,202,90
Cooke,Pct. 7,Director GHD,,,G.D. Wally Cox,380,16,249,115
Cooke,Pct. 7,Director GHD,,,Kari Hutcherson,374,20,259,95
Cooke,Pct. 7,School Trustee WISD,,,Ann Hamilton,53,3,43,7
Cooke,Pct. 7,School Trustee WISD,,,Joel Russell,57,1,44,12
Cooke,Pct. 7,School Trustee WISD,,,Eddie Wood,60,0,50,10
Cooke,Pct. 7,School Trustee WISD,,,Danny Sluder,59,2,46,11
Cooke,Pct. 7,School Trustee WISD,,,Caleigh Latta,21,0,18,3
Cooke,Pct. 7,Council Member WRD3,,,Michael Hill,3,0,3,0
Cooke,Pct. 7,Council Member WRD3,,,Reagan Lynch,2,0,2,0
Cooke,Pct. 8,Registered Voters,,,,1022,,,
Cooke,Pct. 8,Ballots Cast,,,,718,38,465,215
Cooke,Pct. 8,Ballots Cast - Blank,,,,0,0,0,0
Cooke,Pct. 8,President,,REP,Donald J. Trump / Michael R. Pence,623,28,404,191
Cooke,Pct. 8,President,,DEM,Joseph R. Biden / Kamala D. Harris,87,10,55,22
Cooke,Pct. 8,President,,LBT,Jo Jorgensen / Jeremy Spike Cohen,7,0,5,2
Cooke,Pct. 8,President,,GRN,Howie Hawkins / Angela Walker,0,0,0,0
Cooke,Pct. 8,President,,,Write-ins,1,0,1,0
Cooke,Pct. 8,President,,,Write-In: Abram Loeb/Jennifer Jairala,0,0,0,0
Cooke,Pct. 8,President,,,Write-In: Robert Morrow/Anne Beckett,0,0,0,0
Cooke,Pct. 8,President,,,Write-In: Kasey Wells/Rachel Wells,0,0,0,0
Cooke,Pct. 8,President,,,Write-In: Uncertified,1,0,1,0
Cooke,Pct. 8,President,,,Write-In: President R. boddie/Eric C. Stoneham,0,0,0,0
Cooke,Pct. 8,President,,,Write-In: Brian Carroll/Amar Patel,0,0,0,0
Cooke,Pct. 8,President,,,Write-In: Todd Cella/Tim Cella,0,0,0,0
Cooke,Pct. 8,President,,,Write-In: Jesse Cuellar/Jimmy Monreal,0,0,0,0
Cooke,Pct. 8,President,,,Write-In: Tom Hoefling/Andy Prior,0,0,0,0
Cooke,Pct. 8,President,,,Write-In: Gloria La Riva/Leonard Peltier,0,0,0,0
Cooke,Pct. 8,President,,,Not Assigned,0,0,0,0
Cooke,Pct. 8,U.S. Senate,,REP,John Cornyn,621,29,404,188
Cooke,Pct. 8,U.S. Senate,,DEM,Mary MJ Hegar,78,9,50,19
Cooke,Pct. 8,U.S. Senate,,LBT,Kerry Douglas McKennon,14,0,8,6
Cooke,Pct. 8,U.S. Senate,,GRN,David B. Collins,2,0,1,1
Cooke,Pct. 8,U.S. Senate,,,Write-ins,0,0,0,0
Cooke,Pct. 8,U.S. Senate,,,Write-In: Uncertified,0,0,0,0
Cooke,Pct. 8,U.S. Senate,,,Write-In: Ricardo Turullois-Bonilla,0,0,0,0
Cooke,Pct. 8,U.S. Senate,,,Not Assigned,0,0,0,0
Cooke,Pct. 8,U.S. House,13,REP,Ronny Jackson,619,29,408,182
Cooke,Pct. 8,U.S. House,13,DEM,Gus Trujillo,74,9,47,18
Cooke,Pct. 8,U.S. House,13,LBT,Jack B. Westbrook,17,0,7,10
Cooke,Pct. 8,Railroad Commissioner,,REP,James Jim Wright,616,25,403,188
Cooke,Pct. 8,Railroad Commissioner,,DEM,Chrysta Castaneda,78,10,51,17
Cooke,Pct. 8,Railroad Commissioner,,LBT,Matt Sterett,12,0,7,5
Cooke,Pct. 8,Railroad Commissioner,,GRN,Katija Kat Gruene,2,0,0,2
Cooke,Pct. 8,Chief Justice Supreme Court,,REP,Nathan Hecht,608,26,399,183
Cooke,Pct. 8,Chief Justice Supreme Court,,DEM,Amy Clark Meachum,80,9,55,16
Cooke,Pct. 8,Chief Justice Supreme Court,,LBT,Mark Ash,18,0,8,10
Cooke,Pct. 8,Justice Supreme Court Pl 6,,REP,Jane Bland,629,26,414,189
Cooke,Pct. 8,Justice Supreme Court Pl 6,,DEM,Kathy Cheng,75,7,49,19
Cooke,Pct. 8,Justice Supreme Court Pl 7,,REP,Jeff Boyd,615,26,403,186
Cooke,Pct. 8,Justice Supreme Court Pl 7,,DEM,Staci Williams,75,9,51,15
Cooke,Pct. 8,Justice Supreme Court Pl 7,,LBT,William Bryan Strange III,17,0,9,8
Cooke,Pct. 8,Justice Supreme Court Pl 8,,REP,Brett Busby,619,26,404,189
Cooke,Pct. 8,Justice Supreme Court Pl 8,,DEM,Gisela D. Triana,75,9,50,16
Cooke,Pct. 8,Justice Supreme Court Pl 8,,LBT,Tom Oxford,12,0,8,4
Cooke,Pct. 8,Judge Ct of Crim App Pl 3,,REP,Bert Richardson,624,26,407,191
Cooke,Pct. 8,Judge Ct of Crim App Pl 3,,DEM,Elizabeth Davis Frizell,83,9,54,20
Cooke,Pct. 8,Judge Ct of Crim App Pl 4,,REP,Kevin Patrick Yeary,628,26,408,194
Cooke,Pct. 8,Judge Ct of Crim App Pl 4,,DEM,Tina Clinton,78,9,54,15
Cooke,Pct. 8,Judge Ct of Crim App Pl 9,,REP,David Newell,621,26,406,189
Cooke,Pct. 8,Judge Ct of Crim App Pl 9,,DEM,Brandon Birmingham,81,9,54,18
Cooke,Pct. 8,Member State BoE Dist 15,,REP,Jay Johnson,630,26,413,191
Cooke,Pct. 8,Member State BoE Dist 15,,DEM,John Betancourt,78,9,49,20
Cooke,Pct. 8,State Representative,68,REP,Drew Springer,621,25,408,188
Cooke,Pct. 8,State Representative,68,DEM,Patsy Ledbetter,90,9,56,25
Cooke,Pct. 8,Justice 2nd Ct of App Dist Pl 2,,REP,Dana Womack,676,29,448,199
Cooke,Pct. 8,Justice 2nd Ct of App Dist Pl 6,,REP,Mike Wallach,625,25,410,190
Cooke,Pct. 8,Justice 2nd Ct of App Dist Pl 6,,DEM,Delonia A. Watson,79,9,51,19
Cooke,Pct. 8,Justice 2nd Ct of App Dist Pl 7,,REP,Brian Walker,680,30,449,201
Cooke,Pct. 8,Dist Judge 235th Judicial Dist,,REP,Janelle M. Haverkamp,650,28,432,190
Cooke,Pct. 8,Dist Attorney 235th Judicial Dist,,REP,John Warren,676,29,447,200
Cooke,Pct. 8,County Attorney,,REP,Ed Zielinski,671,31,444,196
Cooke,Pct. 8,Sheriff,,REP,Ray Sappington,671,31,443,197
Cooke,Pct. 8,County Tax Assessor-Collector,,REP,Brandy Ann Carr,677,31,447,199
Cooke,Pct. 8,Constable Pct 2,,REP,Chuck Owen,678,32,447,199
Cooke,Pct. 8,Director GHD,,,Ken Arterbury,286,12,202,72
Cooke,Pct. 8,Director GHD,,,Brian Winters,229,9,169,51
Cooke,Pct. 8,Director GHD,,,Eugene Mills,102,6,72,24
Cooke,Pct. 8,Director GHD,,,Jimmy Mosman,169,9,114,46
Cooke,Pct. 8,Director GHD,,,G.D. Wally Cox,205,8,134,63
Cooke,Pct. 8,Director GHD,,,Kari Hutcherson,219,13,148,58
Cooke,Pct. 8,School Trustee WISD,,,Ann Hamilton,9,2,6,1
Cooke,Pct. 8,School Trustee WISD,,,Joel Russell,16,2,13,1
Cooke,Pct. 8,School Trustee WISD,,,Eddie Wood,12,0,11,1
Cooke,Pct. 8,School Trustee WISD,,,Danny Sluder,14,2,10,2
Cooke,Pct. 8,School Trustee WISD,,,Caleigh Latta,2,0,1,1
Cooke,Pct. 9,Registered Voters,,,,1569,,,
Cooke,Pct. 9,Ballots Cast,,,,1135,52,778,305
Cooke,Pct. 9,Ballots Cast - Blank,,,,0,0,0,0
Cooke,Pct. 9,President,,REP,Donald J. Trump / Michael R. Pence,1000,30,696,274
Cooke,Pct. 9,President,,DEM,Joseph R. Biden / Kamala D. Harris,122,20,74,28
Cooke,Pct. 9,President,,LBT,Jo Jorgensen / Jeremy Spike Cohen,8,0,6,2
Cooke,Pct. 9,President,,GRN,Howie Hawkins / Angela Walker,2,0,2,0
Cooke,Pct. 9,President,,,Write-ins,1,0,0,1
Cooke,Pct. 9,President,,,Write-In: Abram Loeb/Jennifer Jairala,0,0,0,0
Cooke,Pct. 9,President,,,Write-In: Robert Morrow/Anne Beckett,0,0,0,0
Cooke,Pct. 9,President,,,Write-In: Kasey Wells/Rachel Wells,0,0,0,0
Cooke,Pct. 9,President,,,Write-In: Uncertified,1,0,0,1
Cooke,Pct. 9,President,,,Write-In: President R. boddie/Eric C. Stoneham,0,0,0,0
Cooke,Pct. 9,President,,,Write-In: Brian Carroll/Amar Patel,0,0,0,0
Cooke,Pct. 9,President,,,Write-In: Todd Cella/Tim Cella,0,0,0,0
Cooke,Pct. 9,President,,,Write-In: Jesse Cuellar/Jimmy Monreal,0,0,0,0
Cooke,Pct. 9,President,,,Write-In: Tom Hoefling/Andy Prior,0,0,0,0
Cooke,Pct. 9,President,,,Write-In: Gloria La Riva/Leonard Peltier,0,0,0,0
Cooke,Pct. 9,President,,,Not Assigned,0,0,0,0
Cooke,Pct. 9,U.S. Senate,,REP,John Cornyn,968,31,678,259
Cooke,Pct. 9,U.S. Senate,,DEM,Mary MJ Hegar,131,21,73,37
Cooke,Pct. 9,U.S. Senate,,LBT,Kerry Douglas McKennon,16,0,13,3
Cooke,Pct. 9,U.S. Senate,,GRN,David B. Collins,6,0,2,4
Cooke,Pct. 9,U.S. Senate,,,Write-ins,1,0,0,1
Cooke,Pct. 9,U.S. Senate,,,Write-In: Uncertified,1,0,0,1
Cooke,Pct. 9,U.S. Senate,,,Write-In: Ricardo Turullois-Bonilla,0,0,0,0
Cooke,Pct. 9,U.S. Senate,,,Not Assigned,0,0,0,0
Cooke,Pct. 9,U.S. House,13,REP,Ronny Jackson,973,25,679,269
Cooke,Pct. 9,U.S. House,13,DEM,Gus Trujillo,112,22,69,21
Cooke,Pct. 9,U.S. House,13,LBT,Jack B. Westbrook,32,3,16,13
Cooke,Pct. 9,Railroad Commissioner,,REP,James Jim Wright,981,29,685,267
Cooke,Pct. 9,Railroad Commissioner,,DEM,Chrysta Castaneda,104,20,63,21
Cooke,Pct. 9,Railroad Commissioner,,LBT,Matt Sterett,22,1,12,9
Cooke,Pct. 9,Railroad Commissioner,,GRN,Katija Kat Gruene,5,1,2,2
Cooke,Pct. 9,Chief Justice Supreme Court,,REP,Nathan Hecht,982,26,682,274
Cooke,Pct. 9,Chief Justice Supreme Court,,DEM,Amy Clark Meachum,113,23,69,21
Cooke,Pct. 9,Chief Justice Supreme Court,,LBT,Mark Ash,18,2,11,5
