candidate,office,district,party,county,precinct,mail,early_voting,election_day,votes
Under Votes,State Senate,28,,Wilbarger,PCT 21 ALL,0,94,19,113
Drew Springer,State Representative,68,,Wilbarger,PCT 21 ALL,0,534,87,621
Patsy Ledbetter,State Representative,68,,Wilbarger,PCT 21 ALL,0,84,25,109
Over Votes,State Representative,68,,Wilbarger,PCT 21 ALL,0,0,0,0
Under Votes,State Representative,68,,Wilbarger,PCT 21 ALL,0,39,6,45
Ballots Cast,,,,Wilbarger,PCT 21 GEN-VISD,,,,504
Donald J Trump,President,,REP,Wilbarger,PCT 21 GEN-VISD,0,386,71,457
Joseph R Biden,President,,DEM,Wilbarger,PCT 21 GEN-VISD,0,29,7,36
Jo Jorgensen,President,,LIB,Wilbarger,PCT 21 GEN-VISD,0,3,3,6
Howie Hawkins,President,,GRN,Wilbarger,PCT 21 GEN-VISD,0,0,0,0
Over Votes,President,,,Wilbarger,PCT 21 GEN-VISD,0,0,0,0
Under Votes,President,,,Wilbarger,PCT 21 GEN-VISD,0,4,1,5
John Cornyn,U.S. Senate,,REP,Wilbarger,PCT 21 GEN-VISD,0,380,69,449
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Wilbarger,PCT 21 GEN-VISD,0,29,6,35
Kerry Douglas McKennon,U.S. Senate,,LIB,Wilbarger,PCT 21 GEN-VISD,0,3,3,6
David B. Collins,U.S. Senate,,GRN,Wilbarger,PCT 21 GEN-VISD,0,0,0,0
Over Votes,U.S. Senate,,,Wilbarger,PCT 21 GEN-VISD,0,0,0,0
Under Votes,U.S. Senate,,,Wilbarger,PCT 21 GEN-VISD,0,10,4,14
Ronny Jackson,U.S. House,13,,Wilbarger,PCT 21 GEN-VISD,0,375,69,444
Gus Trujillo,U.S. House,13,,Wilbarger,PCT 21 GEN-VISD,0,32,8,40
Jack B. Westbrook,U.S. House,13,,Wilbarger,PCT 21 GEN-VISD,0,1,2,3
Over Votes,U.S. House,13,,Wilbarger,PCT 21 GEN-VISD,0,0,0,0
Under Votes,U.S. House,13,,Wilbarger,PCT 21 GEN-VISD,0,14,3,17
"James ""Jim"" Wright",Railroad Commissioner,,REP,Wilbarger,PCT 21 GEN-VISD,0,370,64,434
Chrysta Castaneda,Railroad Commissioner,,DEM,Wilbarger,PCT 21 GEN-VISD,0,30,12,42
Matt Sterett,Railroad Commissioner,,LIB,Wilbarger,PCT 21 GEN-VISD,0,2,2,4
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Wilbarger,PCT 21 GEN-VISD,0,2,2,4
Over Votes,Railroad Commissioner,,,Wilbarger,PCT 21 GEN-VISD,0,0,0,0
Under Votes,Railroad Commissioner,,,Wilbarger,PCT 21 GEN-VISD,0,18,2,20
Charles Perry,State Senate,28,,Wilbarger,PCT 21 GEN-VISD,0,371,78,449
Over Votes,State Senate,28,,Wilbarger,PCT 21 GEN-VISD,0,0,0,0
Under Votes,State Senate,28,,Wilbarger,PCT 21 GEN-VISD,0,51,4,55
Drew Springer,State Representative,68,,Wilbarger,PCT 21 GEN-VISD,0,374,67,441
Patsy Ledbetter,State Representative,68,,Wilbarger,PCT 21 GEN-VISD,0,35,11,46
Over Votes,State Representative,68,,Wilbarger,PCT 21 GEN-VISD,0,0,0,0
Under Votes,State Representative,68,,Wilbarger,PCT 21 GEN-VISD,0,13,4,17
Ballots Cast,,,,Wilbarger,PCT 21 GEN-ONLY,,,,160
Donald J Trump,President,,REP,Wilbarger,PCT 21 GEN-ONLY,112,8,1,121
Joseph R Biden,President,,DEM,Wilbarger,PCT 21 GEN-ONLY,35,0,0,35
Jo Jorgensen,President,,LIB,Wilbarger,PCT 21 GEN-ONLY,0,0,0,0
Howie Hawkins,President,,GRN,Wilbarger,PCT 21 GEN-ONLY,0,0,0,0
Over Votes,President,,,Wilbarger,PCT 21 GEN-ONLY,0,0,0,0
Under Votes,President,,,Wilbarger,PCT 21 GEN-ONLY,4,0,0,4
John Cornyn,U.S. Senate,,REP,Wilbarger,PCT 21 GEN-ONLY,109,8,1,118
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Wilbarger,PCT 21 GEN-ONLY,35,0,0,35
Kerry Douglas McKennon,U.S. Senate,,LIB,Wilbarger,PCT 21 GEN-ONLY,1,0,0,1
David B. Collins,U.S. Senate,,GRN,Wilbarger,PCT 21 GEN-ONLY,1,0,0,1
Over Votes,U.S. Senate,,,Wilbarger,PCT 21 GEN-ONLY,0,0,0,0
Under Votes,U.S. Senate,,,Wilbarger,PCT 21 GEN-ONLY,5,0,0,5
Ronny Jackson,U.S. House,13,,Wilbarger,PCT 21 GEN-ONLY,107,8,1,116
Gus Trujillo,U.S. House,13,,Wilbarger,PCT 21 GEN-ONLY,35,0,0,35
Jack B. Westbrook,U.S. House,13,,Wilbarger,PCT 21 GEN-ONLY,0,0,0,0
Over Votes,U.S. House,13,,Wilbarger,PCT 21 GEN-ONLY,0,0,0,0
Under Votes,U.S. House,13,,Wilbarger,PCT 21 GEN-ONLY,7,0,0,7
"James ""Jim"" Wright",Railroad Commissioner,,REP,Wilbarger,PCT 21 GEN-ONLY,109,8,1,118
Chrysta Castaneda,Railroad Commissioner,,DEM,Wilbarger,PCT 21 GEN-ONLY,32,0,0,32
Matt Sterett,Railroad Commissioner,,LIB,Wilbarger,PCT 21 GEN-ONLY,0,0,0,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Wilbarger,PCT 21 GEN-ONLY,2,0,0,2
Over Votes,Railroad Commissioner,,,Wilbarger,PCT 21 GEN-ONLY,0,0,0,0
Under Votes,Railroad Commissioner,,,Wilbarger,PCT 21 GEN-ONLY,8,0,0,8
Charles Perry,State Senate,28,,Wilbarger,PCT 21 GEN-ONLY,106,8,1,115
Over Votes,State Senate,28,,Wilbarger,PCT 21 GEN-ONLY,0,0,0,0
Under Votes,State Senate,28,,Wilbarger,PCT 21 GEN-ONLY,42,0,0,42
Drew Springer,State Representative,68,,Wilbarger,PCT 21 GEN-ONLY,107,8,1,116
Patsy Ledbetter,State Representative,68,,Wilbarger,PCT 21 GEN-ONLY,33,0,0,33
Over Votes,State Representative,68,,Wilbarger,PCT 21 GEN-ONLY,0,0,0,0
Under Votes,State Representative,68,,Wilbarger,PCT 21 GEN-ONLY,8,0,0,8
