candidate,office,district,party,county,precinct,votes,election_day,early_voting,absentee
David B. Collins,U.S. Senate,,GRN,Austin,Precinct 312,3,1,2,0
Write-In Totals,U.S. Senate,,,Austin,Precinct 312,0,0,0,0
Write-In: Uncertified,U.S. Senate,,,Austin,Precinct 312,0,0,0,0
Ricardo Turullols-Bonilla,U.S. Senate,,,Austin,Precinct 312,0,0,0,0
Not Assigned,U.S. Senate,,,Austin,Precinct 312,0,0,0,0
Michael McCaul,U.S. House,10,REP,Austin,Precinct 312,456,114,330,12
Mike Siegel,U.S. House,10,DEM,Austin,Precinct 312,34,1,23,10
Roy Eriksen,U.S. House,10,LIB,Austin,Precinct 312,3,0,3,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Austin,Precinct 312,447,109,329,9
Chrysta Castaneda,Railroad Commissioner,,DEM,Austin,Precinct 312,41,5,24,12
Matt Sterett,Railroad Commissioner,,LIB,Austin,Precinct 312,0,0,0,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Austin,Precinct 312,1,0,1,0
Lois W. Kolkhorst,State Senate,18,REP,Austin,Precinct 312,456,112,332,12
Michael Antalan,State Senate,18,DEM,Austin,Precinct 312,31,2,20,9
Ben Leman,State Representative,13,REP,Austin,Precinct 312,472,112,348,12
Ballots Cast,,,,Austin,Precinct 313,681,121,515,45
Donald J Trump,President,,REP,Austin,Precinct 313,356,68,266,22
Joseph R Biden,President,,DEM,Austin,Precinct 313,307,43,241,23
Jo Jorgensen,President,,LIB,Austin,Precinct 313,9,6,3,0
Howie Hawkins,President,,GRN,Austin,Precinct 313,4,2,2,0
Write-In Totals,President,,,Austin,Precinct 313,2,0,2,0
Tom Hoefling (W),President,,,Austin,Precinct 313,0,0,0,0
Gloria La Riva (W),President,,,Austin,Precinct 313,0,0,0,0
Abram Loeb (W),President,,,Austin,Precinct 313,0,0,0,0
Robert Marrow (W),President,,,Austin,Precinct 313,0,0,0,0
Kasey Wells (W),President,,,Austin,Precinct 313,0,0,0,0
President R. Boddie (W),President,,,Austin,Precinct 313,0,0,0,0
Write-In: Uncertified,President,,,Austin,Precinct 313,2,0,2,0
Brian Carroll (W),President,,,Austin,Precinct 313,0,0,0,0
Todd Cella (W),President,,,Austin,Precinct 313,0,0,0,0
Jesse Cuellar (W),President,,,Austin,Precinct 313,0,0,0,0
Not Assigned,President,,,Austin,Precinct 313,0,0,0,0
John Cornyn,U.S. Senate,,REP,Austin,Precinct 313,349,64,262,23
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Austin,Precinct 313,297,49,226,22
Kerry Douglas McKennon,U.S. Senate,,LIB,Austin,Precinct 313,13,4,9,0
David B. Collins,U.S. Senate,,GRN,Austin,Precinct 313,8,2,6,0
Write-In Totals,U.S. Senate,,,Austin,Precinct 313,2,0,2,0
Write-In: Uncertified,U.S. Senate,,,Austin,Precinct 313,1,0,1,0
Ricardo Turullols-Bonilla,U.S. Senate,,,Austin,Precinct 313,1,0,1,0
Not Assigned,U.S. Senate,,,Austin,Precinct 313,0,0,0,0
Michael McCaul,U.S. House,10,REP,Austin,Precinct 313,356,63,269,24
Mike Siegel,U.S. House,10,DEM,Austin,Precinct 313,302,50,231,21
Roy Eriksen,U.S. House,10,LIB,Austin,Precinct 313,15,6,9,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Austin,Precinct 313,339,65,251,23
Chrysta Castaneda,Railroad Commissioner,,DEM,Austin,Precinct 313,307,47,238,22
Matt Sterett,Railroad Commissioner,,LIB,Austin,Precinct 313,19,7,12,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Austin,Precinct 313,3,1,2,0
Lois W. Kolkhorst,State Senate,18,REP,Austin,Precinct 313,374,70,279,25
Michael Antalan,State Senate,18,DEM,Austin,Precinct 313,295,49,227,19
Ben Leman,State Representative,13,REP,Austin,Precinct 313,560,109,421,30
Ballots Cast,,,,Austin,Precinct 314,1984,239,1584,161
Donald J Trump,President,,REP,Austin,Precinct 314,1507,180,1239,88
Joseph R Biden,President,,DEM,Austin,Precinct 314,436,53,312,71
Jo Jorgensen,President,,LIB,Austin,Precinct 314,22,2,18,2
Howie Hawkins,President,,GRN,Austin,Precinct 314,10,1,9,0
Write-In Totals,President,,,Austin,Precinct 314,5,2,3,0
Tom Hoefling (W),President,,,Austin,Precinct 314,0,0,0,0
Gloria La Riva (W),President,,,Austin,Precinct 314,0,0,0,0
Abram Loeb (W),President,,,Austin,Precinct 314,0,0,0,0
Robert Marrow (W),President,,,Austin,Precinct 314,0,0,0,0
Kasey Wells (W),President,,,Austin,Precinct 314,0,0,0,0
President R. Boddie (W),President,,,Austin,Precinct 314,0,0,0,0
Write-In: Uncertified,President,,,Austin,Precinct 314,5,2,3,0
Brian Carroll (W),President,,,Austin,Precinct 314,0,0,0,0
Todd Cella (W),President,,,Austin,Precinct 314,0,0,0,0
Jesse Cuellar (W),President,,,Austin,Precinct 314,0,0,0,0
Not Assigned,President,,,Austin,Precinct 314,0,0,0,0
John Cornyn,U.S. Senate,,REP,Austin,Precinct 314,1521,183,1241,97
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Austin,Precinct 314,411,50,297,64
Kerry Douglas McKennon,U.S. Senate,,LIB,Austin,Precinct 314,26,3,23,0
David B. Collins,U.S. Senate,,GRN,Austin,Precinct 314,7,1,6,0
Write-In Totals,U.S. Senate,,,Austin,Precinct 314,3,0,3,0
Write-In: Uncertified,U.S. Senate,,,Austin,Precinct 314,2,0,2,0
Ricardo Turullols-Bonilla,U.S. Senate,,,Austin,Precinct 314,1,0,1,0
Not Assigned,U.S. Senate,,,Austin,Precinct 314,0,0,0,0
Michael McCaul,U.S. House,10,REP,Austin,Precinct 314,1546,186,1265,95
Mike Siegel,U.S. House,10,DEM,Austin,Precinct 314,388,45,283,60
Roy Eriksen,U.S. House,10,LIB,Austin,Precinct 314,32,4,25,3
"James ""Jim"" Wright",Railroad Commissioner,,REP,Austin,Precinct 314,1507,173,1246,88
Chrysta Castaneda,Railroad Commissioner,,DEM,Austin,Precinct 314,401,52,283,66
Matt Sterett,Railroad Commissioner,,LIB,Austin,Precinct 314,33,5,26,2
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Austin,Precinct 314,12,1,11,0
Lois W. Kolkhorst,State Senate,18,REP,Austin,Precinct 314,1578,183,1298,97
Michael Antalan,State Senate,18,DEM,Austin,Precinct 314,372,51,265,56
Ben Leman,State Representative,13,REP,Austin,Precinct 314,1813,221,1484,108
Ballots Cast,,,,Austin,Precinct 415,1029,459,477,93
Donald J Trump,President,,REP,Austin,Precinct 415,756,358,344,54
Joseph R Biden,President,,DEM,Austin,Precinct 415,257,91,130,36
Jo Jorgensen,President,,LIB,Austin,Precinct 415,5,3,0,2
Howie Hawkins,President,,GRN,Austin,Precinct 415,1,1,0,0
Write-In Totals,President,,,Austin,Precinct 415,3,2,0,1
Tom Hoefling (W),President,,,Austin,Precinct 415,0,0,0,0
Gloria La Riva (W),President,,,Austin,Precinct 415,0,0,0,0
Abram Loeb (W),President,,,Austin,Precinct 415,0,0,0,0
Robert Marrow (W),President,,,Austin,Precinct 415,0,0,0,0
Kasey Wells (W),President,,,Austin,Precinct 415,0,0,0,0
President R. Boddie (W),President,,,Austin,Precinct 415,0,0,0,0
Write-In: Uncertified,President,,,Austin,Precinct 415,3,2,0,1
Brian Carroll (W),President,,,Austin,Precinct 415,0,0,0,0
Todd Cella (W),President,,,Austin,Precinct 415,0,0,0,0
Jesse Cuellar (W),President,,,Austin,Precinct 415,0,0,0,0
Not Assigned,President,,,Austin,Precinct 415,0,0,0,0
John Cornyn,U.S. Senate,,REP,Austin,Precinct 415,754,358,341,55
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Austin,Precinct 415,240,84,120,36
Kerry Douglas McKennon,U.S. Senate,,LIB,Austin,Precinct 415,14,5,7,2
David B. Collins,U.S. Senate,,GRN,Austin,Precinct 415,8,5,3,0
Write-In Totals,U.S. Senate,,,Austin,Precinct 415,0,0,0,0
Write-In: Uncertified,U.S. Senate,,,Austin,Precinct 415,0,0,0,0
Ricardo Turullols-Bonilla,U.S. Senate,,,Austin,Precinct 415,0,0,0,0
Not Assigned,U.S. Senate,,,Austin,Precinct 415,0,0,0,0
Michael McCaul,U.S. House,10,REP,Austin,Precinct 415,757,355,346,56
Mike Siegel,U.S. House,10,DEM,Austin,Precinct 415,238,89,115,34
Roy Eriksen,U.S. House,10,LIB,Austin,Precinct 415,20,7,11,2
"James ""Jim"" Wright",Railroad Commissioner,,REP,Austin,Precinct 415,744,348,342,54
Chrysta Castaneda,Railroad Commissioner,,DEM,Austin,Precinct 415,250,96,120,34
Matt Sterett,Railroad Commissioner,,LIB,Austin,Precinct 415,14,5,7,2
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Austin,Precinct 415,7,2,5,0
Lois W. Kolkhorst,State Senate,18,REP,Austin,Precinct 415,780,363,358,59
Michael Antalan,State Senate,18,DEM,Austin,Precinct 415,236,88,114,34
Ben Leman,State Representative,13,REP,Austin,Precinct 415,929,418,441,70
Ballots Cast,,,,Austin,Precinct 416,925,179,681,65
Donald J Trump,President,,REP,Austin,Precinct 416,699,133,521,45
Joseph R Biden,President,,DEM,Austin,Precinct 416,216,42,155,19
Jo Jorgensen,President,,LIB,Austin,Precinct 416,6,3,3,0
Howie Hawkins,President,,GRN,Austin,Precinct 416,1,0,1,0
Write-In Totals,President,,,Austin,Precinct 416,1,1,0,0
Tom Hoefling (W),President,,,Austin,Precinct 416,0,0,0,0
Gloria La Riva (W),President,,,Austin,Precinct 416,0,0,0,0
Abram Loeb (W),President,,,Austin,Precinct 416,0,0,0,0
Robert Marrow (W),President,,,Austin,Precinct 416,0,0,0,0
Kasey Wells (W),President,,,Austin,Precinct 416,0,0,0,0
President R. Boddie (W),President,,,Austin,Precinct 416,0,0,0,0
Write-In: Uncertified,President,,,Austin,Precinct 416,1,1,0,0
Brian Carroll (W),President,,,Austin,Precinct 416,0,0,0,0
Todd Cella (W),President,,,Austin,Precinct 416,0,0,0,0
Jesse Cuellar (W),President,,,Austin,Precinct 416,0,0,0,0
Not Assigned,President,,,Austin,Precinct 416,0,0,0,0
John Cornyn,U.S. Senate,,REP,Austin,Precinct 416,681,127,509,45
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Austin,Precinct 416,219,47,152,20
Kerry Douglas McKennon,U.S. Senate,,LIB,Austin,Precinct 416,16,5,11,0
David B. Collins,U.S. Senate,,GRN,Austin,Precinct 416,2,0,2,0
Write-In Totals,U.S. Senate,,,Austin,Precinct 416,0,0,0,0
Write-In: Uncertified,U.S. Senate,,,Austin,Precinct 416,0,0,0,0
Ricardo Turullols-Bonilla,U.S. Senate,,,Austin,Precinct 416,0,0,0,0
Not Assigned,U.S. Senate,,,Austin,Precinct 416,0,0,0,0
Michael McCaul,U.S. House,10,REP,Austin,Precinct 416,696,133,518,45
Mike Siegel,U.S. House,10,DEM,Austin,Precinct 416,202,39,143,20
Roy Eriksen,U.S. House,10,LIB,Austin,Precinct 416,21,7,14,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Austin,Precinct 416,671,123,503,45
Chrysta Castaneda,Railroad Commissioner,,DEM,Austin,Precinct 416,216,44,153,19
Matt Sterett,Railroad Commissioner,,LIB,Austin,Precinct 416,23,7,15,1
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Austin,Precinct 416,8,3,5,0
Lois W. Kolkhorst,State Senate,18,REP,Austin,Precinct 416,710,136,523,51
Michael Antalan,State Senate,18,DEM,Austin,Precinct 416,208,42,152,14
Ben Leman,State Representative,13,REP,Austin,Precinct 416,858,167,637,54
Ballots Cast,,,,Austin,Precinct 417,452,140,271,41
Donald J Trump,President,,REP,Austin,Precinct 417,310,76,211,23
Joseph R Biden,President,,DEM,Austin,Precinct 417,136,60,59,17
Jo Jorgensen,President,,LIB,Austin,Precinct 417,3,2,1,0
Howie Hawkins,President,,GRN,Austin,Precinct 417,0,0,0,0
Write-In Totals,President,,,Austin,Precinct 417,1,1,0,0
Tom Hoefling (W),President,,,Austin,Precinct 417,0,0,0,0
Gloria La Riva (W),President,,,Austin,Precinct 417,0,0,0,0
Abram Loeb (W),President,,,Austin,Precinct 417,0,0,0,0
Robert Marrow (W),President,,,Austin,Precinct 417,0,0,0,0
Kasey Wells (W),President,,,Austin,Precinct 417,0,0,0,0
President R. Boddie (W),President,,,Austin,Precinct 417,0,0,0,0
Write-In: Uncertified,President,,,Austin,Precinct 417,1,1,0,0
Brian Carroll (W),President,,,Austin,Precinct 417,0,0,0,0
Todd Cella (W),President,,,Austin,Precinct 417,0,0,0,0
Jesse Cuellar (W),President,,,Austin,Precinct 417,0,0,0,0
Not Assigned,President,,,Austin,Precinct 417,0,0,0,0
John Cornyn,U.S. Senate,,REP,Austin,Precinct 417,297,72,201,24
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Austin,Precinct 417,134,58,60,16
Kerry Douglas McKennon,U.S. Senate,,LIB,Austin,Precinct 417,11,5,6,0
David B. Collins,U.S. Senate,,GRN,Austin,Precinct 417,4,1,3,0
Write-In Totals,U.S. Senate,,,Austin,Precinct 417,1,1,0,0
Write-In: Uncertified,U.S. Senate,,,Austin,Precinct 417,1,1,0,0
Ricardo Turullols-Bonilla,U.S. Senate,,,Austin,Precinct 417,0,0,0,0
Not Assigned,U.S. Senate,,,Austin,Precinct 417,0,0,0,0
Michael McCaul,U.S. House,10,REP,Austin,Precinct 417,303,75,204,24
Mike Siegel,U.S. House,10,DEM,Austin,Precinct 417,131,56,59,16
Roy Eriksen,U.S. House,10,LIB,Austin,Precinct 417,9,3,6,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Austin,Precinct 417,298,72,203,23
Chrysta Castaneda,Railroad Commissioner,,DEM,Austin,Precinct 417,134,59,58,17
Matt Sterett,Railroad Commissioner,,LIB,Austin,Precinct 417,6,1,5,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Austin,Precinct 417,0,0,0,0
Lois W. Kolkhorst,State Senate,18,REP,Austin,Precinct 417,320,83,213,24
Michael Antalan,State Senate,18,DEM,Austin,Precinct 417,125,53,57,15
Ben Leman,State Representative,13,REP,Austin,Precinct 417,386,108,249,29
Ballots Cast,,,,Austin,Precinct 418,1092,254,768,70
Donald J Trump,President,,REP,Austin,Precinct 418,903,212,640,51
Joseph R Biden,President,,DEM,Austin,Precinct 418,166,37,111,18
Jo Jorgensen,President,,LIB,Austin,Precinct 418,11,1,9,1
Howie Hawkins,President,,GRN,Austin,Precinct 418,3,0,3,0
Write-In Totals,President,,,Austin,Precinct 418,5,3,2,0
Tom Hoefling (W),President,,,Austin,Precinct 418,0,0,0,0
Gloria La Riva (W),President,,,Austin,Precinct 418,0,0,0,0
Abram Loeb (W),President,,,Austin,Precinct 418,0,0,0,0
Robert Marrow (W),President,,,Austin,Precinct 418,0,0,0,0
Kasey Wells (W),President,,,Austin,Precinct 418,0,0,0,0
President R. Boddie (W),President,,,Austin,Precinct 418,0,0,0,0
Write-In: Uncertified,President,,,Austin,Precinct 418,5,3,2,0
Brian Carroll (W),President,,,Austin,Precinct 418,0,0,0,0
Todd Cella (W),President,,,Austin,Precinct 418,0,0,0,0
Jesse Cuellar (W),President,,,Austin,Precinct 418,0,0,0,0
Not Assigned,President,,,Austin,Precinct 418,0,0,0,0
John Cornyn,U.S. Senate,,REP,Austin,Precinct 418,910,213,645,52
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Austin,Precinct 418,148,32,102,14
Kerry Douglas McKennon,U.S. Senate,,LIB,Austin,Precinct 418,22,6,14,2
David B. Collins,U.S. Senate,,GRN,Austin,Precinct 418,4,1,3,0
Write-In Totals,U.S. Senate,,,Austin,Precinct 418,3,1,1,1
Write-In: Uncertified,U.S. Senate,,,Austin,Precinct 418,3,1,1,1
Ricardo Turullols-Bonilla,U.S. Senate,,,Austin,Precinct 418,0,0,0,0
Not Assigned,U.S. Senate,,,Austin,Precinct 418,0,0,0,0
Michael McCaul,U.S. House,10,REP,Austin,Precinct 418,916,218,649,49
Mike Siegel,U.S. House,10,DEM,Austin,Precinct 418,146,32,98,16
Roy Eriksen,U.S. House,10,LIB,Austin,Precinct 418,27,2,20,5
"James ""Jim"" Wright",Railroad Commissioner,,REP,Austin,Precinct 418,894,213,634,47
Chrysta Castaneda,Railroad Commissioner,,DEM,Austin,Precinct 418,156,34,104,18
Matt Sterett,Railroad Commissioner,,LIB,Austin,Precinct 418,33,6,22,5
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Austin,Precinct 418,4,0,4,0
Lois W. Kolkhorst,State Senate,18,REP,Austin,Precinct 418,929,218,653,58
Michael Antalan,State Senate,18,DEM,Austin,Precinct 418,153,33,108,12
Ben Leman,State Representative,13,REP,Austin,Precinct 418,1034,244,729,61
