candidate,office,district,party,county,precinct,absentee,early_voting,election_day,votes
Under Votes,State Senate,1,,Cass,Precinct 13T,7,23,5,35
Chris Paddie,State Representative,9,,Cass,Precinct 13T,53,525,115,693
Over Votes,State Representative,9,,Cass,Precinct 13T,0,0,0,0
Under Votes,State Representative,9,,Cass,Precinct 13T,87,201,47,335
Donald J Trump,President ,,,Cass,Precinct 14,106,929,248,1283
Joseph R Biden,President ,,,Cass,Precinct 14,59,133,46,238
Jo Jorgensen ,President ,,,Cass,Precinct 14,1,4,1,6
Howie Hawkins,President ,,,Cass,Precinct 14,0,2,0,2
Tom Hoefling (W),President ,,,Cass,Precinct 14,0,0,0,0
Gloria La Rivera (W),President ,,,Cass,Precinct 14,0,0,0,0
Over Votes,President ,,,Cass,Precinct 14,0,0,0,0
Under Votes,President ,,,Cass,Precinct 14,2,5,5,12
John Cornyn,U.S. Senate,,,Cass,Precinct 14,112,918,234,1264
"Mary ""MJ"" Hegar",U.S. Senate,,,Cass,Precinct 14,54,121,51,226
Kerry Douglas McKennon ,U.S. Senate,,,Cass,Precinct 14,0,13,5,18
David B. Collins,U.S. Senate,,,Cass,Precinct 14,0,2,1,3
Over Votes,U.S. Senate,,,Cass,Precinct 14,1,0,0,1
Under Votes,U.S. Senate,,,Cass,Precinct 14,1,19,9,29
Pat Fallon,U.S. House,4,,Cass,Precinct 14,107,906,231,1244
Russell Foster,U.S. House,4,,Cass,Precinct 14,57,123,49,229
Lou Antonelli,U.S. House,4,,Cass,Precinct 14,1,12,5,18
Tracey Jones (W),U.S. House,4,,Cass,Precinct 14,0,0,0,0
Tracy Jones (W),U.S. House,4,,Cass,Precinct 14,0,7,2,9
Tracy Jones (W),U.S. House,4,,Cass,Precinct 14,0,1,0,1
Over Votes,U.S. House,4,,Cass,Precinct 14,0,0,0,0
Under Votes,U.S. House,4,,Cass,Precinct 14,3,24,13,40
"James ""Jim"" Wright ",Railroad Commissioner,,,Cass,Precinct 14,109,909,240,1258
Chrysta Castaneda ,Railroad Commissioner,,,Cass,Precinct 14,55,121,42,218
Matt Sterett ,Railroad Commissioner,,,Cass,Precinct 14,2,13,8,23
"Katija ""Kat"" Gruene",Railroad Commissioner,,,Cass,Precinct 14,0,3,2,5
Over Votes,Railroad Commissioner,,,Cass,Precinct 14,0,0,0,0
Under Votes,Railroad Commissioner,,,Cass,Precinct 14,2,27,8,37
Bryan Hughes,State Senate,1,,Cass,Precinct 14,112,923,246,1281
Audrey Spanko,State Senate,1,,Cass,Precinct 14,53,122,47,222
Over Votes,State Senate,1,,Cass,Precinct 14,0,0,0,0
Under Votes,State Senate,1,,Cass,Precinct 14,3,28,7,38
Chris Paddie,State Representative,9,,Cass,Precinct 14,121,964,268,1353
Over Votes,State Representative,9,,Cass,Precinct 14,0,0,0,0
Under Votes,State Representative,9,,Cass,Precinct 14,47,109,32,188
Donald J Trump,President ,,,Cass,Precinct 16,12,181,140,333
Joseph R Biden,President ,,,Cass,Precinct 16,12,17,11,40
Jo Jorgensen ,President ,,,Cass,Precinct 16,0,1,0,1
Howie Hawkins,President ,,,Cass,Precinct 16,0,0,1,1
Tom Hoefling (W),President ,,,Cass,Precinct 16,0,0,0,0
Gloria La Rivera (W),President ,,,Cass,Precinct 16,0,0,0,0
Over Votes,President ,,,Cass,Precinct 16,0,0,0,0
Under Votes,President ,,,Cass,Precinct 16,0,0,0,0
John Cornyn,U.S. Senate,,,Cass,Precinct 16,12,172,135,319
"Mary ""MJ"" Hegar",U.S. Senate,,,Cass,Precinct 16,12,18,13,43
Kerry Douglas McKennon ,U.S. Senate,,,Cass,Precinct 16,0,1,2,3
David B. Collins,U.S. Senate,,,Cass,Precinct 16,0,0,1,1
Over Votes,U.S. Senate,,,Cass,Precinct 16,0,0,0,0
Under Votes,U.S. Senate,,,Cass,Precinct 16,0,8,1,9
Pat Fallon,U.S. House,4,,Cass,Precinct 16,10,174,134,318
Russell Foster,U.S. House,4,,Cass,Precinct 16,11,19,10,40
Lou Antonelli,U.S. House,4,,Cass,Precinct 16,0,0,3,3
Tracey Jones (W),U.S. House,4,,Cass,Precinct 16,0,0,0,0
Tracy Jones (W),U.S. House,4,,Cass,Precinct 16,0,0,0,0
Tracy Jones (W),U.S. House,4,,Cass,Precinct 16,0,0,0,0
Over Votes,U.S. House,4,,Cass,Precinct 16,0,0,0,0
Under Votes,U.S. House,4,,Cass,Precinct 16,3,6,5,14
"James ""Jim"" Wright ",Railroad Commissioner,,,Cass,Precinct 16,11,174,137,322
Chrysta Castaneda ,Railroad Commissioner,,,Cass,Precinct 16,12,19,9,40
Matt Sterett ,Railroad Commissioner,,,Cass,Precinct 16,0,0,2,2
"Katija ""Kat"" Gruene",Railroad Commissioner,,,Cass,Precinct 16,0,0,0,0
Over Votes,Railroad Commissioner,,,Cass,Precinct 16,0,0,0,0
Under Votes,Railroad Commissioner,,,Cass,Precinct 16,1,6,4,11
Bryan Hughes,State Senate,1,,Cass,Precinct 16,10,174,136,320
Audrey Spanko,State Senate,1,,Cass,Precinct 16,12,16,11,39
Over Votes,State Senate,1,,Cass,Precinct 16,0,0,0,0
Under Votes,State Senate,1,,Cass,Precinct 16,2,9,5,16
Chris Paddie,State Representative,9,,Cass,Precinct 16,15,177,138,330
Over Votes,State Representative,9,,Cass,Precinct 16,0,0,0,0
Under Votes,State Representative,9,,Cass,Precinct 16,9,22,14,45
Donald J Trump,President ,,,Cass,Precinct 17,202,1569,209,1980
Joseph R Biden,President ,,,Cass,Precinct 17,78,242,37,357
Jo Jorgensen ,President ,,,Cass,Precinct 17,2,8,1,11
Howie Hawkins,President ,,,Cass,Precinct 17,0,0,0,0
Tom Hoefling (W),President ,,,Cass,Precinct 17,0,0,0,0
Gloria La Rivera (W),President ,,,Cass,Precinct 17,0,0,1,1
Over Votes,President ,,,Cass,Precinct 17,0,0,0,0
Under Votes,President ,,,Cass,Precinct 17,0,7,2,9
John Cornyn,U.S. Senate,,,Cass,Precinct 17,200,1543,201,1944
"Mary ""MJ"" Hegar",U.S. Senate,,,Cass,Precinct 17,74,235,30,339
Kerry Douglas McKennon ,U.S. Senate,,,Cass,Precinct 17,5,16,6,27
David B. Collins,U.S. Senate,,,Cass,Precinct 17,0,3,3,6
Over Votes,U.S. Senate,,,Cass,Precinct 17,0,0,0,0
Under Votes,U.S. Senate,,,Cass,Precinct 17,3,29,10,42
Pat Fallon,U.S. House,4,,Cass,Precinct 17,188,1496,195,1879
Russell Foster,U.S. House,4,,Cass,Precinct 17,77,228,32,337
Lou Antonelli,U.S. House,4,,Cass,Precinct 17,1,15,4,20
Tracey Jones (W),U.S. House,4,,Cass,Precinct 17,0,3,3,6
Tracy Jones (W),U.S. House,4,,Cass,Precinct 17,0,36,6,42
Tracy Jones (W),U.S. House,4,,Cass,Precinct 17,0,0,0,0
Over Votes,U.S. House,4,,Cass,Precinct 17,1,0,0,1
Under Votes,U.S. House,4,,Cass,Precinct 17,15,48,10,73
"James ""Jim"" Wright ",Railroad Commissioner,,,Cass,Precinct 17,199,1533,199,1931
Chrysta Castaneda ,Railroad Commissioner,,,Cass,Precinct 17,68,222,30,320
Matt Sterett ,Railroad Commissioner,,,Cass,Precinct 17,3,14,7,24
"Katija ""Kat"" Gruene",Railroad Commissioner,,,Cass,Precinct 17,0,8,2,10
Over Votes,Railroad Commissioner,,,Cass,Precinct 17,0,0,0,0
Under Votes,Railroad Commissioner,,,Cass,Precinct 17,12,49,12,73
Bryan Hughes,State Senate,1,,Cass,Precinct 17,193,1534,203,1930
Audrey Spanko,State Senate,1,,Cass,Precinct 17,74,235,35,344
Over Votes,State Senate,1,,Cass,Precinct 17,0,0,0,0
Under Votes,State Senate,1,,Cass,Precinct 17,15,57,12,84
Chris Paddie,State Representative,9,,Cass,Precinct 17,207,1611,221,2039
Over Votes,State Representative,9,,Cass,Precinct 17,0,0,0,0
Under Votes,State Representative,9,,Cass,Precinct 17,75,215,29,319
Donald J Trump,President ,,,Cass,Precinct 18,31,259,87,377
Joseph R Biden,President ,,,Cass,Precinct 18,9,12,7,28
Jo Jorgensen ,President ,,,Cass,Precinct 18,0,1,1,2
Howie Hawkins,President ,,,Cass,Precinct 18,1,0,1,2
Tom Hoefling (W),President ,,,Cass,Precinct 18,0,0,0,0
Gloria La Rivera (W),President ,,,Cass,Precinct 18,0,0,0,0
Over Votes,President ,,,Cass,Precinct 18,0,0,0,0
Under Votes,President ,,,Cass,Precinct 18,0,3,1,4
John Cornyn,U.S. Senate,,,Cass,Precinct 18,30,248,80,358
"Mary ""MJ"" Hegar",U.S. Senate,,,Cass,Precinct 18,10,12,8,30
Kerry Douglas McKennon ,U.S. Senate,,,Cass,Precinct 18,0,4,3,7
David B. Collins,U.S. Senate,,,Cass,Precinct 18,1,1,2,4
Over Votes,U.S. Senate,,,Cass,Precinct 18,0,0,0,0
Under Votes,U.S. Senate,,,Cass,Precinct 18,0,10,4,14
Pat Fallon,U.S. House,4,,Cass,Precinct 18,29,250,84,363
Russell Foster,U.S. House,4,,Cass,Precinct 18,11,13,6,30
Lou Antonelli,U.S. House,4,,Cass,Precinct 18,0,1,3,4
Tracey Jones (W),U.S. House,4,,Cass,Precinct 18,0,0,0,0
Tracy Jones (W),U.S. House,4,,Cass,Precinct 18,0,4,0,4
Tracy Jones (W),U.S. House,4,,Cass,Precinct 18,0,0,0,0
Over Votes,U.S. House,4,,Cass,Precinct 18,0,0,0,0
Under Votes,U.S. House,4,,Cass,Precinct 18,1,7,4,12
"James ""Jim"" Wright ",Railroad Commissioner,,,Cass,Precinct 18,30,252,81,363
Chrysta Castaneda ,Railroad Commissioner,,,Cass,Precinct 18,10,10,6,26
Matt Sterett ,Railroad Commissioner,,,Cass,Precinct 18,0,3,4,7
"Katija ""Kat"" Gruene",Railroad Commissioner,,,Cass,Precinct 18,1,1,1,3
Over Votes,Railroad Commissioner,,,Cass,Precinct 18,0,0,0,0
Under Votes,Railroad Commissioner,,,Cass,Precinct 18,0,9,5,14
Bryan Hughes,State Senate,1,,Cass,Precinct 18,29,254,85,368
Audrey Spanko,State Senate,1,,Cass,Precinct 18,9,12,5,26
Over Votes,State Senate,1,,Cass,Precinct 18,0,0,0,0
Under Votes,State Senate,1,,Cass,Precinct 18,3,9,7,19
Chris Paddie,State Representative,9,,Cass,Precinct 18,33,261,87,381
Over Votes,State Representative,9,,Cass,Precinct 18,0,0,0,0
Under Votes,State Representative,9,,Cass,Precinct 18,8,14,10,32
Donald J Trump,President ,,,Cass,Precinct 21,5,93,86,184
Joseph R Biden,President ,,,Cass,Precinct 21,7,12,6,25
Jo Jorgensen ,President ,,,Cass,Precinct 21,0,0,3,3
Howie Hawkins,President ,,,Cass,Precinct 21,0,0,0,0
Tom Hoefling (W),President ,,,Cass,Precinct 21,0,2,0,2
Gloria La Rivera (W),President ,,,Cass,Precinct 21,0,0,0,0
Over Votes,President ,,,Cass,Precinct 21,0,0,0,0
Under Votes,President ,,,Cass,Precinct 21,0,0,0,0
John Cornyn,U.S. Senate,,,Cass,Precinct 21,5,90,84,179
"Mary ""MJ"" Hegar",U.S. Senate,,,Cass,Precinct 21,5,12,6,23
Kerry Douglas McKennon ,U.S. Senate,,,Cass,Precinct 21,0,1,1,2
David B. Collins,U.S. Senate,,,Cass,Precinct 21,0,1,0,1
Over Votes,U.S. Senate,,,Cass,Precinct 21,0,0,0,0
Under Votes,U.S. Senate,,,Cass,Precinct 21,2,3,4,9
Pat Fallon,U.S. House,4,,Cass,Precinct 21,5,90,84,179
Russell Foster,U.S. House,4,,Cass,Precinct 21,5,12,7,24
Lou Antonelli,U.S. House,4,,Cass,Precinct 21,0,1,1,2
Tracey Jones (W),U.S. House,4,,Cass,Precinct 21,0,0,0,0
Tracy Jones (W),U.S. House,4,,Cass,Precinct 21,0,0,1,1
Tracy Jones (W),U.S. House,4,,Cass,Precinct 21,0,0,0,0
Over Votes,U.S. House,4,,Cass,Precinct 21,0,0,0,0
Under Votes,U.S. House,4,,Cass,Precinct 21,2,4,2,8
"James ""Jim"" Wright ",Railroad Commissioner,,,Cass,Precinct 21,5,91,85,181
Chrysta Castaneda ,Railroad Commissioner,,,Cass,Precinct 21,5,11,6,22
Matt Sterett ,Railroad Commissioner,,,Cass,Precinct 21,0,1,2,3
"Katija ""Kat"" Gruene",Railroad Commissioner,,,Cass,Precinct 21,0,0,0,0
Over Votes,Railroad Commissioner,,,Cass,Precinct 21,0,0,0,0
Under Votes,Railroad Commissioner,,,Cass,Precinct 21,2,4,2,8
Bryan Hughes,State Senate,1,,Cass,Precinct 21,5,92,88,185
Audrey Spanko,State Senate,1,,Cass,Precinct 21,5,12,7,24
Over Votes,State Senate,1,,Cass,Precinct 21,0,0,0,0
Under Votes,State Senate,1,,Cass,Precinct 21,2,3,0,5
Chris Paddie,State Representative,9,,Cass,Precinct 21,6,99,88,193
Over Votes,State Representative,9,,Cass,Precinct 21,0,0,0,0
Under Votes,State Representative,9,,Cass,Precinct 21,6,8,7,21
Donald J Trump,President ,,,Cass,Precinct 19,17,197,107,321
Joseph R Biden,President ,,,Cass,Precinct 19,8,13,9,30
Jo Jorgensen ,President ,,,Cass,Precinct 19,0,2,1,3
Howie Hawkins,President ,,,Cass,Precinct 19,0,0,0,0
Tom Hoefling (W),President ,,,Cass,Precinct 19,0,0,0,0
Gloria La Rivera (W),President ,,,Cass,Precinct 19,0,0,0,0
Over Votes,President ,,,Cass,Precinct 19,1,0,0,1
Under Votes,President ,,,Cass,Precinct 19,0,0,1,1
John Cornyn,U.S. Senate,,,Cass,Precinct 19,17,190,104,311
"Mary ""MJ"" Hegar",U.S. Senate,,,Cass,Precinct 19,8,15,8,31
Kerry Douglas McKennon ,U.S. Senate,,,Cass,Precinct 19,0,1,2,3
David B. Collins,U.S. Senate,,,Cass,Precinct 19,0,0,0,0
Over Votes,U.S. Senate,,,Cass,Precinct 19,1,0,0,1
Under Votes,U.S. Senate,,,Cass,Precinct 19,0,6,4,10
Pat Fallon,U.S. House,4,,Cass,Precinct 19,17,191,103,311
Russell Foster,U.S. House,4,,Cass,Precinct 19,8,10,7,25
Lou Antonelli,U.S. House,4,,Cass,Precinct 19,0,0,3,3
Tracey Jones (W),U.S. House,4,,Cass,Precinct 19,0,0,0,0
Tracy Jones (W),U.S. House,4,,Cass,Precinct 19,0,2,1,3
Tracy Jones (W),U.S. House,4,,Cass,Precinct 19,0,2,0,2
Over Votes,U.S. House,4,,Cass,Precinct 19,1,0,0,1
Under Votes,U.S. House,4,,Cass,Precinct 19,0,7,4,11
"James ""Jim"" Wright ",Railroad Commissioner,,,Cass,Precinct 19,17,191,107,315
Chrysta Castaneda ,Railroad Commissioner,,,Cass,Precinct 19,8,11,5,24
Matt Sterett ,Railroad Commissioner,,,Cass,Precinct 19,0,2,2,4
"Katija ""Kat"" Gruene",Railroad Commissioner,,,Cass,Precinct 19,0,0,0,0
Over Votes,Railroad Commissioner,,,Cass,Precinct 19,1,0,0,1
Under Votes,Railroad Commissioner,,,Cass,Precinct 19,0,8,4,12
Bryan Hughes,State Senate,1,,Cass,Precinct 19,17,193,105,315
Audrey Spanko,State Senate,1,,Cass,Precinct 19,9,11,6,26
Over Votes,State Senate,1,,Cass,Precinct 19,0,0,0,0
Under Votes,State Senate,1,,Cass,Precinct 19,0,8,7,15
Chris Paddie,State Representative,9,,Cass,Precinct 19,19,195,107,321
Over Votes,State Representative,9,,Cass,Precinct 19,0,0,0,0
Under Votes,State Representative,9,,Cass,Precinct 19,7,17,11,35
Donald J Trump,President ,,,Cass,Precinct 20E,10,98,35,143
Joseph R Biden,President ,,,Cass,Precinct 20E,2,16,6,24
Jo Jorgensen ,President ,,,Cass,Precinct 20E,0,0,1,1
Howie Hawkins,President ,,,Cass,Precinct 20E,0,0,0,0
Tom Hoefling (W),President ,,,Cass,Precinct 20E,0,0,0,0
Gloria La Rivera (W),President ,,,Cass,Precinct 20E,0,0,0,0
Over Votes,President ,,,Cass,Precinct 20E,0,0,0,0
Under Votes,President ,,,Cass,Precinct 20E,0,0,0,0
John Cornyn,U.S. Senate,,,Cass,Precinct 20E,10,99,32,141
"Mary ""MJ"" Hegar",U.S. Senate,,,Cass,Precinct 20E,2,13,9,24
Kerry Douglas McKennon ,U.S. Senate,,,Cass,Precinct 20E,0,0,1,1
David B. Collins,U.S. Senate,,,Cass,Precinct 20E,0,1,0,1
Over Votes,U.S. Senate,,,Cass,Precinct 20E,0,0,0,0
Under Votes,U.S. Senate,,,Cass,Precinct 20E,0,1,0,1
Pat Fallon,U.S. House,4,,Cass,Precinct 20E,9,96,33,138
Russell Foster,U.S. House,4,,Cass,Precinct 20E,2,16,6,24
Lou Antonelli,U.S. House,4,,Cass,Precinct 20E,0,0,1,1
Tracey Jones (W),U.S. House,4,,Cass,Precinct 20E,0,0,0,0
Tracy Jones (W),U.S. House,4,,Cass,Precinct 20E,0,0,0,0
Tracy Jones (W),U.S. House,4,,Cass,Precinct 20E,0,0,0,0
Over Votes,U.S. House,4,,Cass,Precinct 20E,0,0,0,0
Under Votes,U.S. House,4,,Cass,Precinct 20E,1,2,2,5
"James ""Jim"" Wright ",Railroad Commissioner,,,Cass,Precinct 20E,10,96,29,135
Chrysta Castaneda ,Railroad Commissioner,,,Cass,Precinct 20E,2,14,8,24
Matt Sterett ,Railroad Commissioner,,,Cass,Precinct 20E,0,0,3,3
"Katija ""Kat"" Gruene",Railroad Commissioner,,,Cass,Precinct 20E,0,1,1,2
Over Votes,Railroad Commissioner,,,Cass,Precinct 20E,0,0,0,0
Under Votes,Railroad Commissioner,,,Cass,Precinct 20E,0,3,1,4
Bryan Hughes,State Senate,1,,Cass,Precinct 20E,9,99,35,143
Audrey Spanko,State Senate,1,,Cass,Precinct 20E,2,14,6,22
Over Votes,State Senate,1,,Cass,Precinct 20E,0,0,0,0
Under Votes,State Senate,1,,Cass,Precinct 20E,1,1,1,3
Chris Paddie,State Representative,9,,Cass,Precinct 20E,10,100,32,142
Over Votes,State Representative,9,,Cass,Precinct 20E,0,0,0,0
Under Votes,State Representative,9,,Cass,Precinct 20E,2,14,10,26
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
