county,precinct,office,district,candidate,party,votes,election day,early_voting,mail ,provisional,limited
Kleberg,Precinct 31,President,,Tulsi Gabbard,DEM,1,1,0,0,0,0
Kleberg,Precinct 31,President,,Elizabeth Warren,DEM,13,8,4,1,0,0
Kleberg,Precinct 31,President,,Julian Castro,DEM,3,2,1,0,0,0
Kleberg,Precinct 31,President,,Pete Buttigieg,DEM,9,0,6,3,0,0
Kleberg,Precinct 31,President,,"Roque ""Rocky"" De La Fuente",DEM,0,0,0,0,0,0
Kleberg,Precinct 31,President,,Michael R. Bloomberg,DEM,30,14,10,6,0,0
Kleberg,Precinct 31,President,,Cory Booker,DEM,1,0,1,0,0,0
Kleberg,Precinct 31,President,,Joseph R. Biden,DEM,68,48,16,4,0,0
Kleberg,Precinct 31,President,,Amy Klobuchar,DEM,3,0,3,0,0,0
Kleberg,Precinct 31,President,,Tom Steyer,DEM,1,0,1,0,0,0
Kleberg,Precinct 31,President,,Bernie Sanders,DEM,37,25,10,2,0,0
Kleberg,Precinct 31,President,,John K. Delaney,DEM,0,0,0,0,0,0
Kleberg,Precinct 31,President,,Deval Patrick,DEM,0,0,0,0,0,0
Kleberg,Precinct 31,President,,Marianne Williamson,DEM,0,0,0,0,0,0
Kleberg,Precinct 31,President,,Robby Wells,DEM,0,0,0,0,0,0
Kleberg,Precinct 31,U.S. Senate,,Adrian Ocegueda,DEM,8,5,1,2,0,0
Kleberg,Precinct 31,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,37,23,12,2,0,0
Kleberg,Precinct 31,U.S. Senate,,D. R. Hunter,DEM,8,7,0,1,0,0
Kleberg,Precinct 31,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,43,29,12,2,0,0
Kleberg,Precinct 31,U.S. Senate,,Michael Cooper,DEM,6,4,2,0,0,0
Kleberg,Precinct 31,U.S. Senate,,Chris Bell,DEM,6,3,1,2,0,0
Kleberg,Precinct 31,U.S. Senate,,Sema Hernandez,DEM,11,6,3,2,0,0
Kleberg,Precinct 31,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,12,4,6,2,0,0
Kleberg,Precinct 31,U.S. Senate,,Victor Hugo Harris,DEM,6,4,2,0,0,0
Kleberg,Precinct 31,U.S. Senate,,Amanda K. Edwards,DEM,6,4,2,0,0,0
Kleberg,Precinct 31,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,2,1,1,0,0,0
Kleberg,Precinct 31,U.S. Senate,,Royce West,DEM,8,2,4,2,0,0
Kleberg,Precinct 31,U.S. House,34,Diego Zavala,DEM,35,24,7,4,0,0
Kleberg,Precinct 31,U.S. House,34,Filemon B. Vela,DEM,113,63,40,10,0,0
Kleberg,Precinct 31,U.S. House,34,"Osbert Rodriguez Haro, III",DEM,8,6,2,0,0,0
Kleberg,Precinct 31,Railroad Commissioner,,Chrysta Castaneda,DEM,62,38,20,4,0,0
Kleberg,Precinct 31,Railroad Commissioner,,Mark Watson,DEM,19,10,5,4,0,0
Kleberg,Precinct 31,Railroad Commissioner,,Kelly Stone,DEM,15,7,7,1,0,0
Kleberg,Precinct 31,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,56,36,16,4,0,0
Kleberg,Precinct 31,State Senate,27,"Eddie Lucio, Jr.",DEM,62,39,19,4,0,0
Kleberg,Precinct 31,State Senate,27,Ruben Cortez,DEM,22,13,5,4,0,0
Kleberg,Precinct 31,State Senate,27,Sara Stapleton Barrera,DEM,78,46,25,7,0,0
Kleberg,Precinct 32,Registered Voters,,,,1145,,,,,
Kleberg,Precinct 32,Ballots Cast Total,,,,253,144,95,14,0,0
Kleberg,Precinct 32,Ballots Cast,,,REP,105,56,47,2,0,0
Kleberg,Precinct 32,Ballots Cast,,,DEM,148,88,48,12,0,0
Kleberg,Precinct 32,President,,Michael Bennet,DEM,2,1,1,0,0,0
Kleberg,Precinct 32,President,,Andrew Yang,DEM,0,0,0,0,0,0
Kleberg,Precinct 32,President,,Tulsi Gabbard,DEM,1,1,0,0,0,0
Kleberg,Precinct 32,President,,Elizabeth Warren,DEM,10,7,2,1,0,0
Kleberg,Precinct 32,President,,Julian Castro,DEM,4,2,2,0,0,0
Kleberg,Precinct 32,President,,Pete Buttigieg,DEM,5,0,4,1,0,0
Kleberg,Precinct 32,President,,"Roque ""Rocky"" De La Fuente",DEM,1,1,0,0,0,0
Kleberg,Precinct 32,President,,Michael R. Bloomberg,DEM,30,18,9,3,0,0
Kleberg,Precinct 32,President,,Cory Booker,DEM,0,0,0,0,0,0
Kleberg,Precinct 32,President,,Joseph R. Biden,DEM,61,44,12,5,0,0
Kleberg,Precinct 32,President,,Amy Klobuchar,DEM,6,0,4,2,0,0
Kleberg,Precinct 32,President,,Tom Steyer,DEM,0,0,0,0,0,0
Kleberg,Precinct 32,President,,Bernie Sanders,DEM,24,14,10,0,0,0
Kleberg,Precinct 32,President,,John K. Delaney,DEM,0,0,0,0,0,0
Kleberg,Precinct 32,President,,Deval Patrick,DEM,0,0,0,0,0,0
Kleberg,Precinct 32,President,,Marianne Williamson,DEM,1,0,1,0,0,0
Kleberg,Precinct 32,President,,Robby Wells,DEM,0,0,0,0,0,0
Kleberg,Precinct 32,U.S. Senate,,Adrian Ocegueda,DEM,5,4,1,0,0,0
Kleberg,Precinct 32,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,30,19,9,2,0,0
Kleberg,Precinct 32,U.S. Senate,,D. R. Hunter,DEM,14,6,6,2,0,0
Kleberg,Precinct 32,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,36,21,13,2,0,0
Kleberg,Precinct 32,U.S. Senate,,Michael Cooper,DEM,8,3,5,0,0,0
Kleberg,Precinct 32,U.S. Senate,,Chris Bell,DEM,4,4,0,0,0,0
Kleberg,Precinct 32,U.S. Senate,,Sema Hernandez,DEM,6,5,1,0,0,0
Kleberg,Precinct 32,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,13,3,6,4,0,0
Kleberg,Precinct 32,U.S. Senate,,Victor Hugo Harris,DEM,1,1,0,0,0,0
Kleberg,Precinct 32,U.S. Senate,,Amanda K. Edwards,DEM,12,9,1,2,0,0
Kleberg,Precinct 32,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,0,0,0,0,0,0
Kleberg,Precinct 32,U.S. Senate,,Royce West,DEM,6,2,4,0,0,0
Kleberg,Precinct 32,U.S. House,34,Diego Zavala,DEM,43,27,13,3,0,0
Kleberg,Precinct 32,U.S. House,34,Filemon B. Vela,DEM,87,50,29,8,0,0
Kleberg,Precinct 32,U.S. House,34,"Osbert Rodriguez Haro, III",DEM,7,3,3,1,0,0
Kleberg,Precinct 32,Railroad Commissioner,,Chrysta Castaneda,DEM,56,33,19,4,0,0
Kleberg,Precinct 32,Railroad Commissioner,,Mark Watson,DEM,22,11,10,1,0,0
Kleberg,Precinct 32,Railroad Commissioner,,Kelly Stone,DEM,13,9,2,2,0,0
Kleberg,Precinct 32,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,41,26,12,3,0,0
Kleberg,Precinct 32,State Senate,27,"Eddie Lucio, Jr.",DEM,51,34,15,2,0,0
Kleberg,Precinct 32,State Senate,27,Ruben Cortez,DEM,21,14,6,1,0,0
Kleberg,Precinct 32,State Senate,27,Sara Stapleton Barrera,DEM,64,34,22,8,0,0
Kleberg,Precinct 33/34,Registered Voters,,,,1245,,,,,
Kleberg,Precinct 33/34,Ballots Cast Total,,,,501,352,135,14,0,0
Kleberg,Precinct 33/34,Ballots Cast,,,REP,245,184,60,1,0,0
Kleberg,Precinct 33/34,Ballots Cast,,,DEM,256,168,75,13,0,0
Kleberg,Precinct 33/34,President,,Michael Bennet,DEM,4,4,0,0,0,0
Kleberg,Precinct 33/34,President,,Andrew Yang,DEM,1,1,0,0,0,0
Kleberg,Precinct 33/34,President,,Tulsi Gabbard,DEM,4,2,2,0,0,0
Kleberg,Precinct 33/34,President,,Elizabeth Warren,DEM,14,7,7,0,0,0
Kleberg,Precinct 33/34,President,,Julian Castro,DEM,3,2,1,0,0,0
Kleberg,Precinct 33/34,President,,Pete Buttigieg,DEM,10,5,5,0,0,0
Kleberg,Precinct 33/34,President,,"Roque ""Rocky"" De La Fuente",DEM,10,8,2,0,0,0
Kleberg,Precinct 33/34,President,,Michael R. Bloomberg,DEM,49,25,20,4,0,0
Kleberg,Precinct 33/34,President,,Cory Booker,DEM,2,1,1,0,0,0
Kleberg,Precinct 33/34,President,,Joseph R. Biden,DEM,82,59,20,3,0,0
Kleberg,Precinct 33/34,President,,Amy Klobuchar,DEM,3,1,2,0,0,0
Kleberg,Precinct 33/34,President,,Tom Steyer,DEM,1,1,0,0,0,0
Kleberg,Precinct 33/34,President,,Bernie Sanders,DEM,43,25,13,5,0,0
Kleberg,Precinct 33/34,President,,John K. Delaney,DEM,0,0,0,0,0,0
Kleberg,Precinct 33/34,President,,Deval Patrick,DEM,0,0,0,0,0,0
Kleberg,Precinct 33/34,President,,Marianne Williamson,DEM,2,2,0,0,0,0
Kleberg,Precinct 33/34,President,,Robby Wells,DEM,0,0,0,0,0,0
Kleberg,Precinct 33/34,U.S. Senate,,Adrian Ocegueda,DEM,8,5,1,2,0,0
Kleberg,Precinct 33/34,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,39,24,14,1,0,0
Kleberg,Precinct 33/34,U.S. Senate,,D. R. Hunter,DEM,17,11,4,2,0,0
Kleberg,Precinct 33/34,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,61,40,20,1,0,0
Kleberg,Precinct 33/34,U.S. Senate,,Michael Cooper,DEM,12,8,2,2,0,0
Kleberg,Precinct 33/34,U.S. Senate,,Chris Bell,DEM,13,7,6,0,0,0
Kleberg,Precinct 33/34,U.S. Senate,,Sema Hernandez,DEM,21,14,5,2,0,0
Kleberg,Precinct 33/34,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,11,3,8,0,0,0
Kleberg,Precinct 33/34,U.S. Senate,,Victor Hugo Harris,DEM,4,3,1,0,0,0
Kleberg,Precinct 33/34,U.S. Senate,,Amanda K. Edwards,DEM,13,7,5,1,0,0
Kleberg,Precinct 33/34,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,3,3,0,0,0,0
Kleberg,Precinct 33/34,U.S. Senate,,Royce West,DEM,8,5,3,0,0,0
Kleberg,Precinct 33/34,U.S. House,34,Diego Zavala,DEM,48,35,12,1,0,0
Kleberg,Precinct 33/34,U.S. House,34,Filemon B. Vela,DEM,150,88,52,10,0,0
Kleberg,Precinct 33/34,U.S. House,34,"Osbert Rodriguez Haro, III",DEM,14,9,4,1,0,0
Kleberg,Precinct 33/34,Railroad Commissioner,,Chrysta Castaneda,DEM,64,38,22,4,0,0
Kleberg,Precinct 33/34,Railroad Commissioner,,Mark Watson,DEM,37,24,10,3,0,0
Kleberg,Precinct 33/34,Railroad Commissioner,,Kelly Stone,DEM,35,18,17,0,0,0
Kleberg,Precinct 33/34,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,77,52,20,5,0,0
Kleberg,Precinct 33/34,State Senate,27,"Eddie Lucio, Jr.",DEM,104,66,32,6,0,0
Kleberg,Precinct 33/34,State Senate,27,Ruben Cortez,DEM,27,18,7,2,0,0
Kleberg,Precinct 33/34,State Senate,27,Sara Stapleton Barrera,DEM,95,60,30,5,0,0
Kleberg,Precinct 35,Registered Voters,,,,1101,,,,,
Kleberg,Precinct 35,Ballots Cast Total,,,,305,195,94,16,0,0
Kleberg,Precinct 35,Ballots Cast,,,REP,161,100,61,0,0,0
Kleberg,Precinct 35,Ballots Cast,,,DEM,144,95,33,16,0,0
Kleberg,Precinct 35,President,,Michael Bennet,DEM,4,2,2,0,0,0
Kleberg,Precinct 35,President,,Andrew Yang,DEM,1,0,1,0,0,0
Kleberg,Precinct 35,President,,Tulsi Gabbard,DEM,3,2,1,0,0,0
Kleberg,Precinct 35,President,,Elizabeth Warren,DEM,4,3,1,0,0,0
Kleberg,Precinct 35,President,,Julian Castro,DEM,3,2,1,0,0,0
Kleberg,Precinct 35,President,,Pete Buttigieg,DEM,4,0,4,0,0,0
Kleberg,Precinct 35,President,,"Roque ""Rocky"" De La Fuente",DEM,2,1,1,0,0,0
Kleberg,Precinct 35,President,,Michael R. Bloomberg,DEM,19,12,3,4,0,0
Kleberg,Precinct 35,President,,Cory Booker,DEM,0,0,0,0,0,0
Kleberg,Precinct 35,President,,Joseph R. Biden,DEM,58,41,10,7,0,0
Kleberg,Precinct 35,President,,Amy Klobuchar,DEM,0,0,0,0,0,0
Kleberg,Precinct 35,President,,Tom Steyer,DEM,0,0,0,0,0,0
Kleberg,Precinct 35,President,,Bernie Sanders,DEM,36,26,6,4,0,0
Kleberg,Precinct 35,President,,John K. Delaney,DEM,0,0,0,0,0,0
Kleberg,Precinct 35,President,,Deval Patrick,DEM,0,0,0,0,0,0
Kleberg,Precinct 35,President,,Marianne Williamson,DEM,0,0,0,0,0,0
Kleberg,Precinct 35,President,,Robby Wells,DEM,0,0,0,0,0,0
Kleberg,Precinct 35,U.S. Senate,,Adrian Ocegueda,DEM,2,1,0,1,0,0
Kleberg,Precinct 35,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,25,19,6,0,0,0
Kleberg,Precinct 35,U.S. Senate,,D. R. Hunter,DEM,14,8,2,4,0,0
Kleberg,Precinct 35,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,36,23,8,5,0,0
Kleberg,Precinct 35,U.S. Senate,,Michael Cooper,DEM,7,6,1,0,0,0
Kleberg,Precinct 35,U.S. Senate,,Chris Bell,DEM,3,2,1,0,0,0
Kleberg,Precinct 35,U.S. Senate,,Sema Hernandez,DEM,15,9,5,1,0,0
Kleberg,Precinct 35,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,7,2,3,2,0,0
Kleberg,Precinct 35,U.S. Senate,,Victor Hugo Harris,DEM,4,4,0,0,0,0
Kleberg,Precinct 35,U.S. Senate,,Amanda K. Edwards,DEM,2,1,1,0,0,0
Kleberg,Precinct 35,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,0,0,0,0,0,0
Kleberg,Precinct 35,U.S. Senate,,Royce West,DEM,1,0,1,0,0,0
Kleberg,Precinct 35,U.S. House,34,Diego Zavala,DEM,24,17,7,0,0,0
Kleberg,Precinct 35,U.S. House,34,Filemon B. Vela,DEM,91,56,23,12,0,0
Kleberg,Precinct 35,U.S. House,34,"Osbert Rodriguez Haro, III",DEM,12,7,2,3,0,0
Kleberg,Precinct 35,Railroad Commissioner,,Chrysta Castaneda,DEM,48,27,13,8,0,0
Kleberg,Precinct 35,Railroad Commissioner,,Mark Watson,DEM,16,10,5,1,0,0
Kleberg,Precinct 35,Railroad Commissioner,,Kelly Stone,DEM,12,11,1,0,0,0
Kleberg,Precinct 35,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,45,29,13,3,0,0
Kleberg,Precinct 35,State Senate,27,"Eddie Lucio, Jr.",DEM,68,46,15,7,0,0
Kleberg,Precinct 35,State Senate,27,Ruben Cortez,DEM,12,11,0,1,0,0
Kleberg,Precinct 35,State Senate,27,Sara Stapleton Barrera,DEM,52,27,18,7,0,0
Kleberg,Precinct 41/42,Registered Voters,,,,1484,,,,,
Kleberg,Precinct 41/42,Ballots Cast Total,,,,257,154,68,32,0,3
Kleberg,Precinct 41/42,Ballots Cast,,,REP,41,33,6,0,0,2
Kleberg,Precinct 41/42,Ballots Cast,,,DEM,216,121,62,32,0,1
Kleberg,Precinct 41/42,President,,Michael Bennet,DEM,2,1,1,0,0,0
Kleberg,Precinct 41/42,President,,Andrew Yang,DEM,0,0,0,0,0,0
Kleberg,Precinct 41/42,President,,Tulsi Gabbard,DEM,0,0,0,0,0,0
Kleberg,Precinct 41/42,President,,Elizabeth Warren,DEM,7,3,1,2,0,1
Kleberg,Precinct 41/42,President,,Julian Castro,DEM,6,2,1,3,0,0
Kleberg,Precinct 41/42,President,,Pete Buttigieg,DEM,8,1,5,2,0,0
Kleberg,Precinct 41/42,President,,"Roque ""Rocky"" De La Fuente",DEM,2,0,2,0,0,0
Kleberg,Precinct 41/42,President,,Michael R. Bloomberg,DEM,53,31,14,8,0,0
Kleberg,Precinct 41/42,President,,Cory Booker,DEM,0,0,0,0,0,0
Kleberg,Precinct 41/42,President,,Joseph R. Biden,DEM,62,41,13,8,0,0
Kleberg,Precinct 41/42,President,,Amy Klobuchar,DEM,1,0,1,0,0,0
Kleberg,Precinct 41/42,President,,Tom Steyer,DEM,1,1,0,0,0,0
Kleberg,Precinct 41/42,President,,Bernie Sanders,DEM,51,32,11,8,0,0
Kleberg,Precinct 41/42,President,,John K. Delaney,DEM,0,0,0,0,0,0
Kleberg,Precinct 41/42,President,,Deval Patrick,DEM,0,0,0,0,0,0
Kleberg,Precinct 41/42,President,,Marianne Williamson,DEM,1,0,1,0,0,0
Kleberg,Precinct 41/42,President,,Robby Wells,DEM,0,0,0,0,0,0
Kleberg,Precinct 41/42,U.S. Senate,,Adrian Ocegueda,DEM,7,2,5,0,0,0
Kleberg,Precinct 41/42,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,43,23,10,10,0,0
Kleberg,Precinct 41/42,U.S. Senate,,D. R. Hunter,DEM,12,9,0,3,0,0
Kleberg,Precinct 41/42,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,60,38,15,7,0,0
Kleberg,Precinct 41/42,U.S. Senate,,Michael Cooper,DEM,6,1,3,2,0,0
Kleberg,Precinct 41/42,U.S. Senate,,Chris Bell,DEM,3,3,0,0,0,0
Kleberg,Precinct 41/42,U.S. Senate,,Sema Hernandez,DEM,25,14,7,4,0,0
Kleberg,Precinct 41/42,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,4,1,2,1,0,0
Kleberg,Precinct 41/42,U.S. Senate,,Victor Hugo Harris,DEM,4,2,2,0,0,0
Kleberg,Precinct 41/42,U.S. Senate,,Amanda K. Edwards,DEM,8,2,4,1,0,1
Kleberg,Precinct 41/42,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,0,0,0,0,0,0
Kleberg,Precinct 41/42,U.S. Senate,,Royce West,DEM,2,1,0,1,0,0
Kleberg,Precinct 41/42,U.S. House,34,Diego Zavala,DEM,34,22,9,3,0,0
Kleberg,Precinct 41/42,U.S. House,34,Filemon B. Vela,DEM,141,77,39,4,0,1
Kleberg,Precinct 41/42,U.S. House,34,"Osbert Rodriguez Haro, III",DEM,10,6,0,4,0,0
Kleberg,Precinct 41/42,Railroad Commissioner,,Chrysta Castaneda,DEM,68,35,21,12,0,0
Kleberg,Precinct 41/42,Railroad Commissioner,,Mark Watson,DEM,10,4,3,3,0,0
Kleberg,Precinct 41/42,Railroad Commissioner,,Kelly Stone,DEM,9,6,1,1,0,1
Kleberg,Precinct 41/42,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,90,55,21,14,0,0
Kleberg,Precinct 41/42,State Senate,27,"Eddie Lucio, Jr.",DEM,105,58,29,18,0,0
Kleberg,Precinct 41/42,State Senate,27,Ruben Cortez,DEM,25,14,7,4,0,0
Kleberg,Precinct 41/42,State Senate,27,Sara Stapleton Barrera,DEM,64,39,15,10,0,0
Kleberg,Precinct 43,Registered Voters,,,,1518,,,,,
Kleberg,Precinct 43,Ballots Cast Total,,,,332,198,111,22,1,0
Kleberg,Precinct 43,Ballots Cast,,,REP,113,68,43,2,0,0
Kleberg,Precinct 43,Ballots Cast,,,DEM,219,130,68,20,1,0
Kleberg,Precinct 43,President,,Michael Bennet,DEM,2,1,1,0,0,0
Kleberg,Precinct 43,President,,Andrew Yang,DEM,0,0,0,0,0,0
Kleberg,Precinct 43,President,,Tulsi Gabbard,DEM,1,0,1,0,0,0
Kleberg,Precinct 43,President,,Elizabeth Warren,DEM,18,8,7,3,0,0
Kleberg,Precinct 43,President,,Julian Castro,DEM,5,4,1,0,0,0
Kleberg,Precinct 43,President,,Pete Buttigieg,DEM,10,0,9,1,0,0
Kleberg,Precinct 43,President,,"Roque ""Rocky"" De La Fuente",DEM,3,3,0,0,0,0
Kleberg,Precinct 43,President,,Michael R. Bloomberg,DEM,31,15,10,6,0,0
Kleberg,Precinct 43,President,,Cory Booker,DEM,0,0,0,0,0,0
Kleberg,Precinct 43,President,,Joseph R. Biden,DEM,80,61,12,7,0,0
Kleberg,Precinct 43,President,,Amy Klobuchar,DEM,5,1,4,0,0,0
Kleberg,Precinct 43,President,,Tom Steyer,DEM,1,0,1,0,0,0
Kleberg,Precinct 43,President,,Bernie Sanders,DEM,50,31,15,3,1,0
Kleberg,Precinct 43,President,,John K. Delaney,DEM,0,0,0,0,0,0
Kleberg,Precinct 43,President,,Deval Patrick,DEM,0,0,0,0,0,0
Kleberg,Precinct 43,President,,Marianne Williamson,DEM,0,0,0,0,0,0
Kleberg,Precinct 43,President,,Robby Wells,DEM,1,0,1,0,0,0
Kleberg,Precinct 43,U.S. Senate,,Adrian Ocegueda,DEM,4,2,1,1,0,0
Kleberg,Precinct 43,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,37,25,10,2,0,0
Kleberg,Precinct 43,U.S. Senate,,D. R. Hunter,DEM,14,6,6,1,1,0
Kleberg,Precinct 43,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,58,35,16,7,0,0
Kleberg,Precinct 43,U.S. Senate,,Michael Cooper,DEM,9,4,4,1,0,0
Kleberg,Precinct 43,U.S. Senate,,Chris Bell,DEM,7,5,0,2,0,0
Kleberg,Precinct 43,U.S. Senate,,Sema Hernandez,DEM,19,13,6,0,0,0
Kleberg,Precinct 43,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,16,11,3,2,0,0
Kleberg,Precinct 43,U.S. Senate,,Victor Hugo Harris,DEM,3,1,2,0,0,0
Kleberg,Precinct 43,U.S. Senate,,Amanda K. Edwards,DEM,13,10,2,1,0,0
Kleberg,Precinct 43,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,3,0,3,0,0,0
Kleberg,Precinct 43,U.S. Senate,,Royce West,DEM,2,2,0,0,0,0
Kleberg,Precinct 43,U.S. House,34,Diego Zavala,DEM,46,35,9,2,0,0
Kleberg,Precinct 43,U.S. House,34,Filemon B. Vela,DEM,141,79,46,15,1,0
Kleberg,Precinct 43,U.S. House,34,"Osbert Rodriguez Haro, III",DEM,14,7,5,2,0,0
Kleberg,Precinct 43,Railroad Commissioner,,Chrysta Castaneda,DEM,72,47,21,4,0,0
Kleberg,Precinct 43,Railroad Commissioner,,Mark Watson,DEM,20,12,6,2,0,0
Kleberg,Precinct 43,Railroad Commissioner,,Kelly Stone,DEM,13,7,5,1,0,0
Kleberg,Precinct 43,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,87,48,26,12,1,0
Kleberg,Precinct 43,State Senate,27,"Eddie Lucio, Jr.",DEM,84,46,28,10,0,0
Kleberg,Precinct 43,State Senate,27,Ruben Cortez,DEM,23,19,4,0,0,0
Kleberg,Precinct 43,State Senate,27,Sara Stapleton Barrera,DEM,96,57,28,10,1,0
Kleberg,Precinct 44,Registered Voters,,,,541,,,,,
Kleberg,Precinct 44,Ballots Cast Total,,,,110,66,34,7,0,3
Kleberg,Precinct 44,Ballots Cast,,,REP,27,16,10,0,0,1
Kleberg,Precinct 44,Ballots Cast,,,DEM,83,50,24,7,0,2
Kleberg,Precinct 44,President,,Michael Bennet,DEM,1,1,0,0,0,0
Kleberg,Precinct 44,President,,Andrew Yang,DEM,1,0,0,1,0,0
Kleberg,Precinct 44,President,,Tulsi Gabbard,DEM,0,0,0,0,0,0
Kleberg,Precinct 44,President,,Elizabeth Warren,DEM,8,6,0,0,0,2
Kleberg,Precinct 44,President,,Julian Castro,DEM,0,0,0,0,0,0
Kleberg,Precinct 44,President,,Pete Buttigieg,DEM,1,0,1,0,0,0
Kleberg,Precinct 44,President,,"Roque ""Rocky"" De La Fuente",DEM,1,0,0,1,0,0
Kleberg,Precinct 44,President,,Michael R. Bloomberg,DEM,10,3,5,2,0,0
Kleberg,Precinct 44,President,,Cory Booker,DEM,0,0,0,0,0,0
Kleberg,Precinct 44,President,,Joseph R. Biden,DEM,34,22,10,2,0,0
Kleberg,Precinct 44,President,,Amy Klobuchar,DEM,0,0,0,0,0,0
Kleberg,Precinct 44,President,,Tom Steyer,DEM,0,0,0,0,0,0
Kleberg,Precinct 44,President,,Bernie Sanders,DEM,26,17,8,1,0,0
Kleberg,Precinct 44,President,,John K. Delaney,DEM,0,0,0,0,0,0
Kleberg,Precinct 44,President,,Deval Patrick,DEM,0,0,0,0,0,0
Kleberg,Precinct 44,President,,Marianne Williamson,DEM,0,0,0,0,0,0
Kleberg,Precinct 44,President,,Robby Wells,DEM,0,0,0,0,0,0
Kleberg,Precinct 44,U.S. Senate,,Adrian Ocegueda,DEM,0,0,0,0,0,0
Kleberg,Precinct 44,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,20,13,5,2,0,0
Kleberg,Precinct 44,U.S. Senate,,D. R. Hunter,DEM,5,3,1,1,0,0
Kleberg,Precinct 44,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,21,16,3,2,0,0
Kleberg,Precinct 44,U.S. Senate,,Michael Cooper,DEM,3,3,0,0,0,0
Kleberg,Precinct 44,U.S. Senate,,Chris Bell,DEM,4,3,1,0,0,0
Kleberg,Precinct 44,U.S. Senate,,Sema Hernandez,DEM,7,4,3,0,0,0
Kleberg,Precinct 44,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,9,2,6,1,0,0
Kleberg,Precinct 44,U.S. Senate,,Victor Hugo Harris,DEM,0,0,0,0,0,0
Kleberg,Precinct 44,U.S. Senate,,Amanda K. Edwards,DEM,3,1,0,0,0,2
Kleberg,Precinct 44,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,0,0,0,0,0,0
Kleberg,Precinct 44,U.S. Senate,,Royce West,DEM,1,1,0,0,0,0
Kleberg,Precinct 44,U.S. House,34,Diego Zavala,DEM,15,11,4,0,0,0
Kleberg,Precinct 44,U.S. House,34,Filemon B. Vela,DEM,56,33,17,6,0,0
Kleberg,Precinct 44,U.S. House,34,"Osbert Rodriguez Haro, III",DEM,5,3,2,0,0,0
Kleberg,Precinct 44,Railroad Commissioner,,Chrysta Castaneda,DEM,23,13,8,1,0,1
Kleberg,Precinct 44,Railroad Commissioner,,Mark Watson,DEM,14,12,1,1,0,0
Kleberg,Precinct 44,Railroad Commissioner,,Kelly Stone,DEM,7,3,2,1,0,1
Kleberg,Precinct 44,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,28,17,8,3,0,0
Kleberg,Precinct 44,State Senate,27,"Eddie Lucio, Jr.",DEM,26,16,7,3,0,0
Kleberg,Precinct 44,State Senate,27,Ruben Cortez,DEM,15,7,6,2,0,0
Kleberg,Precinct 44,State Senate,27,Sara Stapleton Barrera,DEM,37,26,10,1,0,0
Kleberg,Precinct 45,Registered Voters,,,,795,,,,,
Kleberg,Precinct 45,Ballots Cast Total,,,,179,91,51,37,0,0
Kleberg,Precinct 45,Ballots Cast,,,REP,23,11,11,1,0,0
Kleberg,Precinct 45,Ballots Cast,,,DEM,156,80,40,36,0,0
Kleberg,Precinct 45,President,,Michael Bennet,DEM,0,0,0,0,0,0
Kleberg,Precinct 45,President,,Andrew Yang,DEM,1,0,1,0,0,0
Kleberg,Precinct 45,President,,Tulsi Gabbard,DEM,0,0,0,0,0,0
Kleberg,Precinct 45,President,,Elizabeth Warren,DEM,12,8,2,2,0,0
Kleberg,Precinct 45,President,,Julian Castro,DEM,5,1,3,1,0,0
Kleberg,Precinct 45,President,,Pete Buttigieg,DEM,3,0,3,0,0,0
