county,precinct,office,district,party,candidate,votes,early_votes,election_day,absentee
Palo Pinto,3,President,,"",Rejected write-ins,0,0,0,0
Palo Pinto,3,President,,"",Unassigned write-ins,0,0,0,0
Palo Pinto,3,U.S. Senate,,REP,John Cornyn,600,343,193,64
Palo Pinto,3,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",93,53,14,26
Palo Pinto,3,U.S. Senate,,LIB,Kerry Douglas McKennon,9,3,3,3
Palo Pinto,3,U.S. Senate,,GRN,David B. Collins,2,2,0,0
Palo Pinto,3,U.S. Senate,,"",Ricardo Turullols-Bonilla,0,0,0,0
Palo Pinto,3,U.S. Senate,,"",Rejected write-ins,0,0,0,0
Palo Pinto,3,U.S. Senate,,"",Unassigned write-ins,0,0,0,0
Palo Pinto,3,U.S. House,11,REP,August Pfluger,602,347,195,60
Palo Pinto,3,U.S. House,11,DEM,Jon Mark Hogg,88,48,10,30
Palo Pinto,3,U.S. House,11,LIB,Wacey Alpha Cody,6,2,4,0
Palo Pinto,3,Railroad Commissioner,,REP,"James ""Jim"" Wright",596,339,191,66
Palo Pinto,3,Railroad Commissioner,,DEM,Chrysta Castaeda,90,53,10,27
Palo Pinto,3,Railroad Commissioner,,LIB,Matt Sterett,6,2,4,0
Palo Pinto,3,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",1,0,1,0
Palo Pinto,3,"Chief Justice, Supreme Court",,REP,Nathan Hecht,599,346,190,63
Palo Pinto,3,"Chief Justice, Supreme Court",,DEM,Amy Clark Meachum,87,47,11,29
Palo Pinto,3,"Chief Justice, Supreme Court",,LIB,Mark Ash,9,3,5,1
Palo Pinto,3,"Justice, Supreme Court, Place No. 6 Unexpired Term",,REP,Jane Bland,608,351,192,65
Palo Pinto,3,"Justice, Supreme Court, Place No. 6 Unexpired Term",,DEM,Kathy Cheng,87,48,11,28
Palo Pinto,3,"Justice, Supreme Court, Place No. 7",,REP,Jeff Boyd,599,342,194,63
Palo Pinto,3,"Justice, Supreme Court, Place No. 7",,DEM,Staci Williams,87,49,10,28
Palo Pinto,3,"Justice, Supreme Court, Place No. 7",,LIB,William Bryan Strange III,6,2,3,1
Palo Pinto,3,"Justice, Supreme Court, Place No. 8",,REP,Brett Busby,603,344,192,67
Palo Pinto,3,"Justice, Supreme Court, Place No. 8",,DEM,Gisela D. Triana,84,49,10,25
Palo Pinto,3,"Justice, Supreme Court, Place No. 8",,LIB,Tom Oxford,7,0,6,1
