candidate,office,district,party,county,precinct,votes,mail,early_voting,limited,election_day,provisional
Under Votes,State Representative,57,,Leon,Precinct 9,10,0,5,1,4,0
Registered Voters,,,,Leon,Precinct 10,1094,,,,,
Ballots Cast,,,,Leon,Precinct 10,813,49,519,7,238,0
Donald J Trump,President,,REP,Leon,Precinct 10,740,34,480,5,221,0
Joseph R Biden,President,,DEM,Leon,Precinct 10,57,15,33,2,7,0
Jo Jorgensen,President,,LIB,Leon,Precinct 10,6,0,2,0,4,0
Howie Hawkins,President,,GRN,Leon,Precinct 10,1,0,1,0,0,0
Write-In,President,,,Leon,Precinct 10,5,0,0,0,5,0
Over Votes,President,,,Leon,Precinct 10,0,0,0,0,0,0
Under Votes,President,,,Leon,Precinct 10,4,0,3,0,1,0
John Cornyn,U.S. Senate,,REP,Leon,Precinct 10,742,36,480,5,221,0
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Leon,Precinct 10,50,13,29,2,6,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Leon,Precinct 10,11,0,5,0,6,0
David B. Collins,U.S. Senate,,GRN,Leon,Precinct 10,0,0,0,0,0,0
Write-In,U.S. Senate,,,Leon,Precinct 10,0,0,0,0,0,0
Over Votes,U.S. Senate,,,Leon,Precinct 10,0,0,0,0,0,0
Under Votes,U.S. Senate,,,Leon,Precinct 10,10,0,5,0,5,0
Pete Sessions,U.S. House,17,REP,Leon,Precinct 10,734,35,477,1,221,0
Rick Kennedy,U.S. House,17,DEM,Leon,Precinct 10,49,13,28,0,8,0
Ted Brown,U.S. House,17,LIB,Leon,Precinct 10,13,0,7,0,6,0
Over Votes,U.S. House,17,,Leon,Precinct 10,0,0,0,0,0,0
Under Votes,U.S. House,17,,Leon,Precinct 10,17,1,7,6,3,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Leon,Precinct 10,737,36,481,5,215,0
Chrysta Castaneda,Railroad Commissioner,,DEM,Leon,Precinct 10,48,12,25,2,9,0
Matt Sterett,Railroad Commissioner,,LIB,Leon,Precinct 10,15,0,5,0,10,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Leon,Precinct 10,1,0,1,0,0,0
Over Votes,Railroad Commissioner,,,Leon,Precinct 10,0,0,0,0,0,0
Under Votes,Railroad Commissioner,,,Leon,Precinct 10,12,1,7,0,4,0
Trent Ashby,State Representative,57,REP,Leon,Precinct 10,743,37,484,0,222,0
Jason Rogers,State Representative,57,DEM,Leon,Precinct 10,49,10,28,0,11,0
Over Votes,State Representative,57,,Leon,Precinct 10,0,0,0,0,0,0
Under Votes,State Representative,57,,Leon,Precinct 10,21,2,7,7,5,0
Registered Voters,,,,Leon,Precinct 11,1042,,,,,
Ballots Cast,,,,Leon,Precinct 11,682,53,382,10,237,0
Donald J Trump,President,,REP,Leon,Precinct 11,568,38,324,10,196,0
Joseph R Biden,President,,DEM,Leon,Precinct 11,101,15,51,0,35,0
Jo Jorgensen,President,,LIB,Leon,Precinct 11,7,0,4,0,3,0
Howie Hawkins,President,,GRN,Leon,Precinct 11,3,0,1,0,2,0
Write-In,President,,,Leon,Precinct 11,2,0,2,0,0,0
Over Votes,President,,,Leon,Precinct 11,0,0,0,0,0,0
Under Votes,President,,,Leon,Precinct 11,1,0,0,0,1,0
John Cornyn,U.S. Senate,,REP,Leon,Precinct 11,553,36,319,10,188,0
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Leon,Precinct 11,104,16,51,0,37,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Leon,Precinct 11,10,0,3,0,7,0
David B. Collins,U.S. Senate,,GRN,Leon,Precinct 11,2,0,2,0,0,0
Write-In,U.S. Senate,,,Leon,Precinct 11,0,0,0,0,0,0
Over Votes,U.S. Senate,,,Leon,Precinct 11,0,0,0,0,0,0
Under Votes,U.S. Senate,,,Leon,Precinct 11,13,1,7,0,5,0
Pete Sessions,U.S. House,17,REP,Leon,Precinct 11,548,38,318,3,189,0
Rick Kennedy,U.S. House,17,DEM,Leon,Precinct 11,96,15,47,0,34,0
Ted Brown,U.S. House,17,LIB,Leon,Precinct 11,19,0,9,0,10,0
Over Votes,U.S. House,17,,Leon,Precinct 11,0,0,0,0,0,0
Under Votes,U.S. House,17,,Leon,Precinct 11,19,0,8,7,4,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Leon,Precinct 11,550,37,317,10,186,0
Chrysta Castaneda,Railroad Commissioner,,DEM,Leon,Precinct 11,99,15,49,0,35,0
Matt Sterett,Railroad Commissioner,,LIB,Leon,Precinct 11,14,0,6,0,8,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Leon,Precinct 11,3,0,1,0,2,0
Over Votes,Railroad Commissioner,,,Leon,Precinct 11,0,0,0,0,0,0
Under Votes,Railroad Commissioner,,,Leon,Precinct 11,16,1,9,0,6,0
Trent Ashby,State Representative,57,REP,Leon,Precinct 11,559,37,329,0,193,0
Jason Rogers,State Representative,57,DEM,Leon,Precinct 11,100,15,44,0,41,0
Over Votes,State Representative,57,,Leon,Precinct 11,0,0,0,0,0,0
Under Votes,State Representative,57,,Leon,Precinct 11,23,1,9,10,3,0
Registered Voters,,,,Leon,Precinct 12,838,,,,,
Ballots Cast,,,,Leon,Precinct 12,605,68,248,5,284,0
Donald J Trump,President,,REP,Leon,Precinct 12,431,31,192,4,204,0
Joseph R Biden,President,,DEM,Leon,Precinct 12,157,36,52,1,68,0
Jo Jorgensen,President,,LIB,Leon,Precinct 12,5,0,0,0,5,0
Howie Hawkins,President,,GRN,Leon,Precinct 12,2,0,1,0,1,0
Write-In,President,,,Leon,Precinct 12,4,0,2,0,2,0
Over Votes,President,,,Leon,Precinct 12,0,0,0,0,0,0
Under Votes,President,,,Leon,Precinct 12,6,1,1,0,4,0
John Cornyn,U.S. Senate,,REP,Leon,Precinct 12,427,31,194,4,198,0
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Leon,Precinct 12,160,35,51,1,73,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Leon,Precinct 12,6,0,3,0,3,0
David B. Collins,U.S. Senate,,GRN,Leon,Precinct 12,5,0,0,0,5,0
Write-In,U.S. Senate,,,Leon,Precinct 12,1,0,0,0,1,0
Over Votes,U.S. Senate,,,Leon,Precinct 12,0,0,0,0,0,0
Under Votes,U.S. Senate,,,Leon,Precinct 12,6,2,0,0,4,0
Pete Sessions,U.S. House,17,REP,Leon,Precinct 12,434,32,194,1,207,0
Rick Kennedy,U.S. House,17,DEM,Leon,Precinct 12,148,34,49,0,65,0
Ted Brown,U.S. House,17,LIB,Leon,Precinct 12,9,0,3,0,6,0
Over Votes,U.S. House,17,,Leon,Precinct 12,0,0,0,0,0,0
Under Votes,U.S. House,17,,Leon,Precinct 12,14,2,2,4,6,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Leon,Precinct 12,428,31,193,4,200,0
Chrysta Castaneda,Railroad Commissioner,,DEM,Leon,Precinct 12,151,35,48,1,67,0
Matt Sterett,Railroad Commissioner,,LIB,Leon,Precinct 12,13,0,5,0,8,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Leon,Precinct 12,3,0,1,0,2,0
Over Votes,Railroad Commissioner,,,Leon,Precinct 12,0,0,0,0,0,0
Under Votes,Railroad Commissioner,,,Leon,Precinct 12,10,2,1,0,7,0
Trent Ashby,State Representative,57,REP,Leon,Precinct 12,438,32,196,0,210,0
Jason Rogers,State Representative,57,DEM,Leon,Precinct 12,150,34,51,0,65,0
Over Votes,State Representative,57,,Leon,Precinct 12,0,0,0,0,0,0
Under Votes,State Representative,57,,Leon,Precinct 12,17,2,1,5,9,0
Registered Voters,,,,Leon,Precinct 13,697,,,,,
Ballots Cast,,,,Leon,Precinct 13,560,65,344,6,145,0
Donald J Trump,President,,REP,Leon,Precinct 13,505,53,312,6,134,0
Joseph R Biden,President,,DEM,Leon,Precinct 13,47,11,27,0,9,0
Jo Jorgensen,President,,LIB,Leon,Precinct 13,3,0,2,0,1,0
Howie Hawkins,President,,GRN,Leon,Precinct 13,2,1,1,0,0,0
Write-In,President,,,Leon,Precinct 13,0,0,0,0,0,0
Over Votes,President,,,Leon,Precinct 13,0,0,0,0,0,0
Under Votes,President,,,Leon,Precinct 13,3,0,2,0,1,0
John Cornyn,U.S. Senate,,REP,Leon,Precinct 13,507,55,312,6,134,0
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Leon,Precinct 13,42,10,24,0,8,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Leon,Precinct 13,5,0,3,0,2,0
David B. Collins,U.S. Senate,,GRN,Leon,Precinct 13,2,0,1,0,1,0
Write-In,U.S. Senate,,,Leon,Precinct 13,1,0,1,0,0,0
Over Votes,U.S. Senate,,,Leon,Precinct 13,0,0,0,0,0,0
Under Votes,U.S. Senate,,,Leon,Precinct 13,3,0,3,0,0,0
Pete Sessions,U.S. House,17,REP,Leon,Precinct 13,499,54,309,0,136,0
Rick Kennedy,U.S. House,17,DEM,Leon,Precinct 13,40,11,22,0,7,0
Ted Brown,U.S. House,17,LIB,Leon,Precinct 13,9,0,7,0,2,0
Over Votes,U.S. House,17,,Leon,Precinct 13,0,0,0,0,0,0
Under Votes,U.S. House,17,,Leon,Precinct 13,12,0,6,6,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Leon,Precinct 13,502,54,309,5,134,0
Chrysta Castaneda,Railroad Commissioner,,DEM,Leon,Precinct 13,39,11,22,0,6,0
Matt Sterett,Railroad Commissioner,,LIB,Leon,Precinct 13,7,0,3,0,4,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Leon,Precinct 13,2,0,2,0,0,0
Over Votes,Railroad Commissioner,,,Leon,Precinct 13,0,0,0,0,0,0
Under Votes,Railroad Commissioner,,,Leon,Precinct 13,10,0,8,1,1,0
Trent Ashby,State Representative,57,REP,Leon,Precinct 13,514,55,321,0,138,0
Jason Rogers,State Representative,57,DEM,Leon,Precinct 13,36,10,20,0,6,0
Over Votes,State Representative,57,,Leon,Precinct 13,0,0,0,0,0,0
Under Votes,State Representative,57,,Leon,Precinct 13,10,0,3,6,1,0
Registered Voters,,,,Leon,Precinct 14,215,,,,,
Ballots Cast,,,,Leon,Precinct 14,151,17,109,0,25,0
Donald J Trump,President,,REP,Leon,Precinct 14,124,10,92,0,22,0
Joseph R Biden,President,,DEM,Leon,Precinct 14,25,6,16,0,3,0
Jo Jorgensen,President,,LIB,Leon,Precinct 14,1,0,1,0,0,0
Howie Hawkins,President,,GRN,Leon,Precinct 14,0,0,0,0,0,0
Write-In,President,,,Leon,Precinct 14,1,1,0,0,0,0
Over Votes,President,,,Leon,Precinct 14,0,0,0,0,0,0
Under Votes,President,,,Leon,Precinct 14,0,0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Leon,Precinct 14,119,10,88,0,21,0
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Leon,Precinct 14,24,7,15,0,2,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Leon,Precinct 14,2,0,2,0,0,0
David B. Collins,U.S. Senate,,GRN,Leon,Precinct 14,0,0,0,0,0,0
Write-In,U.S. Senate,,,Leon,Precinct 14,0,0,0,0,0,0
Over Votes,U.S. Senate,,,Leon,Precinct 14,0,0,0,0,0,0
Under Votes,U.S. Senate,,,Leon,Precinct 14,6,0,4,0,2,0
Kevin Brady,U.S. House,8,REP,Leon,Precinct 14,120,11,87,0,22,0
Elizabeth Hernandez,U.S. House,8,DEM,Leon,Precinct 14,24,6,16,0,2,0
Chris Duncan,U.S. House,8,LIB,Leon,Precinct 14,3,0,3,0,0,0
Over Votes,U.S. House,8,,Leon,Precinct 14,0,0,0,0,0,0
Under Votes,U.S. House,8,,Leon,Precinct 14,4,0,3,0,1,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Leon,Precinct 14,118,10,86,0,22,0
Chrysta Castaneda,Railroad Commissioner,,DEM,Leon,Precinct 14,23,6,15,0,2,0
Matt Sterett,Railroad Commissioner,,LIB,Leon,Precinct 14,4,1,3,0,0,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Leon,Precinct 14,1,0,1,0,0,0
Over Votes,Railroad Commissioner,,,Leon,Precinct 14,0,0,0,0,0,0
Under Votes,Railroad Commissioner,,,Leon,Precinct 14,5,0,4,0,1,0
Trent Ashby,State Representative,57,REP,Leon,Precinct 14,124,11,92,0,21,0
Jason Rogers,State Representative,57,DEM,Leon,Precinct 14,23,6,14,0,3,0
Over Votes,State Representative,57,,Leon,Precinct 14,0,0,0,0,0,0
Under Votes,State Representative,57,,Leon,Precinct 14,4,0,3,0,1,0
Registered Voters,,,,Leon,Precinct 14A,212,,,,,
Ballots Cast,,,,Leon,Precinct 14A,163,16,102,0,45,0
Donald J Trump,President,,REP,Leon,Precinct 14A,127,9,79,0,39,0
Joseph R Biden,President,,DEM,Leon,Precinct 14A,33,7,22,0,4,0
Jo Jorgensen,President,,LIB,Leon,Precinct 14A,0,0,0,0,0,0
Howie Hawkins,President,,GRN,Leon,Precinct 14A,1,0,1,0,0,0
Write-In,President,,,Leon,Precinct 14A,0,0,0,0,0,0
Over Votes,President,,,Leon,Precinct 14A,0,0,0,0,0,0
Under Votes,President,,,Leon,Precinct 14A,2,0,0,0,2,0
John Cornyn,U.S. Senate,,REP,Leon,Precinct 14A,127,9,81,0,37,0
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Leon,Precinct 14A,28,6,17,0,5,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Leon,Precinct 14A,4,1,1,0,2,0
David B. Collins,U.S. Senate,,GRN,Leon,Precinct 14A,1,0,1,0,0,0
Write-In,U.S. Senate,,,Leon,Precinct 14A,0,0,0,0,0,0
Over Votes,U.S. Senate,,,Leon,Precinct 14A,0,0,0,0,0,0
Under Votes,U.S. Senate,,,Leon,Precinct 14A,3,0,2,0,1,0
Pete Sessions,U.S. House,17,REP,Leon,Precinct 14A,125,8,77,0,40,0
Rick Kennedy,U.S. House,17,DEM,Leon,Precinct 14A,31,7,20,0,4,0
Ted Brown,U.S. House,17,LIB,Leon,Precinct 14A,4,1,3,0,0,0
Over Votes,U.S. House,17,,Leon,Precinct 14A,0,0,0,0,0,0
Under Votes,U.S. House,17,,Leon,Precinct 14A,3,0,2,0,1,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Leon,Precinct 14A,128,8,80,0,40,0
Chrysta Castaneda,Railroad Commissioner,,DEM,Leon,Precinct 14A,28,7,18,0,3,0
Matt Sterett,Railroad Commissioner,,LIB,Leon,Precinct 14A,1,0,1,0,0,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Leon,Precinct 14A,1,1,0,0,0,0
Over Votes,Railroad Commissioner,,,Leon,Precinct 14A,0,0,0,0,0,0
Under Votes,Railroad Commissioner,,,Leon,Precinct 14A,5,0,3,0,2,0
Trent Ashby,State Representative,57,REP,Leon,Precinct 14A,129,9,81,0,39,0
Jason Rogers,State Representative,57,DEM,Leon,Precinct 14A,30,7,18,0,5,0
Over Votes,State Representative,57,,Leon,Precinct 14A,0,0,0,0,0,0
Under Votes,State Representative,57,,Leon,Precinct 14A,4,0,3,0,1,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
