candidate,office,district,party,county,precinct,mail,early_voting,election_day,votes
Andrew S Murr,State Representative,53,REP,Medina,3C,60,884,144,1088
Joe P. Herrera,State Representative,53,DEM,Medina,3C,65,394,87,546
Under Votes,State Representative,53,,Medina,3C,30,49,13,92
Over Votes,State Representative,53,,Medina,3C,1,0,0,1
Donald J Trump,President,,REP,Medina,3D,24,413,99,536
Joseph R Biden,President,,DEM,Medina,3D,114,441,122,677
Jo Jorgensen,President,,LIB,Medina,3D,0,3,5,8
Howie Hawkins,President,,GRN,Medina,3D,1,3,0,4
Gloria La Rivera (W),President,,,Medina,3D,0,0,0,0
Abram Loeb (W),President,,,Medina,3D,0,0,0,0
Tom Heofling (W),President,,,Medina,3D,0,0,0,0
President R. Boddie (W),President,,,Medina,3D,0,0,0,0
Kasey Wells (W),President,,,Medina,3D,0,0,0,0
Jesse Cuellar (W),President,,,Medina,3D,0,0,0,0
Brian Carroll (W),President,,,Medina,3D,0,0,0,0
Robert Marrow (W),President,,,Medina,3D,0,0,0,0
Todd Cella (W),President,,,Medina,3D,0,0,0,0
Under Votes,President,,,Medina,3D,2,8,4,14
Over Votes,President,,,Medina,3D,1,0,0,1
John Cornyn,U.S. Senate,,REP,Medina,3D,29,397,96,522
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Medina,3D,110,399,112,621
Kerry Douglas McKennon,U.S. Senate,,LIB,Medina,3D,2,12,6,20
David B. Collins,U.S. Senate,,GRN,Medina,3D,0,6,3,9
Ricardo Turullois Bonilla (W),U.S. Senate,,,Medina,3D,0,0,0,0
Under Votes,U.S. Senate,,,Medina,3D,1,54,13,68
Over Votes,U.S. Senate,,,Medina,3D,0,0,0,0
Tony Gonzales,U.S. House,23,REP,Medina,3D,25,372,100,497
Gina Ortiz Jones,U.S. House,23,DEM,Medina,3D,110,428,114,652
Beto Villela,U.S. House,23,LIB,Medina,3D,1,28,10,39
Under Votes,U.S. House,23,,Medina,3D,6,40,6,52
Over Votes,U.S. House,23,,Medina,3D,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Medina,3D,21,355,95,471
Chrysta Castaneda,Railroad Commissioner,,DEM,Medina,3D,113,420,113,646
Matt Sterett,Railroad Commissioner,,LIB,Medina,3D,2,11,4,17
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Medina,3D,2,13,4,19
Under Votes,Railroad Commissioner,,,Medina,3D,4,69,14,87
Over Votes,Railroad Commissioner,,,Medina,3D,0,0,0,0
"Peter P. ""Pete"" Flores",State Senate,19,REP,Medina,3D,24,385,101,510
Roland Gutierrez,State Senate,19,DEM,Medina,3D,109,397,104,610
Jo-Anne Valdivia,State Senate,19,LIB,Medina,3D,2,23,9,34
Under Votes,State Senate,19,,Medina,3D,7,63,16,86
Over Votes,State Senate,19,,Medina,3D,0,0,0,0
Andrew S Murr,State Representative,53,REP,Medina,3D,17,353,83,453
Joe P. Herrera,State Representative,53,DEM,Medina,3D,113,440,131,684
Under Votes,State Representative,53,,Medina,3D,12,75,16,103
Over Votes,State Representative,53,,Medina,3D,0,0,0,0
Donald J Trump,President,,REP,Medina,4A,53,736,114,903
Joseph R Biden,President,,DEM,Medina,4A,38,215,29,282
Jo Jorgensen,President,,LIB,Medina,4A,0,6,0,6
Howie Hawkins,President,,GRN,Medina,4A,0,6,0,6
Abram Loeb (W),President,,,Medina,4A,0,0,0,0
President R. Boddie (W),President,,,Medina,4A,0,0,0,0
Jesse Cuellar (W),President,,,Medina,4A,0,0,0,0
Kasey Wells (W),President,,,Medina,4A,0,0,0,0
Todd Cella (W),President,,,Medina,4A,0,0,0,0
Brian Carroll (W),President,,,Medina,4A,0,0,0,0
Gloria La Rivera (W),President,,,Medina,4A,0,0,0,0
Tom Heofling (W),President,,,Medina,4A,0,0,0,0
Robert Marrow (W),President,,,Medina,4A,0,0,0,0
Under Votes,President,,,Medina,4A,1,7,0,8
Over Votes,President,,,Medina,4A,0,0,0,0
John Cornyn,U.S. Senate,,REP,Medina,4A,55,727,107,889
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Medina,4A,34,206,29,269
Kerry Douglas McKennon,U.S. Senate,,LIB,Medina,4A,0,11,1,12
David B. Collins,U.S. Senate,,GRN,Medina,4A,0,2,0,2
Ricardo Turullois Bonilla (W),U.S. Senate,,,Medina,4A,0,0,0,0
Under Votes,U.S. Senate,,,Medina,4A,3,24,6,33
Over Votes,U.S. Senate,,,Medina,4A,0,0,0,0
Tony Gonzales,U.S. House,23,REP,Medina,4A,55,727,102,884
Gina Ortiz Jones,U.S. House,23,DEM,Medina,4A,32,205,31,268
Beto Villela,U.S. House,23,LIB,Medina,4A,2,18,5,25
Under Votes,U.S. House,23,,Medina,4A,3,20,5,28
Over Votes,U.S. House,23,,Medina,4A,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Medina,4A,49,708,107,864
Chrysta Castaneda,Railroad Commissioner,,DEM,Medina,4A,36,198,26,260
Matt Sterett,Railroad Commissioner,,LIB,Medina,4A,0,20,0,20
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Medina,4A,1,10,1,12
Under Votes,Railroad Commissioner,,,Medina,4A,6,34,9,49
Over Votes,Railroad Commissioner,,,Medina,4A,0,0,0,0
"Peter P. ""Pete"" Flores",State Senate,19,REP,Medina,4A,51,736,102,889
Roland Gutierrez,State Senate,19,DEM,Medina,4A,31,187,28,246
Jo-Anne Valdivia,State Senate,19,LIB,Medina,4A,3,24,4,31
Under Votes,State Senate,19,,Medina,4A,7,23,9,39
Over Votes,State Senate,19,,Medina,4A,0,0,0,0
Andrew S Murr,State Representative,53,REP,Medina,4A,46,711,98,855
Joe P. Herrera,State Representative,53,DEM,Medina,4A,35,223,33,291
Under Votes,State Representative,53,,Medina,4A,11,36,12,59
Over Votes,State Representative,53,,Medina,4A,0,0,0,0
Donald J Trump,President,,REP,Medina,4B,101,1436,210,1747
Joseph R Biden,President,,DEM,Medina,4B,152,532,61,745
Jo Jorgensen,President,,LIB,Medina,4B,0,10,5,15
Howie Hawkins,President,,GRN,Medina,4B,1,3,0,4
President R. Boddie (W),President,,,Medina,4B,0,0,0,0
Robert Marrow (W),President,,,Medina,4B,0,0,0,0
Tom Heofling (W),President,,,Medina,4B,2,0,0,2
Kasey Wells (W),President,,,Medina,4B,0,0,0,0
Todd Cella (W),President,,,Medina,4B,0,0,0,0
Gloria La Rivera (W),President,,,Medina,4B,0,0,0,0
Brian Carroll (W),President,,,Medina,4B,0,0,1,1
Abram Loeb (W),President,,,Medina,4B,0,1,0,1
Jesse Cuellar (W),President,,,Medina,4B,0,0,0,0
Under Votes,President,,,Medina,4B,1,3,3,7
Over Votes,President,,,Medina,4B,1,0,0,1
John Cornyn,U.S. Senate,,REP,Medina,4B,110,1390,204,1704
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Medina,4B,133,507,56,696
Kerry Douglas McKennon,U.S. Senate,,LIB,Medina,4B,3,25,8,36
David B. Collins,U.S. Senate,,GRN,Medina,4B,1,13,3,17
Ricardo Turullois Bonilla (W),U.S. Senate,,,Medina,4B,0,0,0,0
Under Votes,U.S. Senate,,,Medina,4B,11,50,9,70
Over Votes,U.S. Senate,,,Medina,4B,0,0,0,0
Tony Gonzales,U.S. House,23,REP,Medina,4B,100,1420,200,1720
Gina Ortiz Jones,U.S. House,23,DEM,Medina,4B,133,496,55,684
Beto Villela,U.S. House,23,LIB,Medina,4B,8,28,15,51
Under Votes,U.S. House,23,,Medina,4B,17,41,10,68
Over Votes,U.S. House,23,,Medina,4B,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Medina,4B,96,1369,192,1657
Chrysta Castaneda,Railroad Commissioner,,DEM,Medina,4B,143,506,64,713
Matt Sterett,Railroad Commissioner,,LIB,Medina,4B,3,26,9,38
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Medina,4B,1,17,4,22
Under Votes,Railroad Commissioner,,,Medina,4B,15,67,11,93
Over Votes,Railroad Commissioner,,,Medina,4B,0,0,0,0
"Peter P. ""Pete"" Flores",State Senate,19,REP,Medina,4B,107,1421,202,1730
Roland Gutierrez,State Senate,19,DEM,Medina,4B,134,462,57,653
Jo-Anne Valdivia,State Senate,19,LIB,Medina,4B,1,44,8,53
Under Votes,State Senate,19,,Medina,4B,16,58,13,87
Over Votes,State Senate,19,,Medina,4B,0,0,0,0
Andrew S Murr,State Representative,53,REP,Medina,4B,92,1381,193,1666
Joe P. Herrera,State Representative,53,DEM,Medina,4B,139,528,72,739
Under Votes,State Representative,53,,Medina,4B,27,76,15,118
Over Votes,State Representative,53,,Medina,4B,0,0,0,0
Donald J Trump,President,,REP,Medina,4C,20,459,125,604
Joseph R Biden,President,,DEM,Medina,4C,53,305,79,437
Jo Jorgensen,President,,LIB,Medina,4C,0,8,0,8
Howie Hawkins,President,,GRN,Medina,4C,0,2,1,3
Abram Loeb (W),President,,,Medina,4C,0,0,0,0
Todd Cella (W),President,,,Medina,4C,0,0,0,0
Gloria La Rivera (W),President,,,Medina,4C,0,0,0,0
President R. Boddie (W),President,,,Medina,4C,0,0,0,0
Robert Marrow (W),President,,,Medina,4C,0,0,0,0
Jesse Cuellar (W),President,,,Medina,4C,0,0,0,0
Kasey Wells (W),President,,,Medina,4C,0,0,0,0
Tom Heofling (W),President,,,Medina,4C,0,0,0,0
Brian Carroll (W),President,,,Medina,4C,0,0,0,0
Under Votes,President,,,Medina,4C,1,5,0,6
Over Votes,President,,,Medina,4C,0,0,0,0
John Cornyn,U.S. Senate,,REP,Medina,4C,21,448,122,591
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Medina,4C,47,283,77,407
Kerry Douglas McKennon,U.S. Senate,,LIB,Medina,4C,0,16,2,18
David B. Collins,U.S. Senate,,GRN,Medina,4C,1,3,1,5
Ricardo Turullois Bonilla (W),U.S. Senate,,,Medina,4C,1,0,0,1
Under Votes,U.S. Senate,,,Medina,4C,4,29,3,36
Over Votes,U.S. Senate,,,Medina,4C,0,0,0,0
Tony Gonzales,U.S. House,23,REP,Medina,4C,22,462,119,603
Gina Ortiz Jones,U.S. House,23,DEM,Medina,4C,46,273,68,387
Beto Villela,U.S. House,23,LIB,Medina,4C,2,21,8,31
Under Votes,U.S. House,23,,Medina,4C,4,23,10,37
Over Votes,U.S. House,23,,Medina,4C,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Medina,4C,17,433,112,562
Chrysta Castaneda,Railroad Commissioner,,DEM,Medina,4C,52,293,76,421
Matt Sterett,Railroad Commissioner,,LIB,Medina,4C,2,14,4,20
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Medina,4C,0,10,0,10
Under Votes,Railroad Commissioner,,,Medina,4C,3,29,13,45
Over Votes,Railroad Commissioner,,,Medina,4C,0,0,0,0
"Peter P. ""Pete"" Flores",State Senate,19,REP,Medina,4C,20,463,120,603
Roland Gutierrez,State Senate,19,DEM,Medina,4C,45,267,64,376
Jo-Anne Valdivia,State Senate,19,LIB,Medina,4C,3,21,9,33
Under Votes,State Senate,19,,Medina,4C,5,28,12,45
Over Votes,State Senate,19,,Medina,4C,1,0,0,1
Andrew S Murr,State Representative,53,REP,Medina,4C,17,444,110,571
Joe P. Herrera,State Representative,53,DEM,Medina,4C,49,308,77,434
Under Votes,State Representative,53,,Medina,4C,8,27,18,53
Over Votes,State Representative,53,,Medina,4C,0,0,0,0
