county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee
Wise,01 - D3,President,,"",Gloria La Riva/Leonard Peltier,0,0,0,0
Wise,01 - D3,President,,"",Jesse Cuellar/Jimmy Monreal,0,0,0,0
Wise,01 - D3,President,,"",Kasey Wells/Rachel Wells,0,0,0,0
Wise,01 - D3,President,,"",President R. Boddie/Eric C. Stoneham,0,0,0,0
Wise,01 - D3,President,,"",Robert Morrow/Anne Beckett,0,0,0,0
Wise,01 - D3,President,,"",Todd Cella/Tim Cella,0,0,0,0
Wise,01 - D3,President,,"",Tom Hoefling/Andy Prior,0,0,0,0
Wise,01 - D3,President,,"",Rejected write-ins,0,0,0,0
Wise,01 - D3,President,,"",Unassigned write-ins,0,0,0,0
Wise,01 - D3,U.S. Senate,,REP,John Cornyn,3,2,1,0
Wise,01 - D3,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",0,0,0,0
Wise,01 - D3,U.S. Senate,,LIB,Kerry Douglas McKennon,0,0,0,0
Wise,01 - D3,U.S. Senate,,GRN,David B. Collins,0,0,0,0
Wise,01 - D3,U.S. Senate,,"",Ricardo Turullols-Bonilla,0,0,0,0
Wise,01 - D3,U.S. Senate,,"",Rejected write-ins,0,0,0,0
Wise,01 - D3,U.S. Senate,,"",Unassigned write-ins,0,0,0,0
Wise,01 - D3,U.S. House,13,REP,Ronny Jackson,2,2,0,0
Wise,01 - D3,U.S. House,13,DEM,Gus Trujillo,0,0,0,0
Wise,01 - D3,U.S. House,13,LIB,Jack B. Westbrook,0,0,0,0
Wise,01 - D3,RAILROAD COMMISSIONER,,REP,"James ""Jim"" Wright",2,2,0,0
Wise,01 - D3,RAILROAD COMMISSIONER,,DEM,Chrysta Castaeda,0,0,0,0
Wise,01 - D3,RAILROAD COMMISSIONER,,LIB,Matt Sterett,0,0,0,0
Wise,01 - D3,RAILROAD COMMISSIONER,,GRN,"Katija ""Kat"" Gruene",0,0,0,0
Wise,01 - D3,"CHIEF JUSTICE, SUPREME COURT",,REP,Nathan Hecht,2,2,0,0
Wise,01 - D3,"CHIEF JUSTICE, SUPREME COURT",,DEM,Amy Clark Meachum,0,0,0,0
Wise,01 - D3,"CHIEF JUSTICE, SUPREME COURT",,LIB,Mark Ash,0,0,0,0
Wise,01 - D3,"JUSTICE, SUPREME COURT, PLACE 6 (UNEXPIRED TERM)",,REP,Jane Bland,2,2,0,0
Wise,01 - D3,"JUSTICE, SUPREME COURT, PLACE 6 (UNEXPIRED TERM)",,DEM,Kathy Cheng,0,0,0,0
Wise,01 - D3,"JUSTICE, SUPREME COURT, PLACE 7",,REP,Jeff Boyd,2,2,0,0
Wise,01 - D3,"JUSTICE, SUPREME COURT, PLACE 7",,DEM,Staci Williams,0,0,0,0
Wise,01 - D3,"JUSTICE, SUPREME COURT, PLACE 7",,LIB,William Bryan Strange III,0,0,0,0
Wise,01 - D3,"JUSTICE, SUPREME COURT, PLACE 8",,REP,Brett Busby,2,2,0,0
Wise,01 - D3,"JUSTICE, SUPREME COURT, PLACE 8",,DEM,Gisela D. Triana,0,0,0,0
Wise,01 - D3,"JUSTICE, SUPREME COURT, PLACE 8",,LIB,Tom Oxford,0,0,0,0
Wise,01 - D3,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 3",,REP,Bert Richardson,2,2,0,0
Wise,01 - D3,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 3",,DEM,Elizabeth Davis Frizell,0,0,0,0
Wise,01 - D3,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 4",,REP,Kevin Patrick Yeary,2,2,0,0
Wise,01 - D3,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 4",,DEM,Tina Clinton,0,0,0,0
Wise,01 - D3,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 9",,REP,David Newell,2,2,0,0
Wise,01 - D3,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 9",,DEM,Brandon Birmingham,0,0,0,0
Wise,01 - D3,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 14",,REP,Sue Melton-Malone,2,2,0,0
Wise,01 - D3,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 14",,DEM,Greg Alvord,0,0,0,0
Wise,01 - D3,State Representative,61,REP,Phil King,2,2,0,0
Wise,01 - D3,State Representative,61,DEM,Christopher Cox,0,0,0,0
Wise,01 - D3,State Representative,61,LIB,J.K. Stephenson,0,0,0,0
Wise,01 - D3,"JUSTICE, 2ND COURT OF APPEALS DISTRICT, PLACE 2",,REP,Dana Womack,2,2,0,0
Wise,01 - D3,"JUSTICE, 2ND COURT OF APPEALS DISTRICT, PLACE 6 (UNEXPIRED TERM)",,REP,Mike Wallach,2,2,0,0
Wise,01 - D3,"JUSTICE, 2ND COURT OF APPEALS DISTRICT, PLACE 6 (UNEXPIRED TERM)",,DEM,Delonia A. Watson,0,0,0,0
Wise,01 - D3,"JUSTICE, 2ND COURT OF APPEALS DISTRICT, PLACE 7",,REP,Brian Walker,2,2,0,0
Wise,01 - D3,"DISTRICT ATTORNEY, 271ST JUDICIAL DISTRICT",,REP,Greg Lowery,2,2,0,0
Wise,01 - D3,"JUDGE, COUNTY COURT AT LAW NUMBER 2",,REP,Stephen J. Wren,2,2,0,0
Wise,01 - D3,COUNTY ATTORNEY,,REP,James M. Stainton,2,2,0,0
Wise,01 - D3,SHERIFF,,REP,Lane Akin,2,2,0,0
Wise,01 - D3,COUNTY TAX ASSESSOR-COLLECTOR,,REP,Monte S. Shaw,2,2,0,0
Wise,01 - D3,"COUNTY COMMISSIONER, PRECINCT 1",,REP,"John ""Biff"" Hayes",2,2,0,0
Wise,01 - D3,"CONSTABLE, PRECINCT 1",,REP,Rex Hoskins,2,2,0,0
Wise,01 - DISD,Registered Voters,,,,2152,,,
Wise,01 - DISD,Ballots Cast,,,,1692,,,
Wise,01 - DISD,President,,REP,Donald J. Trump/Michael R. Pence,1426,1192,163,71
Wise,01 - DISD,President,,DEM,Joseph R. Biden/Kamala D. Harris,246,190,20,36
Wise,01 - DISD,President,,LIB,"Jo Jorgensen/Jeremy ""Spike"" Cohen",14,7,6,1
Wise,01 - DISD,President,,GRN,Howie Hawkins/Angela Walker,2,1,1,0
Wise,01 - DISD,President,,"",Abram Loeb/Jennifer Jairala,0,0,0,0
Wise,01 - DISD,President,,"",Brian Carroll/Amar Patel,0,0,0,0
Wise,01 - DISD,President,,"",Gloria La Riva/Leonard Peltier,0,0,0,0
Wise,01 - DISD,President,,"",Jesse Cuellar/Jimmy Monreal,0,0,0,0
Wise,01 - DISD,President,,"",Kasey Wells/Rachel Wells,0,0,0,0
Wise,01 - DISD,President,,"",President R. Boddie/Eric C. Stoneham,0,0,0,0
Wise,01 - DISD,President,,"",Robert Morrow/Anne Beckett,0,0,0,0
Wise,01 - DISD,President,,"",Todd Cella/Tim Cella,0,0,0,0
Wise,01 - DISD,President,,"",Tom Hoefling/Andy Prior,0,0,0,0
Wise,01 - DISD,President,,"",Rejected write-ins,1,1,0,0
Wise,01 - DISD,President,,"",Unassigned write-ins,0,0,0,0
Wise,01 - DISD,U.S. Senate,,REP,John Cornyn,1416,1188,156,72
Wise,01 - DISD,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",229,173,24,32
Wise,01 - DISD,U.S. Senate,,LIB,Kerry Douglas McKennon,18,10,6,2
Wise,01 - DISD,U.S. Senate,,GRN,David B. Collins,8,6,2,0
Wise,01 - DISD,U.S. Senate,,"",Ricardo Turullols-Bonilla,0,0,0,0
Wise,01 - DISD,U.S. Senate,,"",Rejected write-ins,1,1,0,0
Wise,01 - DISD,U.S. Senate,,"",Unassigned write-ins,0,0,0,0
Wise,01 - DISD,U.S. House,13,REP,Ronny Jackson,1392,1180,160,52
Wise,01 - DISD,U.S. House,13,DEM,Gus Trujillo,208,165,17,26
Wise,01 - DISD,U.S. House,13,LIB,Jack B. Westbrook,33,23,9,1
Wise,01 - DISD,RAILROAD COMMISSIONER,,REP,"James ""Jim"" Wright",1406,1174,158,74
Wise,01 - DISD,RAILROAD COMMISSIONER,,DEM,Chrysta Castaeda,207,163,18,26
Wise,01 - DISD,RAILROAD COMMISSIONER,,LIB,Matt Sterett,35,25,8,2
Wise,01 - DISD,RAILROAD COMMISSIONER,,GRN,"Katija ""Kat"" Gruene",11,10,1,0
Wise,01 - DISD,"CHIEF JUSTICE, SUPREME COURT",,REP,Nathan Hecht,1397,1168,158,71
Wise,01 - DISD,"CHIEF JUSTICE, SUPREME COURT",,DEM,Amy Clark Meachum,221,170,21,30
Wise,01 - DISD,"CHIEF JUSTICE, SUPREME COURT",,LIB,Mark Ash,35,25,8,2
Wise,01 - DISD,"JUSTICE, SUPREME COURT, PLACE 6 (UNEXPIRED TERM)",,REP,Jane Bland,1430,1192,166,72
Wise,01 - DISD,"JUSTICE, SUPREME COURT, PLACE 6 (UNEXPIRED TERM)",,DEM,Kathy Cheng,219,169,20,30
