county,precinct,office,district,candidate,party,votes,absentee,early_voting,election_day,provisional
Hood,Precinct 7,Ballots Cast,,,,707,36,255,414,2
Hood,Precinct 7,President / Vice President,,Donald J. Trump / Michael R. Pence,REP,628,27,226,375,0
Hood,Precinct 7,President / Vice President,,Joseph R. Biden / Kamala D. Harris,DEM,67,9,26,31,1
Hood,Precinct 7,President / Vice President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,8,0,1,7,0
Hood,Precinct 7,President / Vice President,,Howie Hawkins / Angela Walker,GRN,2,0,1,0,1
Hood,Precinct 7,President / Vice President,,Write-In,,2,0,1,1,0
Hood,Precinct 7,President / Vice President,,Over Votes,,0,0,0,0,0
Hood,Precinct 7,President / Vice President,,Under Votes,,0,0,0,0,0
Hood,Precinct 7,U.S. Senate,,John Cornyn,REP,613,28,219,366,0
Hood,Precinct 7,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,66,8,26,30,2
Hood,Precinct 7,U.S. Senate,,Kerry Douglas McKennon,LIB,14,0,4,10,0
Hood,Precinct 7,U.S. Senate,,David B. Collins,GRN,6,0,2,4,0
Hood,Precinct 7,U.S. Senate,,Write-In,,0,0,0,0,0
Hood,Precinct 7,U.S. Senate,,Over Votes,,0,0,0,0,0
Hood,Precinct 7,U.S. Senate,,Under Votes,,8,0,4,4,0
Hood,Precinct 7,U.S. House,11,August Pfluger,REP,615,24,224,367,0
Hood,Precinct 7,U.S. House,11,Jon Mark Hogg,DEM,68,8,25,33,2
Hood,Precinct 7,U.S. House,11,Wacey Alpha Cody,LIB,12,0,3,9,0
Hood,Precinct 7,U.S. House,11,Over Votes,,0,0,0,0,0
Hood,Precinct 7,U.S. House,11,Under Votes,,12,4,3,5,0
Hood,Precinct 7,Railroad Commissioner,,"James ""Jim"" Wright",REP,612,26,221,365,0
Hood,Precinct 7,Railroad Commissioner,,Chrysta Castaneda,DEM,68,8,26,32,2
Hood,Precinct 7,Railroad Commissioner,,Matt Sterett,LIB,14,0,3,11,0
Hood,Precinct 7,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,2,0,1,1,0
Hood,Precinct 7,Railroad Commissioner,,Over Votes,,0,0,0,0,0
Hood,Precinct 7,Railroad Commissioner,,Under Votes,,11,2,4,5,0
