candidate,office,district,party,county,precinct,early_voting,election_day,votes
Audrey Spanko,State Senate,1,,Harrison,Precinct 10,152,17,169
Over Votes,State Senate,1,,Harrison,Precinct 10,0,0,0
Under Votes,State Senate,1,,Harrison,Precinct 10,16,5,21
Chris Paddie,State Representative,9,,Harrison,Precinct 10,591,71,662
Over Votes,State Representative,9,,Harrison,Precinct 10,0,0,0
Under Votes,State Representative,9,,Harrison,Precinct 10,126,13,139
Ballots Cast,,,,Harrison,Precinct 11,,,352
Donald J Trump,President,,REP,Harrison,Precinct 11,183,30,213
Joseph R Biden,President,,DEM,Harrison,Precinct 11,118,16,134
Jo Jorgensen,President,,LIB,Harrison,Precinct 11,0,2,2
Howie Hawkins,President,,GRN,Harrison,Precinct 11,0,0,0
President R. Boddie (W),President,,,Harrison,Precinct 11,0,0,0
Brian Carroll (W),President,,,Harrison,Precinct 11,0,0,0
Todd Cella (W),President,,,Harrison,Precinct 11,0,0,0
Jesse Cuellar (W),President,,,Harrison,Precinct 11,0,0,0
Tom Heofling (W),President,,,Harrison,Precinct 11,0,0,0
Gloria La Rivera (W),President,,,Harrison,Precinct 11,0,0,0
Abram Loeb (W),President,,,Harrison,Precinct 11,0,0,0
Robert Marrow (W),President,,,Harrison,Precinct 11,0,0,0
Kasey Wells (W),President,,,Harrison,Precinct 11,0,0,0
Over Votes,President,,,Harrison,Precinct 11,2,0,2
Under Votes,President,,,Harrison,Precinct 11,1,0,1
John Cornyn,U.S. Senate,,REP,Harrison,Precinct 11,181,30,211
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Harrison,Precinct 11,112,18,130
Kerry Douglas McKennon,U.S. Senate,,LIB,Harrison,Precinct 11,5,0,5
David B. Collins,U.S. Senate,,GRN,Harrison,Precinct 11,0,0,0
Ricardo Turullois Bonilla (W),U.S. Senate,,,Harrison,Precinct 11,0,0,0
Over Votes,U.S. Senate,,,Harrison,Precinct 11,2,0,2
Under Votes,U.S. Senate,,,Harrison,Precinct 11,4,0,4
Louie Gohmert,U.S. House,1,,Harrison,Precinct 11,185,31,216
Hank Gilbert,U.S. House,1,,Harrison,Precinct 11,113,17,130
Over Votes,U.S. House,1,,Harrison,Precinct 11,0,0,0
Under Votes,U.S. House,1,,Harrison,Precinct 11,6,0,6
"James ""Jim"" Wright",Railroad Commissioner,,REP,Harrison,Precinct 11,179,31,210
Chrysta Castaneda,Railroad Commissioner,,DEM,Harrison,Precinct 11,109,16,125
Matt Sterett,Railroad Commissioner,,LIB,Harrison,Precinct 11,7,1,8
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Harrison,Precinct 11,0,0,0
Over Votes,Railroad Commissioner,,,Harrison,Precinct 11,2,0,2
Under Votes,Railroad Commissioner,,,Harrison,Precinct 11,7,0,7
Bryan Hughes,State Senate,1,,Harrison,Precinct 11,186,31,217
Audrey Spanko,State Senate,1,,Harrison,Precinct 11,110,17,127
Over Votes,State Senate,1,,Harrison,Precinct 11,0,0,0
Under Votes,State Senate,1,,Harrison,Precinct 11,8,0,8
Chris Paddie,State Representative,9,,Harrison,Precinct 11,221,39,260
Over Votes,State Representative,9,,Harrison,Precinct 11,0,0,0
Under Votes,State Representative,9,,Harrison,Precinct 11,83,9,92
Ballots Cast,,,,Harrison,Precinct 12,,,3726
Donald J Trump,President,,REP,Harrison,Precinct 12,2755,364,3119
Joseph R Biden,President,,DEM,Harrison,Precinct 12,471,62,533
Jo Jorgensen,President,,LIB,Harrison,Precinct 12,40,11,51
Howie Hawkins,President,,GRN,Harrison,Precinct 12,1,0,1
President R. Boddie (W),President,,,Harrison,Precinct 12,0,0,0
Brian Carroll (W),President,,,Harrison,Precinct 12,0,0,0
Todd Cella (W),President,,,Harrison,Precinct 12,0,0,0
Jesse Cuellar (W),President,,,Harrison,Precinct 12,0,0,0
Tom Heofling (W),President,,,Harrison,Precinct 12,0,0,0
Gloria La Rivera (W),President,,,Harrison,Precinct 12,0,0,0
Abram Loeb (W),President,,,Harrison,Precinct 12,0,0,0
Robert Marrow (W),President,,,Harrison,Precinct 12,0,0,0
Kasey Wells (W),President,,,Harrison,Precinct 12,0,0,0
Over Votes,President,,,Harrison,Precinct 12,3,0,3
Under Votes,President,,,Harrison,Precinct 12,14,5,19
John Cornyn,U.S. Senate,,REP,Harrison,Precinct 12,2730,352,3082
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Harrison,Precinct 12,424,60,484
Kerry Douglas McKennon,U.S. Senate,,LIB,Harrison,Precinct 12,58,14,72
David B. Collins,U.S. Senate,,GRN,Harrison,Precinct 12,9,4,13
Ricardo Turullois Bonilla (W),U.S. Senate,,,Harrison,Precinct 12,0,0,0
Over Votes,U.S. Senate,,,Harrison,Precinct 12,1,0,1
Under Votes,U.S. Senate,,,Harrison,Precinct 12,62,12,74
Louie Gohmert,U.S. House,1,,Harrison,Precinct 12,2755,360,3115
Hank Gilbert,U.S. House,1,,Harrison,Precinct 12,475,69,544
Over Votes,U.S. House,1,,Harrison,Precinct 12,0,0,0
Under Votes,U.S. House,1,,Harrison,Precinct 12,54,13,67
"James ""Jim"" Wright",Railroad Commissioner,,REP,Harrison,Precinct 12,2697,352,3049
Chrysta Castaneda,Railroad Commissioner,,DEM,Harrison,Precinct 12,399,53,452
Matt Sterett,Railroad Commissioner,,LIB,Harrison,Precinct 12,76,16,92
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Harrison,Precinct 12,18,4,22
Over Votes,Railroad Commissioner,,,Harrison,Precinct 12,0,0,0
Under Votes,Railroad Commissioner,,,Harrison,Precinct 12,94,17,111
Bryan Hughes,State Senate,1,,Harrison,Precinct 12,2788,370,3158
Audrey Spanko,State Senate,1,,Harrison,Precinct 12,421,61,482
Over Votes,State Senate,1,,Harrison,Precinct 12,3,0,3
Under Votes,State Senate,1,,Harrison,Precinct 12,72,11,83
Chris Paddie,State Representative,9,,Harrison,Precinct 12,2950,391,3341
Over Votes,State Representative,9,,Harrison,Precinct 12,0,0,0
Under Votes,State Representative,9,,Harrison,Precinct 12,334,51,385
Ballots Cast,,,,Harrison,Precinct 13,,,1128
Donald J Trump,President,,REP,Harrison,Precinct 13,889,94,983
Joseph R Biden,President,,DEM,Harrison,Precinct 13,115,20,135
Jo Jorgensen,President,,LIB,Harrison,Precinct 13,3,3,6
Howie Hawkins,President,,GRN,Harrison,Precinct 13,0,1,1
President R. Boddie (W),President,,,Harrison,Precinct 13,0,0,0
Brian Carroll (W),President,,,Harrison,Precinct 13,0,0,0
Todd Cella (W),President,,,Harrison,Precinct 13,0,0,0
Jesse Cuellar (W),President,,,Harrison,Precinct 13,0,0,0
Tom Heofling (W),President,,,Harrison,Precinct 13,0,0,0
Gloria La Rivera (W),President,,,Harrison,Precinct 13,0,0,0
Abram Loeb (W),President,,,Harrison,Precinct 13,0,0,0
Robert Marrow (W),President,,,Harrison,Precinct 13,0,0,0
Kasey Wells (W),President,,,Harrison,Precinct 13,0,0,0
Over Votes,President,,,Harrison,Precinct 13,0,0,0
Under Votes,President,,,Harrison,Precinct 13,2,1,3
John Cornyn,U.S. Senate,,REP,Harrison,Precinct 13,897,91,988
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Harrison,Precinct 13,98,24,122
Kerry Douglas McKennon,U.S. Senate,,LIB,Harrison,Precinct 13,8,3,11
David B. Collins,U.S. Senate,,GRN,Harrison,Precinct 13,1,1,2
Ricardo Turullois Bonilla (W),U.S. Senate,,,Harrison,Precinct 13,0,0,0
Over Votes,U.S. Senate,,,Harrison,Precinct 13,0,0,0
Under Votes,U.S. Senate,,,Harrison,Precinct 13,5,0,5
Louie Gohmert,U.S. House,1,,Harrison,Precinct 13,892,95,987
Hank Gilbert,U.S. House,1,,Harrison,Precinct 13,113,23,136
Over Votes,U.S. House,1,,Harrison,Precinct 13,0,0,0
Under Votes,U.S. House,1,,Harrison,Precinct 13,4,1,5
"James ""Jim"" Wright",Railroad Commissioner,,REP,Harrison,Precinct 13,885,91,976
Chrysta Castaneda,Railroad Commissioner,,DEM,Harrison,Precinct 13,91,19,110
Matt Sterett,Railroad Commissioner,,LIB,Harrison,Precinct 13,16,3,19
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Harrison,Precinct 13,1,1,2
Over Votes,Railroad Commissioner,,,Harrison,Precinct 13,0,0,0
Under Votes,Railroad Commissioner,,,Harrison,Precinct 13,16,5,21
Bryan Hughes,State Senate,1,,Harrison,Precinct 13,902,93,995
Audrey Spanko,State Senate,1,,Harrison,Precinct 13,97,22,119
Over Votes,State Senate,1,,Harrison,Precinct 13,0,0,0
Under Votes,State Senate,1,,Harrison,Precinct 13,10,4,14
Chris Paddie,State Representative,9,,Harrison,Precinct 13,929,106,1035
Over Votes,State Representative,9,,Harrison,Precinct 13,0,0,0
Under Votes,State Representative,9,,Harrison,Precinct 13,80,13,93
Ballots Cast,,,,Harrison,Precinct 14,,,999
Donald J Trump,President,,REP,Harrison,Precinct 14,573,202,775
Joseph R Biden,President,,DEM,Harrison,Precinct 14,177,31,208
Jo Jorgensen,President,,LIB,Harrison,Precinct 14,8,4,12
Howie Hawkins,President,,GRN,Harrison,Precinct 14,1,0,1
President R. Boddie (W),President,,,Harrison,Precinct 14,0,0,0
Brian Carroll (W),President,,,Harrison,Precinct 14,0,1,1
Todd Cella (W),President,,,Harrison,Precinct 14,0,0,0
Jesse Cuellar (W),President,,,Harrison,Precinct 14,0,0,0
Tom Heofling (W),President,,,Harrison,Precinct 14,0,0,0
Gloria La Rivera (W),President,,,Harrison,Precinct 14,0,0,0
Abram Loeb (W),President,,,Harrison,Precinct 14,0,0,0
Robert Marrow (W),President,,,Harrison,Precinct 14,0,0,0
Kasey Wells (W),President,,,Harrison,Precinct 14,0,0,0
Over Votes,President,,,Harrison,Precinct 14,0,0,0
Under Votes,President,,,Harrison,Precinct 14,1,1,2
John Cornyn,U.S. Senate,,REP,Harrison,Precinct 14,566,194,760
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Harrison,Precinct 14,171,35,206
Kerry Douglas McKennon,U.S. Senate,,LIB,Harrison,Precinct 14,13,4,17
David B. Collins,U.S. Senate,,GRN,Harrison,Precinct 14,0,0,0
Ricardo Turullois Bonilla (W),U.S. Senate,,,Harrison,Precinct 14,0,0,0
Over Votes,U.S. Senate,,,Harrison,Precinct 14,0,0,0
Under Votes,U.S. Senate,,,Harrison,Precinct 14,10,6,16
Louie Gohmert,U.S. House,1,,Harrison,Precinct 14,571,205,776
Hank Gilbert,U.S. House,1,,Harrison,Precinct 14,175,30,205
Over Votes,U.S. House,1,,Harrison,Precinct 14,0,0,0
Under Votes,U.S. House,1,,Harrison,Precinct 14,14,4,18
"James ""Jim"" Wright",Railroad Commissioner,,REP,Harrison,Precinct 14,567,199,766
Chrysta Castaneda,Railroad Commissioner,,DEM,Harrison,Precinct 14,159,28,187
Matt Sterett,Railroad Commissioner,,LIB,Harrison,Precinct 14,16,7,23
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Harrison,Precinct 14,1,0,1
Over Votes,Railroad Commissioner,,,Harrison,Precinct 14,0,0,0
Under Votes,Railroad Commissioner,,,Harrison,Precinct 14,17,5,22
Bryan Hughes,State Senate,1,,Harrison,Precinct 14,566,206,772
Audrey Spanko,State Senate,1,,Harrison,Precinct 14,174,27,201
Over Votes,State Senate,1,,Harrison,Precinct 14,0,1,1
Under Votes,State Senate,1,,Harrison,Precinct 14,20,5,25
Chris Paddie,State Representative,9,,Harrison,Precinct 14,615,214,829
Over Votes,State Representative,9,,Harrison,Precinct 14,0,0,0
Under Votes,State Representative,9,,Harrison,Precinct 14,145,25,170
Ballots Cast,,,,Harrison,Precinct 15,,,839
Donald J Trump,President,,REP,Harrison,Precinct 15,646,104,750
Joseph R Biden,President,,DEM,Harrison,Precinct 15,65,14,79
Jo Jorgensen,President,,LIB,Harrison,Precinct 15,4,1,5
Howie Hawkins,President,,GRN,Harrison,Precinct 15,1,0,1
President R. Boddie (W),President,,,Harrison,Precinct 15,0,0,0
Brian Carroll (W),President,,,Harrison,Precinct 15,0,0,0
Todd Cella (W),President,,,Harrison,Precinct 15,0,0,0
Jesse Cuellar (W),President,,,Harrison,Precinct 15,0,0,0
Tom Heofling (W),President,,,Harrison,Precinct 15,0,0,0
Gloria La Rivera (W),President,,,Harrison,Precinct 15,0,0,0
Abram Loeb (W),President,,,Harrison,Precinct 15,0,0,0
Robert Marrow (W),President,,,Harrison,Precinct 15,0,0,0
Kasey Wells (W),President,,,Harrison,Precinct 15,0,0,0
Over Votes,President,,,Harrison,Precinct 15,0,0,0
Under Votes,President,,,Harrison,Precinct 15,3,1,4
John Cornyn,U.S. Senate,,REP,Harrison,Precinct 15,641,101,742
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Harrison,Precinct 15,62,16,78
Kerry Douglas McKennon,U.S. Senate,,LIB,Harrison,Precinct 15,8,0,8
David B. Collins,U.S. Senate,,GRN,Harrison,Precinct 15,1,0,1
Ricardo Turullois Bonilla (W),U.S. Senate,,,Harrison,Precinct 15,0,0,0
Over Votes,U.S. Senate,,,Harrison,Precinct 15,0,0,0
Under Votes,U.S. Senate,,,Harrison,Precinct 15,7,3,10
Louie Gohmert,U.S. House,1,,Harrison,Precinct 15,648,105,753
Hank Gilbert,U.S. House,1,,Harrison,Precinct 15,61,12,73
Over Votes,U.S. House,1,,Harrison,Precinct 15,0,0,0
Under Votes,U.S. House,1,,Harrison,Precinct 15,10,3,13
"James ""Jim"" Wright",Railroad Commissioner,,REP,Harrison,Precinct 15,644,101,745
Chrysta Castaneda,Railroad Commissioner,,DEM,Harrison,Precinct 15,57,10,67
Matt Sterett,Railroad Commissioner,,LIB,Harrison,Precinct 15,7,2,9
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Harrison,Precinct 15,3,2,5
Over Votes,Railroad Commissioner,,,Harrison,Precinct 15,1,0,1
Under Votes,Railroad Commissioner,,,Harrison,Precinct 15,7,5,12
Bryan Hughes,State Senate,1,,Harrison,Precinct 15,654,102,756
Audrey Spanko,State Senate,1,,Harrison,Precinct 15,58,12,70
Over Votes,State Senate,1,,Harrison,Precinct 15,0,0,0
Under Votes,State Senate,1,,Harrison,Precinct 15,7,6,13
Chris Paddie,State Representative,9,,Harrison,Precinct 15,656,106,762
Over Votes,State Representative,9,,Harrison,Precinct 15,0,0,0
Under Votes,State Representative,9,,Harrison,Precinct 15,63,14,77
Ballots Cast,,,,Harrison,Precinct 16,,,456
Donald J Trump,President,,REP,Harrison,Precinct 16,295,90,385
Joseph R Biden,President,,DEM,Harrison,Precinct 16,47,16,63
Jo Jorgensen,President,,LIB,Harrison,Precinct 16,6,0,6
Howie Hawkins,President,,GRN,Harrison,Precinct 16,0,0,0
President R. Boddie (W),President,,,Harrison,Precinct 16,0,0,0
Brian Carroll (W),President,,,Harrison,Precinct 16,0,0,0
Todd Cella (W),President,,,Harrison,Precinct 16,0,0,0
Jesse Cuellar (W),President,,,Harrison,Precinct 16,0,0,0
Tom Heofling (W),President,,,Harrison,Precinct 16,0,0,0
Gloria La Rivera (W),President,,,Harrison,Precinct 16,0,0,0
Abram Loeb (W),President,,,Harrison,Precinct 16,0,0,0
Robert Marrow (W),President,,,Harrison,Precinct 16,0,0,0
Kasey Wells (W),President,,,Harrison,Precinct 16,0,0,0
Over Votes,President,,,Harrison,Precinct 16,0,0,0
Under Votes,President,,,Harrison,Precinct 16,2,0,2
John Cornyn,U.S. Senate,,REP,Harrison,Precinct 16,294,86,380
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Harrison,Precinct 16,46,16,62
Kerry Douglas McKennon,U.S. Senate,,LIB,Harrison,Precinct 16,5,3,8
David B. Collins,U.S. Senate,,GRN,Harrison,Precinct 16,1,0,1
Ricardo Turullois Bonilla (W),U.S. Senate,,,Harrison,Precinct 16,0,0,0
Over Votes,U.S. Senate,,,Harrison,Precinct 16,0,0,0
Under Votes,U.S. Senate,,,Harrison,Precinct 16,4,1,5
Louie Gohmert,U.S. House,1,,Harrison,Precinct 16,300,90,390
Hank Gilbert,U.S. House,1,,Harrison,Precinct 16,46,15,61
Over Votes,U.S. House,1,,Harrison,Precinct 16,0,0,0
Under Votes,U.S. House,1,,Harrison,Precinct 16,4,1,5
"James ""Jim"" Wright",Railroad Commissioner,,REP,Harrison,Precinct 16,297,87,384
Chrysta Castaneda,Railroad Commissioner,,DEM,Harrison,Precinct 16,41,15,56
Matt Sterett,Railroad Commissioner,,LIB,Harrison,Precinct 16,7,3,10
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Harrison,Precinct 16,0,0,0
Over Votes,Railroad Commissioner,,,Harrison,Precinct 16,0,0,0
Under Votes,Railroad Commissioner,,,Harrison,Precinct 16,5,1,6
Bryan Hughes,State Senate,1,,Harrison,Precinct 16,300,90,390
Audrey Spanko,State Senate,1,,Harrison,Precinct 16,46,14,60
Over Votes,State Senate,1,,Harrison,Precinct 16,0,0,0
Under Votes,State Senate,1,,Harrison,Precinct 16,4,2,6
Chris Paddie,State Representative,9,,Harrison,Precinct 16,314,89,403
Over Votes,State Representative,9,,Harrison,Precinct 16,0,0,0
Under Votes,State Representative,9,,Harrison,Precinct 16,36,17,53
Ballots Cast,,,,Harrison,Precinct 17,,,1080
Donald J Trump,President,,REP,Harrison,Precinct 17,501,77,578
Joseph R Biden,President,,DEM,Harrison,Precinct 17,424,62,486
Jo Jorgensen,President,,LIB,Harrison,Precinct 17,4,4,8
Howie Hawkins,President,,GRN,Harrison,Precinct 17,1,1,2
President R. Boddie (W),President,,,Harrison,Precinct 17,0,0,0
Brian Carroll (W),President,,,Harrison,Precinct 17,0,0,0
Todd Cella (W),President,,,Harrison,Precinct 17,0,0,0
Jesse Cuellar (W),President,,,Harrison,Precinct 17,0,0,0
Tom Heofling (W),President,,,Harrison,Precinct 17,0,0,0
Gloria La Rivera (W),President,,,Harrison,Precinct 17,0,0,0
Abram Loeb (W),President,,,Harrison,Precinct 17,0,0,0
Robert Marrow (W),President,,,Harrison,Precinct 17,0,0,0
Kasey Wells (W),President,,,Harrison,Precinct 17,0,0,0
Over Votes,President,,,Harrison,Precinct 17,1,0,1
Under Votes,President,,,Harrison,Precinct 17,5,0,5
John Cornyn,U.S. Senate,,REP,Harrison,Precinct 17,494,68,562
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Harrison,Precinct 17,416,65,481
Kerry Douglas McKennon,U.S. Senate,,LIB,Harrison,Precinct 17,10,8,18
David B. Collins,U.S. Senate,,GRN,Harrison,Precinct 17,2,1,3
Ricardo Turullois Bonilla (W),U.S. Senate,,,Harrison,Precinct 17,0,0,0
Over Votes,U.S. Senate,,,Harrison,Precinct 17,1,0,1
Under Votes,U.S. Senate,,,Harrison,Precinct 17,13,2,15
Louie Gohmert,U.S. House,1,,Harrison,Precinct 17,505,78,583
Hank Gilbert,U.S. House,1,,Harrison,Precinct 17,413,64,477
Over Votes,U.S. House,1,,Harrison,Precinct 17,1,0,1
Under Votes,U.S. House,1,,Harrison,Precinct 17,17,2,19
"James ""Jim"" Wright",Railroad Commissioner,,REP,Harrison,Precinct 17,486,71,557
Chrysta Castaneda,Railroad Commissioner,,DEM,Harrison,Precinct 17,411,61,472
Matt Sterett,Railroad Commissioner,,LIB,Harrison,Precinct 17,9,5,14
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Harrison,Precinct 17,7,3,10
Over Votes,Railroad Commissioner,,,Harrison,Precinct 17,0,0,0
Under Votes,Railroad Commissioner,,,Harrison,Precinct 17,23,4,27
Bryan Hughes,State Senate,1,,Harrison,Precinct 17,507,72,579
Audrey Spanko,State Senate,1,,Harrison,Precinct 17,404,65,469
Over Votes,State Senate,1,,Harrison,Precinct 17,0,0,0
Under Votes,State Senate,1,,Harrison,Precinct 17,25,7,32
Chris Paddie,State Representative,9,,Harrison,Precinct 17,597,106,703
Over Votes,State Representative,9,,Harrison,Precinct 17,0,0,0
Under Votes,State Representative,9,,Harrison,Precinct 17,339,38,377
Ballots Cast,,,,Harrison,Precinct 18,,,611
Donald J Trump,President,,REP,Harrison,Precinct 18,431,53,484
Joseph R Biden,President,,DEM,Harrison,Precinct 18,95,19,114
Jo Jorgensen,President,,LIB,Harrison,Precinct 18,3,5,8
Howie Hawkins,President,,GRN,Harrison,Precinct 18,0,0,0
President R. Boddie (W),President,,,Harrison,Precinct 18,0,0,0
Brian Carroll (W),President,,,Harrison,Precinct 18,0,0,0
Todd Cella (W),President,,,Harrison,Precinct 18,0,0,0
Jesse Cuellar (W),President,,,Harrison,Precinct 18,0,0,0
Tom Heofling (W),President,,,Harrison,Precinct 18,0,0,0
Gloria La Rivera (W),President,,,Harrison,Precinct 18,0,0,0
Abram Loeb (W),President,,,Harrison,Precinct 18,0,0,0
Robert Marrow (W),President,,,Harrison,Precinct 18,0,0,0
Kasey Wells (W),President,,,Harrison,Precinct 18,0,0,0
Over Votes,President,,,Harrison,Precinct 18,1,0,1
Under Votes,President,,,Harrison,Precinct 18,2,2,4
John Cornyn,U.S. Senate,,REP,Harrison,Precinct 18,435,53,488
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Harrison,Precinct 18,87,21,108
Kerry Douglas McKennon,U.S. Senate,,LIB,Harrison,Precinct 18,3,4,7
David B. Collins,U.S. Senate,,GRN,Harrison,Precinct 18,1,0,1
Ricardo Turullois Bonilla (W),U.S. Senate,,,Harrison,Precinct 18,0,0,0
Over Votes,U.S. Senate,,,Harrison,Precinct 18,0,0,0
Under Votes,U.S. Senate,,,Harrison,Precinct 18,6,1,7
Louie Gohmert,U.S. House,1,,Harrison,Precinct 18,434,60,494
Hank Gilbert,U.S. House,1,,Harrison,Precinct 18,90,18,108
Over Votes,U.S. House,1,,Harrison,Precinct 18,0,0,0
Under Votes,U.S. House,1,,Harrison,Precinct 18,8,1,9
"James ""Jim"" Wright",Railroad Commissioner,,REP,Harrison,Precinct 18,428,56,484
Chrysta Castaneda,Railroad Commissioner,,DEM,Harrison,Precinct 18,84,17,101
Matt Sterett,Railroad Commissioner,,LIB,Harrison,Precinct 18,4,2,6
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Harrison,Precinct 18,1,1,2
Over Votes,Railroad Commissioner,,,Harrison,Precinct 18,0,0,0
Under Votes,Railroad Commissioner,,,Harrison,Precinct 18,15,3,18
Bryan Hughes,State Senate,1,,Harrison,Precinct 18,440,54,494
Audrey Spanko,State Senate,1,,Harrison,Precinct 18,81,20,101
Over Votes,State Senate,1,,Harrison,Precinct 18,0,0,0
Under Votes,State Senate,1,,Harrison,Precinct 18,11,5,16
Chris Paddie,State Representative,9,,Harrison,Precinct 18,464,68,532
Over Votes,State Representative,9,,Harrison,Precinct 18,0,0,0
Under Votes,State Representative,9,,Harrison,Precinct 18,68,11,79
Ballots Cast,,,,Harrison,Precinct 19,,,2446
Donald J Trump,President,,REP,Harrison,Precinct 19,1750,212,1962
Joseph R Biden,President,,DEM,Harrison,Precinct 19,400,45,445
Jo Jorgensen,President,,LIB,Harrison,Precinct 19,27,2,29
Howie Hawkins,President,,GRN,Harrison,Precinct 19,3,0,3
President R. Boddie (W),President,,,Harrison,Precinct 19,0,0,0
Brian Carroll (W),President,,,Harrison,Precinct 19,0,0,0
Todd Cella (W),President,,,Harrison,Precinct 19,0,0,0
Jesse Cuellar (W),President,,,Harrison,Precinct 19,0,0,0
Tom Heofling (W),President,,,Harrison,Precinct 19,0,0,0
Gloria La Rivera (W),President,,,Harrison,Precinct 19,0,0,0
Abram Loeb (W),President,,,Harrison,Precinct 19,0,0,0
Robert Marrow (W),President,,,Harrison,Precinct 19,0,0,0
Kasey Wells (W),President,,,Harrison,Precinct 19,0,0,0
Over Votes,President,,,Harrison,Precinct 19,2,0,2
Under Votes,President,,,Harrison,Precinct 19,4,1,5
John Cornyn,U.S. Senate,,REP,Harrison,Precinct 19,1743,204,1947
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Harrison,Precinct 19,389,40,429
Kerry Douglas McKennon,U.S. Senate,,LIB,Harrison,Precinct 19,36,10,46
David B. Collins,U.S. Senate,,GRN,Harrison,Precinct 19,4,0,4
Ricardo Turullois Bonilla (W),U.S. Senate,,,Harrison,Precinct 19,0,0,0
Over Votes,U.S. Senate,,,Harrison,Precinct 19,1,0,1
Under Votes,U.S. Senate,,,Harrison,Precinct 19,13,6,19
Louie Gohmert,U.S. House,1,,Harrison,Precinct 19,1761,212,1973
Hank Gilbert,U.S. House,1,,Harrison,Precinct 19,410,43,453
Over Votes,U.S. House,1,,Harrison,Precinct 19,0,0,0
Under Votes,U.S. House,1,,Harrison,Precinct 19,15,5,20
"James ""Jim"" Wright",Railroad Commissioner,,REP,Harrison,Precinct 19,1736,193,1929
Chrysta Castaneda,Railroad Commissioner,,DEM,Harrison,Precinct 19,358,36,394
Matt Sterett,Railroad Commissioner,,LIB,Harrison,Precinct 19,51,17,68
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Harrison,Precinct 19,11,2,13
Over Votes,Railroad Commissioner,,,Harrison,Precinct 19,1,0,1
Under Votes,Railroad Commissioner,,,Harrison,Precinct 19,29,12,41
Bryan Hughes,State Senate,1,,Harrison,Precinct 19,1783,211,1994
Audrey Spanko,State Senate,1,,Harrison,Precinct 19,375,38,413
Over Votes,State Senate,1,,Harrison,Precinct 19,1,0,1
Under Votes,State Senate,1,,Harrison,Precinct 19,27,11,38
Chris Paddie,State Representative,9,,Harrison,Precinct 19,1908,226,2134
Over Votes,State Representative,9,,Harrison,Precinct 19,0,0,0
Under Votes,State Representative,9,,Harrison,Precinct 19,278,34,312
Ballots Cast,,,,Harrison,Precinct 20,,,1737
Donald J Trump,President,,REP,Harrison,Precinct 20,1071,280,1351
Joseph R Biden,President,,DEM,Harrison,Precinct 20,297,65,362
Jo Jorgensen,President,,LIB,Harrison,Precinct 20,12,3,15
Howie Hawkins,President,,GRN,Harrison,Precinct 20,4,0,4
President R. Boddie (W),President,,,Harrison,Precinct 20,0,0,0
Brian Carroll (W),President,,,Harrison,Precinct 20,0,0,0
Todd Cella (W),President,,,Harrison,Precinct 20,0,0,0
Jesse Cuellar (W),President,,,Harrison,Precinct 20,0,0,0
Tom Heofling (W),President,,,Harrison,Precinct 20,0,0,0
Gloria La Rivera (W),President,,,Harrison,Precinct 20,0,0,0
Abram Loeb (W),President,,,Harrison,Precinct 20,0,0,0
Robert Marrow (W),President,,,Harrison,Precinct 20,0,0,0
Kasey Wells (W),President,,,Harrison,Precinct 20,0,0,0
Over Votes,President,,,Harrison,Precinct 20,2,0,2
Under Votes,President,,,Harrison,Precinct 20,3,0,3
John Cornyn,U.S. Senate,,REP,Harrison,Precinct 20,1060,267,1327
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Harrison,Precinct 20,276,63,339
Kerry Douglas McKennon,U.S. Senate,,LIB,Harrison,Precinct 20,13,7,20
David B. Collins,U.S. Senate,,GRN,Harrison,Precinct 20,7,4,11
Ricardo Turullois Bonilla (W),U.S. Senate,,,Harrison,Precinct 20,0,0,0
Over Votes,U.S. Senate,,,Harrison,Precinct 20,1,0,1
Under Votes,U.S. Senate,,,Harrison,Precinct 20,32,7,39
Louie Gohmert,U.S. House,1,,Harrison,Precinct 20,1065,274,1339
Hank Gilbert,U.S. House,1,,Harrison,Precinct 20,289,64,353
Over Votes,U.S. House,1,,Harrison,Precinct 20,0,0,0
Under Votes,U.S. House,1,,Harrison,Precinct 20,35,10,45
"James ""Jim"" Wright",Railroad Commissioner,,REP,Harrison,Precinct 20,1054,269,1323
Chrysta Castaneda,Railroad Commissioner,,DEM,Harrison,Precinct 20,266,58,324
Matt Sterett,Railroad Commissioner,,LIB,Harrison,Precinct 20,14,6,20
