precinct,county,office,district,party,candidate,early_voting,election_day,mail,votes
301,Hall,U.S. House,13,REP,Chris Ekstrom,1,5,0,6
301,Hall,U.S. House,13,REP,Jason Foglesong,0,1,0,1
301,Hall,U.S. House,13,REP,"Catherine ""I Swear"" Carr",0,1,0,1
301,Hall,U.S. House,13,REP,Jamie Culley,0,0,0,0
301,Hall,U.S. House,13,REP,Richard Herman,0,0,0,0
301,Hall,U.S. House,13,REP,Matt McArthur,0,0,0,0
301,Hall,U.S. House,13,REP,Vance Snider II,0,0,0,0
301,Hall,U.S. House,13,REP,Lee Harvey,0,0,0,0
301,Hall,U.S. House,13,REP,Diane Knowlton,0,0,0,0
301,Hall,U.S. House,13,REP,Monique Worthy,0,0,0,0
301,Hall,U.S. House,13,REP,Mark Neese,0,0,0,0
301,Hall,U.S. House,13,REP,Elaine Hays,0,0,0,0
301,Hall,U.S. House,13,REP,Josh Winegarner,1,9,0,10
301,Hall,U.S. House,13,REP,Asusena Resendiz,0,0,0,0
301,Hall,U.S. House,13,REP,Ronny Jackson,0,12,0,12
302,Hall,U.S. House,13,REP,Chris Ekstrom,3,7,1,11
302,Hall,U.S. House,13,REP,Jason Foglesong,0,1,0,1
302,Hall,U.S. House,13,REP,"Catherine ""I Swear"" Carr",0,0,0,0
302,Hall,U.S. House,13,REP,Jamie Culley,0,0,0,0
302,Hall,U.S. House,13,REP,Richard Herman,0,0,0,0
302,Hall,U.S. House,13,REP,Matt McArthur,0,0,0,0
302,Hall,U.S. House,13,REP,Vance Snider II,0,10,0,10
302,Hall,U.S. House,13,REP,Lee Harvey,0,0,0,0
302,Hall,U.S. House,13,REP,Diane Knowlton,0,0,0,0
302,Hall,U.S. House,13,REP,Monique Worthy,1,0,0,1
302,Hall,U.S. House,13,REP,Mark Neese,0,0,0,0
302,Hall,U.S. House,13,REP,Elaine Hays,0,2,0,2
302,Hall,U.S. House,13,REP,Josh Winegarner,13,21,1,35
302,Hall,U.S. House,13,REP,Asusena Resendiz,0,0,0,0
302,Hall,U.S. House,13,REP,Ronny Jackson,4,14,1,19
401,Hall,U.S. House,13,REP,Chris Ekstrom,1,22,0,23
401,Hall,U.S. House,13,REP,Jason Foglesong,0,0,0,0
401,Hall,U.S. House,13,REP,"Catherine ""I Swear"" Carr",0,0,0,0
401,Hall,U.S. House,13,REP,Jamie Culley,0,0,0,0
401,Hall,U.S. House,13,REP,Richard Herman,0,0,0,0
401,Hall,U.S. House,13,REP,Matt McArthur,0,0,0,0
401,Hall,U.S. House,13,REP,Vance Snider II,0,3,0,3
401,Hall,U.S. House,13,REP,Lee Harvey,0,1,0,1
401,Hall,U.S. House,13,REP,Diane Knowlton,0,0,0,0
401,Hall,U.S. House,13,REP,Monique Worthy,0,0,0,0
401,Hall,U.S. House,13,REP,Mark Neese,0,3,0,3
401,Hall,U.S. House,13,REP,Elaine Hays,1,1,0,2
401,Hall,U.S. House,13,REP,Josh Winegarner,3,45,0,48
401,Hall,U.S. House,13,REP,Asusena Resendiz,0,0,0,0
401,Hall,U.S. House,13,REP,Ronny Jackson,4,13,0,17
402,Hall,U.S. House,13,REP,Chris Ekstrom,2,22,0,5
402,Hall,U.S. House,13,REP,Jason Foglesong,0,0,0,0
402,Hall,U.S. House,13,REP,"Catherine ""I Swear"" Carr",0,0,0,0
402,Hall,U.S. House,13,REP,Jamie Culley,0,0,0,0
402,Hall,U.S. House,13,REP,Richard Herman,0,0,0,0
402,Hall,U.S. House,13,REP,Matt McArthur,0,0,0,0
402,Hall,U.S. House,13,REP,Vance Snider II,0,3,0,3
402,Hall,U.S. House,13,REP,Lee Harvey,1,1,0,1
402,Hall,U.S. House,13,REP,Diane Knowlton,0,0,0,0
402,Hall,U.S. House,13,REP,Monique Worthy,0,0,0,0
402,Hall,U.S. House,13,REP,Mark Neese,0,3,0,0
402,Hall,U.S. House,13,REP,Elaine Hays,1,1,0,2
402,Hall,U.S. House,13,REP,Josh Winegarner,10,45,2,26
402,Hall,U.S. House,13,REP,Asusena Resendiz,0,0,0,0
402,Hall,U.S. House,13,REP,Ronny Jackson,1,13,0,5
101,Hall,Railroad Commissioner,,REP,"James ""Jim"" Wright",30,34,0,64
101,Hall,Railroad Commissioner,,REP,Ryan Sitton,3,6,2,11
201,Hall,Railroad Commissioner,,REP,"James ""Jim"" Wright",5,7,0,12
201,Hall,Railroad Commissioner,,REP,Ryan Sitton,0,6,0,6
202,Hall,Railroad Commissioner,,REP,"James ""Jim"" Wright",32,42,0,74
202,Hall,Railroad Commissioner,,REP,Ryan Sitton,11,11,1,23
301,Hall,Railroad Commissioner,,REP,"James ""Jim"" Wright",2,17,0,19
301,Hall,Railroad Commissioner,,REP,Ryan Sitton,0,7,0,7
302,Hall,Railroad Commissioner,,REP,"James ""Jim"" Wright",12,35,1,48
302,Hall,Railroad Commissioner,,REP,Ryan Sitton,3,8,1,12
401,Hall,Railroad Commissioner,,REP,"James ""Jim"" Wright",5,49,0,54
401,Hall,Railroad Commissioner,,REP,Ryan Sitton,3,24,0,27
402,Hall,Railroad Commissioner,,REP,"James ""Jim"" Wright",7,17,1,25
402,Hall,Railroad Commissioner,,REP,Ryan Sitton,7,1,0,8
101,Hall,State Representative,68,REP,Drew Springer,28,38,3,69
201,Hall,State Representative,68,REP,Drew Springer,6,12,0,18
202,Hall,State Representative,68,REP,Drew Springer,42,51,1,94
301,Hall,State Representative,68,REP,Drew Springer,1,22,0,23
302,Hall,State Representative,68,REP,Drew Springer,16,40,2,58
401,Hall,State Representative,68,REP,Drew Springer,7,74,0,81
402,Hall,State Representative,68,REP,Drew Springer,13,17,1,31
