county,precinct,office,district,party,candidate,votes,early_voting,election_day,mail,provisional
Howard,24,Attorney General,NA,REP,Ken Paxton,213,138,67,8,0
Howard,24,Attorney General,NA,DEM,Rochelle Mercedes Garza,45,34,8,3,0
Howard,24,Attorney General,NA,LIB,Mark Ash,3,3,0,0,0
Howard,24,Comptroller of Public Accounts,NA,REP,Glenn Hegar,216,142,65,9,0
Howard,24,Comptroller of Public Accounts,NA,DEM,Janet T. Dudding,36,26,8,2,0
Howard,24,Comptroller of Public Accounts,NA,LIB,V. Alonzo Echevarria-Garza,5,4,1,0,0
Howard,24,Commissioner of General Land Office,NA,REP,Dawn Buckingham,217,142,66,9,0
Howard,24,Commissioner of General Land Office,NA,DEM,Jay Kleberg,38,28,8,2,0
Howard,24,Commissioner of General Land Office,NA,GRN,"Alfred Molison, Jr.",2,2,0,0,0
Howard,24,Commissioner of General Land Office,NA,NON,Write-in,0,0,0,0,0
Howard,24,Commissioner of Agriculture,NA,REP,Sid Miller,216,141,66,9,0
Howard,24,Commissioner of Agriculture,NA,DEM,Susan Hays,42,32,8,2,0
Howard,24,Railroad Commissioner,NA,REP,Wayne Christian,211,139,64,8,0
Howard,24,Railroad Commissioner,NA,DEM,Luke Warford,38,29,7,2,0
Howard,24,Railroad Commissioner,NA,LIB,Jaime Andres Diez,4,2,1,1,0
Howard,24,Railroad Commissioner,NA,GRN,Hunter Wayne Crow,2,1,1,0,0
Howard,24,"Justice, Supreme Court, Place 3",NA,REP,Debra Lehrmann,213,140,65,8,0
Howard,24,"Justice, Supreme Court, Place 3",NA,DEM,Erin A. Nowell,40,29,8,3,0
Howard,24,"Justice, Supreme Court, Place 3",NA,LIB,Thomas Edward Oxford,5,3,2,0,0
Howard,24,"Justice, Supreme Court, Place 5",NA,REP,Rebecca Huddle,215,139,67,9,0
Howard,24,"Justice, Supreme Court, Place 5",NA,DEM,Amanda Reichek,40,30,8,2,0
Howard,24,"Justice, Supreme Court, Place 9",NA,REP,Evan Young,215,141,65,9,0
Howard,24,"Justice, Supreme Court, Place 9",NA,DEM,Julia Maldonado,41,31,8,2,0
Howard,24,"Judge, Court of Criminal Appeals, Place 5",NA,REP,Scott Walker,215,141,65,9,0
Howard,24,"Judge, Court of Criminal Appeals, Place 5",NA,DEM,Dana Huffman,40,30,8,2,0
Howard,24,"Judge, Court of Criminal Appeals, Place 6",NA,REP,"Jesse F. McClure, III",215,142,64,9,0
Howard,24,"Judge, Court of Criminal Appeals, Place 6",NA,DEM,Robert Johnson,41,30,9,2,0
Howard,24,County Judge,NA,REP,Randy S. Johnson,219,145,66,8,0
Howard,24,County Judge,NA,DEM,Steven Hobbs,39,29,8,2,0
Howard,25,U.S. House,19,REP,Jodey C. Arrington,458,322,104,32,0
Howard,25,U.S. House,19,IND,Ind Nathan Lewis,107,70,31,6,0
Howard,25,Governor,NA,REP,Greg Abbott,457,319,107,31,0
Howard,25,Governor,NA,DEM,Beto O'Rourke,121,78,34,9,0
Howard,25,Governor,NA,LIB,Mark Tippetts,11,7,4,0,0
Howard,25,Governor,NA,GRN,Delilah Barrios,1,1,0,0,0
Howard,25,Governor,NA,NON,Write-in,1,1,0,0,0
Howard,25,Lieutenant Governor,NA,REP,Dan Patrick,434,305,99,30,0
Howard,25,Lieutenant Governor,NA,DEM,Mike Collier,124,83,31,10,0
Howard,25,Lieutenant Governor,NA,LIB,Shanna Steele,23,13,10,0,0
Howard,25,Attorney General,NA,REP,Ken Paxton,440,307,102,31,0
Howard,25,Attorney General,NA,DEM,Rochelle Mercedes Garza,122,83,31,8,0
Howard,25,Attorney General,NA,LIB,Mark Ash,21,12,8,1,0
Howard,25,Comptroller of Public Accounts,NA,REP,Glenn Hegar,440,312,99,29,0
Howard,25,Comptroller of Public Accounts,NA,DEM,Janet T. Dudding,117,77,30,10,0
Howard,25,Comptroller of Public Accounts,NA,LIB,V. Alonzo Echevarria-Garza,20,9,11,0,0
Howard,25,Commissioner of General Land Office,NA,REP,Dawn Buckingham,447,315,103,29,0
Howard,25,Commissioner of General Land Office,NA,DEM,Jay Kleberg,118,75,33,10,0
Howard,25,Commissioner of General Land Office,NA,GRN,"Alfred Molison, Jr.",10,8,2,0,0
Howard,25,Commissioner of General Land Office,NA,NON,Write-in,0,0,0,0,0
Howard,25,Commissioner of Agriculture,NA,REP,Sid Miller,451,315,107,29,0
Howard,25,Commissioner of Agriculture,NA,DEM,Susan Hays,123,81,33,9,0
Howard,25,Railroad Commissioner,NA,REP,Wayne Christian,434,309,95,30,0
Howard,25,Railroad Commissioner,NA,DEM,Luke Warford,113,74,29,10,0
Howard,25,Railroad Commissioner,NA,LIB,Jaime Andres Diez,21,10,11,0,0
Howard,25,Railroad Commissioner,NA,GRN,Hunter Wayne Crow,8,5,3,0,0
Howard,25,"Justice, Supreme Court, Place 3",NA,REP,Debra Lehrmann,433,304,99,30,0
Howard,25,"Justice, Supreme Court, Place 3",NA,DEM,Erin A. Nowell,116,77,29,10,0
Howard,25,"Justice, Supreme Court, Place 3",NA,LIB,Thomas Edward Oxford,24,15,9,0,0
Howard,25,"Justice, Supreme Court, Place 5",NA,REP,Rebecca Huddle,443,310,103,30,0
Howard,25,"Justice, Supreme Court, Place 5",NA,DEM,Amanda Reichek,125,82,33,10,0
Howard,25,"Justice, Supreme Court, Place 9",NA,REP,Evan Young,444,315,99,30,0
Howard,25,"Justice, Supreme Court, Place 9",NA,DEM,Julia Maldonado,129,82,37,10,0
Howard,25,"Judge, Court of Criminal Appeals, Place 5",NA,REP,Scott Walker,440,308,102,30,0
Howard,25,"Judge, Court of Criminal Appeals, Place 5",NA,DEM,Dana Huffman,126,80,36,10,0
Howard,25,"Judge, Court of Criminal Appeals, Place 6",NA,REP,"Jesse F. McClure, III",441,308,104,29,0
Howard,25,"Judge, Court of Criminal Appeals, Place 6",NA,DEM,Robert Johnson,123,80,33,10,0
Howard,25,County Judge,NA,REP,Randy S. Johnson,456,324,105,27,0
Howard,25,County Judge,NA,DEM,Steven Hobbs,120,74,36,10,0
Howard,26,U.S. House,19,REP,Jodey C. Arrington,91,56,28,7,0
Howard,26,U.S. House,19,IND,Ind Nathan Lewis,11,9,1,1,0
Howard,26,Governor,NA,REP,Greg Abbott,94,58,29,7,0
Howard,26,Governor,NA,DEM,Beto O'Rourke,8,7,0,1,0
Howard,26,Governor,NA,LIB,Mark Tippetts,0,0,0,0,0
Howard,26,Governor,NA,GRN,Delilah Barrios,0,0,0,0,0
Howard,26,Governor,NA,NON,Write-in,0,0,0,0,0
Howard,26,Lieutenant Governor,NA,REP,Dan Patrick,92,57,28,7,0
Howard,26,Lieutenant Governor,NA,DEM,Mike Collier,10,9,0,1,0
Howard,26,Lieutenant Governor,NA,LIB,Shanna Steele,1,0,1,0,0
Howard,26,Attorney General,NA,REP,Ken Paxton,90,56,27,7,0
Howard,26,Attorney General,NA,DEM,Rochelle Mercedes Garza,12,9,2,1,0
Howard,26,Attorney General,NA,LIB,Mark Ash,1,1,0,0,0
Howard,26,Comptroller of Public Accounts,NA,REP,Glenn Hegar,90,58,25,7,0
Howard,26,Comptroller of Public Accounts,NA,DEM,Janet T. Dudding,10,7,2,1,0
Howard,26,Comptroller of Public Accounts,NA,LIB,V. Alonzo Echevarria-Garza,2,1,1,0,0
Howard,26,Commissioner of General Land Office,NA,REP,Dawn Buckingham,90,57,27,6,0
Howard,26,Commissioner of General Land Office,NA,DEM,Jay Kleberg,10,9,0,1,0
Howard,26,Commissioner of General Land Office,NA,GRN,"Alfred Molison, Jr.",1,0,1,0,0
Howard,26,Commissioner of General Land Office,NA,NON,Write-in,0,0,0,0,0
Howard,26,Commissioner of Agriculture,NA,REP,Sid Miller,90,55,28,7,0
Howard,26,Commissioner of Agriculture,NA,DEM,Susan Hays,13,11,1,1,0
Howard,26,Railroad Commissioner,NA,REP,Wayne Christian,90,56,27,7,0
Howard,26,Railroad Commissioner,NA,DEM,Luke Warford,9,8,0,1,0
Howard,26,Railroad Commissioner,NA,LIB,Jaime Andres Diez,3,2,1,0,0
Howard,26,Railroad Commissioner,NA,GRN,Hunter Wayne Crow,0,0,0,0,0
Howard,26,"Justice, Supreme Court, Place 3",NA,REP,Debra Lehrmann,90,57,27,6,0
Howard,26,"Justice, Supreme Court, Place 3",NA,DEM,Erin A. Nowell,9,8,0,1,0
Howard,26,"Justice, Supreme Court, Place 3",NA,LIB,Thomas Edward Oxford,2,1,1,0,0
Howard,26,"Justice, Supreme Court, Place 5",NA,REP,Rebecca Huddle,90,57,27,6,0
Howard,26,"Justice, Supreme Court, Place 5",NA,DEM,Amanda Reichek,9,8,0,1,0
Howard,26,"Justice, Supreme Court, Place 9",NA,REP,Evan Young,86,55,25,6,0
Howard,26,"Justice, Supreme Court, Place 9",NA,DEM,Julia Maldonado,14,10,3,1,0
Howard,26,"Judge, Court of Criminal Appeals, Place 5",NA,REP,Scott Walker,89,55,28,6,0
Howard,26,"Judge, Court of Criminal Appeals, Place 5",NA,DEM,Dana Huffman,11,10,0,1,0
Howard,26,"Judge, Court of Criminal Appeals, Place 6",NA,REP,"Jesse F. McClure, III",89,55,28,6,0
Howard,26,"Judge, Court of Criminal Appeals, Place 6",NA,DEM,Robert Johnson,11,10,0,1,0
Howard,26,County Judge,NA,REP,Randy S. Johnson,91,55,29,7,0
Howard,26,County Judge,NA,DEM,Steven Hobbs,11,10,0,1,0
Howard,205,U.S. House,19,REP,Jodey C. Arrington,641,459,156,26,0
Howard,205,U.S. House,19,IND,Ind Nathan Lewis,42,30,8,4,0
Howard,205,Governor,NA,REP,Greg Abbott,639,465,151,23,0
Howard,205,Governor,NA,DEM,Beto O'Rourke,49,31,12,6,0
Howard,205,Governor,NA,LIB,Mark Tippetts,7,3,4,0,0
Howard,205,Governor,NA,GRN,Delilah Barrios,3,2,1,0,0
Howard,205,Governor,NA,NON,Write-in,1,0,0,1,0
Howard,205,Lieutenant Governor,NA,REP,Dan Patrick,617,445,150,22,0
Howard,205,Lieutenant Governor,NA,DEM,Mike Collier,51,34,11,6,0
Howard,205,Lieutenant Governor,NA,LIB,Shanna Steele,22,17,5,0,0
Howard,205,Attorney General,NA,REP,Ken Paxton,622,456,144,22,0
Howard,205,Attorney General,NA,DEM,Rochelle Mercedes Garza,54,35,13,6,0
Howard,205,Attorney General,NA,LIB,Mark Ash,14,8,6,0,0
Howard,205,Comptroller of Public Accounts,NA,REP,Glenn Hegar,633,462,147,24,0
Howard,205,Comptroller of Public Accounts,NA,DEM,Janet T. Dudding,42,26,10,6,0
Howard,205,Comptroller of Public Accounts,NA,LIB,V. Alonzo Echevarria-Garza,11,6,5,0,0
Howard,205,Commissioner of General Land Office,NA,REP,Dawn Buckingham,635,459,152,24,0
Howard,205,Commissioner of General Land Office,NA,DEM,Jay Kleberg,42,27,9,6,0
Howard,205,Commissioner of General Land Office,NA,GRN,"Alfred Molison, Jr.",4,4,0,0,0
Howard,205,Commissioner of General Land Office,NA,NON,Write-in,1,1,0,0,0
Howard,205,Commissioner of Agriculture,NA,REP,Sid Miller,641,464,154,23,0
Howard,205,Commissioner of Agriculture,NA,DEM,Susan Hays,45,27,11,7,0
Howard,205,Railroad Commissioner,NA,REP,Wayne Christian,624,455,148,21,0
Howard,205,Railroad Commissioner,NA,DEM,Luke Warford,41,27,9,5,0
Howard,205,Railroad Commissioner,NA,LIB,Jaime Andres Diez,18,9,7,2,0
Howard,205,Railroad Commissioner,NA,GRN,Hunter Wayne Crow,3,3,0,0,0
Howard,205,"Justice, Supreme Court, Place 3",NA,REP,Debra Lehrmann,627,458,147,22,0
Howard,205,"Justice, Supreme Court, Place 3",NA,DEM,Erin A. Nowell,43,25,12,6,0
Howard,205,"Justice, Supreme Court, Place 3",NA,LIB,Thomas Edward Oxford,13,7,6,0,0
Howard,205,"Justice, Supreme Court, Place 5",NA,REP,Rebecca Huddle,635,460,153,22,0
Howard,205,"Justice, Supreme Court, Place 5",NA,DEM,Amanda Reichek,47,30,12,5,0
Howard,205,"Justice, Supreme Court, Place 9",NA,REP,Evan Young,631,456,154,21,0
Howard,205,"Justice, Supreme Court, Place 9",NA,DEM,Julia Maldonado,53,34,12,7,0
Howard,205,"Judge, Court of Criminal Appeals, Place 5",NA,REP,Scott Walker,631,458,153,20,0
Howard,205,"Judge, Court of Criminal Appeals, Place 5",NA,DEM,Dana Huffman,50,29,13,8,0
Howard,205,"Judge, Court of Criminal Appeals, Place 6",NA,REP,"Jesse F. McClure, III",633,459,153,21,0
Howard,205,"Judge, Court of Criminal Appeals, Place 6",NA,DEM,Robert Johnson,47,29,11,7,0
Howard,205,County Judge,NA,REP,Randy S. Johnson,627,456,150,21,0
Howard,205,County Judge,NA,DEM,Steven Hobbs,50,31,14,5,0
Howard,207,U.S. House,19,REP,Jodey C. Arrington,482,287,175,20,0
Howard,207,U.S. House,19,IND,Ind Nathan Lewis,27,17,9,1,0
Howard,207,Governor,NA,REP,Greg Abbott,489,293,176,20,0
Howard,207,Governor,NA,DEM,Beto O'Rourke,23,17,5,1,0
Howard,207,Governor,NA,LIB,Mark Tippetts,10,5,5,0,0
Howard,207,Governor,NA,GRN,Delilah Barrios,1,0,1,0,0
Howard,207,Governor,NA,NON,Write-in,0,0,0,0,0
Howard,207,Lieutenant Governor,NA,REP,Dan Patrick,485,292,173,20,0
Howard,207,Lieutenant Governor,NA,DEM,Mike Collier,25,17,7,1,0
Howard,207,Lieutenant Governor,NA,LIB,Shanna Steele,10,5,5,0,0
Howard,207,Attorney General,NA,REP,Ken Paxton,480,286,174,20,0
Howard,207,Attorney General,NA,DEM,Rochelle Mercedes Garza,30,22,7,1,0
Howard,207,Attorney General,NA,LIB,Mark Ash,10,5,5,0,0
Howard,207,Comptroller of Public Accounts,NA,REP,Glenn Hegar,475,286,170,19,0
Howard,207,Comptroller of Public Accounts,NA,DEM,Janet T. Dudding,27,17,9,1,0
Howard,207,Comptroller of Public Accounts,NA,LIB,V. Alonzo Echevarria-Garza,11,5,6,0,0
Howard,207,Commissioner of General Land Office,NA,REP,Dawn Buckingham,480,289,171,20,0
Howard,207,Commissioner of General Land Office,NA,DEM,Jay Kleberg,28,17,10,1,0
Howard,207,Commissioner of General Land Office,NA,GRN,"Alfred Molison, Jr.",5,3,2,0,0
Howard,207,Commissioner of General Land Office,NA,NON,Write-in,0,0,0,0,0
Howard,207,Commissioner of Agriculture,NA,REP,Sid Miller,483,290,175,18,0
Howard,207,Commissioner of Agriculture,NA,DEM,Susan Hays,32,21,10,1,0
Howard,207,Railroad Commissioner,NA,REP,Wayne Christian,472,284,169,19,0
Howard,207,Railroad Commissioner,NA,DEM,Luke Warford,30,20,9,1,0
Howard,207,Railroad Commissioner,NA,LIB,Jaime Andres Diez,8,2,6,0,0
Howard,207,Railroad Commissioner,NA,GRN,Hunter Wayne Crow,3,3,0,0,0
Howard,207,"Justice, Supreme Court, Place 3",NA,REP,Debra Lehrmann,472,286,168,18,0
Howard,207,"Justice, Supreme Court, Place 3",NA,DEM,Erin A. Nowell,27,19,7,1,0
Howard,207,"Justice, Supreme Court, Place 3",NA,LIB,Thomas Edward Oxford,13,5,8,0,0
Howard,207,"Justice, Supreme Court, Place 5",NA,REP,Rebecca Huddle,476,283,176,17,0
Howard,207,"Justice, Supreme Court, Place 5",NA,DEM,Amanda Reichek,29,20,8,1,0
Howard,207,"Justice, Supreme Court, Place 9",NA,REP,Evan Young,479,287,175,17,0
Howard,207,"Justice, Supreme Court, Place 9",NA,DEM,Julia Maldonado,30,20,9,1,0
Howard,207,"Judge, Court of Criminal Appeals, Place 5",NA,REP,Scott Walker,482,290,175,17,0
Howard,207,"Judge, Court of Criminal Appeals, Place 5",NA,DEM,Dana Huffman,30,19,10,1,0
Howard,207,"Judge, Court of Criminal Appeals, Place 6",NA,REP,"Jesse F. McClure, III",483,289,177,17,0
Howard,207,"Judge, Court of Criminal Appeals, Place 6",NA,DEM,Robert Johnson,29,20,8,1,0
Howard,207,County Judge,NA,REP,Randy S. Johnson,488,298,176,14,0
Howard,207,County Judge,NA,DEM,Steven Hobbs,22,12,9,1,0
Howard,207c,U.S. House,19,REP,Jodey C. Arrington,271,114,148,9,0
Howard,207c,U.S. House,19,IND,Ind Nathan Lewis,37,14,20,3,0
Howard,207c,Governor,NA,REP,Greg Abbott,274,115,150,9,0
Howard,207c,Governor,NA,DEM,Beto O'Rourke,41,15,23,3,0
Howard,207c,Governor,NA,LIB,Mark Tippetts,0,0,0,0,0
Howard,207c,Governor,NA,GRN,Delilah Barrios,3,1,2,0,0
Howard,207c,Governor,NA,NON,Write-in,0,0,0,0,0
Howard,207c,Lieutenant Governor,NA,REP,Dan Patrick,268,111,148,9,0
Howard,207c,Lieutenant Governor,NA,DEM,Mike Collier,38,13,22,3,0
Howard,207c,Lieutenant Governor,NA,LIB,Shanna Steele,6,4,2,0,0
Howard,207c,Attorney General,NA,REP,Ken Paxton,267,111,147,9,0
Howard,207c,Attorney General,NA,DEM,Rochelle Mercedes Garza,40,15,22,3,0
Howard,207c,Attorney General,NA,LIB,Mark Ash,8,4,4,0,0
Howard,207c,Comptroller of Public Accounts,NA,REP,Glenn Hegar,268,113,146,9,0
Howard,207c,Comptroller of Public Accounts,NA,DEM,Janet T. Dudding,36,11,22,3,0
Howard,207c,Comptroller of Public Accounts,NA,LIB,V. Alonzo Echevarria-Garza,8,6,2,0,0
Howard,207c,Commissioner of General Land Office,NA,REP,Dawn Buckingham,273,115,149,9,0
Howard,207c,Commissioner of General Land Office,NA,DEM,Jay Kleberg,38,13,22,3,0
Howard,207c,Commissioner of General Land Office,NA,GRN,"Alfred Molison, Jr.",1,1,0,0,0
Howard,207c,Commissioner of General Land Office,NA,NON,Write-in,0,0,0,0,0
Howard,207c,Commissioner of Agriculture,NA,REP,Sid Miller,274,115,151,8,0
Howard,207c,Commissioner of Agriculture,NA,DEM,Susan Hays,41,16,21,4,0
Howard,207c,Railroad Commissioner,NA,REP,Wayne Christian,268,110,149,9,0
Howard,207c,Railroad Commissioner,NA,DEM,Luke Warford,35,13,20,2,0
Howard,207c,Railroad Commissioner,NA,LIB,Jaime Andres Diez,7,6,1,0,0
Howard,207c,Railroad Commissioner,NA,GRN,Hunter Wayne Crow,1,0,1,0,0
Howard,207c,"Justice, Supreme Court, Place 3",NA,REP,Debra Lehrmann,266,115,143,8,0
Howard,207c,"Justice, Supreme Court, Place 3",NA,DEM,Erin A. Nowell,42,15,24,3,0
Howard,207c,"Justice, Supreme Court, Place 3",NA,LIB,Thomas Edward Oxford,6,1,5,0,0
Howard,207c,"Justice, Supreme Court, Place 5",NA,REP,Rebecca Huddle,269,114,147,8,0
Howard,207c,"Justice, Supreme Court, Place 5",NA,DEM,Amanda Reichek,39,15,22,2,0
Howard,207c,"Justice, Supreme Court, Place 9",NA,REP,Evan Young,272,113,149,10,0
Howard,207c,"Justice, Supreme Court, Place 9",NA,DEM,Julia Maldonado,42,18,22,2,0
Howard,207c,"Judge, Court of Criminal Appeals, Place 5",NA,REP,Scott Walker,271,114,148,9,0
Howard,207c,"Judge, Court of Criminal Appeals, Place 5",NA,DEM,Dana Huffman,42,17,22,3,0
Howard,207c,"Judge, Court of Criminal Appeals, Place 6",NA,REP,"Jesse F. McClure, III",269,115,146,8,0
Howard,207c,"Judge, Court of Criminal Appeals, Place 6",NA,DEM,Robert Johnson,43,16,25,2,0
Howard,207c,County Judge,NA,REP,Randy S. Johnson,277,117,151,9,0
Howard,207c,County Judge,NA,DEM,Steven Hobbs,37,14,21,2,0
Howard,208,U.S. House,19,REP,Jodey C. Arrington,4,1,2,1,0
Howard,208,U.S. House,19,IND,Ind Nathan Lewis,0,0,0,0,0
Howard,208,Governor,NA,REP,Greg Abbott,4,1,2,1,0
Howard,208,Governor,NA,DEM,Beto O'Rourke,0,0,0,0,0
Howard,208,Governor,NA,LIB,Mark Tippetts,1,0,1,0,0
Howard,208,Governor,NA,GRN,Delilah Barrios,0,0,0,0,0
Howard,208,Governor,NA,NON,Write-in,0,0,0,0,0
Howard,208,Lieutenant Governor,NA,REP,Dan Patrick,4,1,2,1,0
Howard,208,Lieutenant Governor,NA,DEM,Mike Collier,0,0,0,0,0
Howard,208,Lieutenant Governor,NA,LIB,Shanna Steele,0,0,0,0,0
Howard,208,Attorney General,NA,REP,Ken Paxton,4,1,2,1,0
Howard,208,Attorney General,NA,DEM,Rochelle Mercedes Garza,1,0,1,0,0
Howard,208,Attorney General,NA,LIB,Mark Ash,0,0,0,0,0
Howard,208,Comptroller of Public Accounts,NA,REP,Glenn Hegar,3,1,1,1,0
Howard,208,Comptroller of Public Accounts,NA,DEM,Janet T. Dudding,0,0,0,0,0
Howard,208,Comptroller of Public Accounts,NA,LIB,V. Alonzo Echevarria-Garza,0,0,0,0,0
Howard,208,Commissioner of General Land Office,NA,REP,Dawn Buckingham,4,1,2,1,0
Howard,208,Commissioner of General Land Office,NA,DEM,Jay Kleberg,0,0,0,0,0
Howard,208,Commissioner of General Land Office,NA,GRN,"Alfred Molison, Jr.",1,0,1,0,0
Howard,208,Commissioner of General Land Office,NA,NON,Write-in,0,0,0,0,0
Howard,208,Commissioner of Agriculture,NA,REP,Sid Miller,4,1,2,1,0
Howard,208,Commissioner of Agriculture,NA,DEM,Susan Hays,1,0,1,0,0
Howard,208,Railroad Commissioner,NA,REP,Wayne Christian,4,1,2,1,0
Howard,208,Railroad Commissioner,NA,DEM,Luke Warford,0,0,0,0,0
Howard,208,Railroad Commissioner,NA,LIB,Jaime Andres Diez,1,0,1,0,0
Howard,208,Railroad Commissioner,NA,GRN,Hunter Wayne Crow,0,0,0,0,0
Howard,208,"Justice, Supreme Court, Place 3",NA,REP,Debra Lehrmann,4,1,2,1,0
Howard,208,"Justice, Supreme Court, Place 3",NA,DEM,Erin A. Nowell,0,0,0,0,0
Howard,208,"Justice, Supreme Court, Place 3",NA,LIB,Thomas Edward Oxford,0,0,0,0,0
Howard,208,"Justice, Supreme Court, Place 5",NA,REP,Rebecca Huddle,4,1,2,1,0
Howard,208,"Justice, Supreme Court, Place 5",NA,DEM,Amanda Reichek,0,0,0,0,0
Howard,208,"Justice, Supreme Court, Place 9",NA,REP,Evan Young,4,1,2,1,0
Howard,208,"Justice, Supreme Court, Place 9",NA,DEM,Julia Maldonado,0,0,0,0,0
Howard,208,"Judge, Court of Criminal Appeals, Place 5",NA,REP,Scott Walker,4,1,2,1,0
Howard,208,"Judge, Court of Criminal Appeals, Place 5",NA,DEM,Dana Huffman,0,0,0,0,0
Howard,208,"Judge, Court of Criminal Appeals, Place 6",NA,REP,"Jesse F. McClure, III",4,1,2,1,0
Howard,208,"Judge, Court of Criminal Appeals, Place 6",NA,DEM,Robert Johnson,0,0,0,0,0
Howard,208,County Judge,NA,REP,Randy S. Johnson,4,1,2,1,0
Howard,208,County Judge,NA,DEM,Steven Hobbs,1,0,1,0,0
Howard,208c,U.S. House,19,REP,Jodey C. Arrington,78,51,23,4,0
Howard,208c,U.S. House,19,IND,Ind Nathan Lewis,6,4,1,1,0
Howard,208c,Governor,NA,REP,Greg Abbott,84,54,24,6,0
Howard,208c,Governor,NA,DEM,Beto O'Rourke,5,4,0,1,0
Howard,208c,Governor,NA,LIB,Mark Tippetts,0,0,0,0,0
Howard,208c,Governor,NA,GRN,Delilah Barrios,1,1,0,0,0
Howard,208c,Governor,NA,NON,Write-in,0,0,0,0,0
Howard,208c,Lieutenant Governor,NA,REP,Dan Patrick,73,49,20,4,0
Howard,208c,Lieutenant Governor,NA,DEM,Mike Collier,16,10,3,3,0
Howard,208c,Lieutenant Governor,NA,LIB,Shanna Steele,1,0,1,0,0
Howard,208c,Attorney General,NA,REP,Ken Paxton,82,55,21,6,0
Howard,208c,Attorney General,NA,DEM,Rochelle Mercedes Garza,7,4,2,1,0
Howard,208c,Attorney General,NA,LIB,Mark Ash,1,0,1,0,0
Howard,208c,Comptroller of Public Accounts,NA,REP,Glenn Hegar,79,53,21,5,0
Howard,208c,Comptroller of Public Accounts,NA,DEM,Janet T. Dudding,6,5,0,1,0
Howard,208c,Comptroller of Public Accounts,NA,LIB,V. Alonzo Echevarria-Garza,3,0,2,1,0
Howard,208c,Commissioner of General Land Office,NA,REP,Dawn Buckingham,82,53,22,7,0
Howard,208c,Commissioner of General Land Office,NA,DEM,Jay Kleberg,4,4,0,0,0
Howard,208c,Commissioner of General Land Office,NA,GRN,"Alfred Molison, Jr.",2,1,1,0,0
Howard,208c,Commissioner of General Land Office,NA,NON,Write-in,0,0,0,0,0
Howard,208c,Commissioner of Agriculture,NA,REP,Sid Miller,81,52,23,6,0
Howard,208c,Commissioner of Agriculture,NA,DEM,Susan Hays,7,6,0,1,0
Howard,208c,Railroad Commissioner,NA,REP,Wayne Christian,79,51,22,6,0
Howard,208c,Railroad Commissioner,NA,DEM,Luke Warford,6,5,0,1,0
Howard,208c,Railroad Commissioner,NA,LIB,Jaime Andres Diez,1,1,0,0,0
Howard,208c,Railroad Commissioner,NA,GRN,Hunter Wayne Crow,1,0,1,0,0
Howard,208c,"Justice, Supreme Court, Place 3",NA,REP,Debra Lehrmann,79,53,22,4,0
Howard,208c,"Justice, Supreme Court, Place 3",NA,DEM,Erin A. Nowell,6,5,1,0,0
Howard,208c,"Justice, Supreme Court, Place 3",NA,LIB,Thomas Edward Oxford,1,0,1,0,0
Howard,208c,"Justice, Supreme Court, Place 5",NA,REP,Rebecca Huddle,79,52,23,4,0
Howard,208c,"Justice, Supreme Court, Place 5",NA,DEM,Amanda Reichek,6,5,1,0,0
Howard,208c,"Justice, Supreme Court, Place 9",NA,REP,Evan Young,80,53,23,4,0
Howard,208c,"Justice, Supreme Court, Place 9",NA,DEM,Julia Maldonado,6,5,1,0,0
Howard,208c,"Judge, Court of Criminal Appeals, Place 5",NA,REP,Scott Walker,80,53,23,4,0
Howard,208c,"Judge, Court of Criminal Appeals, Place 5",NA,DEM,Dana Huffman,6,5,1,0,0
Howard,208c,"Judge, Court of Criminal Appeals, Place 6",NA,REP,"Jesse F. McClure, III",78,53,22,3,0
Howard,208c,"Judge, Court of Criminal Appeals, Place 6",NA,DEM,Robert Johnson,8,5,2,1,0
Howard,208c,County Judge,NA,REP,Randy S. Johnson,73,49,22,2,0
Howard,208c,County Judge,NA,DEM,Steven Hobbs,10,8,2,0,0
Howard,31,U.S. House,19,REP,Jodey C. Arrington,46,29,17,0,0
Howard,31,U.S. House,19,IND,Ind Nathan Lewis,19,15,4,0,0
Howard,31,Governor,NA,REP,Greg Abbott,44,28,16,0,0
Howard,31,Governor,NA,DEM,Beto O'Rourke,25,20,5,0,0
Howard,31,Governor,NA,LIB,Mark Tippetts,1,0,1,0,0
Howard,31,Governor,NA,GRN,Delilah Barrios,0,0,0,0,0
Howard,31,Governor,NA,NON,Write-in,0,0,0,0,0
Howard,31,Lieutenant Governor,NA,REP,Dan Patrick,42,26,16,0,0
Howard,31,Lieutenant Governor,NA,DEM,Mike Collier,25,20,5,0,0
Howard,31,Lieutenant Governor,NA,LIB,Shanna Steele,2,1,1,0,0
Howard,31,Attorney General,NA,REP,Ken Paxton,44,28,16,0,0
Howard,31,Attorney General,NA,DEM,Rochelle Mercedes Garza,23,18,5,0,0
Howard,31,Attorney General,NA,LIB,Mark Ash,3,2,1,0,0
Howard,31,Comptroller of Public Accounts,NA,REP,Glenn Hegar,45,28,17,0,0
Howard,31,Comptroller of Public Accounts,NA,DEM,Janet T. Dudding,23,19,4,0,0
Howard,31,Comptroller of Public Accounts,NA,LIB,V. Alonzo Echevarria-Garza,2,1,1,0,0
Howard,31,Commissioner of General Land Office,NA,REP,Dawn Buckingham,44,28,16,0,0
Howard,31,Commissioner of General Land Office,NA,DEM,Jay Kleberg,26,20,6,0,0
