county,office,district,candidate,incumbent,party,votes,pct
CRANE,Justice 8th Court of Appeals District,2,Marcos Lizarraga,FALSE,DEM,4,50
CRANE,Justice 8th Court of Appeals District,2,Yvonne Rodriguez,FALSE,DEM,4,50
CRANE,Justice 8th Court of Appeals District,2,Total,,,8,
CROCKETT,U. S. Senator,,Paul Sadler,FALSE,DEM,459,54.97
CROCKETT,U. S. Senator,,Grady Yarbrough,FALSE,DEM,376,45.03
CROCKETT,U. S. Senator,,Total,,,835,
CROCKETT,U. S. Representative,23,Pete P. Gallego,FALSE,DEM,526,55.37
CROCKETT,U. S. Representative,23,Ciro D. Rodriguez,FALSE,DEM,424,44.63
CROCKETT,U. S. Representative,23,Total,,,950,
CROCKETT,Justice 8th Court of Appeals District,2,Marcos Lizarraga,FALSE,DEM,237,28.21
CROCKETT,Justice 8th Court of Appeals District,2,Yvonne Rodriguez,FALSE,DEM,603,71.79
CROCKETT,Justice 8th Court of Appeals District,2,Total,,,840,
CROSBY,U. S. Senator,,Paul Sadler,FALSE,DEM,174,60.84
CROSBY,U. S. Senator,,Grady Yarbrough,FALSE,DEM,112,39.16
CROSBY,U. S. Senator,,Total,,,286,
CULBERSON,U. S. Senator,,Paul Sadler,FALSE,DEM,97,59.15
CULBERSON,U. S. Senator,,Grady Yarbrough,FALSE,DEM,67,40.85
CULBERSON,U. S. Senator,,Total,,,164,
CULBERSON,U. S. Representative,23,Pete P. Gallego,FALSE,DEM,203,82.19
CULBERSON,U. S. Representative,23,Ciro D. Rodriguez,FALSE,DEM,44,17.81
CULBERSON,U. S. Representative,23,Total,,,247,
CULBERSON,Justice 8th Court of Appeals District,2,Marcos Lizarraga,FALSE,DEM,59,31.22
CULBERSON,Justice 8th Court of Appeals District,2,Yvonne Rodriguez,FALSE,DEM,130,68.78
CULBERSON,Justice 8th Court of Appeals District,2,Total,,,189,
DALLAM,U. S. Senator,,Paul Sadler,FALSE,DEM,5,55.56
DALLAM,U. S. Senator,,Grady Yarbrough,FALSE,DEM,4,44.44
DALLAM,U. S. Senator,,Total,,,9,
DALLAS,U. S. Senator,,Paul Sadler,FALSE,DEM,18150,64.52
DALLAS,U. S. Senator,,Grady Yarbrough,FALSE,DEM,9981,35.48
DALLAS,U. S. Senator,,Total,,,28131,
DALLAS,U. S. Representative,5,Tom Berry,FALSE,DEM,677,37.18
DALLAS,U. S. Representative,5,Linda S. Mrosko,FALSE,DEM,1144,62.82
DALLAS,U. S. Representative,5,Total,,,1821,
DALLAS,U. S. Representative,33,Domingo Garcia,FALSE,DEM,5840,70.07
DALLAS,U. S. Representative,33,Marc Veasey,FALSE,DEM,2495,29.93
DALLAS,U. S. Representative,33,Total,,,8335,
DALLAS,District Judge,162nd Judicial District,Phyllis Lister Brown,FALSE,DEM,15970,53.44
DALLAS,District Judge,162nd Judicial District,Maricela Moore,FALSE,DEM,13912,46.56
DALLAS,District Judge,162nd Judicial District,Total,,,29882,
DAWSON,U. S. Senator,,Paul Sadler,FALSE,DEM,9,81.82
DAWSON,U. S. Senator,,Grady Yarbrough,FALSE,DEM,2,18.18
DAWSON,U. S. Senator,,Total,,,11,
